"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"FZD1","Fzd1",2.069155,1.934601,1.986677,107,104,214,1.996811,2.57242,2.57242,0.838874208519715
"FZD10","Fzd10",0.048927,0.28956,0.365786,2,12,30,0.234757666666667,0.66385,0.66385,0.74210876381084
"FZD2","Fzd2",2.863189,2.110977,2.778097,128,98,258,2.58408766666667,0.39416,0.39416,2.57078647118456
"FZD3","Fzd3",13.308976,12.771979,10.702335,2141,2050,3760,12.2610966666667,4.06608,4.06608,2.61762480392466
"FZD4","Fzd4",1.984759,2.214293,2.448653,187,207,448,2.21590166666667,2.38571,2.38571,0.949845576457129
"FZD5","Fzd5",0.300763,0.367113,0.290511,28,35,54,0.319462333333333,1.76335,1.76335,0.477486504906484
"FZD6","Fzd6",4.209068,2.770826,2.070612,129,130,176,3.01683533333333,1.86708,1.86708,1.40101962042682
"FZD7","Fzd7",1.456014,1.445778,1.433002,85,86,169,1.44493133333333,2.94583,2.94583,0.61962409260747
"FZD8","Fzd8",0.500966,0.668139,0.615546,39,53,97,0.594883666666667,2.11602,2.11602,0.511833578303948
"FZD9","Fzd9",0.891975,1.097868,0.905728,23,30,50,0.965190333333333,4.16981,4.16981,0.380128154290648
"FZR1","Fzr1",17.159326,19.791965,16.620694,451,528,844,17.8573283333333,56.03308,56.03308,0.330638435331449
"G0S2","G0s2",2.026152,2.204477,2.305996,18,20,41,2.178875,15.04035,15.04035,0.198179902558236
"G2E3","G2e3",2.621022,3.038344,3.18316,224,217,383,2.94750866666667,12.01153,12.01153,0.303385433278536
"G3BP1","G3bp1",7.545187,9.299006,9.416765,700,725,1401,8.75365266666667,19.16866,19.16866,0.483604397449641
"G3BP2","G3bp2",85.017354,85.327892,78.94586,4157,4006,7073,83.0970353333333,100.42803,100.42803,0.829130126389454
"G6PC2","G6pc2",0,0,0,0,0,0,0,0,0,1
"G6PC3","G6pc3",20.311357,23.433079,20.158099,266,307,517,21.300845,79.89018,79.89018,0.27569285913321
"G6PD","G6pdx",10.608342,9.249997,10.671876,275,313,568,10.1767383333333,31.55361,31.55361,0.343333299542918
"GAA","Gaa",258.867985,237.648008,224.426522,3155,3424,5761,240.314171666667,59.60127,59.60127,3.98199858957851
"GAB1","Gab1",5.150923,5.242672,5.367156,313,331,605,5.25358366666667,45.18328,45.18328,0.135407958608974
"GAB2","Gab2",2.91326,3.837597,3.057327,254,309,471,3.26939466666667,226.3728,226.3728,0.018777068614481
"GAB3","Gab3",0.405691,0.6599,0.854913,11,16,35,0.640168,8.13216,8.13216,0.179603511107996
"GABARAP","Gabarap",93.932295,99.405782,94.356063,862,912,1686,95.8980466666667,701.3781,701.3781,0.137957101263076
"GABARAPL1","Gabarapl1",274.42425,338.426542,292.518283,4865,5180,9150,301.789691666667,177.57983,177.57983,1.69554250144973
"GABARAPL2","Gabarapl2",101.663278,114.371072,99.138254,1177,1302,2137,105.057534666667,242.38817,242.38817,0.435754682187991
"GABBR1","Gabbr1",297.99562,370.636709,340.981828,7317,7711,14439,336.538052333333,196.68626,196.68626,1.70744315934417
"GABBR2","Gabbr2",48.188071,53.313196,47.788496,2959,3200,5825,49.7632543333333,26.47101,26.47101,1.84788452748309
"GABPA","Gabpa",22.256573,19.290321,19.711817,343,319,549,20.4195703333333,5.22782,5.22782,3.43933677166863
"GABPB1","Gabpb1",6.121867,4.933088,6.596278,172,133,320,5.88374433333333,24.89437,24.89437,0.265839421207519
"GABPB2","Gabpb2",2.732438,2.325627,2.914418,287,239,580,2.65749433333333,10.33116,10.33116,0.322781986427986
"GABRA1","Gabra1",131.929762,160.634049,136.689881,5167,5229,8264,143.084564,15.18557,15.18557,8.90203829707573
"GABRA2","Gabra2",13.973722,11.189111,12.484083,818,627,1328,12.548972,14.66693,14.66693,0.864813463773694
"GABRA3","Gabra3",30.900005,35.57893,31.746818,1523,1708,2880,32.7419176666667,24.79064,24.79064,1.30830090554816
"GABRA4","Gabra4",39.221594,46.619109,39.704967,1550,1660,2860,41.8485566666667,1.38994,1.38994,17.9287164810274
"GABRA5","Gabra5",14.889002,17.628058,14.543702,495,574,934,15.6869206666667,47.15408,47.15408,0.346531813434431
"GABRA6","Gabra6",0,0,0,0,0,0,0,0.2282,0.2282,0.814199641752158
"GABRB1","Gabrb1",12.147233,13.855939,12.477081,2184,2185,3767,12.826751,20.1022,20.1022,0.655227938319227
"GABRB2","Gabrb2",35.226173,39.040204,32.870036,1861,2044,3320,35.7121376666667,16.51326,16.51326,2.09624808097788
"GABRB3","Gabrb3",42.038665,51.727146,44.629885,3279,3639,5960,46.1318986666667,24.3135,24.3135,1.86192737735464
"GABRD","Gabrd",24.538848,29.890425,26.733917,628,735,1318,27.0543966666667,15.9324,15.9324,1.65684703093871
"GABRG1","Gabrg1",9.845803,10.455686,9.16361,460,422,734,9.82169966666667,3.7549,3.7549,2.27590478594012
"GABRG2","Gabrg2",60.933462,67.850287,56.947579,2328,2580,4204,61.9104426666667,11.51365,11.51365,5.02734555199056
"GABRG3","Gabrg3",4.51503,4.803099,4.181209,567,547,977,4.49977933333333,2.03304,2.03304,1.81328941699857
"GABRP","Gabrp",0,0,0,0,0,0,0,9.19017,9.19017,0.0981337897208781
"GABRQ","Gabrq",0.814934,1.097153,0.673593,47,63,72,0.861893333333333,5.66347,5.66347,0.279417980921852
"GABRR1","Gabrr1",0,0.06717,0.051777,0,2,3,0.039649,0,0,1.039649
"GABRR2","Gabrr2",0.382177,0.606827,0.401333,9,5,12,0.463445666666667,0,0,1.46344566666667
"GAD1","Gad1",164.591581,208.145502,170.9869,4733,4869,7642,181.241327666667,20.74531,20.74531,8.38071876954923
"GAD2","Gad2",46.765586,45.448703,39.076562,3647,3355,5833,43.763617,8.65079,8.65079,4.63833706877882
"GADD45A","Gadd45a",6.58689,4.156924,4.642805,72,47,83,5.128873,29.56206,29.56206,0.200538608981201
"GADD45B","Gadd45b",4.684261,5.684266,6.009288,64,77,144,5.45927166666667,157.53987,157.53987,0.0407422540883039
"GADD45G","Gadd45g",3.572072,6.619438,5.961652,41,77,140,5.38438733333333,28.62852,28.62852,0.215481142268778
"GADD45GIP1","Gadd45gip1",4.048511,6.129512,5.110178,125,192,318,5.096067,83.74881,83.74881,0.0719310041049544
"GADL1","Gadl1",0.13756,0.27117,0.113572,7,6,11,0.174100666666667,0.10373,0.10373,1.0637571386722
"GAK","Gak",41.271972,46.531558,50.300591,1087,1156,2109,46.034707,52.17445,52.17445,0.884535843812207
"GAL","Gal",1.523763,2.744871,1.57709,12,20,22,1.94857466666667,5.78794,5.78794,0.43438431492716
"GAL3ST1","Gal3st1",3.025879,4.104323,3.988059,62,83,172,3.706087,88.4165,88.4165,0.0526310803934397
"GAL3ST2","Gal3st2",0,0.111136,0.020632,0,0,2,0.0439226666666667,0.80907,0.80907,0.577049349481594
"GAL3ST3","Gal3st3",9.85393,10.852863,10.543341,291,331,638,10.4167113333333,6.11987,6.11987,1.60349997027099
"GALC","Galc",8.209037,10.434182,9.099066,343,338,732,9.24742833333333,31.01423,31.01423,0.320089795485737
"GALE","Gale",4.967978,6.064007,9.833691,62,68,171,6.95522533333333,26.94815,26.94815,0.284642286996933
"GALK1","Galk1",2.048287,3.806737,4.222301,34,64,139,3.35910833333333,23.83636,23.83636,0.175513172354296
"GALK2","Galk2",8.89286,10.682769,9.759878,176,214,368,9.77850233333333,34.7069,34.7069,0.301860490082682
"GALM","Galm",0.771028,0.497158,0.870835,14,15,36,0.713007,3.5267,3.5267,0.378422912938785
"GALNS","Galns",3.87958,2.075887,2.737227,50,51,119,2.89756466666667,19.31388,19.31388,0.191867071513008
"GALNT1","Galnt1",17.641072,20.86997,16.458759,575,653,1130,18.323267,16.22283,16.22283,1.12195655417838
"GALNT10","Galnt10",1.64208,2.307065,1.642574,104,139,199,1.86390633333333,26.71996,26.71996,0.10331567337519
"GALNT11","Galnt11",12.694092,14.426198,14.481894,416,444,867,13.8673946666667,74.64162,74.64162,0.196550452867967
"GALNT12","Galnt12",0.279507,0.586894,0.266108,8,16,15,0.377503,1.76335,1.76335,0.498490238297718
"GALNT13","Galnt13",8.131292,11.881457,10.310395,595,690,1122,10.1077146666667,78.39652,78.39652,0.139901782429087
"GALNT14","Galnt14",8.493047,8.868661,7.426027,209,211,348,8.26257833333333,14.23128,14.23128,0.608128688681013
"GALNT2","Galnt2",4.836227,4.752151,9.214431,163,19,71,6.267603,30.78604,30.78604,0.228641346956085
"GALNT3","Galnt3",0.806316,1.080131,0.660587,8,11,13,0.849011333333333,2.73838,2.73838,0.494602296538429
"GALNT4","Galnt4",0.773375,0.834585,0.529484,56,59,73,0.712481333333333,0.24894,0.24894,1.37114780000107
"GALNT5","Galnt5",0.037731,0.069329,0.017792,2,4,2,0.0416173333333333,0.04149,0.04149,1.00012226073542
"GALNT6","Galnt6",2.559654,2.597621,2.608805,136,133,264,2.58869333333333,11.36843,11.36843,0.290149463863508
"GALNT7","Galnt7",4.182812,2.708538,3.035275,199,151,294,3.308875,10.1652,10.1652,0.385920090997027
"GALNTL5","Galntl5",0,0,0,0,0,0,0,3.19478,3.19478,0.238391524704514
"GALP","Galp",0,0,0,0,0,0,0,0,0,1
"GALR1","Galr1",0.446247,0.100518,0.218851,18,4,17,0.255205333333333,1.0995,1.0995,0.597859172818925
"GALR2","Galr2",0.274952,0.164604,0.308805,6,4,14,0.249453666666667,0.20745,0.20745,1.03478708573164
"GALR3","Galr3",0,0.286883,0.064131,0,3,2,0.117004666666667,0.2282,0.2282,0.909464799435488
"GALT","Galt",24.32881,29.776679,29.23333,255,307,561,27.7796063333333,39.70652,39.70652,0.707002375377049
"GAMT","Gamt",13.96512,8.884262,8.805396,66,75,141,10.5515926666667,117.25248,117.25248,0.097685838526741
"GAN","Gan",2.117967,1.867744,1.846821,418,361,694,1.94417733333333,0.35267,0.35267,2.17656733226384
"GANAB","Ganab",25.804418,24.484085,24.994101,1254,1176,2298,25.0942013333333,95.15873,95.15873,0.271365910649333
"GANC","Ganc",3.129936,3.822582,4.78718,85,108,229,3.91323266666667,14.50097,14.50097,0.316962916944337
"GAP43","Gap43",110.015357,126.141835,111.247266,1807,1877,3222,115.801486,544.77178,544.77178,0.214011589239737
"GAPDH","Gapdh",1389.756631,1543.949738,1390.4381,6239,6643,11653,1441.38148966667,2601.0674,2601.0674,0.554321340664222
"GAPDHS","Gapdhs",0.904181,0.412574,0.844948,15,7,27,0.720567666666667,0,0,1.72056766666667
"GAPT","Gapt",0,0,0,0,0,0,0,1.28621,1.28621,0.437405137760748
"GAPVD1","Gapvd1",30.345894,28.951641,33.262423,1150,1149,2237,30.8533193333333,6.61775,6.61775,4.18146031746032
"GAR1","Gar1",28.253779,21.926743,25.545589,109,85,217,25.242037,11.9493,11.9493,2.02652166526376
"GARNL3","Garnl3",30.24453,36.594661,26.082215,890,804,1648,30.973802,41.40763,41.40763,0.753963425921232
"GART","Gart",14.286443,12.094283,16.165771,328,327,644,14.1821656666667,26.61623,26.61623,0.549755186231671
"GAS1","Gas1",1.912192,1.997619,1.471252,52,62,97,1.79368766666667,4.58471,4.58471,0.500238627729402
"GAS2","Gas2",4.077775,7.714737,17.938483,95,101,218,9.91033166666667,9.97849,9.97849,0.993791647728118
"GAS2L1","Gas2l1",20.957416,21.536558,25.766705,400,471,1010,22.7535596666667,48.91744,48.91744,0.475856928293331
"GAS2L2","Gas2l2",0.377688,0.708627,0.334139,13,24,22,0.473484666666667,0.16596,0.16596,1.26375232998273
"GAS2L3","Gas2l3",0.230033,0.193203,0.267675,20,17,25,0.230303666666667,0.6846,0.6846,0.730323914678064
"GAS6","Gas6",21.897575,25.235894,22.035604,724,829,1421,23.0563576666667,54.3942,54.3942,0.434275748483897
"GAS7","Gas7",74.523081,82.800327,79.109607,5866,6067,11257,78.811005,201.54066,201.54066,0.394049298545783
"GAS8","Gas8",6.065562,5.450585,5.624398,172,138,308,5.713515,11.92855,11.92855,0.519278263997123
"GAST","Gast",0,0.652421,0,0,2,0,0.217473666666667,0.89205,0.89205,0.643468019696449
"GATA1","Gata1",0.040615,0,0.081975,1,0,1,0.0408633333333333,1.74261,1.74261,0.379515619549748
"GATA2","Gata2",1.653441,1.319285,1.843738,48,34,108,1.605488,4.89589,4.89589,0.441915978758084
"GATA3","Gata3",0.023271,0.094036,0.012009,1,4,1,0.0431053333333333,2.6554,2.6554,0.285360106509092
"GATA4","Gata4",0.269222,0.548034,0.140261,1,2,1,0.319172333333333,0.10373,0.10373,1.19519477891634
"GATA5","Gata5",0.047346,0.069821,0.036205,2,3,3,0.051124,0.10373,0.10373,0.952337981209172
"GATA6","Gata6",0,0.373959,0.013343,0,3,1,0.129100666666667,0.58087,0.58087,0.714227397993932
"GATAD1","Gatad1",49.587263,44.602145,42.035175,651,650,1171,45.4081943333333,31.05573,31.05573,1.44773475236201
"GATAD2A","Gatad2a",8.663201,6.820002,7.251897,274,266,511,7.57836666666667,53.14948,53.14948,0.158420111636652
"GATAD2B","Gatad2b",11.237734,14.330307,14.255843,1106,1100,2147,13.274628,13.00731,13.00731,1.01908417818982
"GATC","Gatc",9.438813,10.955112,10.534375,212,245,461,10.3094333333333,1.26546,1.26546,4.99211344863001
"GATM","Gatm",41.125365,47.368869,40.736142,1128,1138,1964,43.076792,151.79342,151.79342,0.28847310309567
"GBA","Gba",16.58287,17.277915,18.58181,271,252,516,17.480865,36.13833,36.13833,0.497622402515137
"GBA2","Gba2",23.146999,22.79845,22.862555,817,797,1642,22.9360013333333,59.22785,59.22785,0.397424137393803
"GBE1","Gbe1",5.338237,4.012149,4.209452,144,146,251,4.519946,8.13216,8.13216,0.604451301773074
"GBGT1","Gbgt1",0.87355,0.376439,0.803889,11,6,16,0.684626,5.9539,5.9539,0.242256287838479
"GBP2","Gbp2",1.189382,1.244623,1.727988,40,39,111,1.387331,7.80024,7.80024,0.271280215085043
"GBP4","Gbp4",0.659238,0.934465,0.602073,40,31,71,0.731925333333333,14.97811,14.97811,0.108393629367512
"GBP5","Gbp5",0.965292,0.888806,1.051948,42,40,88,0.968682,0.43565,0.43565,1.37128269424999
"GBX1","Gbx1",1.014573,0.506735,0.447228,38,20,36,0.656178666666667,0,0,1.65617866666667
"GBX2","Gbx2",0.34919,0.212781,0.152129,5,3,8,0.238033333333333,1.28621,1.28621,0.541522140719065
"GC","Gc",0,0,0,0,0,0,0,0,0,1
"GCA","Gca",6.619132,10.977504,7.844913,131,128,220,8.48051633333333,32.61162,32.61162,0.282060678221797
"GCAT","Gcat",4.963562,4.089262,3.956894,63,55,99,4.33657266666667,17.84096,17.84096,0.28324313976924
"GCC1","Gcc1",8.436883,5.148514,5.92467,250,227,469,6.50335566666667,3.90012,3.90012,1.53125957459545
"GCC2","Gcc2",70.382805,73.783492,60.80637,1135,1216,2072,68.3242223333333,7.90396,7.90396,7.78577423228915
"GCDH","Gcdh",14.311889,11.496541,13.702489,230,193,418,13.1703063333333,21.03574,21.03574,0.643060152884965
"GCFC2","Gcfc2",2.931968,2.256637,3.369024,40,41,90,2.852543,9.62582,9.62582,0.362564300919835
"GCG","Gcg",0,0,0.041455,0,0,1,0.0138183333333333,0,0,1.01381833333333
"GCGR","Gcgr",0,0,0.061826,0,0,3,0.0206086666666667,0.4564,0.4564,0.700774970246269
"GCH1","Gch1",0.196096,0.385224,0.390197,7,14,29,0.323839,2.67614,2.67614,0.360116589683744
"GCHFR","Gchfr",0.169334,0,0.178402,1,0,2,0.115912,17.4468,17.4468,0.0604935273326539
"GCK","Gck",0.542123,1.084662,0.781172,20,11,22,0.802652333333333,6.90819,6.90819,0.227947524444068
"GCKR","Gckr",0,0,0.285084,0,0,3,0.095028,1.3277,1.3277,0.47043347510418
"GCLC","Gclc",14.624617,13.643083,13.275605,631,591,1139,13.8477683333333,41.69807,41.69807,0.347738629247957
"GCLM","Gclm",44.401103,47.728382,54.232481,716,670,1164,48.787322,4.93738,4.93738,8.38540265234834
"GCM1","Gcm1",0.089614,0.126618,0.066701,2,3,3,0.094311,0,0,1.094311
"GCM2","Gcm2",0,0,0,0,0,0,0,0,0,1
"GCNT1","Gcnt1",1.172569,0.779811,0.770301,62,42,79,0.907560333333333,2.94583,2.94583,0.483437029302665
"GCNT2","Gcnt2",11.085594,18.633305,12.941531,453,556,944,14.2201433333333,3.48521,3.48521,3.39340707198399
"GCNT3","Gcnt3",0,0,0.008679,0,0,1,0.002893,0.10373,0.10373,0.908639794152555
"GCNT4","Gcnt4",2.79592,2.313506,2.537891,199,162,347,2.54910566666667,0.14522,0.14522,3.09906015147017
"GCNT7","Gcnt7",0.04324,0,0.088926,1,0,5,0.0440553333333333,0.35267,0.35267,0.771847777605279
"GCSAM","Gcsam",0,0,0.011508,0,0,1,0.003836,0.29043,0.29043,0.777908139147416
"GCSH","Gcsh",28.91639,32.47609,32.299047,309,389,678,31.230509,89.99314,89.99314,0.354208119425267
"GDA","Gda",44.204594,53.508204,46.918474,3277,3729,6448,48.210424,28.77374,28.77374,1.65281298217825
"GDAP1","Gdap1",23.583607,25.799203,24.086951,1286,1370,2398,24.4899203333333,28.15138,28.15138,0.874398410412589
"GDAP1L1","Gdap1l1",20.946716,25.21654,22.525185,452,504,977,22.896147,40.74378,40.74378,0.572448086876656
"GDAP2","Gdap2",11.377559,11.774024,13.887918,307,326,648,12.3465003333333,1.68037,1.68037,4.97934999023767
"GDE1","Gde1",105.959868,120.897966,104.735711,1481,1694,2901,110.531181666667,60.72152,60.72152,1.80700640014482
"GDF10","Gdf10",0.712213,0.877261,0.69729,51,63,98,0.762254666666667,2.32347,2.32347,0.53024539612714
"GDF11","Gdf11",3.605306,3.399772,3.04496,197,184,323,3.35001266666667,28.48331,28.48331,0.147541529993297
"GDF15","Gdf15",0,0,0.031639,0,0,1,0.0105463333333333,2.07453,2.07453,0.328683191685667
"GDF2","Gdf2",0.024258,0,0,1,0,0,0.008086,0,0,1.008086
"GDF3","Gdf3",0.035972,0,0,1,0,0,0.0119906666666667,0,0,1.01199066666667
"GDF5","Gdf5",0.098148,0.065999,0.067736,3,2,4,0.0772943333333333,0.66385,0.66385,0.647470825695425
"GDF6","Gdf6",0,0,0.011013,0,0,1,0.003671,0.33192,0.33192,0.753552015136044
"GDF7","Gdf7",0.112967,0,0.154058,1,0,4,0.0890083333333333,0.06224,0.06224,1.02519989205202
"GDF9","Gdf9",0.741961,0.564117,0.317431,12,8,14,0.541169666666667,0.8713,0.8713,0.823582358075491
"GDI1","Gdi1",393.887688,401.911046,376.894866,4149,4817,8278,390.897866666667,415.36255,415.36255,0.941241873618717
"GDI2","Gdi2",156.933931,175.302476,153.359472,2487,2572,4538,161.865293,64.47642,64.47642,2.48738848275456
"GDNF","Gdnf",0.178638,0.422672,0.144122,9,21,14,0.248477333333333,2.84211,2.84211,0.324945754633088
"GDPD1","Gdpd1",15.383233,14.060164,12.647093,480,429,752,14.0301633333333,21.49214,21.49214,0.668240698009764
"GDPD2","Gdpd2",3.908834,2.929177,1.326887,57,51,50,2.72163266666667,4.66769,4.66769,0.656640124401064
"GDPD3","Gdpd3",0.362573,0.793857,1.558318,2,4,17,0.904916,10.87054,10.87054,0.160474249697149
"GDPD4","Gdpd4",0,0.024605,0.021588,0,1,1,0.0153976666666667,0,0,1.01539766666667
"GDPD5","Gdpd5",16.462255,17.65299,15.739449,325,334,560,16.6182313333333,10.80831,10.80831,1.49201971605872
"GDPGP1","Gdpgp1",1.117662,1.561763,1.153222,65,90,129,1.277549,1.7841,1.7841,0.818055745124098
"GEM","Gem",0.545621,0.408013,0.854669,14,10,41,0.602767666666667,5.68421,5.68421,0.239784157988254
"GEMIN2","Gemin2",4.140316,2.765063,2.194624,70,57,83,3.03333433333333,23.73263,23.73263,0.163077454089328
"GEMIN5","Gemin5",4.492392,4.26367,5.089775,309,273,578,4.615279,8.85825,8.85825,0.569602008470063
"GEMIN6","Gemin6",3.095327,2.320868,2.206857,35,28,51,2.54101733333333,8.29812,8.29812,0.380831537271334
"GEMIN7","Gemin7",13.919985,15.994695,15.175889,106,119,228,15.0301896666667,11.76259,11.76259,1.25602951020652
"GEMIN8","Gemin8",4.369577,5.207492,5.988512,82,100,183,5.188527,26.94815,26.94815,0.221428860228673
"GEN1","Gen1",0.774266,0.515069,0.435393,25,18,47,0.574909333333333,1.59739,1.59739,0.606343034097049
"GET4","Get4",16.325658,20.612585,19.465154,269,320,585,18.8011323333333,68.50101,68.50101,0.284904238561905
"GFAP","Gfap",49.865644,39.04728,39.981129,1244,961,1984,42.9646843333333,12449.98514,12449.98514,0.00353102054487982
"GFER","Gfer",7.477147,9.000689,7.050265,103,149,241,7.84270033333333,22.36344,22.36344,0.37848451826158
"GFI1","Gfi1",0,0,0,0,0,0,0,0.26969,0.26969,0.787593822114059
"GFI1B","Gfi1b",0,0,0.024577,0,0,1,0.00819233333333333,0.14522,0.14522,0.880348171821426
"GFM1","Gfm1",16.878498,12.469379,15.439046,503,471,856,14.9289743333333,15.37227,15.37227,0.972923994860415
"GFM2","Gfm2",10.208085,9.261709,8.9246,319,270,636,9.464798,15.74569,15.74569,0.624924861262809
"GFOD1","Gfod1",18.271994,14.711524,15.054605,1708,1371,2763,16.0127076666667,7.77949,7.77949,1.93777858015291
"GFOD2","Gfod2",7.348108,8.08213,6.276836,161,164,323,7.23569133333333,9.08644,9.08644,0.816511210430373
"GFPT1","Gfpt1",10.833336,10.731763,11.827366,902,922,1703,11.1308216666667,5.14484,5.14484,1.97414768597175
"GFPT2","Gfpt2",2.027175,2.26143,1.981322,81,89,152,2.08997566666667,6.32732,6.32732,0.42170611719792
"GFRA1","Gfra1",13.22337,13.224943,12.283576,713,693,1215,12.9106296666667,13.65041,13.65041,0.949504462104929
"GFRA2","Gfra2",23.77423,21.556583,18.336009,737,643,1141,21.222274,12.11526,12.11526,1.69438303167455
"GFRA3","Gfra3",0.078018,0,0,2,0,0,0.026006,0.43565,0.43565,0.714663044613938
"GFRA4","Gfra4",18.76489,24.653115,20.078025,269,340,554,21.1653433333333,0,0,22.1653433333333
"GFRAL","Gfral",0,0,0,0,0,0,0,0.39416,0.39416,0.717277787341482
"GGA1","Gga1",20.322306,16.945904,17.68192,477,513,890,18.31671,90.76072,90.76072,0.21051175274126
"GGA2","Gga2",9.00928,7.523646,7.798731,329,307,628,8.11055233333333,51.57283,51.57283,0.173293930217059
"GGA3","Gga3",122.6564,110.366982,126.828462,671,598,1277,119.950614666667,26.13909,26.13909,4.45669381938255
"GGCT","Ggct",16.03953,14.869667,13.603686,129,118,194,14.8376276666667,21.59587,21.59587,0.700908071548768
"GGCX","Ggcx",11.488578,7.606797,9.650144,163,100,269,9.58183966666667,18.33885,18.33885,0.547180399386037
"GGH","Ggh",4.114793,3.181281,3.309953,106,79,160,3.53534233333333,16.82444,16.82444,0.254445151339023
"GGN","Ggn",1.222337,0.607566,0.553478,13,9,24,0.794460333333333,2.48944,2.48944,0.51425453176823
"GGNBP1","Ggnbp1",3.401245,1.553401,2.834568,30,17,54,2.59640466666667,1.57664,1.57664,1.39577304810399
"GGNBP2","Ggnbp2",76.234875,79.074465,71.878872,951,997,1912,75.729404,46.78067,46.78067,1.60586705879177
"GGPS1","Ggps1",25.822418,30.47616,26.616308,665,690,1245,27.6382953333333,19.77028,19.77028,1.37881123091905
"GGT1","Ggt1",2.454845,0.631452,3.074092,17,13,42,2.053463,14.16905,14.16905,0.201295598603736
"GGT5","Ggt5",1.230806,0.858141,0.950911,23,20,55,1.013286,25.39226,25.39226,0.0762831981800725
"GGT6","Ggt6",0,0.120401,0.022417,0,2,1,0.047606,1.0995,1.0995,0.498978804477257
"GGT7","Ggt7",47.816825,44.210851,45.674181,974,940,1771,45.900619,58.12835,58.12835,0.793200199227613
"GHDC","Ghdc",3.159473,2.29705,1.809226,61,68,114,2.42191633333333,10.26893,10.26893,0.303659383218578
"GHITM","Ghitm",162.122652,167.929421,154.918968,4430,4630,7965,161.657013666667,99.95089,99.95089,1.61124893170002
"GHR","Ghr",2.428405,2.913484,2.747,129,135,230,2.69629633333333,1.51441,1.51441,1.47004519284179
"GHRH","Ghrh",0,0.270543,0.278406,0,1,2,0.182983,1.38994,1.38994,0.49498439291363
"GHRHR","Ghrhr",0,0,0,0,0,0,0,1.72186,1.72186,0.367395824913846
"GHRL","Ghrl",13.61449,23.714693,14.716134,19,12,34,17.348439,8.48483,8.48483,1.93450372858554
"GHSR","Ghsr",0.01658,0.033588,0.042815,1,2,5,0.0309943333333333,0,0,1.03099433333333
"GID4","Gid4",14.565852,14.544608,13.436926,823,817,1474,14.182462,6.16136,6.16136,2.12005289498084
"GID8","Gid8",22.159724,26.894359,19.451341,373,431,714,22.8351413333333,17.34308,17.34308,1.29940780574109
"GIGYF1","Gigyf1",12.232154,12.412374,13.769104,549,567,1199,12.804544,34.56168,34.56168,0.388185934972701
"GIGYF2","Gigyf2",26.70058,28.455431,29.704017,755,741,1400,28.286676,28.50405,28.50405,0.992632401314396
"GIMAP1","Gimap1",0.779104,0.71834,0.907896,9,10,23,0.80178,2.46869,2.46869,0.519441056998463
"GIMAP4","Gimap4",0.20874,0.168013,0.28485,4,2,5,0.220534333333333,9.08644,9.08644,0.121007444978935
"GIMAP5","Gimap5",0.239584,0.687388,0.11633,6,4,6,0.347767333333333,6.34806,6.34806,0.183418117616532
"GIMAP6","Gimap6",2.294502,1.946143,3.187764,43,36,95,2.47613633333333,3.1118,3.1118,0.845405013214002
"GIMAP8","Gimap8",0.737976,0.620507,0.901563,31,25,71,0.753348666666667,1.61813,1.61813,0.669695036788344
"GIMD1","Gimd1",0,0,0,0,0,0,0,0,0,1
"GIN1","Gin1",4.25386,2.458187,3.571193,73,50,134,3.42774666666667,6.26508,6.26508,0.609456009660825
"GINM1","Ginm1",8.211162,9.982537,10.416959,120,133,261,9.536886,39.74801,39.74801,0.258586517476559
"GINS1","Gins1",0.509046,0.761158,0.389616,5,4,7,0.553273333333333,1.28621,1.28621,0.679409736346763
"GINS2","Gins2",1.310786,1.027134,0.829881,6,7,8,1.05593366666667,1.28621,1.28621,0.899275948695293
"GINS3","Gins3",0.60092,0.697573,0.745867,20,23,48,0.681453333333333,15.43451,15.43451,0.102312349643119
"GINS4","Gins4",7.494235,6.731422,6.926988,122,108,217,7.05088166666667,4.93738,4.93738,1.35596536968607
"GIP","Gip",0,0,0,0,0,0,0,0,0,1
"GIPC1","Gipc1",41.869827,36.799805,47.811476,371,388,807,42.1603693333333,212.05853,212.05853,0.202575176564549
"GIPC2","Gipc2",2.212465,7.068482,3.944429,15,26,35,4.40845866666667,0.31118,0.31118,4.12487886229707
"GIPC3","Gipc3",0.13413,0.215232,0.216447,6,10,20,0.188603,0.93354,0.93354,0.614728942768187
"GIPR","Gipr",0.864519,0.486076,0.552876,20,17,38,0.634490333333333,10.28967,10.28967,0.144777511949715
"GIT1","Git1",100.426368,82.048962,81.289056,3689,3559,6799,87.921462,171.70891,171.70891,0.514863199588255
"GIT2","Git2",35.121991,36.113245,30.002843,350,388,714,33.7460263333333,17.32233,17.32233,1.89637597037786
"GJA1","Gja1",306.379361,192.524782,209.094969,2069,1864,3674,235.999704,45.80564,45.80564,5.06348602433382
"GJA10","Gja10",0,0,0,0,0,0,0,0,0,1
"GJA3","Gja3",0.027783,0,0,1,0,0,0.009261,0,0,1.009261
"GJA4","Gja4",0.993614,1.144133,0.979656,21,24,40,1.03913433333333,5.3108,5.3108,0.323118199488707
"GJA5","Gja5",0.431445,0.170924,0.245559,9,7,20,0.282642666666667,1.24472,1.24472,0.571404302838067
