"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"DOK1","Dok1",2.039557,1.383924,1.062588,12,12,24,1.49535633333333,0.94881,0.94881,1.28045131815484
"DOK2","Dok2",1.352668,9.195039,1.379192,10,11,14,3.975633,0.86025,0.86025,2.67471200107512
"DOK3","Dok3",2.394394,1.553493,2.561089,57,39,138,2.16965866666667,1.36628,1.36628,1.33951124409058
"DOK4","Dok4",7.187952,7.981078,5.787496,158,154,262,6.98550866666667,2.391,2.391,2.35491261181559
"DOK5","Dok5",8.149843,8.177289,7.37332,182,181,318,7.90015066666667,22.7714,22.7714,0.374405826609567
"DOK6","Dok6",12.15206,12.777813,11.082495,1740,1491,2918,12.0041226666667,0.80965,0.80965,7.18598771401468
"DOK7","Dok7",3.341405,6.147043,6.121413,118,150,314,5.203287,0.31627,0.31627,4.71277701383455
"DOLK","Dolk",5.317243,6.098223,5.338424,145,166,284,5.58463,6.89467,6.89467,0.834060195042985
"DOLPP1","Dolpp1",8.545072,10.496151,10.104357,119,110,261,9.71519333333333,4.26331,4.26331,2.03582789790708
"DONSON","Donson",27.864162,24.892292,27.80719,135,136,320,26.854548,13.28332,13.28332,1.95014520433625
"DPAGT1","Dpagt1",5.688036,5.022513,4.820806,114,106,207,5.17711833333333,29.36245,29.36245,0.203445977954129
"DPCD","Dpcd",33.604456,37.13986,33.471013,259,283,493,34.738443,26.42747,26.42747,1.30301639196032
"DPEP1","Dpep1",0,0,0,0,0,0,0,0,0,1
"DPEP2","Dpep2",0,0,0.056985,0,0,3,0.018995,0.58194,0.58194,0.644142634992478
"DPEP3","Dpep3",0,0,0,0,0,0,0,0.0506,0.0506,0.951837045497811
"DPF1","Dpf1",74.291455,58.089289,53.726493,490,455,917,62.0357456666667,0,0,63.0357456666667
"DPF2","Dpf2",45.570186,40.665339,41.821724,408,420,906,42.6857496666667,29.57752,29.57752,1.42868845042589
"DPF3","Dpf3",2.161061,2.565131,2.244675,33,35,66,2.32362233333333,35.27037,35.27037,0.0916346409847303
"DPH1","Dph1",13.527017,12.280564,9.613327,125,131,181,11.8069693333333,13.70079,13.70079,0.871175585348361
"DPH2","Dph2",3.781837,2.974812,4.086619,90,93,181,3.61442266666667,6.78082,6.78082,0.593050946644013
"DPH3","Dph3",16.742489,13.328043,15.113588,298,312,511,15.0613733333333,38.40776,38.40776,0.407568796940839
"DPH5","Dph5",3.961255,5.831991,4.42186,81,89,171,4.73836866666667,59.24359,59.24359,0.0952527674175239
"DPM1","Dpm1",63.717735,56.315684,46.651182,434,346,603,55.5615336666667,110.30213,110.30213,0.508180154923061
"DPM2","Dpm2",24.947978,30.498929,27.23605,238,279,492,27.5609856666667,7.2995,7.2995,3.44128991706328
"DPM3","Dpm3",19.695566,15.520694,18.518003,58,46,94,17.911421,0.24036,0.24036,15.2467195007901
"DPP10","Dpp10",30.402136,36.071476,31.353726,1877,2107,3455,32.6091126666667,0.03795,0.03795,32.3802810026173
"DPP3","Dpp3",15.933599,13.395273,14.624268,329,339,570,14.6510466666667,3.2133,3.2133,3.7146765401625
"DPP4","Dpp4",1.602509,1.832845,8.675666,56,47,105,4.03700666666667,9.7411,9.7411,0.468947004186412
"DPP6","Dpp6",40.687351,45.10958,38.164115,2462,2632,4305,41.3203486666667,0.72109,0.72109,24.5892711401883
"DPP7","Dpp7",10.641394,12.200887,13.173217,157,140,316,12.005166,2.61871,2.61871,3.59386798057871
"DPP8","Dpp8",71.867737,83.340839,72.080599,2777,2781,4983,75.7630583333333,22.50573,22.50573,3.26571684152474
"DPP9","Dpp9",15.719981,14.959855,13.914272,741,692,1286,14.8647026666667,6.84407,6.84407,2.02250906310967
"DPPA2","Dppa2",0.063662,0,0.128516,2,0,8,0.0640593333333333,0,0,1.06405933333333
"DPPA3","Dppa3",0,0,0,0,0,0,0,0,0,1
"DPPA4","Dppa4",0,0,0,0,0,0,0,0,0,1
"DPPA5","Dppa5a",0,0,0,0,0,0,0,0,0,1
"DPT","Dpt",0,0,0.047733,0,0,2,0.015911,58.88937,58.88937,0.0169631271793308
"DPY19L1","Dpy19l1",24.452745,26.711305,22.831429,1215,1217,2096,24.6651596666667,19.84907,19.84907,1.23099781748858
"DPY19L2","Dpy19l2",0.042444,0.130963,0.078491,2,6,7,0.083966,102.98998,102.98998,0.0104237542886343
"DPY19L3","Dpy19l3",27.490316,37.548657,34.742599,702,698,1300,33.260524,5.83201,5.83201,5.01470636020732
"DPY19L4","Dpy19l4",7.390244,4.558596,7.392678,481,413,828,6.44717266666667,27.6546,27.6546,0.259894490471571
"DPY30","Dpy30",16.698272,23.526731,19.393283,108,125,212,19.872762,76.05647,76.05647,0.270876176912854
"DPYD","Dpyd",1.975558,1.096068,0.693281,39,52,75,1.254969,12.46102,12.46102,0.16751843471
"DPYS","Dpys",0.060523,0.036709,0.063141,2,1,4,0.0534576666666667,0.26567,0.26567,0.832332019141377
"DPYSL2","Dpysl2",26.093295,25.366862,24.157573,1668,1585,2937,25.20591,69.54132,69.54132,0.371497301156259
"DPYSL3","Dpysl3",8.027888,13.025456,9.630643,498,533,940,10.2279956666667,18.33098,18.33098,0.580829097472899
"DPYSL4","Dpysl4",12.646188,13.77441,13.50235,349,394,788,13.3076493333333,8.95675,8.95675,1.4369798712766
"DPYSL5","Dpysl5",8.124159,8.419519,9.035556,341,354,638,8.52641133333333,0,0,9.52641133333333
"DQX1","Dqx1",0.294118,0.202147,0.218531,13,6,19,0.238265333333333,0.06325,0.06325,1.16460412258014
"DR1","Dr1",11.817912,11.253542,9.004715,464,425,653,10.6920563333333,31.48779,31.48779,0.359890787687723
"DRAM1","Dram1",0.547198,1.113891,0.914353,13,10,26,0.858480666666667,10.81641,10.81641,0.157279636257261
"DRAM2","Dram2",13.755645,16.38484,10.670601,238,218,379,13.6036953333333,75.67695,75.67695,0.190457436469934
"DRAP1","Drap1",82.538734,100.318281,99.039462,600,712,1354,93.9654923333333,23.84672,23.84672,3.8220534675536
"DRAXIN","Draxin",0.233063,0.193764,0.106283,17,14,15,0.177703333333333,0.06325,0.06325,1.1076447997492
"DRD1","Drd1",34.002898,41.479506,33.71698,813,995,1631,36.3997946666667,0,0,37.3997946666667
"DRD2","Drd2",15.597788,18.996456,17.856086,537,640,1171,17.4834433333333,0,0,18.4834433333333
"DRD3","Drd3",0.439439,0.620158,0.667177,9,11,23,0.575591333333333,0,0,1.57559133333333
"DRD4","Drd4",0.028574,0.136516,0.055168,1,2,4,0.0734193333333333,0,0,1.07341933333333
"DRD5","Drd5",0.632571,0.699483,0.774083,26,29,63,0.702045666666667,0,0,1.70204566666667
"DRG1","Drg1",92.719707,111.126624,98.027751,578,679,1188,100.624694,100.42187,100.42187,1.00199980536742
"DRG2","Drg2",24.704018,24.917077,21.419847,388,436,722,23.680314,8.41277,8.41277,2.62200329977254
"DROSHA","Drosha",23.86397,21.815445,20.939318,1203,1202,2189,22.2062443333333,76.99263,76.99263,0.297544067091126
"DRP2","Drp2",9.705125,11.246805,11.186536,900,1037,1987,10.712822,0.03795,0.03795,11.2845724745893
"DSC1","Dsc1",0.019175,0.026303,0.030231,1,1,3,0.0252363333333333,3.87114,3.87114,0.210471539174266
"DSC2","Dsc2",0.207455,0.185565,0.138996,10,7,13,0.177338666666667,20.97499,20.97499,0.0535763004518622
"DSC3","Dsc3",0.092818,0.054296,0.006979,7,4,1,0.0513643333333333,0,0,1.05136433333333
"DSCAM","Dscam",9.940441,10.979277,8.033646,787,807,1252,9.65112133333333,0,0,10.6511213333333
"DSCAML1","Dscaml1",9.592389,8.67637,11.396691,561,518,1038,9.88848333333333,0.22771,0.22771,8.86893756125904
"DSE","Dse",1.520135,3.203577,1.695048,62,61,116,2.13958666666667,9.09591,9.09591,0.310976094940096
"DSEL","Dsel",4.71905,5.283182,4.651425,315,300,559,4.88455233333333,1.35363,1.35363,2.50020280729483
"DSG1","Dsg1c",0.330754,0.327961,0.523777,19,18,57,0.394164,0.31627,0.31627,1.05917782825712
"DSG2","Dsg2",0.650145,0.542855,0.466042,45,34,59,0.553014,33.66372,33.66372,0.0448022889637927
"DSG3","Dsg3",0.011218,0.02126,0,1,1,0,0.010826,0.0253,0.0253,0.98588315614942
"DSG4","Dsg4",0,0,0,0,0,0,0,0,0,1
"DSN1","Dsn1",2.085431,1.584466,2.41734,28,34,83,2.029079,8.41277,8.41277,0.321805270924499
"DSP","Dsp",0.036242,0.00919,0.015094,4,1,4,0.0201753333333333,173.97349,173.97349,0.00583045656421058
"DSPP","Dspp",0.016014,0.032745,0.050445,1,2,6,0.033068,0,0,1.033068
"DST","Dst",55.847057,53.814287,42.493571,6226,5954,11647,50.718305,432.21381,432.21381,0.119382863164034
"DSTN","Dstn",62.413719,66.364527,58.869441,1530,1609,2787,62.549229,863.52942,863.52942,0.0735073064372986
"DSTYK","Dstyk",12.517073,10.1023,12.52107,873,775,1584,11.713481,6.46455,6.46455,1.70318116966194
"DTD1","Dtd1",29.562045,30.289017,26.646055,355,372,658,28.8323723333333,21.08885,21.08885,1.35056249344503
"DTL","Dtl",1.668377,1.580249,1.325483,99,91,148,1.524703,0.11386,0.11386,2.26662506957786
"DTNA","Dtna",42.665089,48.400582,47.50577,1933,1859,3552,46.1904803333333,256.84874,256.84874,0.183016137031863
"DTNB","Dtnb",49.027704,51.470103,59.693788,457,546,1058,53.3971983333333,9.98146,9.98146,4.95354882987629
"DTNBP1","Dtnbp1",34.267849,34.947637,33.061817,393,407,747,34.0924343333333,13.58694,13.58694,2.40574337958018
"DTWD1","Dtwd1",3.218482,3.148066,3.299976,50,47,97,3.22217466666667,27.604,27.604,0.147607840395283
"DTWD2","Dtwd2",1.547119,1.553157,1.159605,30,33,65,1.41996033333333,16.81288,16.81288,0.135854523992377
"DTX1","Dtx1",28.105474,31.155761,23.742134,537,656,1161,27.6677896666667,0.56928,0.56928,18.2681163760875
"DTX2","Dtx2",1.564827,4.25501,1.670403,59,67,114,2.49674666666667,1.53074,1.53074,1.38170917070369
"DTX3","Dtx3",179.540353,140.633707,172.043572,1475,1421,2812,164.072544,32.72756,32.72756,4.89429250144392
"DTX3L","Dtx3l",0.874803,1.028651,1.0072,63,61,137,0.970218,10.20918,10.20918,0.175768254234476
"DTX4","Dtx4",6.341584,6.1699,6.194959,456,440,866,6.235481,2.30244,2.30244,2.19095002483013
"DTYMK","Dtymk",14.929927,13.517088,14.278686,154,141,281,14.2419003333333,4.79464,4.79464,2.63034465183917
"DUOXA1","Duoxa1",0,0.054392,0.070769,0,1,1,0.0417203333333333,0.12651,0.12651,0.924732433208168
"DUOXA2","Duoxa2",0,0.050921,0,0,1,0,0.0169736666666667,0,0,1.01697366666667
"DUS1L","Dus1l",10.737269,11.37271,12.425513,226,170,404,11.5118306666667,15.69961,15.69961,0.749228914128334
"DUS3L","Dus3l",14.725333,13.241791,13.770277,419,395,797,13.912467,1.16387,1.16387,6.8915725066663
"DUS4L","Dus4l",3.714255,2.957018,3.730479,55,44,76,3.46725066666667,16.76228,16.76228,0.251502096953019
"DUSP1","Dusp1",11.591434,12.759138,10.231531,238,262,409,11.5273676666667,32.55045,32.55045,0.37338896100251
"DUSP10","Dusp10",2.117785,1.268772,1.261789,58,47,91,1.54944866666667,3.84584,3.84584,0.526110780930998
"DUSP11","Dusp11",30.516498,23.871506,31.184407,887,671,1718,28.524137,18.97617,18.97617,1.47796784869172
"DUSP12","Dusp12",31.250756,23.55122,24.676571,122,129,236,26.492849,18.87496,18.87496,1.38329078398145
"DUSP13","Dusp13",0.599138,0.386546,0.274002,4,3,6,0.419895333333333,8.72904,8.72904,0.145944032847366
"DUSP14","Dusp14",39.151795,35.392286,34.704306,652,555,1079,36.416129,12.2586,12.2586,2.82202713710346
"DUSP15","Dusp15",6.088715,3.619681,6.057584,147,101,287,5.25532666666667,2.35304,2.35304,1.86556875750563
"DUSP18","Dusp18",5.138114,4.873329,5.083085,317,312,634,5.03150933333333,1.89762,1.89762,2.08153910220572
"DUSP19","Dusp19",8.0919,9.816926,10.74969,164,166,292,9.55283866666667,7.03383,7.03383,1.31355015810226
"DUSP2","Dusp2",0.237902,0.34355,0.283478,4,6,10,0.28831,0.16446,0.16446,1.10635831200728
"DUSP21","Dusp21",0,0,0,0,0,0,0,0,0,1
"DUSP22","Dusp22",6.221405,12.598333,7.87397,233,286,480,8.89790266666667,39.69814,39.69814,0.243202826140621
"DUSP23","Dusp23",1.480585,1.896509,1.679523,25,32,55,1.685539,10.24713,10.24713,0.238775492058863
"DUSP26","Dusp26",34.743194,50.0883,42.786203,557,644,1135,42.5392323333333,27.97087,27.97087,1.5028624384885
"DUSP28","Dusp28",8.061875,10.277203,9.555886,112,151,283,9.29832133333333,21.80994,21.80994,0.45148392908238
"DUSP3","Dusp3",65.727515,61.416049,65.923794,2489,2287,4208,64.355786,323.48038,323.48038,0.201416757463117
"DUSP4","Dusp4",3.317174,2.31899,2.541538,115,83,180,2.72590066666667,0.73375,0.73375,2.14904148041336
"DUSP6","Dusp6",27.695725,23.043691,21.353734,708,584,1080,24.03105,11.39835,11.39835,2.01890170869511
"DUSP7","Dusp7",23.485671,53.14207,62.748859,645,627,1222,46.4588666666667,7.3501,7.3501,5.68362853937877
"DUSP8","Dusp8",26.207128,29.274899,25.588039,1410,1596,2901,27.0233553333333,1.01206,1.01206,13.9276936738136
"DVL1","Dvl1",25.305882,23.461096,24.182329,786,744,1575,24.3164356666667,1.36628,1.36628,10.6988334713841
"DVL2","Dvl2",6.065963,5.113983,7.618402,148,137,346,6.266116,3.76993,3.76993,1.52331711366833
"DVL3","Dvl3",8.617233,10.046423,10.247436,432,479,961,9.63703066666667,34.54927,34.54927,0.299219383876706
"DYDC1","Dydc1",0,0,0.122588,0,0,2,0.0408626666666667,0,0,1.04086266666667
"DYM","Dym",14.24368,16.20807,13.969701,450,511,847,14.8071503333333,35.54868,35.54868,0.432495792825714
"DYNC1H1","Dync1h1",160.155746,164.103686,147.138193,7603,7927,14605,157.132541666667,182.1965,182.1965,0.863185386547596
"DYNC1I1","Dync1i1",30.046432,36.137111,29.501069,1001,1198,1948,31.8948706666667,48.76875,48.76875,0.660954327096153
"DYNC1I2","Dync1i2",55.14094,56.347655,58.109654,1500,1490,2935,56.5327496666667,117.1715,117.1715,0.486858080558059
"DYNC1LI1","Dync1li1",23.827804,25.950481,23.029834,815,880,1526,24.269373,84.70961,84.70961,0.294825434394113
"DYNC1LI2","Dync1li2",548.207195,502.262169,480.595918,3223,2839,5674,510.355094,68.2636,68.2636,7.382739187683
"DYNC2H1","Dync2h1",3.532071,4.439301,3.051794,616,567,1039,3.67438866666667,9.14651,9.14651,0.460689307620716
"DYNC2LI1","Dync2li1",9.157058,10.941445,9.977688,142,172,292,10.025397,26.76905,26.76905,0.397039041666892
"DYNLL1","Dynll1",310.680796,320.941751,302.346749,1702,1700,3152,311.323098666667,236.74665,236.74665,1.31368033436714
"DYNLL2","Dynll2",269.644502,296.274064,270.987819,7497,7235,12916,278.968795,288.66544,288.66544,0.966524674120599
"DYNLRB1","Dynlrb1",103.8722,115.101458,106.318709,590,688,1249,108.430789,174.9223,174.9223,0.622040463318181
"DYNLRB2","Dynlrb2",1.982089,2.587662,1.445315,8,10,11,2.005022,0.51868,0.51868,1.97870650828351
"DYNLT3","Dynlt3",107.108478,96.660352,83.454667,1324,1462,2468,95.7411656666667,41.78552,41.78552,2.2610725700346
"DYRK1A","Dyrk1a",12.242052,13.842107,14.587443,876,917,1756,13.5572006666667,44.96086,44.96086,0.316730380298947
"DYRK1B","Dyrk1b",6.15943,7.24312,5.906066,171,212,353,6.43620533333333,2.45425,2.45425,2.15276987286193
"DYRK2","Dyrk2",8.813214,9.347921,12.658391,716,592,1207,10.2731753333333,13.7514,13.7514,0.764210538208803
"DYRK3","Dyrk3",1.88868,3.345047,3.567501,81,78,159,2.93374266666667,18.22977,18.22977,0.204565247876946
"DYRK4","Dyrk4",0.035894,0.118974,0.18297,1,2,5,0.112612666666667,55.47366,55.47366,0.0197014442957419
"DYSF","Dysf",1.840709,1.983035,0.877549,55,41,94,1.56709766666667,25.47867,25.47867,0.096949645381232
"DYTN","Dytn",0.030697,0.086568,0.03167,1,4,4,0.049645,0,0,1.049645
"DZANK1","Dzank1",118.218744,108.481473,74.983175,3260,3558,6313,100.561130666667,1.42954,1.42954,41.8026172306966
"DZIP1","Dzip1",22.716017,16.997157,25.695744,767,634,1543,21.8029726666667,8.08385,8.08385,2.51027622282035
"DZIP1L","Dzip1l",7.516328,5.020945,6.780854,247,203,511,6.43937566666667,2.35304,2.35304,2.21869577060419
"DZIP3","Dzip3",31.993056,22.252653,26.8448,1360,1085,2129,27.0301696666667,23.93527,23.93527,1.12411735131269
"E2F1","E2f1",3.070158,3.543464,3.596334,105,123,244,3.40331866666667,0.27832,0.27832,3.44461376389845
"E2F2","E2f2",0.376884,0.111055,0.302626,6,7,14,0.263521666666667,0.01265,0.01265,1.24773778370283
"E2F3","E2f3",6.309979,6.024664,5.470587,401,380,674,5.93507666666667,6.71756,6.71756,0.898610009726736
"E2F4","E2f4",11.62452,8.429866,11.651701,247,174,431,10.5686956666667,15.20623,15.20623,0.71384249555058
"E2F5","E2f5",3.91835,4.788696,3.901924,82,100,161,4.20299,7.61577,7.61577,0.603891468783405
"E2F6","E2f6",13.234896,9.986045,12.548153,370,305,659,11.9230313333333,26.60459,26.60459,0.468147917912685
"E2F7","E2f7",0.531071,0.282215,0.276906,5,8,17,0.363397333333333,0.24036,0.24036,1.09919485740699
"E2F8","E2f8",0.082385,0.127394,0.306155,4,6,11,0.171978,3.58017,3.58017,0.255880895250613
"E4F1","E4f1",9.962847,7.846523,11.182498,190,149,371,9.663956,0.45543,0.45543,7.32701400960541
"EAF1","Eaf1",4.588465,5.233299,4.788283,234,266,433,4.87001566666667,6.36334,6.36334,0.797194706025617
"EAF2","Eaf2",1.392183,0.415197,0.560841,22,10,17,0.789407,7.08444,7.08444,0.221339635150981
"EAPP","Eapp",16.818441,21.86582,15.956053,419,446,757,18.213438,42.15239,42.15239,0.445246207683978
"EARS2","Ears2",1.839562,2.1183,1.818316,82,74,152,1.92539266666667,30.27331,30.27331,0.0935427898954945
"EBAG9","Ebag9",14.702634,16.959791,14.298519,246,248,395,15.3203146666667,55.27125,55.27125,0.290029360760009
"EBF1","Ebf1",6.959726,3.879421,1.597702,71,71,131,4.14561633333333,11.39835,11.39835,0.415024284145337
"EBF2","Ebf2",0.158147,0.189984,0.172854,10,10,24,0.173661666666667,17.58458,17.58458,0.0631524450198319
"EBF3","Ebf3",0.360663,0.224081,0.212193,23,14,27,0.265645666666667,12.03089,12.03089,0.0971265712984045
"EBF4","Ebf4",1.917914,2.085752,2.078434,63,72,141,2.02736666666667,1.40424,1.40424,1.2591782295722
"EBI3","Ebi3",0.461401,0.604411,0.423724,6,8,11,0.496512,0.08856,0.08856,1.37476298963769
"EBNA1BP2","Ebna1bp2",20.648809,18.342955,19.671982,375,348,710,19.554582,61.49543,61.49543,0.328897360975035
"EBP","Ebp",16.176832,15.76013,12.62173,128,139,202,14.8528973333333,41.78552,41.78552,0.37052015105422
"EBPL","Ebpl",1.398559,2.021468,1.674628,100,126,224,1.69821833333333,12.49897,12.49897,0.199883275044936
"ECD","Ecd",18.588076,12.015759,14.543332,378,410,712,15.0490556666667,27.16122,27.16122,0.56989916156568
"ECE1","Ece1",18.579495,9.900851,55.145498,610,599,1107,27.8752813333333,54.4363,54.4363,0.520873170347468
"ECE2","Ece2",10.826507,11.803797,12.948413,260,253,555,11.8595723333333,0.59459,0.59459,8.06450080166898
"ECEL1","Ecel1",31.540763,13.853012,17.747388,191,180,325,21.0470543333333,0,0,22.0470543333333
"ECH1","Ech1",44.836226,46.470206,45.250413,251,306,493,45.5189483333333,194.36655,194.36655,0.238111121547334
"ECHDC1","Echdc1",13.432993,14.508858,13.19551,416,343,649,13.7124536666667,71.78051,71.78051,0.202148262861399
"ECHDC2","Echdc2",8.932122,7.207063,7.900651,63,66,143,8.01327866666667,226.08204,226.08204,0.0396917284461011
"ECHDC3","Echdc3",0.376416,0.128079,0.358231,9,3,13,0.287575333333333,36.99087,36.99087,0.0338917043314179
"ECHS1","Echs1",28.380111,25.718085,29.263747,393,404,743,27.7873143333333,156.1359,156.1359,0.183200111071584
"ECI1","Eci1",17.146439,23.730026,14.338156,91,130,167,18.4048736666667,15.68696,15.68696,1.16287650157169
"ECI2","Eci2",31.607665,36.157921,34.289155,308,307,598,34.018247,379.29561,379.29561,0.0920816493253761
"ECM1","Ecm1",5.338082,9.967577,5.762748,46,67,123,7.02280233333333,15.06708,15.06708,0.499331697690765
"ECM2","Ecm2",1.170087,1.314024,1.245936,64,69,138,1.243349,19.78582,19.78582,0.107926894392427
"ECSCR","Ecscr",2.542255,3.081265,3.687123,24,29,54,3.10354766666667,60.10384,60.10384,0.067156952274467
"ECSIT","Ecsit",13.004015,13.011963,13.210765,265,266,524,13.075581,28.03412,28.03412,0.484794476292032
"ECT2","Ect2",0.851319,0.251263,0.35137,11,8,30,0.484650666666667,4.40247,4.40247,0.274809608691333
"EDA","Eda",1.311143,0.907067,1.366184,47,63,119,1.194798,3.40306,3.40306,0.498471063305974
"EDA2R","Eda2r",0.138208,0.083909,0.066386,8,3,4,0.0961676666666667,2.66931,2.66931,0.298739454193477
"EDAR","Edar",0.17701,0.060422,0.093175,9,3,9,0.110202333333333,0.03795,0.03795,1.06961061065883
"EDARADD","Edaradd",0.041963,0.010687,0.010975,4,1,2,0.0212083333333333,1.48014,1.48014,0.411754309568546
"EDC3","Edc3",3.965174,4.085746,4.288797,261,277,544,4.113239,16.33215,16.33215,0.295014698118814
"EDC4","Edc4",9.826941,11.553635,12.322777,563,524,1094,11.234451,14.83936,14.83936,0.772408165481434
"EDEM1","Edem1",9.481131,11.970389,10.778228,255,262,498,10.7432493333333,6.95793,6.95793,1.47566632696359
"EDEM2","Edem2",7.718077,7.00129,8.677281,153,166,373,7.79888266666667,7.79288,7.79288,1.00068267355709
"EDEM3","Edem3",8.931624,8.605321,8.119198,749,710,1289,8.55204766666667,16.87614,16.87614,0.534346210460797
"EDF1","Edf1",113.402162,160.882764,136.429787,448,577,1071,136.904904333333,68.57986,68.57986,1.98196582076097
"EDIL3","Edil3",24.536144,24.953366,21.213177,1737,1661,2740,23.5675623333333,4.63018,4.63018,4.36354829389706
"EDN1","Edn1",0.743371,0.837661,0.80465,21,23,43,0.795227333333333,10.55075,10.55075,0.155420845688231
"EDN2","Edn2",0,0,0,0,0,0,0,0,0,1
"EDN3","Edn3",2.107189,2.32308,2.075583,76,88,154,2.16861733333333,0,0,3.16861733333333
"EDNRA","Ednra",0.598234,0.922405,0.966986,30,45,92,0.829208333333333,21.58223,21.58223,0.0810021124279282
"EDNRB","Ednrb",12.784769,12.638997,11.445702,700,683,1170,12.2898226666667,42.39276,42.39276,0.306268203881631
"EEA1","Eea1",7.507703,7.341863,6.738138,820,783,1391,7.19590133333333,9.7917,9.7917,0.759463414784819
"EED","Eed",16.022293,16.05585,15.648045,125,115,228,15.9087293333333,18.84966,18.84966,0.851839746037632
"EEF1A1","Eef1a1",1777.826504,1906.238261,1775.039316,17857,19295,34670,1819.70136033333,1930.63515,1930.63515,0.942570008799712
"EEF1A2","Eef1a2",286.741214,285.53202,257.110507,7048,7238,12998,276.461247,110.97262,110.97262,2.47793832992387
"EEF1D","Eef1d",51.815249,60.519192,61.682331,454,446,990,58.0055906666667,219.27593,219.27593,0.267871258864583
"EEF1E1","Eef1e1",7.959886,9.386227,8.040725,165,153,248,8.46227933333333,49.23683,49.23683,0.188353431801595
"EEF1G","Eef1g",180.099789,195.645181,184.892562,2080,2147,3924,186.879177333333,697.37411,697.37411,0.269023686077557
"EEF2","Eef2",271.411654,260.408191,249.919377,10551,10267,18658,260.579740666667,211.35654,211.35654,1.23179507759293
"EEF2K","Eef2k",19.08086,12.971687,17.249639,387,417,848,16.434062,17.78699,17.78699,0.92798590939794
"EEFSEC","Eefsec",5.155783,5.366847,5.000725,114,141,216,5.17445166666667,8.64048,8.64048,0.640471394232099
"EEPD1","Eepd1",4.873973,5.910166,4.630853,178,213,326,5.13833066666667,4.54163,4.54163,1.10767602071352
"EFCAB1","Efcab1",2.478879,2.823785,2.90693,71,78,138,2.73653133333333,0,0,3.73653133333333
"EFCAB10","Efcab10",1.282356,1.955395,0.753794,8,12,9,1.330515,7.52721,7.52721,0.273303343062971
"EFCAB11","Efcab11",0.268814,0.148139,0.229016,4,2,10,0.215323,2.60606,2.60606,0.337022401180235
"EFCAB2","Efcab2",6.188785,3.660177,4.418698,172,174,316,4.75588666666667,39.72344,39.72344,0.141340875590733
"EFCAB3","Efcab3",0.503213,0.459882,0.278176,7,3,6,0.413757,0,0,1.413757
"EFCAB5","Efcab5",4.164377,0.896901,1.097992,41,27,87,2.05309,0.48073,0.48073,2.06188163946162
"EFCAB6","Efcab6",3.202565,2.600601,4.813748,78,73,177,3.53897133333333,1.03736,1.03736,2.22786907239434
"EFCAB7","Efcab7",4.242948,1.017532,6.616166,13,14,35,3.958882,11.49956,11.49956,0.39672452470327
"EFCAB8","Efcab8",0,0,0,0,0,0,0,0.27832,0.27832,0.782276738218912
"EFCAB9","Efcab9",0.53736,0.461372,0.096427,4,3,1,0.365053,0,0,1.365053
"EFEMP1","Efemp1",4.714228,9.245601,6.078538,98,139,241,6.67945566666667,45.77051,45.77051,0.164194396568835
"EFEMP2","Efemp2",16.256599,13.206657,9.976643,70,76,145,13.146633,18.52074,18.52074,0.724697578063127
"EFHB","Efhb",0.290122,0.260563,0.399126,14,12,39,0.316603666666667,2.56811,2.56811,0.368991893934511
"EFHC1","Efhc1",0.603999,0.796882,0.64936,17,22,21,0.683413666666667,9.37423,9.37423,0.162268782036514
"EFHC2","Efhc2",0.610435,0.806299,0.690669,21,27,45,0.702467666666667,10.614,10.614,0.146587538028816
"EFHD1","Efhd1",9.609588,7.857332,8.641677,200,179,392,8.70286566666667,46.13739,46.13739,0.205842234087773
"EFHD2","Efhd2",69.223495,66.21914,61.118462,2105,2010,3640,65.5203656666667,3.58017,3.58017,14.5235582230936
"EFNA1","Efna1",1.126083,1.551072,1.50901,20,28,53,1.39538833333333,25.27625,25.27625,0.0911617271617271
"EFNA2","Efna2",1.724527,1.840891,1.488767,42,46,74,1.68472833333333,0,0,2.68472833333333
"EFNA3","Efna3",17.632465,19.785252,18.853428,413,446,782,18.7570483333333,0.15181,0.15181,17.1530446283096
"EFNA4","Efna4",0.150573,0.152163,0.078059,3,3,3,0.126931666666667,0.8223,0.8223,0.618411714134153
"EFNA5","Efna5",5.257534,5.124521,6.353186,245,257,460,5.57841366666667,10.50015,10.50015,0.572028509773061
"EFNB1","Efnb1",4.995723,4.393589,3.389541,123,132,231,4.25961766666667,4.16211,4.16211,1.01888911058979
"EFNB2","Efnb2",13.4168,15.777543,15.526947,628,746,1355,14.9070966666667,12.14475,12.14475,1.21014828480319
"EFNB3","Efnb3",24.149767,25.635618,23.029517,991,1075,1913,24.271634,0.80965,0.80965,13.9649291299423
"EFR3A","Efr3a",50.800712,48.948408,39.211556,1662,1510,2569,46.3202253333333,45.73256,45.73256,1.01257507256896
"EFR3B","Efr3b",29.251372,32.835676,34.145726,2250,2483,4496,32.0775913333333,2.15063,2.15063,10.4987229009225
"EFS","Efs",1.571331,1.918882,3.326621,55,68,154,2.272278,1.16387,1.16387,1.51223409909098
"EFTUD2","Eftud2",75.435573,104.702621,78.617753,890,988,1767,86.2519823333333,63.39305,63.39305,1.35499067575357
