"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"CMC2","Cmc2",13.949923,10.571139,7.754484,111,95,158,10.7585153333333,80.55799,80.55799,0.14417367732252
"CMIP","Cmip",43.695333,46.352296,42.252791,1364,1445,2609,44.10014,43.69743,43.69743,1.00900969026631
"CMKLR1","Cmklr1",2.649266,1.781185,2.067722,26,28,62,2.16605766666667,4.66245,4.66245,0.559132118900241
"CMPK1","Cmpk1",34.605777,36.056891,37.357532,786,911,1378,36.0067333333333,91.27327,91.27327,0.401055834840722
"CMPK2","Cmpk2",20.434812,25.371946,20.3466,283,284,514,22.0511193333333,8.86493,8.86493,2.33667338068626
"CMTM2","Cmtm2b",0,0,0,0,0,0,0,0.19862,0.19862,0.834292770018855
"CMTM3","Cmtm3",4.012615,4.244045,4.300309,65,65,130,4.18565633333333,30.54638,30.54638,0.164381977689146
"CMTM4","Cmtm4",16.611816,17.312179,16.954616,1819,1867,3572,16.959537,7.63137,7.63137,2.08072843592616
"CMTM5","Cmtm5",27.836123,35.148423,29.091669,246,266,453,30.6920716666667,48.4017,48.4017,0.64151783575599
"CMTM6","Cmtm6",5.749296,6.782599,7.638012,268,262,565,6.72330233333333,14.69823,14.69823,0.491985550812629
"CMTM7","Cmtm7",1.469212,1.407731,1.532458,15,14,32,1.46980033333333,22.02643,22.02643,0.10725936818401
"CMTM8","Cmtm8",0.884566,0.930598,0.872131,11,11,21,0.895765,3.62751,3.62751,0.409672804596857
"CMYA5","Cmya5",0.788761,0.740201,0.676682,135,125,223,0.735214666666667,4.08749,4.08749,0.341074806371446
"CNBP","Cnbp",92.233677,102.651576,98.896648,1813,1977,3687,97.9273003333333,314.20333,314.20333,0.313852332503382
"CNDP1","Cndp1",0.158054,0.242904,0.632553,4,4,11,0.344503666666667,9.01129,9.01129,0.134298743385385
"CNDP2","Cndp2",47.365824,51.719729,30.509495,354,420,826,43.1983493333333,129.86918,129.86918,0.337729244833148
"CNEP1R1","Cnep1r1",14.655406,16.290333,14.644492,310,301,555,15.1967436666667,7.55819,7.55819,1.89254312730457
"CNFN","Cnfn",0,0,0,0,0,0,0,13.75737,13.75737,0.0677627517640338
"CNGA1","Cnga1",0.039998,0.078613,0,1,2,0,0.039537,1.16039,1.16039,0.481180249862293
"CNGA2","Cnga2",0.071628,0.073074,0.294668,3,3,8,0.146456666666667,0,0,1.14645666666667
"CNGA3","Cnga3",0.060764,0.165655,0.129806,3,8,12,0.118741666666667,0.03136,0.03136,1.0847247000724
"CNGA4","Cnga4",0.208705,0.488619,0.365787,7,16,22,0.354370333333333,0.32407,0.32407,1.02288423824521
"CNGB3","Cngb3",0,0,0,0,0,0,0,0.01045,0.01045,0.989658073135732
"CNIH2","Cnih2",64.817507,80.67077,73.931411,928,1195,2172,73.139896,6.13646,6.13646,10.3888897296419
"CNIH3","Cnih3",23.811797,31.021789,22.498591,558,695,1132,25.7773923333333,6.241,6.241,3.69802407586429
"CNIH4","Cnih4",15.162159,14.050115,11.537024,348,359,609,13.5830993333333,49.25892,49.25892,0.29015942509973
"CNKSR2","Cnksr2",38.978681,44.291655,40.680284,2702,3018,5485,41.3168733333333,6.11555,6.11555,5.94709802240633
"CNKSR3","Cnksr3",1.215447,1.363207,1.427207,55,62,128,1.335287,3.64842,3.64842,0.502382960231649
"CNN1","Cnn1",0.722108,1.033291,2.315437,7,8,22,1.35694533333333,6.30372,6.30372,0.322704776926461
"CNN2","Cnn2",1.204603,2.318015,2.892159,39,53,129,2.138259,22.99865,22.99865,0.130768147374957
"CNN3","Cnn3",149.69562,133.517777,150.000535,597,576,1176,144.404644,170.15862,170.15862,0.84953152812286
"CNNM1","Cnnm1",41.363479,34.324496,31.126916,1137,1229,2151,35.6049636666667,3.81568,3.81568,7.60120349912508
"CNNM2","Cnnm2",9.233534,8.233848,8.324797,357,365,635,8.597393,5.04925,5.04925,1.58654262925156
"CNNM3","Cnnm3",7.464414,8.233125,9.615575,227,300,549,8.43770466666667,4.98652,4.98652,1.57649263122259
"CNNM4","Cnnm4",2.33021,2.486199,2.185796,147,155,266,2.33406833333333,2.77029,2.77029,0.884300235083596
"CNOT1","Cnot1",36.00421,41.888185,41.85364,1347,1444,2626,39.915345,35.98243,35.98243,1.10634549974136
"CNOT10","Cnot10",13.021489,15.611002,17.598378,474,460,1106,15.4102896666667,17.33262,17.33262,0.895141538234397
"CNOT2","Cnot2",47.021794,32.020668,36.042127,615,571,1059,38.3615296666667,14.14417,14.14417,2.59912095985892
"CNOT3","Cnot3",21.520265,18.755538,17.368718,328,306,626,19.2148403333333,20.75105,20.75105,0.929373080073529
"CNOT4","Cnot4",7.849373,9.413414,8.716031,361,311,598,8.659606,6.95186,6.95186,1.21476057174045
"CNOT6","Cnot6",13.827728,12.549705,14.959218,855,768,1544,13.7788836666667,3.15709,3.15709,3.55510312903177
"CNOT6L","Cnot6l",9.531705,18.609227,38.797836,844,730,1416,22.3129226666667,2.17442,2.17442,7.34399438847622
"CNOT7","Cnot7",185.449334,143.651286,136.866589,1213,1159,1948,155.322403,36.78738,36.78738,4.13689446053153
"CNOT8","Cnot8",63.196525,89.013482,84.761819,452,456,864,78.9906086666667,28.71695,28.71695,2.69175028617226
"CNP","Cnp",140.848887,160.643253,127.184391,3063,3207,5330,142.892177,180.69619,180.69619,0.791938328481186
"CNPPD1","Cnppd1",17.334656,13.553936,15.360836,270,248,517,15.416476,58.20748,58.20748,0.277270304360192
"CNPY1","Cnpy1",0,0.024838,0.012763,0,1,1,0.0125336666666667,0.17772,0.17772,0.859740572179013
"CNPY2","Cnpy2",22.398402,27.783271,23.348587,171,202,331,24.5100866666667,167.13744,167.13744,0.151721631224233
"CNPY3","Cnpy3",21.510817,21.963418,21.063435,454,478,818,21.5125566666667,61.0405,61.0405,0.362868717477562
"CNPY4","Cnpy4",3.943293,3.29351,3.955586,78,66,140,3.73079633333333,15.92134,15.92134,0.279575750699019
"CNR1","Cnr1",29.458795,31.87138,28.562864,2346,2484,4362,29.9643463333333,1.68308,1.68308,11.5405974974035
"CNR2","Cnr2",0.133162,0.12959,0.09024,7,7,9,0.117664,0.01045,0.01045,1.10610520065317
"CNRIP1","Cnrip1",22.565054,27.543703,23.36128,467,559,938,24.4900123333333,49.30074,49.30074,0.506752233333612
"CNST","Cnst",10.474685,13.426833,10.871281,661,676,1258,11.590933,53.68093,53.68093,0.230261866431313
"CNTD1","Cntd1",0.084865,0.073603,0.619171,3,2,27,0.259213,0.98267,0.98267,0.63510972577383
"CNTF","Cntf",1.061501,0.166698,0.683172,13,2,16,0.637123666666667,11.86521,11.86521,0.127251997182064
"CNTFR","Cntfr",21.377334,26.421703,25.208364,517,564,1003,24.3358003333333,35.54336,35.54336,0.693307904181042
"CNTLN","Cntln",2.468937,2.606359,2.605117,172,175,324,2.56013766666667,2.08033,2.08033,1.15576502084733
"CNTN1","Cntn1",57.958511,67.026032,56.803163,4463,4960,8190,60.595902,33.93346,33.93346,1.76323507605602
"CNTN2","Cntn2",22.03479,21.294307,17.954391,1688,1723,2865,20.4278293333333,56.44077,56.44077,0.373042167320064
"CNTN3","Cntn3",4.707577,4.659254,3.979846,344,327,546,4.44889233333333,1.9967,1.9967,1.8182975717734
"CNTN4","Cntn4",14.648587,20.969038,13.787162,603,723,1121,16.4682623333333,8.43632,8.43632,1.85117316213665
"CNTN5","Cntn5",2.595369,3.02658,2.766378,80,105,168,2.796109,1.00358,1.00358,1.89466305313489
"CNTN6","Cntn6",4.449975,4.850859,4.360759,222,234,365,4.55386433333333,4.94471,4.94471,0.934253198782335
"CNTNAP1","Cntnap1",33.300228,37.463602,32.678531,2572,2847,4776,34.480787,19.83111,19.83111,1.70325954785895
"CNTNAP2","Cntnap2",45.471386,41.981282,45.373012,1523,1806,3032,44.2752266666667,12.44018,12.44018,3.36864734450481
"CNTNAP4","Cntnap4",7.918281,5.010727,3.812278,315,321,491,5.58042866666667,2.74938,2.74938,1.75507114954117
"CNTNAP5","Cntnap5a",4.004915,4.812208,4.025742,643,751,1224,4.280955,2.54031,2.54031,1.49166457174654
"CNTRL","Cntrl",4.218489,3.201604,4.061845,164,129,312,3.82731266666667,3.52297,3.52297,1.06728823464818
"CNTROB","Cntrob",11.160907,12.582841,12.439326,160,152,316,12.0610246666667,16.26632,16.26632,0.756445187316502
"COA3","Coa3",126.962443,115.211698,97.226837,350,407,655,113.133659333333,158.23069,158.23069,0.71678179208627
"COA5","Coa5",20.697169,21.77281,20.020396,1100,1141,2041,20.830125,31.48724,31.48724,0.671959975670448
"COASY","Coasy",7.446069,8.479277,8.482592,151,183,322,8.13597933333333,68.18053,68.18053,0.13205997891796
"COBL","Cobl",19.791181,17.837966,18.703334,1267,1250,2446,18.7774936666667,19.65339,19.65339,0.957590674783494
"COBLL1","Cobll1",4.237063,3.957917,2.971271,146,156,235,3.72208366666667,2.63439,2.63439,1.29927819157181
"COCH","Coch",13.451999,15.701951,12.44528,413,477,715,13.86641,1.26493,1.26493,6.56373927671054
"COG1","Cog1",14.115702,20.783312,16.163943,384,356,683,17.0209856666667,22.02643,22.02643,0.782621781434059
"COG2","Cog2",7.874916,6.138877,7.435241,251,213,408,7.149678,9.68034,9.68034,0.763054172432713
"COG3","Cog3",6.912707,6.54336,7.091814,374,381,753,6.84929366666667,8.15407,8.15407,0.857464894485913
"COG4","Cog4",24.749127,22.410834,16.758361,437,415,828,21.3061073333333,53.64957,53.64957,0.408166200270804
"COG5","Cog5",19.36369,12.180238,14.482025,523,538,984,15.3419843333333,15.23138,15.23138,1.00681422857042
"COG6","Cog6",10.139951,16.406155,12.983491,424,523,933,13.1765323333333,7.02504,7.02504,1.76653727998033
"COG7","Cog7",9.423585,11.873487,10.58359,373,450,800,10.6268873333333,14.37415,14.37415,0.756262123976502
"COG8","Cog8",10.714371,10.06385,8.531075,270,276,578,9.76976533333333,14.76095,14.76095,0.683319554553078
"COIL","Coil",6.170266,5.50536,5.992356,206,165,348,5.88932733333333,7.1923,7.1923,0.840951543929462
"COL10A1","Col10a1",0.117344,0.07163,0.012245,5,3,1,0.067073,0.04182,0.04182,1.02423931197328
"COL11A1","Col11a1",2.959556,3.39099,4.264342,147,179,388,3.538296,8.39451,8.39451,0.483079585843221
"COL11A2","Col11a2",8.736042,7.970428,9.433275,221,233,492,8.71324833333333,0.81541,0.81541,5.35044333419632
"COL12A1","Col12a1",3.303189,2.278251,2.810111,184,212,450,2.79718366666667,16.83083,16.83083,0.21295608037689
"COL13A1","Col13a1",0.444112,0.556649,0.716249,11,14,31,0.572336666666667,0.56451,0.56451,1.00500263128179
"COL14A1","Col14a1",0.346791,0.225803,0.328618,22,13,35,0.300404,7.94499,7.94499,0.145377915458821
"COL15A1","Col15a1",2.827391,4.885325,4.177745,55,64,140,3.963487,3.17799,3.17799,1.18800834851208
"COL16A1","Col16a1",13.897853,13.714136,14.258823,156,135,383,13.9569373333333,64.66801,64.66801,0.227765959914627
"COL17A1","Col17a1",0.17493,0.078598,0.276896,4,6,24,0.176808,3.09436,3.09436,0.287421721587745
"COL18A1","Col18a1",0.714499,1.486552,2.502457,49,57,142,1.567836,81.44657,81.44657,0.0311454557782088
"COL19A1","Col19a1",2.789878,2.751692,3.670122,177,184,450,3.070564,0.18817,0.18817,3.42591043369215
"COL1A1","Col1a1",3.070106,1.201829,4.394658,80,74,188,2.88886433333333,11.1648,11.1648,0.319681731991758
"COL1A2","Col1a2",3.244228,3.014187,4.521945,200,188,515,3.59345333333333,113.88512,113.88512,0.0399830137561186
"COL20A1","Col20a1",2.628647,1.753627,1.592043,48,48,88,1.991439,0.21953,0.21953,2.45294416701516
"COL23A1","Col23a1",3.262925,1.440039,1.279895,112,109,177,1.99428633333333,11.0498,11.0498,0.248492616751592
"COL24A1","Col24a1",0.830931,0.91918,0.630355,76,59,106,0.793488666666667,0.59587,0.59587,1.12383130622586
"COL25A1","Col25a1",11.805965,11.060281,9.694373,927,851,1472,10.8535396666667,0.41816,0.41816,8.35839374024558
"COL27A1","Col27a1",0.89762,0.963792,1.037154,76,66,131,0.966188666666667,5.88556,5.88556,0.285552470193661
"COL28A1","Col28a1",0.084723,0.138967,0.150386,5,6,17,0.124692,34.38298,34.38298,0.0317862429902739
"COL2A1","Col2a1",0.376708,0.675105,0.354061,5,11,16,0.468624666666667,0.1359,0.1359,1.29291721689116
"COL3A1","Col3a1",2.630247,2.338296,2.088125,38,39,107,2.35222266666667,11.0498,11.0498,0.278197369804201
"COL4A1","Col4a1",19.569347,11.988642,17.512807,462,392,924,16.356932,21.82781,21.82781,0.760341530790733
"COL4A2","Col4a2",10.099132,6.51633,7.525082,539,445,1027,8.046848,37.86414,37.86414,0.232781376353626
"COL4A3","Col4a3",0.244612,0.083696,0.146788,4,6,18,0.158365333333333,0.49133,0.49133,0.776733072715853
"COL4A4","Col4a4",0.1095,0.069212,0.067467,16,10,19,0.0820596666666667,0.33453,0.33453,0.81081704170507
"COL5A1","Col5a1",1.167855,2.001774,1.737219,117,152,337,1.635616,5.91692,5.91692,0.381038959536904
"COL5A2","Col5a2",1.887067,1.280454,0.743636,40,48,126,1.303719,6.17827,6.17827,0.32092955544999
"COL6A1","Col6a1",11.736725,11.014374,15.679095,667,621,1724,12.8100646666667,100.61908,100.61908,0.135900311896808
"COL6A2","Col6a2",2.584636,3.199642,3.250157,141,175,353,3.01147833333333,81.30022,81.30022,0.0487420122732762
"COL6A4P2","Col6a4",1.277193,1.204657,0.757104,62,46,111,1.07965133333333,0.39725,0.39725,1.48838885906841
"COL6A5","Col6a5",0.127389,0.259685,0.399566,9,22,26,0.262213333333333,0,0,1.26221333333333
"COL6A6","Col6a6",0.146088,0.062499,0.061674,16,6,15,0.090087,1.589,1.589,0.421045577443028
"COL7A1","Col7a1",1.577577,1.353796,1.145921,46,25,68,1.359098,7.63137,7.63137,0.27331675041158
"COL8A1","Col8a1",0.289558,0.477662,0.354908,21,34,49,0.374042666666667,15.96315,15.96315,0.081001622143686
"COL8A2","Col8a2",0.556004,0.753836,0.421375,31,44,49,0.577071666666667,3.97249,3.97249,0.317159344044265
"COL9A1","Col9a1",0.34048,0.105776,0.124513,10,3,11,0.190256333333333,2.6553,2.6553,0.325624800517969
"COL9A2","Col9a2",2.494603,2.572918,3.139477,46,54,124,2.735666,4.7879,4.7879,0.645426838749806
"COLEC10","Colec10",0,0.031837,0,0,2,0,0.0106123333333333,0.35543,0.35543,0.745602748451291
"COLEC11","Colec11",0.389997,0.428794,0.181302,6,5,7,0.333364333333333,1.32765,1.32765,0.572837124710903
"COLEC12","Colec12",3.39049,4.392812,3.567925,197,223,398,3.78374233333333,2.62394,2.62394,1.32003905509841
"COLQ","Colq",0.392059,0.343198,0.241491,15,13,18,0.325582666666667,1.98625,1.98625,0.443895409515836
"COMMD1","Commd1",29.695395,36.019725,28.379964,126,154,228,31.365028,106.21193,106.21193,0.301878979326275
"COMMD10","Commd10",12.153763,18.696158,15.009771,167,216,344,15.286564,17.49988,17.49988,0.880360521257435
"COMMD2","Commd2",7.245121,7.476173,6.877418,93,102,188,7.19957066666667,9.64898,9.64898,0.769986483838515
"COMMD3","Commd3",57.858864,56.428031,59.094448,350,347,664,57.793781,86.06721,86.06721,0.675268921560712
"COMMD4","Commd4",153.150713,102.049631,89.410858,299,246,525,114.870400666667,106.21193,106.21193,1.08076032832043
"COMMD5","Commd5",7.048297,8.68972,7.88175,82,100,176,7.87325566666667,40.12218,40.12218,0.215777851919978
"COMMD6","Commd6",25.564367,26.967571,25.657493,207,219,390,26.0631436666667,236.0602,236.0602,0.114161481626467
"COMMD7","Commd7",7.112033,7.326861,7.736547,209,197,399,7.39181366666667,44.35603,44.35603,0.185020903872466
"COMMD8","Commd8",49.92911,62.055658,50.522169,428,397,751,54.168979,19.99837,19.99837,2.62729816647673
"COMMD9","Commd9",20.380295,19.106278,19.181872,137,143,287,19.5561483333333,58.96017,58.96017,0.342830054239895
"COMP","Comp",0.096521,0.095245,0.048514,3,3,3,0.0800933333333333,0.08363,0.08363,0.996736278372999
"COMT","Comt",30.335344,31.941337,30.434309,603,650,1220,30.9036633333333,171.84171,171.84171,0.184583127147569
"COMTD1","Comtd1",6.611979,7.986409,7.414771,30,45,93,7.33771966666667,64.1035,64.1035,0.12806868550334
"COPA","Copa",43.142828,43.826375,47.421619,2390,2260,4144,44.7969406666667,46.49908,46.49908,0.964164793647933
"COPB1","Copb1",17.012635,22.372777,17.951244,667,760,1312,19.1122186666667,44.18876,44.18876,0.445071266984681
"COPB2","Copb2",29.657743,28.941452,27.556258,993,1050,1747,28.7184843333333,40.15355,40.15355,0.72213659169946
"COPE","Cope",67.105262,82.533759,65.004004,549,509,1017,71.547675,421.63837,421.63837,0.171654256096057
"COPG1","Copg1",127.741828,147.956122,127.788185,2958,3220,5552,134.495378333333,148.04856,148.04856,0.909068684282044
"COPG2","Copg2",20.512819,24.420914,26.572188,898,1076,1806,23.835307,43.02838,43.02838,0.564074967100765
"COPS2","Cops2",46.405367,47.420978,42.223472,1059,1111,1915,45.349939,55.56264,55.56264,0.819444407121025
"COPS3","Cops3",37.984792,39.265133,40.609766,492,547,986,39.2865636666667,104.72747,104.72747,0.381041593699979
"COPS4","Cops4",29.982723,33.873043,31.064182,511,582,964,31.6399826666667,101.5913,101.5913,0.318155464124801
"COPS5","Cops5",42.857937,51.125074,45.165709,505,603,1023,46.3829066666667,133.99848,133.99848,0.350988445697068
"COPS6","Cops6",46.971815,54.330202,49.924646,606,697,1255,50.4088876666667,208.58727,208.58727,0.245286308021793
"COPS7A","Cops7a",62.757403,78.992834,75.096697,786,939,1604,72.2823113333333,163.84445,163.84445,0.444554313677733
"COPS7B","Cops7b",18.272678,26.399794,26.993423,174,162,339,23.8886316666667,27.47293,27.47293,0.874115578082995
"COPS8","Cops8",76.557177,108.842302,95.352249,665,727,1298,93.5839093333333,137.70962,137.70962,0.681884279787756
"COPZ1","Copz1",29.238324,32.929417,29.601655,637,697,1212,30.5897986666667,99.44824,99.44824,0.314488324202262
"COPZ2","Copz2",7.167296,2.680621,3.956776,40,22,59,4.60156433333333,39.17088,39.17088,0.139443406102464
"COQ10B","Coq10b",12.651266,18.852226,14.62883,279,326,593,15.3774406666667,26.33345,26.33345,0.59917210109469
"COQ2","Coq2",29.018133,26.237067,26.011285,496,496,950,27.0888283333333,9.70125,9.70125,2.6248175057431
"COQ3","Coq3",3.955529,5.866104,3.755838,142,166,256,4.52582366666667,23.51089,23.51089,0.225443615742499
"COQ4","Coq4",57.114906,14.8832,35.647114,106,148,229,35.88174,39.37996,39.37996,0.913367422850345
"COQ5","Coq5",16.045613,14.438883,14.467684,299,272,500,14.98406,27.33703,27.33703,0.564069699612133
"COQ6","Coq6",15.452374,26.391331,15.475695,126,132,209,19.1064666666667,22.27733,22.27733,0.863778907059644
"COQ7","Coq7",11.337581,14.55001,12.503784,121,151,245,12.797125,14.30098,14.30098,0.901715118900881
"COQ9","Coq9",91.57362,109.167039,81.98755,376,447,803,94.2427363333333,43.13292,43.13292,2.15808825550934
"CORIN","Corin",0.150607,0.62555,0.127199,10,4,16,0.301118666666667,0.32407,0.32407,0.982666072538964
"CORO1A","Coro1a",84.838101,80.521203,73.873663,619,658,1146,79.7443223333333,153.92367,153.92367,0.5211877715867
"CORO1B","Coro1b",63.621461,84.481481,77.067825,501,569,1017,75.0569223333333,85.64905,85.64905,0.877758294330213
"CORO1C","Coro1c",223.200852,269.290417,201.467242,821,869,1532,231.319503666667,30.37912,30.37912,7.40363348834087
"CORO2A","Coro2a",10.464655,9.590595,10.9677,313,330,589,10.3409833333333,18.24211,18.24211,0.589383562059116
"CORO2B","Coro2b",72.695906,81.138685,72.702908,1692,1769,3103,75.5124996666667,58.71973,58.71973,1.28119299378391
"CORO6","Coro6",11.368358,9.29168,10.539722,224,248,549,10.39992,72.9998,72.9998,0.154053389333485
"CORT","Cort",2.792958,3.125707,4.608234,16,19,56,3.50896633333333,0.68996,0.68996,2.66809056624614
"COTL1","Cotl1",300.582934,268.412307,248.393898,436,397,770,272.463046333333,171.12039,171.12039,1.58878937198163
"COX10","Cox10",4.67124,5.886839,5.578929,186,230,424,5.37900266666667,7.48501,7.48501,0.751796717583912
"COX11","Cox11",9.38209,7.706201,9.810032,102,101,227,8.96610766666667,41.78436,41.78436,0.232938103238348
"COX14","Cox14",12.988117,19.709733,13.10625,221,306,496,15.2680333333333,158.1157,158.1157,0.102240277567414
"COX15","Cox15",11.514043,10.743935,7.762573,251,263,442,10.0068503333333,15.2941,15.2941,0.675511401877571
"COX16","Cox16",20.058389,28.174982,26.58177,113,132,221,24.9383803333333,77.37999,77.37999,0.330931151347855
"COX17","Cox17",226.864499,296.017819,173.004717,274,259,534,231.962345,128.64607,128.64607,1.79691019558094
"COX18","Cox18",7.653549,8.751621,8.290138,77,75,158,8.23176933333333,4.77745,4.77745,1.59789688068842
"COX19","Cox19",30.56166,24.168929,26.94915,208,212,426,27.2265796666667,8.63495,8.63495,2.92960312888667
"COX20","Cox20",30.679714,30.467617,26.890416,102,99,170,29.3459156666667,7.0355,7.0355,3.7764813224649
"COX4I1","Cox4i1",644.686089,715.12501,652.385239,2818,2986,5559,670.732112666667,1882.27198,1882.27198,0.356683537906546
"COX4I2","Cox4i2",1.404851,1.860098,1.545801,10,13,21,1.60358333333333,4.91335,4.91335,0.440289063446834
"COX5A","Cox5a",140.834443,165.01355,151.484306,828,952,1708,152.444099666667,603.53676,603.53676,0.253820958160868
"COX5B","Cox5b",405.491957,590.226917,589.904369,714,1041,1982,528.541081,727.76082,727.76082,0.72663220423952
"COX6A1","Cox6a1",214.72997,328.992119,298.711893,938,1500,2713,280.811327333333,1304.16963,1304.16963,0.215919311065592
"COX6A2","Cox6a2",3.640651,5.254349,4.903485,23,33,60,4.599495,0.51224,0.51224,3.70278196582553
"COX6B1","Cox6b1",796.057894,900.701169,832.627116,1072,1189,2102,843.128726333333,814.14164,814.14164,1.03556079693504
"COX6B2","Cox6b2",2.507325,1.606616,3.792262,7,5,21,2.635401,0.18817,0.18817,3.05966402114176
"COX6C","Cox6c",265.29697,288.452612,287.247258,1014,1093,2054,280.33228,1011.33413,1011.33413,0.277904568919355
"COX7A1","Cox7a1",2.79663,5.232964,3.896158,8,12,17,3.97525066666667,86.87216,86.87216,0.0566191916377914
"COX7A2","Cox7a2",358.808756,341.254934,317.290979,929,932,1660,339.118223,609.60004,609.60004,0.557022929444944
"COX7A2L","Cox7a2l",97.837864,122.855391,107.451168,913,1167,1967,109.381474333333,106.29556,106.29556,1.02876087634319
"COX7B","Cox7b",330.046444,382.270404,402.922401,763,858,1502,371.746416333333,297.02752,297.02752,1.25071139850888
"COX7C","Cox7c",164.819078,208.111188,211.041683,181,230,462,194.657316333333,1264.94648,1264.94648,0.154554176992801
"COX8A","Cox8a",269.265685,446.602565,458.687164,1149,1962,3959,391.518471333333,1192.59483,1192.59483,0.328854031089707
"COX8C","Cox8c",0,0,0,0,0,0,0,0.11499,0.11499,0.896869030215518
"CP","Cp",9.663935,9.846556,12.34341,206,195,481,10.617967,5.72875,5.72875,1.72661593906743
"CPA1","Cpa1",0,0,0,0,0,0,0,0.12545,0.12545,0.888533475498689
"CPA2","Cpa2",3.943059,1.473491,1.551483,15,9,24,2.32267766666667,0.07318,0.07318,3.09610472303497
"CPA3","Cpa3",0,0,0.029449,0,0,1,0.00981633333333333,3.42889,3.42889,0.228006641242689
"CPA4","Cpa4",0.188282,0.082465,0.05641,7,3,4,0.109052333333333,0.04182,0.04182,1.06453354066281
"CPA5","Cpa5",0,0,0,0,0,0,0,0,0,1
"CPA6","Cpa6",0.831799,0.735976,0.493196,35,28,46,0.686990333333333,0.15681,0.15681,1.45831237051316
"CPB2","Cpb2",0,0,0.11764,0,0,2,0.0392133333333333,0.01045,0.01045,1.02846586504363
"CPD","Cpd",19.711561,16.118647,23.372423,1377,1439,2488,19.7342103333333,5.57194,5.57194,3.15496038206882
"CPE","Cpe",1315.641462,1342.970826,1295.630445,18515,19218,35110,1318.080911,207.62551,207.62551,6.32272108525942
"CPEB1","Cpeb1",41.994179,40.414241,40.732624,583,539,1229,41.0470146666667,43.46744,43.46744,0.94556859281008
"CPEB2","Cpeb2",13.407544,15.874384,14.158338,1021,930,1700,14.4800886666667,7.54774,7.54774,1.81101538730315
"CPEB3","Cpeb3",13.784776,14.209437,16.373885,865,844,1580,14.789366,3.07346,3.07346,3.87615589695247
"CPEB4","Cpeb4",23.669854,25.768509,22.892742,1559,1637,2841,24.1103683333333,3.17799,3.17799,6.01015520222244
"CPLX1","Cplx1",219.015382,216.251263,185.562393,5016,5492,8899,206.943012666667,284.35736,284.35736,0.728710879111955
"CPLX2","Cplx2",168.02064,203.01442,176.504022,11657,13878,23508,182.513027333333,178.27087,178.27087,1.02366339457902
"CPLX3","Cplx3",9.148969,13.123063,8.174367,117,161,216,10.1487996666667,0.17772,0.17772,9.46642637185975
"CPLX4","Cplx4",0,0,0.022608,0,0,1,0.007536,0,0,1.007536
"CPM","Cpm",2.867097,1.70755,2.74455,159,123,304,2.43973233333333,6.98323,6.98323,0.430869752385104
"CPN1","Cpn1",0.254314,0.069635,0.1007,6,2,5,0.141549666666667,0,0,1.14154966666667
"CPN2","Cpn2",0,0,0.02454,0,0,3,0.00818,0.33453,0.33453,0.755456977362817
"CPNE1","Cpne1",10.938664,14.738327,14.565557,260,235,550,13.4141826666667,139.90495,139.90495,0.102297205787779
"CPNE2","Cpne2",17.028477,14.466621,14.522867,180,164,362,15.3393216666667,55.31175,55.31175,0.290158300295527
"CPNE3","Cpne3",3.145047,2.858184,2.548425,245,218,360,2.850552,39.2336,39.2336,0.095704883480474
"CPNE4","Cpne4",16.481959,25.783707,18.64353,663,795,1063,20.3030653333333,88.62842,88.62842,0.2376820358245
"CPNE5","Cpne5",46.457065,52.559773,50.173745,1112,1263,2318,49.7301943333333,23.77224,23.77224,2.04786463934361
"CPNE6","Cpne6",30.358744,31.45461,30.72081,869,856,1720,30.8447213333333,417.09091,417.09091,0.0761669784529239
"CPNE7","Cpne7",11.795162,8.504941,10.576841,328,221,657,10.2923146666667,8.58268,8.58268,1.1784088236972
"CPNE8","Cpne8",17.771806,15.862021,17.007093,260,242,506,16.8803066666667,5.00743,5.00743,2.97636537865055
"CPNE9","Cpne9",28.217892,26.360261,26.252121,402,428,919,26.9434246666667,45.00417,45.00417,0.607410690523634
"CPOX","Cpox",18.844961,19.861225,18.676211,379,423,740,19.1274656666667,5.87511,5.87511,2.92758452834452
"CPPED1","Cpped1",10.505538,12.824155,11.055248,374,447,733,11.461647,27.5252,27.5252,0.436864491747648
"CPQ","Cpq",4.353286,6.296393,6.1595,100,131,268,5.60305966666667,66.81107,66.81107,0.097374361836005
"CPS1","Cps1",0.037817,0.025829,0.026499,3,2,4,0.0300483333333333,0.45997,0.45997,0.705527054208876
"CPSF1","Cpsf1",120.999602,57.785685,73.578835,546,445,939,84.121374,82.74286,82.74286,1.01646127204158
"CPSF2","Cpsf2",8.076265,7.798021,7.094523,659,622,1102,7.65626966666667,7.38047,7.38047,1.03290980895662
"CPSF3","Cpsf3",102.194424,126.358389,105.673317,437,479,816,111.40871,16.7472,16.7472,6.33388421835557
"CPSF4","Cpsf4",6.751501,6.107546,6.723697,158,140,308,6.52758133333333,30.08641,30.08641,0.242150230063019
"CPSF6","Cpsf6",25.70584,23.559294,24.250504,1533,1343,2609,24.5052126666667,17.17581,17.17581,1.4032504007616
"CPSF7","Cpsf7",25.868231,18.504557,24.051164,904,760,1625,22.807984,20.06109,20.06109,1.13042506347012
