"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ABLIM1","Ablim1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,67.88682,57.25614,45.24804,56.797,0.346401923975293
"ABLIM2","Ablim2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,193.90317,178.5662,144.28686,172.252076666667,0.676906928080497
"ABLIM3","Ablim3",4.605573,5.509846,4.850015,275,323,550,4.988478,18.85193,25.06338,17.26024,20.39185,0.27994203399893
"ABO","Abo",0,0,0.022897,0,0,1,0.00763233333333333,0.89456,2.68043,0.69915,1.42471333333333,0.415567613491079
"ABR","Abr",96.445357,104.64287,101.505422,5290,5229,9515,100.864549666667,299.60981,317.03652,304.52305,307.05646,0.330668441968939
"ABRA","Abra",0.100114,0.078888,0.108371,4,3,8,0.095791,0.14909,0.05527,0,0.06812,1.02590626521365
"ABRACL","Abracl",42.881988,44.811658,33.402148,62,65,139,40.3652646666667,18.95132,11.68887,21.1711,17.27043,2.26405534334259
"ABT1","Abt1",1.892098,1.920518,1.687743,119,118,202,1.833453,8.41545,8.04128,6.16125,7.53932666666667,0.331812227193557
"ABTB1","Abtb1",24.692361,19.56887,20.702411,227,242,499,21.6545473333333,115.24856,79.80489,91.19524,95.41623,0.234966118601955
"ABTB2","Abtb2",2.212097,2.390987,1.905456,108,133,227,2.16951333333333,6.80856,6.24512,9.94102,7.6649,0.365787641326886
"ACAA1","Acaa1b",0.234331,0.74511,0.407108,5,7,11,0.462183,99.64354,88.26067,80.7517,89.55197,0.0161474454945596
"ACAA2","Acaa2",13.854658,15.004313,13.890623,169,170,337,14.2498646666667,63.01646,61.15243,33.38436,52.51775,0.284949660003768
"ACACA","Acaca",11.431742,15.537958,14.799623,1122,1249,2211,13.9231076666667,36.95839,37.99575,40.70358,38.5525733333333,0.377298021569941
