"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ABHD4",39.666519,10.931269,10.1797,20.2591626666667,306,154,175,"Abhd4",50.359455,48.462447,50.512159,4010,834,1505,49.7780203333333,0.418668599663998
"ABHD5",7.984091,8.165592,14.175874,10.108519,242,266,255,"Abhd5",30.875776,28.899154,33.675929,1450,328,540,31.1502863333333,0.345518509067918
"ABHD6",8.283415,13.65003,12.504431,11.479292,185,149,202,"Abhd6",12.397356,10.977638,11.245281,974,215,348,11.5400916666667,0.995151577174808
"ABHD8",6.351783,4.187949,6.20397,5.581234,187,106,136,"Abhd8",37.222072,31.595592,35.732559,2814,569,1151,34.8500743333333,0.183576578916066
"ABI1",15.274284,15.178726,16.016221,15.4897436666667,630,503,508,"Abi1",73.499723,76.395454,73.837698,3519,880,1307,74.577625,0.218182877097113
"ABI2",55.693149,35.541915,32.008028,41.0810306666667,3195,2224,2142,"Abi2",33.5103,22.271769,32.250394,3171,695,1283,29.3441543333333,1.38679200627583
"ABI3",0.080843,0.106816,0.123214,0.103624333333333,1,1,1,"Abi3",0.648225,0.232863,1.080233,18,6,10,0.653773666666667,0.66733698545206
"ABI3BP",15.784185,1.403237,1.486131,6.22451766666667,97,18,19,"Abi3bp",1.766439,2.649653,2.136867,308,112,149,2.18431966666667,2.26877902438396
"ABITRAM",15.771021,15.579426,12.779188,14.7098783333333,218,171,188,"Abitram",3.739558,3.621243,4.375773,439,119,176,3.91219133333333,3.1981405583143
"ABL1",25.90656,19.930765,26.375471,24.070932,2130,1113,1157,"Abl1",8.536541,8.902709,11.083969,1262,319,543,9.50773966666667,2.3859490999317
"ABL2",6.897981,5.749299,4.319143,5.65547433333333,1188,807,647,"Abl2",5.264426,4.654585,6.798877,2047,472,841,5.57262933333333,1.01260454466523
"ABLIM1",40.278722,80.432426,57.957359,59.556169,4547,5302,4617,"Ablim1",44.867705,42.117908,43.063424,9236,2061,3536,43.349679,1.36542519281819
"ABLIM2",8.029056,12.377298,11.75464,10.7203313333333,245,279,223,"Ablim2",27.7936,29.426839,21.693994,1532,345,560,26.304811,0.429240522241056
"ABLIM3",55.789335,56.612711,66.861423,59.7544896666667,2333,2247,2011,"Ablim3",13.169178,12.081958,12.860354,2375,528,912,12.70383,4.43339487330671
"ABO",0.183863,0.173732,0.075984,0.144526333333333,22,16,6,"Abo",0.10168,0,0.037192,7,0,1,0.0462906666666667,1.09388946092736
"ABR",197.043613,257.031715,274.908047,242.994458333333,1875,1447,1461,"Abr",59.447352,52.550682,58.358209,10128,2156,3916,56.7854143333333,4.22242292710508
"ABRA",0.063103,0.063272,0,0.042125,3,2,0,"Abra",0.017227,0,0.044071,2,0,2,0.0204326666666667,1.0212579761918
