"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ABHD4",39.666519,10.931269,10.1797,20.2591626666667,306,154,175,"Abhd4",41.709837,46.489543,44.554436,1708,2683,643,44.251272,0.469802543156503
"ABHD5",7.984091,8.165592,14.175874,10.108519,242,266,255,"Abhd5",23.061725,28.261032,19.459388,517,895,157,23.5940483333333,0.451675090226775
"ABHD6",8.283415,13.65003,12.504431,11.479292,185,149,202,"Abhd6",17.219782,14.994396,17.500717,721,938,243,16.5716316666667,0.710195401129036
"ABHD8",6.351783,4.187949,6.20397,5.581234,187,106,136,"Abhd8",50.936956,38.078002,64.276007,2090,2352,803,51.0969883333333,0.126326573004396
"ABI1",15.274284,15.178726,16.016221,15.4897436666667,630,503,508,"Abi1",61.0719,45.96582,56.390212,1232,1550,346,54.4759773333333,0.297241156610658
"ABI2",55.693149,35.541915,32.008028,41.0810306666667,3195,2224,2142,"Abi2",30.069824,20.950699,16.188413,1747,2281,476,22.4029786666667,1.79810575679426
"ABI3",0.080843,0.106816,0.123214,0.103624333333333,1,1,1,"Abi3",2.297924,3.572839,4.360517,45,62,12,3.41042666666667,0.250230741092321
"ABI3BP",15.784185,1.403237,1.486131,6.22451766666667,97,18,19,"Abi3bp",0.700963,0.658903,0.637616,65,89,18,0.665827333333333,4.33689466015085
"ABITRAM",15.771021,15.579426,12.779188,14.7098783333333,218,171,188,"Abitram",4.721721,3.482861,4.223285,316,411,72,4.14262233333333,3.05483804079981
"ABL1",25.90656,19.930765,26.375471,24.070932,2130,1113,1157,"Abl1",17.252337,18.901642,11.215876,1307,2217,446,15.7899516666667,1.49321049266471
"ABL2",6.897981,5.749299,4.319143,5.65547433333333,1188,807,647,"Abl2",6.505006,5.893185,4.067408,1208,1501,243,5.488533,1.02572867138586
"ABLIM1",40.278722,80.432426,57.957359,59.556169,4547,5302,4617,"Ablim1",19.932181,14.238708,13.501742,2058,2420,544,15.890877,3.58514060578382
"ABLIM2",8.029056,12.377298,11.75464,10.7203313333333,245,279,223,"Ablim2",77.501144,78.624032,83.529767,2000,2948,656,79.884981,0.144901206483974
"ABLIM3",55.789335,56.612711,66.861423,59.7544896666667,2333,2247,2011,"Ablim3",3.978462,2.558477,2.756626,379,366,82,3.097855,14.8259247012563
"ABO",0.183863,0.173732,0.075984,0.144526333333333,22,16,6,"Abo",0,0.018597,0.087707,0,1,1,0.0354346666666667,1.10535832938437
"ABR",197.043613,257.031715,274.908047,242.994458333333,1875,1447,1461,"Abr",74.646676,57.404363,59.13765,5473,6170,1543,63.729563,3.76944392986761
"ABRA",0.063103,0.063272,0,0.042125,3,2,0,"Abra",0.018005,0.01128,0,1,1,0,0.00976166666666667,1.03205046735451
"ABRACL",11.912176,11.774747,14.945013,12.877312,113,90,104,"Abracl",36.891442,26.41917,26.414674,73,83,21,29.9084286666667,0.448981478471795
"ABRAXAS1",7.491499,5.007126,3.562498,5.35370766666667,275,121,99,"Abraxas1",4.084361,3.180293,2.25232,103,114,24,3.17232466666667,1.52282196959105
"ABRAXAS2",7.8423,8.782454,8.707067,8.44394033333333,412,353,319,"Abraxas2",11.466733,11.511173,8.682248,552,673,163,10.5533846666667,0.817417631785479
"ABT1",4.02236,4.495368,5.868998,4.79557533333333,215,183,215,"Abt1",1.876958,1.547864,2.244052,184,227,69,1.88962466666667,2.00564986871421
"ABTB1",8.227788,5.243431,7.957303,7.14284066666667,219,121,132,"Abtb1",20.185235,16.277574,21.128845,464,615,144,19.197218,0.403166449293495
"ABTB2",3.451672,3.840048,4.832426,4.041382,318,267,292,"Abtb2",4.27992,4.990935,4.435689,419,704,139,4.568848,0.905282744294691
"ACAA1",37.51069,45.687812,49.761725,44.3200756666667,672,620,569,"Acaa1a",43.817628,41.570631,39.136331,1187,1805,406,41.5081966666667,1.0661491011263
"ACAA1",37.51069,45.687812,49.761725,44.3200756666667,672,620,569,"Acaa1b",0.773102,0.218939,0.620438,15,11,7,0.537493,29.4766061807544
"ACAA2",24.508458,12.44024,15.340642,17.42978,617,249,284,"Acaa2",20.963765,13.131852,15.757114,326,408,95,16.617577,1.0461018561179
"ACACA",52.07295,52.263549,60.592741,54.9764133333333,2805,2326,1935,"Acaca",22.195442,21.317759,10.804532,2827,4307,669,18.105911,2.92979556605981
"ACACB",5.82404,4.214339,4.586609,4.874996,290,101,72,"Acacb",2.966425,2.245241,1.899891,253,405,100,2.370519,1.7430538145609
"ACAD10",24.09517,13.699953,18.003391,18.5995046666667,465,241,262,"Acad12",3.266996,2.897114,5.625146,122,192,60,3.929752,3.97575875351674
"ACAD10",24.09517,13.699953,18.003391,18.5995046666667,465,241,262,"Acad10",1.395235,2.376533,2.320622,85,127,26,2.03079666666667,6.46678310103284
"ACAD11",21.296656,12.759557,10.656436,14.9042163333333,568,268,245,"Acad11",11.338964,9.925988,11.505482,562,777,163,10.923478,1.33385714582048
"ACAD8",29.394922,40.292933,40.865493,36.851116,722,686,705,"Acad8",14.2754,12.586996,10.959902,352,475,104,12.6074326666667,2.78165006781343
"ACAD9",20.618117,20.88167,21.133159,20.8776486666667,574,471,475,"Acad9",41.203767,34.89229,35.359212,975,1301,247,37.1517563333333,0.573437523439834
"ACADL",0.63777,0.16945,0.095375,0.300865,23,5,4,"Acadl",25.651733,24.871783,24.52402,840,1274,288,25.0158453333333,0.0500027957320779
"ACADM",31.38729,31.831206,37.816546,33.6783473333333,662,516,582,"Acadm",58.745312,36.227401,29.691039,514,691,140,41.554584,0.814914495071397
"ACADS",3.919399,3.709052,4.464577,4.03100933333333,114,83,88,"Acads",6.529714,5.634912,4.78439,176,254,53,5.649672,0.756580073924448
"ACADSB",7.753468,4.374615,3.829584,5.31922233333333,527,304,282,"Acadsb",140.109473,139.144093,71.864677,1218,1759,269,117.039414333333,0.0535348499399394
"ACADVL",417.243124,362.292121,441.590667,407.041970666667,2854,1977,2042,"Acadvl",29.417193,26.697487,39.322243,974,1271,339,31.8123076666667,12.4356377128936
"ACAN",0.61022,0.60714,1.230414,0.815924666666667,58,65,66,"Acan",4.519357,3.856825,3.878308,545,722,134,4.08483,0.357125934724792
"ACAP1",11.702953,8.178989,5.156753,8.34623166666667,76,54,37,"Acap1",0.160375,0.198819,0.333643,9,13,3,0.230945666666667,7.59272478043304
"ACAP2",18.902318,8.651381,7.061189,11.538296,805,452,432,"Acap2",24.012689,28.211964,19.001302,1829,3174,501,23.741985,0.506761927145296
