"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ABCD4",63.780985,46.864754,55.905635,55.5171246666667,1013,556,577,"Abcd4",4.797787,5.916789,4.686713,66,317,152,5.133763,9.21410309897312
"ABCE1",47.892143,47.474433,56.270122,50.545566,1284,1130,1197,"Abce1",21.471621,21.878849,23.233798,536,2036,1236,22.194756,2.22229395299524
"ABCF1",48.558347,63.90383,48.560484,53.6742203333333,990,770,800,"Abcf1",62.771934,40.780579,54.400409,408,1580,966,52.650974,1.01907227878721
"ABCF2",15.544121,48.430262,33.217097,32.39716,485,502,554,"Abcf2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,0.980881781388147
"ABCF3",38.478334,54.941591,52.139742,48.519889,684,676,609,"Abcf3",165.753745,270.992357,262.995844,349,1659,960,233.247315333333,0.211400027912949
"ABCG1",9.640229,12.006134,8.714856,10.1204063333333,505,488,311,"Abcg1",29.852875,28.362905,37.823919,513,2100,1285,32.013233,0.336846934480284
"ABCG2",0.524925,0.589011,0.449804,0.521246666666667,43,28,26,"Abcg3",0,0.134471,0.142193,0,10,6,0.0922213333333333,1.39280072659266
"ABCG4",9.828186,11.963485,13.918554,11.9034083333333,504,512,438,"Abcg4",20.105773,22.160102,21.120955,279,1363,786,21.1289433333333,0.583100970478633
"ABCG5",0.143393,0,0.032884,0.058759,8,0,1,"Abcg5",0,0.0174,0.094988,0,1,2,0.0374626666666667,1.02052732499933
"ABCG8",0.175022,0.165036,0.187492,0.17585,13,11,10,"Abcg8",0,0.017747,0,0,1,0,0.00591566666666667,1.16893497036034
"ABHD1",0.980869,0.239741,0.305691,0.508767,35,9,12,"Abhd1",0.959765,1.019278,1.583523,7,31,26,1.187522,0.689715120579359
"ABHD10",21.945498,27.924148,27.804594,25.8914133333333,652,596,653,"Abhd10",15.744209,13.053989,13.082247,155,575,337,13.9601483333333,1.79753654403382
"ABHD11",9.519305,7.909704,9.968295,9.13243466666667,144,94,107,"Abhd11",10.616167,13.349118,17.343117,58,295,193,13.7694673333333,0.686039275350079
"ABHD12",61.002748,58.3518,58.606077,59.3202083333333,751,570,568,"Abhd12",194.435324,224.464164,226.37899,1076,4396,2480,215.092826,0.279140263237306
"ABHD12B",1.215684,4.568525,10.647778,5.477329,18,72,72,"Abhd12b",0.508261,0.346372,0.237091,5,12,5,0.363908,4.74909524689349
"ABHD13",3.390322,2.495253,3.321503,3.069026,307,176,213,"Abhd13",8.065108,8.209743,8.759599,280,1053,639,8.34481666666667,0.435431335374869
"ABHD14A",15.051411,20.447943,23.789903,19.7630856666667,233,218,216,"Abhd14a",9.111682,11.625296,10.462999,55,273,135,10.3999923333333,1.82132452896094
"ABHD14B",7.978791,5.158438,4.171231,5.76948666666667,200,107,84,"Abhd14b",9.900957,11.07616,10.725091,59,304,184,10.5674026666667,0.585220974988105
"ABHD15",1.666242,0.980568,1.679204,1.44200466666667,104,46,69,"Abhd15",0.570942,0.544336,0.246583,10,30,9,0.453953666666667,1.67956154494607
"ABHD16A",38.772235,39.606803,45.286219,41.2217523333333,679,661,613,"Abhd16a",84.799733,87.707752,104.500541,575,2204,1387,92.3360086666667,0.452362951196263
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0,0.023675,0,0,1,0,0.00789166666666667,0.992170124103946
"ABHD17A",19.891946,16.379027,21.502911,19.2579613333333,759,552,573,"Abhd17a",50.597266,51.472563,50.283643,341,1219,660,50.7844906666667,0.39119746226206
"ABHD17B",8.626714,9.022235,10.593376,9.41410833333333,391,316,341,"Abhd17b",18.422878,19.350962,20.248798,254,954,572,19.3408793333333,0.511979259238186
"ABHD17C",13.219325,17.660275,23.594158,18.1579193333333,422,387,432,"Abhd17c",8.088749,7.811635,8.308212,110,387,234,8.069532,2.11233824780963
"ABHD18",5.486353,3.54464,4.951791,4.660928,236,155,188,"Abhd18",4.632635,4.799454,5.02948,98,410,194,4.820523,0.972580642667334
"ABHD2",36.149134,28.486848,25.146828,29.9276033333333,3943,2908,2699,"Abhd2",11.033863,14.096476,15.211377,518,2535,1550,13.4472386666667,2.14072765369973
"ABHD3",9.642693,6.919606,4.384585,6.98229466666667,104,59,62,"Abhd3",55.682784,53.328998,62.270616,427,1662,1021,57.0941326666667,0.137402768580221
"ABHD4",39.666519,10.931269,10.1797,20.2591626666667,306,154,175,"Abhd4",31.723046,34.102686,39.716449,385,1661,1007,35.180727,0.58758251780476
"ABHD5",7.984091,8.165592,14.175874,10.108519,242,266,255,"Abhd5",21.566522,17.853184,20.208764,143,531,290,19.8761566666667,0.53211513869012
"ABHD6",8.283415,13.65003,12.504431,11.479292,185,149,202,"Abhd6",17.385249,17.188792,18.917148,233,860,531,17.8303963333333,0.662720623564854
"ABHD8",6.351783,4.187949,6.20397,5.581234,187,106,136,"Abhd8",65.067793,67.246917,70.625685,840,3106,1873,67.6467983333333,0.0958709533406499
"ABI1",15.274284,15.178726,16.016221,15.4897436666667,630,503,508,"Abi1",61.894673,67.568242,60.34268,492,1777,1100,63.2685316666667,0.256575702587884
"ABI2",55.693149,35.541915,32.008028,41.0810306666667,3195,2224,2142,"Abi2",21.449798,32.690883,39.515265,634,2558,1589,31.2186486666667,1.30610787255654
"ABI3",0.080843,0.106816,0.123214,0.103624333333333,1,1,1,"Abi3",0.868416,1.488242,0.946114,10,26,22,1.100924,0.525304262949699
"ABI3BP",15.784185,1.403237,1.486131,6.22451766666667,97,18,19,"Abi3bp",2.876543,2.528344,3.212496,93,298,218,2.872461,1.86561405438729
"ABITRAM",15.771021,15.579426,12.779188,14.7098783333333,218,171,188,"Abitram",7.381211,4.320135,5.156999,87,384,238,5.61944833333333,2.37329117809163
"ABL1",25.90656,19.930765,26.375471,24.070932,2130,1113,1157,"Abl1",17.901029,13.698011,17.087719,305,1363,769,16.2289196666667,1.45516564503493
"ABL2",6.897981,5.749299,4.319143,5.65547433333333,1188,807,647,"Abl2",4.995949,5.682749,8.350547,342,1365,865,6.34308166666667,0.906359841202002
"ABLIM1",40.278722,80.432426,57.957359,59.556169,4547,5302,4617,"Ablim1",34.801176,35.93125,43.941288,1345,5168,3521,38.2245713333333,1.54383252490866
"ABLIM2",8.029056,12.377298,11.75464,10.7203313333333,245,279,223,"Ablim2",45.109793,56.693162,60.767226,382,1889,1015,54.1900603333333,0.212363082456255
"ABLIM3",55.789335,56.612711,66.861423,59.7544896666667,2333,2247,2011,"Ablim3",9.713718,10.446052,13.010561,280,1148,806,11.056777,5.03903237711593
"ABO",0.183863,0.173732,0.075984,0.144526333333333,22,16,6,"Abo",0,0.04772,0,0,2,0,0.0159066666666667,1.12660579055819
"ABR",197.043613,257.031715,274.908047,242.994458333333,1875,1447,1461,"Abr",72.847619,78.817078,72.995401,1670,6447,3704,74.8866993333333,3.21524668323739
"ABRA",0.063103,0.063272,0,0.042125,3,2,0,"Abra",0.104979,0.014323,0.024908,2,1,1,0.04807,0.99432766895341
"ABRACL",11.912176,11.774747,14.945013,12.877312,113,90,104,"Abracl",23.553344,24.607412,18.383949,18,67,32,22.1815683333333,0.598635597059474
"ABRAXAS1",7.491499,5.007126,3.562498,5.35370766666667,275,121,99,"Abraxas1",2.527091,2.89354,2.878353,15,97,65,2.766328,1.68697672286287
"ABRAXAS2",7.8423,8.782454,8.707067,8.44394033333333,412,353,319,"Abraxas2",17.910056,12.732544,10.244335,210,637,376,13.6289783333333,0.645563901876492
