"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"ABL2",6.897981,5.749299,4.319143,5.65547433333333,1188,807,647,"Abl2",9.492708,8.919461,10.486961,1187,1052,2148,9.63304333333333,0.625923747763654
"ABLIM1",40.278722,80.432426,57.957359,59.556169,4547,5302,4617,"Ablim1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,3.02463379436943
"ABLIM2",8.029056,12.377298,11.75464,10.7203313333333,245,279,223,"Ablim2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,0.0999384205161547
"ABLIM3",55.789335,56.612711,66.861423,59.7544896666667,2333,2247,2011,"Ablim3",4.605573,5.509846,4.850015,275,323,550,4.988478,10.1452305020853
"ABO",0.183863,0.173732,0.075984,0.144526333333333,22,16,6,"Abo",0,0,0.022897,0,0,1,0.00763233333333333,1.13585709337764
"ABR",197.043613,257.031715,274.908047,242.994458333333,1875,1447,1461,"Abr",96.445357,104.64287,101.505422,5290,5229,9515,100.864549666667,2.39528333587849
"ABRA",0.063103,0.063272,0,0.042125,3,2,0,"Abra",0.100114,0.078888,0.108371,4,3,8,0.095791,0.951025332385464
"ABRACL",11.912176,11.774747,14.945013,12.877312,113,90,104,"Abracl",42.881988,44.811658,33.402148,62,65,139,40.3652646666667,0.335482248495868
"ABRAXAS1",7.491499,5.007126,3.562498,5.35370766666667,275,121,99,"Abraxas1",2.345558,2.82686,3.406936,32,54,91,2.85978466666667,1.64613008635888
"ABRAXAS2",7.8423,8.782454,8.707067,8.44394033333333,412,353,319,"Abraxas2",10.187231,12.253166,12.786353,307,322,580,11.74225,0.741151706592896
"ABT1",4.02236,4.495368,5.868998,4.79557533333333,215,183,215,"Abt1",1.892098,1.920518,1.687743,119,118,202,1.833453,2.04541078794437
"ABTB1",8.227788,5.243431,7.957303,7.14284066666667,219,121,132,"Abtb1",24.692361,19.56887,20.702411,227,242,499,21.6545473333333,0.359435152106769
"ABTB2",3.451672,3.840048,4.832426,4.041382,318,267,292,"Abtb2",2.212097,2.390987,1.905456,108,133,227,2.16951333333333,1.59058551575741
"ACAA1",37.51069,45.687812,49.761725,44.3200756666667,672,620,569,"Acaa1a",33.047095,25.191209,29.881533,519,407,971,29.373279,1.49210349223957
"ACAA1",37.51069,45.687812,49.761725,44.3200756666667,672,620,569,"Acaa1b",0.234331,0.74511,0.407108,5,7,11,0.462183,30.9948041159463
"ACAA2",24.508458,12.44024,15.340642,17.42978,617,249,284,"Acaa2",13.854658,15.004313,13.890623,169,170,337,14.2498646666667,1.20852088873182
"ACACA",52.07295,52.263549,60.592741,54.9764133333333,2805,2326,1935,"Acaca",11.431742,15.537958,14.799623,1122,1249,2211,13.9231076666667,3.75098904220642
"ACACB",5.82404,4.214339,4.586609,4.874996,290,101,72,"Acacb",0.795556,0.745748,1.683203,62,49,116,1.07483566666667,2.83154762296837
"ACAD10",24.09517,13.699953,18.003391,18.5995046666667,465,241,262,"Acad12",2.971927,1.955368,1.43504,47,42,86,2.12077833333333,6.28032579479371
"ACAD10",24.09517,13.699953,18.003391,18.5995046666667,465,241,262,"Acad10",0.694572,0.890984,2.146887,24,33,75,1.24414766666667,8.73360739927542
"ACAD11",21.296656,12.759557,10.656436,14.9042163333333,568,268,245,"Acad11",7.734487,8.54042,7.545363,260,304,488,7.94009,1.77897720641888
"ACAD8",29.394922,40.292933,40.865493,36.851116,722,686,705,"Acad8",11.891332,9.201428,11.699023,187,185,352,10.9305943333333,3.17260942267112
