"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"ACAT2",94.414141,82.903806,86.300184,87.8727103333333,2278,1511,1430,"Acat2",21.860344,25.469903,26.905039,427,936,993,24.7450953333333,3.452024907372
"ACAT2",94.414141,82.903806,86.300184,87.8727103333333,2278,1511,1430,"Acat3",2.836098,2.697745,2.366028,43,78,76,2.63329033333333,24.460668479471
"ACBD3",43.967242,69.083492,58.658097,57.236277,939,748,717,"Acbd3",10.281829,7.11692,5.836016,516,626,510,7.74492166666667,6.65943952614022
"ACBD4",5.340975,3.641431,4.100437,4.36094766666667,153,68,74,"Acbd4",48.447059,53.277535,51.466468,249,586,589,51.0636873333333,0.102969035449673
"ACBD5",15.374346,21.627524,21.759596,19.5871553333333,885,847,801,"Acbd5",31.718534,21.222073,20.502479,1208,1400,1161,24.4810286666667,0.807940511454496
"ACBD6",30.045769,28.430908,40.527744,33.0014736666667,567,434,470,"Acbd6",46.051315,40.289734,37.283973,465,683,684,41.2083406666667,0.805562908411578
"ACBD7",1.327791,0.639002,1.059258,1.00868366666667,81,30,45,"Acbd7",0,0.633204,0.507256,0,5,4,0.380153333333333,1.45540616260029
"ACCS",14.477036,14.943544,19.448083,16.2895543333333,190,194,188,"Accs",1.702548,1.880763,1.530269,43,62,61,1.70452666666667,6.39282080166831
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0.221119,0.229811,0,2,2,0.15031,0.869330876024724
"ACD",13.137008,9.048602,13.611827,11.932479,198,130,153,"Acd",15.910447,14.66128,14.732569,297,491,503,15.101432,0.803188126372859
"ACE",6.841322,8.479831,10.149919,8.49035733333333,209,183,161,"Ace",8.036527,5.639198,4.870534,431,541,552,6.18208633333333,1.32139282276334
"ACE2",0,0.095415,0.225191,0.106868666666667,0,0,1,"Ace2",0.383734,0.590837,0.631366,19,44,39,0.535312333333333,0.720940386288393
"ACER1",0,0,0,0,0,0,0,"Acer1",0.030558,0,0,1,0,0,0.010186,0.989916708408154
"ACER2",2.060095,1.631226,2.154176,1.948499,103,62,73,"Acer2",3.118334,2.54008,2.402802,132,184,153,2.687072,0.799685766917489
