"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg__TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"ABCC8",59.334917,46.332088,44.755074,50.140693,729,907,811,29.752164,6.667184,22.439929,19.619759,265,116,210,2.48017898754297
"ABCC9",2.011239,0.868414,0.975146,1.284933,245,158,167,0.152849,0.551804,0.203548,0.302733666666667,19,57,23,1.75395252188923
"ABCD1",10.618352,6.729346,8.415782,8.58782666666667,351,364,475,7.294446,8.044954,7.763412,7.70093733333333,256,196,196,1.10193032076391
"ABCD1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCD2",1.015291,0.95263,0.78988,0.919267,101,128,108,0.010725,0,0.024448,0.0117243333333333,1,0,2,1.89702563906571
"ABCD3",11.715671,11.503515,12.736033,11.985073,658,873,979,11.69952,13.13055,9.707609,11.5125596666667,544,496,467,1.0377631232874
"ABCD4",58.610022,52.354869,50.095508,53.6867996666667,722,999,947,70.916088,64.134004,67.343217,67.4644363333333,895,680,780,0.798762139812451
"ABCE1",47.293811,49.347163,47.386876,48.0092833333333,1200,1864,1735,31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,1.2056520034317
"ABCF1",49.941811,50.936379,55.648464,52.1755513333333,769,1208,1106,79.412855,49.138765,60.340286,62.9639686666667,982,733,819,0.831336023104591
"ABCF2",19.522918,29.608502,27.332976,25.488132,499,751,734,41.126604,23.175533,34.428163,32.9101,544,392,458,0.781128100477439
"ABCF2.H2BE1",6.205134,7.639992,5.964636,6.603254,207,347,288,6.221399,6.723693,6.848703,6.59793166666667,199,174,194,1.00070049765737
