"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg__TPM","FoldChange"
"POLD2",202.933218,169.415235,150.006812,478,620,639,0,218.982643,203.092676,152.119664,905,786,627,0,1
"POLD3",6.299339,3.847652,3.23932,151,170,139,0,13.848102,6.977181,4.315369,198,136,96,0,1
"POLD4",14.939631,7.441858,11.911713,138,102,162,0,17.660007,15.330861,17.423137,228,171,208,0,1
"POLDIP2",27.495652,28.484381,29.219431,863,1209,1311,0,35.627299,30.167689,28.237675,1540,1339,1113,0,1
"POLDIP3",14.794522,19.523547,14.464688,705,1110,957,0,10.83629,10.461184,6.974292,609,584,471,0,1
"POLE",11.413633,15.766587,13.72425,354,652,565,0,10.533323,7.656385,4.477582,321,233,162,0,1
"POLE2",4.541414,2.775354,0.979927,18,17,21,0,2.869237,2.914333,1.939821,37,25,29,0,1
"POLE3",9.745839,9.335405,7.886463,232,348,364,0,12.70379,10.563917,8.137628,417,438,333,0,1
"POLE4",41.183783,50.357461,57.922509,180,267,330,0,60.401595,53.086196,43.864758,312,280,213,0,1
"POLG",74.50804,97.012623,34.682018,552,672,576,0,46.117056,49.816358,29.865299,556,417,380,0,1
"POLG2",8.344088,7.265285,7.258812,137,110,134,0,11.896424,6.817984,6.582348,182,124,116,0,1
"POLH",7.075761,5.188316,1.950062,174,183,207,0,12.739941,4.951351,2.220875,319,262,193,0,1
"POLI",8.053625,5.991431,5.989467,299,355,366,0,6.551206,7.760178,4.464678,195,190,129,0,1
"POLK",5.897331,5.208518,4.545726,321,381,355,0,4.416425,2.439445,1.810759,226,173,128,0,1
"POLL",15.309347,12.569052,13.08914,222,293,321,0,11.300426,6.374974,5.908386,273,210,188,0,1
"POLM",5.721614,6.144742,6.714763,123,168,138,0,6.337299,5.047159,3.126442,177,172,131,0,1
"POLN",5.805801,6.016903,5.352988,85,124,122,13.7534136666667,2.245826,1.800331,1.0424,52,28,22,0,14.7534136666667
"POLQ",0.567666,0.078248,0.141437,11,2,3,0,1.649639,0.875365,0.837755,147,90,72,0,1
"POLR1A",21.080906,27.952159,22.31086,1060,1744,1165,0,18.328865,9.441924,8.47031,901,628,504,0,1
"POLR1B",9.001238,11.505459,9.419195,386,633,608,0,4.397177,2.849594,1.425054,223,175,103,0,1
"POLR1C",10.245743,13.334158,11.269036,151,257,218,0,9.872385,6.44576,4.325711,148,122,111,0,1
"POLR1D",40.563548,43.898766,49.391671,578,831,810,0,69.92156,85.79674,64.650499,590,548,507,0,1
"POLR1E",7.974634,9.533566,8.007367,219,355,320,0,3.4093,2.34475,1.942508,126,83,68,0,1
"POLR2A",268.397526,267.975293,211.823587,2591,4006,3459,0,102.761979,93.793898,66.469179,1668,1188,927,0,1
