"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg__TPM","FoldChange"
"H3P11",0,0,0,0,0,0,0,0,0,0,0,0,0,0.02101,0.979422336705811
"H3P13",0.127777,0.189163,0.178118,1,2,2,8.13879366666667,0,0.14756,0.240497,0,1,1,7.914062,1.02521091581668
"H3P17",0,0,0,0,0,0,0.565315333333333,0,0,0,0,0,0,14.6042353333333,0.10031349181139
"H3P18",0,0,0,0,0,0,21.7767576666667,0,0,0,0,0,0,19.1537413333333,1.13015034230865
"H3P19",0,0,0,0,0,0,0.0932553333333333,0,0,0,0,0,0,0.428901333333333,0.765102045767564
"H3P2",0,0,0,0,0,0,1.83299466666667,0,0,0,0,0,0,2.582125,0.790869851461539
"H3P22",0,0,0,0,0,0,0.698329333333333,0,0,0,0,0,0,0.430138333333333,1.18752801302438
"H3P23",0,0,0,0,0,0,8.75050066666667,0,0,0,0,0,0,19.5056663333333,0.47550274680987
"H3P24",0,0.274798,0,0,1,0,11.5996826666667,0,0,0.48145,0,0,1,17.3658593333333,0.686038286474226
"H3P25",1.026925,0.376497,0,2,1,0,0.054475,0.446031,0,0.655241,1,0,1,0.526412,0.690819385591832
"H3P27",0,0,0,0,0,0,0.0773616666666667,0,0,0,0,0,0,2.08380233333333,0.349361453884798
"H3P28",0,0,0,0,0,0,33.214667,0,0,0,0,0,0,63.8414,0.527666999787173
"H3P29",0,0,0,0,0,0,7.23688866666667,0,0,0,0,0,0,8.03836833333333,0.911324739476391
"H3P3",0,0,0,0,0,0,1.71574066666667,0,0,0,0,0,0,3.59426633333333,0.591115200910933
"H3P30",0,0,0,0,0,0,5.25070333333333,0,0,0,0,0,0,33.7586696666667,0.179831489331357
"H3P31",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182953333333333,0.98203337211274
"H3P32",0,0,0,0,0,0,22.511043,0,0,0,0,0,0,19.7256976666667,1.13439090824011
"H3P33",0,0.351605,0,0,1,0,4.158659,0.416541,0,0,1,0,0,2.38610433333333,1.52347904617627
"H3P34",0,0,0,0,0,0,1.25594433333333,0,0,0,0,0,0,6.03605,0.320626535248234
"H3P35",0,0,0,0,0,0,0.185872333333333,0,0,0,0,0,0,0.217365,0.974130464842782
"H3P39",0,0,0,0,0,0,2.074175,0,0,0,0,0,0,1.58639866666667,1.18859286451844
"H3P40",0,0,0,0,0,0,3.254087,0,0,0,0,0,0,11.591506,0.337853708682663
"H3P42",0,0,0,0,0,0,0.95541,0,0,0,0,0,0,9.988013,0.17795847165452
"H3P45",0,0,0,0,0,0,6.176115,0.502588,0,0,1,0,0,6.77913133333333,0.922482818775738
"H3P46",0,0,0,0,0,0,23.938525,0,0,0,0,0,0,20.13757,1.17981986576508
"H3P47",0,0.665829,1.237984,0,2,5,11.603537,0,0,2.166975,0,0,4,7.900394,1.41606506408593
"H3P5",0,0,0,0,0,0,11.5910076666667,0,0,0,0,0,0,7.34247533333333,1.5092651957097
"H3P7",0,0,0,0,0,0,17.4321886666667,0.347596,0.456991,0,1,1,0,17.796917,0.980596374749469
"H3P8",0.699051,0,0.481642,1,0,1,4.803269,0.607247,0,0,1,0,0,10.2206543333333,0.517195239029881
"H3P9",0,0,0,0,0,0,24.107668,0,0,0,0,0,0,19.4396903333333,1.22837810116203
"H3Y1",0,0,0,0,0,0,8.74833033333333,0,0,0,0,0,0,12.997535,0.696431931288854
"H4.16",1.727675,2.19709,2.426607,18,30,23,6.08537433333333,4.63301,3.409855,3.62204,51,26,24,3.702275,1.50679709998529
"H4C1",0.373467,0.272049,0,1,1,0,0.0758056666666667,0.322,0.424063,0,1,1,0,0.0239756666666667,1.05061643717445
"H4C11",0,0,0,0,0,0,12.4771856666667,0,0,0,0,0,0,16.540513,0.768346151943599
"H4C12",1.261331,0.607319,1.430497,3,2,5,21.874674,3.245781,3.820481,0.539939,9,8,1,23.103846,0.94900515046437
"H4C13",0,0,0,0,0,0,1.686916,0,0,0,0,0,0,2.60021166666667,0.746321674605243
"H4C14",0.794097,2.606092,2.200772,5,33,27,14.2996406666667,6.766245,6.231278,6.044141,80,59,39,15.5724466666667,0.923197459880195
"H4C15",1.745544,1.059768,0.991678,35,22,29,0.005693,1.621035,3.145244,4.086706,40,53,60,0,1.005693
"H4C2",0,0,0,0,0,0,1.75354866666667,0,0,0,0,0,0,1.79053633333333,0.986745319806503
"H4C3",0,0,0,0,0,0,33.1022076666667,0.319414,0.843071,0,1,2,0,46.4235566666667,0.719098483194041
"H4C4",0,0,0,0,0,0,11.6632333333333,0.320581,0,0.967684,1,0,2,8.130838,1.38686430898602
"H4C5",0.188341,0,0.097692,4,0,3,0.185471,0.081779,0.376619,0.240351,2,7,4,0.262335,0.939109665817711
"H4C6",0,0,0,0,0,0,12.98356,0,0,0,0,0,0,23.6878456666667,0.566414752781791
"H4C7",0,0,0,0,0,0,0.334157666666667,0,0,0,0,0,0,0.225826,1.08837442399383
"H4C8",0.58875,0.597014,0.799064,13,15,16,0.795615666666667,1.99656,4.84173,4.497594,45,81,86,2.99745866666667,0.449189301602952
"H4C9",0.389951,0.489846,0.233814,7,12,6,0.793670666666667,1.612275,1.726392,2.145306,33,27,30,0.698683666666667,1.05591800396032
"H4P1",0,0,0,0,0,0,0.04536,0,0,0,0,0,0,0,1.04536
"H6PD",2.673363,2.715705,1.809025,386,538,378,1.55194533333333,7.321472,4.679394,5.360291,1192,568,578,1.101264,1.21448106155787
"HAAO",1.208522,0.199897,0.475123,12,3,6,36.0909956666667,0.535762,0.425671,0.146867,7,4,1,22.7905526666667,1.55906406153546
"HABP2",0,0,0,0,0,0,2.97437433333333,0.018311,0,0,1,0,0,3.63276766666667,0.857883368926408
"HABP4",25.18954,25.607305,28.040083,989,1382,1674,0,15.109319,13.610811,17.303684,692,469,525,0,1
"HACD1",17.140816,16.629354,17.366997,135,169,186,77.007302,16.350448,13.746884,19.472094,150,82,104,86.5882926666667,0.890613341407066
"HACD2",9.140854,6.7094,5.854995,454,505,509,0.462488,9.753285,7.602284,10.893519,575,432,467,2.36848966666667,0.434167281102935
"HACD3",88.282427,94.942766,76.980801,4225,5873,5380,33.5586823333333,73.135657,97.656374,106.225305,3964,3839,4017,36.2858596666667,0.926857598089084
