"Hs_symbol","Heart","dHs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"ETFB",31.57634,31.57634,36.884297,29.371162,38.129951,34.7951366666667,457,326,406,0.910077262823693
"ETFDH",315.48509,315.48509,6.951804,6.168639,8.341851,7.154098,114,104,119,38.8130103415485
"ETHE1",6.86937,6.86937,11.767386,9.881152,9.831087,10.4932083333333,110,69,93,0.684697411877304
"ETNK1",4.8832,4.8832,8.263042,11.063537,8.975394,9.433991,734,778,639,0.563849441694937
"ETNK2",2.15063,2.15063,15.566461,13.737246,15.449784,14.9178303333333,240,179,215,0.197930869598623
"ETS1",50.81817,50.81817,19.911686,35.066442,19.928475,24.9688676666667,1167,1744,1175,1.99539582030037
"ETS2",38.04089,38.04089,4.555474,5.550863,4.240938,4.782425,194,154,189,6.75164658426179
"ETV1",42.69637,42.69637,11.950555,13.301177,8.641339,11.2976903333333,396,349,352,3.55321762181305
"ETV2",0,0,0.448885,1.232294,1.277721,0.9863,5,7,9,0.503448623068016
"ETV3",9.65254,9.65254,6.689595,10.193624,5.220312,7.36784366666667,497,635,364,1.27303286537659
"ETV3L",0,0,0.042088,0.101155,0,0.0477476666666667,1,2,0,0.954428276782928
"ETV4",0.16446,0.16446,19.374126,17.78496,20.714869,19.2913183333333,442,288,381,0.0573871042221587
"ETV5",4.56693,4.56693,198.089659,139.005604,172.447272,169.847511666667,1209,915,1086,0.0325842029871726
"ETV6",6.40129,6.40129,2.630034,13.472471,2.632184,6.24489633333333,250,379,221,1.02158673629975
"ETV7",0,0,0,0,0.13253,0.0441766666666667,0,0,2,0.957692344526629
"EVC",1.46749,1.46749,2.524821,3.665129,1.801715,2.66388833333333,200,263,133,0.673462118796379
"EVC2",0.75905,0.75905,0.574641,0.7244,0.382573,0.560538,39,40,23,1.12720741180285
"EVI2A",3.2639,3.2639,0.077816,0.094518,0.201136,0.12449,2,3,5,3.79185230637889
"EVI2B",8.51397,8.51397,0.037441,0.138972,0,0.0588043333333333,1,3,0,8.98557901633069
"EVI5",9.39953,9.39953,23.099293,21.733498,20.378537,21.7371093333333,1412,1211,1329,0.457381360468455
"EVI5L",2.27714,2.27714,55.89477,44.075164,39.138114,46.3693493333333,581,361,499,0.069182710890519
"EVL",39.21741,39.21741,202.014035,153.12498,152.417503,169.185506,1616,931,1386,0.236315130149803
"EVPL",0.01265,0.01265,0.358486,0.48514,0.223183,0.355603,2,2,2,0.747010739870006
"EVPLL",0,0,0,0.043174,0.039902,0.027692,0,1,1,0.973054183549157
"EVX1",0,0,0,0,0,0,0,0,0,1
"EVX2",0,0,0,0,0,0,0,0,0,1
"EWSR1",165.33301,165.33301,131.994609,130.074613,124.095421,128.721547666667,3664,3058,3170,1.28223115582471
"EXD1",0,0,0.095862,0.039895,0.034284,0.0566803333333333,3,1,1,0.946359999760255
"EXD2",20.3804,20.3804,17.406427,14.102382,13.562457,15.0237553333333,568,366,452,1.33429396263456
"EXD3",1.03736,1.03736,7.514981,5.284563,8.671038,7.15686066666667,156,103,142,0.249772563643971
"EXO1",0.15181,0.15181,1.36716,1.482342,0.232859,1.02745366666667,11,27,9,0.568106694094612
"EXOC1",37.81317,37.81317,20.272429,24.248715,28.114812,24.2119853333333,572,475,603,1.53947297235193
"EXOC2",11.68932,11.68932,8.46388,9.682894,8.484881,8.87721833333333,567,481,504,1.28470583232695
"EXOC3",18.96352,18.96352,34.924054,26.400773,28.077389,29.8007386666667,897,641,717,0.648150689373077
"EXOC3L1",0.41748,0.41748,0.769334,1.619232,0.51709,0.968552,17,14,6,0.720062258959885
"EXOC3L2",0.26567,0.26567,0.58065,1.045015,0.595316,0.740327,23,32,20,0.727259877023111
"EXOC3L4",0,0,0,0,0,0,0,0,0,1
"EXOC4",27.99617,27.99617,44.773561,55.850788,44.822822,48.4823903333333,833,634,774,0.585989678442575
"EXOC5",52.8929,52.8929,12.122584,14.715133,14.611125,13.8162806666667,751,706,666,3.6374108463838
"EXOC5P1",0,0,0,0,0,0,0,0,0,1
"EXOC6",21.83524,21.83524,12.787457,27.256329,3.105055,14.382947,145,120,117,1.48445158135174
"EXOC6B",73.66548,73.66548,6.553145,5.739441,11.931257,8.07461433333333,432,361,405,8.22795077094736
"EXOC7",38.62282,38.62282,99.554084,100.178663,105.433926,101.722224333333,2847,2154,2243,0.385727823332798
"EXOC8",7.96999,7.96999,2.970408,3.602695,3.530722,3.36794166666667,232,226,243,2.05359656436193
"EXOG",57.92791,57.92791,31.744865,38.489561,9.474384,26.5696033333333,220,180,196,2.13742320799924
"EXOSC1",32.80347,32.80347,30.992826,32.083739,32.592796,31.889787,226,181,187,1.02778014342264
"EXOSC10",38.90114,38.90114,61.906759,60.726632,70.02103,64.2181403333333,1193,886,998,0.611810453288965
"EXOSC2",16.88879,16.88879,17.176274,16.133352,17.459643,16.9230896666667,320,244,305,0.998086286053099
"EXOSC3",22.11356,22.11356,40.247069,56.353568,75.123427,57.2413546666667,156,136,128,0.396858214103811
"EXOSC4",1.79641,1.79641,11.994829,10.831672,12.344164,11.723555,124,88,114,0.219782128501036
"EXOSC5",0.20241,0.20241,8.692408,9.316551,9.478818,9.16259233333333,73,67,51,0.118317252189295
"EXOSC6",4.84525,4.84525,4.845336,5.414654,5.308653,5.18954766666667,354,313,336,0.944374341194454
"EXOSC7",51.81758,51.81758,24.41211,21.127497,25.500815,23.6801406666667,246,177,222,2.14008423668898
"EXOSC8",60.243,60.243,118.643455,162.298687,65.594679,115.512273666667,244,246,194,0.525635609645829
"EXOSC9",38.64813,38.64813,9.174124,12.183721,12.296795,11.2182133333333,173,183,174,3.24500226983542
"EXPH5",0.18976,0.18976,0.046018,0.102828,0.085642,0.0781626666666667,7,13,12,1.10350695380536
"EXT1",22.34127,22.34127,28.784551,44.389968,29.718936,34.2978183333333,1228,1432,997,0.661266647688471
"EXT2",26.17446,26.17446,101.063022,63.593587,110.110705,91.5891046666667,2920,1533,2528,0.293495223847684
"EXTL1",4.31392,4.31392,26.622068,19.791578,27.222101,24.545249,868,480,742,0.208019894423421
"EXTL2",19.81112,19.81112,14.836913,16.899328,13.24257,14.992937,491,475,470,1.30126942912362
"EXTL3",22.16416,22.16416,70.710022,59.92896,53.991168,61.5433833333333,2224,1894,2013,0.370369474202307
"EYA1",14.6243,14.6243,1.031671,0.787791,1.368576,1.06267933333333,47,32,46,7.57475956030005
"EYA2",3.75728,3.75728,0.092262,0.170979,0.032334,0.098525,3,4,1,4.33060695022872
"EYA3",12.62548,12.62548,6.221378,7.340927,5.733306,6.43187033333333,563,409,431,1.83338505502271
"EYA4",8.05855,8.05855,3.564204,2.730822,3.282507,3.192511,266,154,181,2.16065026424498
"EYS",0.0506,0.0506,0.392368,0.299494,0.200782,0.297548,9,10,7,0.809681029141119
"EZH1",59.06648,59.06648,13.428306,10.413338,10.31799,11.3865446666667,436,273,372,4.84933301549741
"EZH2",2.12533,2.12533,6.046622,10.799351,10.79727,9.21441433333333,253,286,240,0.305972510807684
"EZR",152.1003,152.1003,13.84519,16.208635,13.827268,14.627031,584,596,551,9.79714572780972
"F10",2.11268,2.11268,2.113752,1.679193,2.066406,1.953117,35,24,37,1.05403206171648
"F11",0.16446,0.16446,0,0,0,0,0,0,0,1.16446
"F11R",9.80435,9.80435,14.831122,16.473861,15.952049,15.752344,494,409,442,0.644945567020352
"F12",0,0,2.130806,2.191818,1.137595,1.820073,24,21,18,0.354600749696905
"F13A1",50.09708,50.09708,0.221266,0.211058,0.209964,0.214096,13,10,5,42.0865236356927
"F13B",0.18976,0.18976,0,0,0,0,0,0,0,1.18976
"F2",0,0,0.201687,0.046153,0,0.0826133333333333,1,1,0,0.92369082220799
"F2R",10.32303,10.32303,39.215561,61.109481,36.302423,45.5424883333333,2150,2726,1751,0.243283726450237
"F2RL1",1.01206,1.01206,0.19184,3.650757,0.195259,1.345952,8,81,6,0.857673132272101
"F2RL2",0.75905,0.75905,1.449738,4.635635,1.29624,2.46053766666667,74,185,59,0.508316963847525
"F2RL3",0.31627,0.31627,0.186955,0.247436,0.075171,0.169854,9,9,3,1.12515749828611
"F3",94.19769,94.19769,2.961316,5.95162,2.16361,3.692182,45,56,29,20.2885757628327
"F5",2.391,2.391,0.042583,0.051847,0.196836,0.0970886666666667,6,6,6,3.09090787557128
"F7",0.0253,0.0253,0.403457,0.720008,0.342881,0.488782,11,10,5,0.688683769685555
"F8",117.31066,117.31066,0.655665,1.252976,0.611297,0.839979333333333,27,19,30,64.2999939492074
"F8A1",17.52133,17.52133,6.060711,6.642577,8.0541,6.91912933333333,111,90,120,2.33880887915793
"F8A2",0,0,0,0,0,0,0,0,0,1
"F8A3",0,0,0.984832,1.419959,1.357429,1.25407333333333,18,19,20,0.443641289399044
"F9",0.0253,0.0253,0.036924,0,0.026872,0.0212653333333333,1,0,1,1.00395065467805
"FA2H",0.40482,0.40482,0.032856,0.305403,0.15009,0.162783,1,3,4,1.20815319797417
"FAAH",2.22654,2.22654,8.447054,4.55585,10.632733,7.87854566666667,127,61,128,0.363408616809127
"FAAH2",0.48073,0.48073,2.239796,1.105132,1.004443,1.44979033333333,13,9,15,0.604431317999867
"FABP1",1.31568,1.31568,0,0,0,0,0,0,0,2.31568
"FABP12",0,0,0,0,0,0,0,0,0,1
"FABP2",1.74581,1.74581,0,0,0,0,0,0,0,2.74581
"FABP3",13780.87146,13780.87146,16.533787,16.890113,17.315131,16.9130103333333,117,83,103,769.377742966746
"FABP4",690.54269,690.54269,0,0,0,0,0,0,0,691.54269
"FABP5",499.60451,499.60451,34.68617,34.723305,39.175178,36.1948843333333,246,195,242,13.4589613322542
"FABP5P13",0,0,0,0,0,0,0,0,0,1
"FABP5P3",0.35422,0.35422,0,0.181251,0.122193,0.101148,0,2,1,1.2298256001918
"FABP5P5",0,0,0,0,0,0,0,0,0,1
"FABP5P6",0,0,0,0,0,0,0,0,0,1
"FABP6",0.94881,0.94881,6.267992,3.889226,5.14432,5.10051266666667,29,14,20,0.319450201398374
"FABP7",0,0,29.042597,30.345365,26.584099,28.6573536666667,257,219,210,0.0337184501098609
"FABP9",0,0,0,0,0,0,0,0,0,1
"FADD",0.68314,0.68314,7.858425,9.77112,10.296365,9.30863666666667,191,190,218,0.163274742764239
"FADS1",21.60753,21.60753,46.206535,53.236422,46.48887,48.6439423333333,1437,1245,1497,0.455393527133727
"FADS2",8.32421,8.32421,184.428734,194.228703,183.519258,187.392231666667,4540,4027,4117,0.0494936012887085
"FADS3",9.58929,9.58929,31.515667,20.354325,34.571162,28.813718,298,182,297,0.355181799197269
"FADS6",0,0,0.128043,0.395375,0.143554,0.222324,4,4,2,0.818113691623498
"FAF1",91.1868,91.1868,14.283585,15.485832,14.571718,14.7803783333333,351,224,326,5.8418624733015
"FAF2",17.0153,17.0153,20.374457,21.650553,20.124811,20.716607,1315,1050,1148,0.829563292276736
"FAH",12.82789,12.82789,40.495267,17.96006,37.762197,32.072508,169,124,156,0.418108297078649
"FAHD1",28.83112,28.83112,12.152817,9.246599,9.846848,10.4154213333333,262,189,218,2.61322986939539
"FAHD2A",20.22859,20.22859,18.842189,14.600481,17.899745,17.1141383333333,352,231,321,1.17193485052146
"FAHD2B",25.02324,25.02324,25.782493,35.810797,22.400928,27.9980726666667,307,394,238,0.897412745293026
"FAHD2CP",4.63018,4.63018,5.505573,3.107146,5.046261,4.55299333333333,65,27,53,1.01390001068493
"FAIM",20.11474,20.11474,5.916077,6.638301,4.036315,5.530231,86,41,55,3.23338332135571
"FAIM2",3.16269,3.16269,32.570992,25.155307,28.619647,28.781982,811,421,685,0.139772094416013
"FAM102A",3.25125,3.25125,21.357339,14.163907,13.665462,16.3955693333333,424,282,360,0.244386942360879
"FAM102B",5.32598,5.32598,3.30289,3.101764,3.696498,3.36705066666667,276,208,270,1.44857032419744
"FAM104A",22.12621,22.12621,5.416639,9.158742,7.482805,7.35272866666667,226,206,264,2.76870121404638
"FAM104B",35.21976,35.21976,5.903377,5.706719,6.31847,5.97618866666667,64,52,66,5.19191233646873
"FAM106A",0.03795,0.03795,3.969522,6.116247,0.653983,3.57991733333333,13,9,7,0.226630728123768
"FAM107A",73.80464,73.80464,0,0.126485,0.074978,0.0671543333333333,0,1,3,70.0973023895638
"FAM107B",6.14828,6.14828,25.318704,30.629371,20.42818,25.4587516666667,845,825,654,0.270166940982539
"FAM110A",0.45543,0.45543,0.873692,0.968592,1.364035,1.068773,20,16,25,0.703523296176042
"FAM110B",35.40953,35.40953,6.148314,6.933137,4.977898,6.019783,136,123,111,5.18670306475286
"FAM110C",2.96028,2.96028,0,1.021277,0.089651,0.370309333333333,0,11,4,2.89006277901243
"FAM110D",0.97411,0.97411,0.125919,0.197494,0.114578,0.145997,5,6,4,1.72261358450328
"FAM111A",16.01588,16.01588,4.451223,8.896087,4.65098,5.99943,192,233,184,2.43103795594784
"FAM111B",0.15181,0.15181,0.219307,0.543616,0.27447,0.345797666666667,11,22,6,0.855856737255947
"FAM114A1",19.67196,19.67196,16.902605,29.679085,18.908531,21.8300736666667,566,597,529,0.905470578055223
"FAM114A2",30.33656,30.33656,14.171504,19.010797,12.998151,15.393484,297,242,238,1.91152533531005
"FAM117A",8.43807,8.43807,4.248347,3.788612,3.698762,3.911907,99,74,91,1.92146756850242
"FAM117B",1.60665,1.60665,3.276029,3.194646,3.444371,3.30501533333333,290,225,267,0.605491455469845
"FAM118A",62.26713,62.26713,11.586819,13.594659,12.086799,12.422759,196,152,150,4.71342218093911
"FAM118B",31.00706,31.00706,15.35634,14.953103,18.431694,16.2470456666667,270,225,268,1.85579957394442
"FAM120A",85.98733,85.98733,12.57823,13.024354,12.554373,12.7189856666667,642,671,591,6.34065317316827
"FAM120AOS",62.634,62.634,11.10238,9.704557,11.612904,10.8066136666667,376,278,312,5.38969104914954
"FAM120B",18.7864,18.7864,12.944138,12.156377,11.464044,12.1881863333333,721,557,623,1.50031243871567
"FAM120C",5.76875,5.76875,2.897655,3.935104,4.083684,3.63881433333333,99,87,113,1.45915518785943
"FAM122A",18.29302,18.29302,1.868156,2.247514,2.379082,2.16491733333333,157,152,177,6.09590013514834
"FAM122B",29.08414,29.08414,6.15434,6.708571,6.606308,6.48973966666667,190,172,195,4.01671370954193
"FAM122C",2.68196,2.68196,1.644168,2.421437,1.821989,1.96253133333333,50,51,51,1.24284255108863
"FAM124A",2.93498,2.93498,0.557575,0.494131,0.58037,0.544025333333333,34,20,28,2.54852036106489
"FAM124B",1.51809,1.51809,0.05983,0.084121,0.114673,0.086208,2,2,3,2.31823923226491
"FAM126A",18.10326,18.10326,6.115575,9.665942,6.562341,7.44795266666667,464,539,450,2.26128871145032
"FAM126B",2.94763,2.94763,2.283123,2.447821,2.163235,2.29805966666667,240,223,232,1.1969553006874
"FAM131A",7.85613,7.85613,4.600815,3.211216,4.613382,4.14180433333333,156,92,148,1.72237787085506
"FAM131B",0.53133,0.53133,17.135343,15.661113,17.020615,16.6056903333333,859,638,752,0.0869792647153796
"FAM131C",0.86025,0.86025,0.523885,0.320212,0.792798,0.545631666666667,12,6,16,1.20355323982967
"FAM133A",0.97411,0.97411,0.286184,0.207372,0.224824,0.23946,13,8,9,1.59271779645975
"FAM133B",29.95704,29.95704,31.716214,106.795499,83.875749,74.129154,242,229,229,0.412050959604843
"FAM135A",15.16828,15.16828,6.596915,5.681286,5.577778,5.951993,197,210,170,2.32570429803367
"FAM135B",0.0506,0.0506,0.273037,0,0.612916,0.295317666666667,4,0,3,0.81107517255098
"FAM136A",44.88496,44.88496,9.208746,12.400767,11.534105,11.0478726666667,256,260,257,3.80855286817164
"FAM138A",0,0,1.171987,0,0,0.390662333333333,7,0,0,0.719081818807202
"FAM138C",0,0,0.69933,1.833851,1.001503,1.178228,7,12,7,0.459088763894321
"FAM138D",0,0,0.148224,0,0,0.049408,2,0,0,0.952918216746966
"FAM13A",22.83465,22.83465,7.826133,12.499085,18.115398,12.8135386666667,248,209,196,1.72545577025206
"FAM13B",27.71785,27.71785,12.261731,18.322802,13.348991,14.644508,890,846,800,1.83565056823775
"FAM13C",7.83083,7.83083,8.229961,7.158638,7.632447,7.673682,63,50,65,1.01811779587954
"FAM149A",9.48808,9.48808,2.721883,2.180832,3.083715,2.66214333333333,28,18,23,2.8639184885354
"FAM149B1",28.83112,28.83112,9.58941,11.156151,10.378488,10.374683,239,192,226,2.62258913061577
"FAM149B1P1",0,0,0,0,0,0,0,0,0,1
"FAM151A",0.58194,0.58194,0,0.042613,0,0.0142043333333333,0,1,0,1.55978430382043
"FAM151B",2.80847,2.80847,1.797439,2.834821,1.488239,2.04016633333333,26,33,30,1.25271764187464
"FAM153A",1.51809,1.51809,0.196125,0,0.837265,0.344463333333333,4,0,3,1.87293319019485
"FAM153B",3.188,3.188,0,0.328383,0.107727,0.14537,0,2,2,3.65646035778831
"FAM155A",0.08856,0.08856,1.73785,1.889738,1.850312,1.82596666666667,246,214,230,0.385199164887531
"FAM155B",4.8073,4.8073,1.19599,0.783588,1.201124,1.060234,84,43,72,2.81875748094634
"FAM156A",1.31568,1.31568,38.02491,72.680744,43.981068,51.5622406666667,518,685,396,0.044055960526594
"FAM156B",0.17711,0.17711,11.963316,3.981286,12.556896,9.50049933333333,426,70,388,0.112100383289709
"FAM157A",0.08856,0.08856,6.384581,1.610962,5.72605,4.57386433333333,268,124,179,0.19529718251126
"FAM160A1",4.1368,4.1368,0.206353,1.367893,0.0305,0.534915333333333,14,7,5,3.34663410316226
"FAM160A2",9.43748,9.43748,20.205768,16.108015,17.51476,17.9428476666667,436,326,371,0.550998465682993
"FAM160B1",33.436,33.436,9.460421,16.489661,11.93986,12.6299806666667,442,459,363,2.52648927699628
"FAM160B2",10.37364,10.37364,68.496548,53.77338,58.114198,60.128042,1081,715,920,0.186062560289433
"FAM161A",2.89703,2.89703,2.365663,3.974293,3.859436,3.39979733333333,83,91,80,0.885729433598153
"FAM161B",23.31538,23.31538,2.229985,1.812551,2.469103,2.17054633333333,137,90,135,7.66914513891875
"FAM162A",318.98935,318.98935,13.469032,12.065238,12.589841,12.708037,233,166,187,23.3431927561911
"FAM162B",12.70138,12.70138,7.843477,5.380723,7.356158,6.86011933333333,95,51,77,1.74315165189604
"FAM163A",0.11386,0.11386,0,0,0.025954,0.00865133333333333,0,0,1,1.10430627828447
"FAM163B",0,0,0.122945,0.092413,0.081263,0.0988736666666667,5,3,1,0.91002271720043
"FAM166A",1.89762,1.89762,0.283111,0.087375,0.241566,0.204017333333333,4,1,3,2.40662648267522
"FAM166B",0.16446,0.16446,0.414726,0.194537,0.156359,0.255207333333333,3,1,1,0.927703311697244
"FAM167A",0.03795,0.03795,0.3489,0.480613,0.735137,0.52155,22,21,22,0.682166212086359
"FAM167B",0.97411,0.97411,0.865928,0.548206,0.609281,0.674471666666667,10,5,6,1.17894500056237
"FAM168A",13.29597,13.29597,18.452412,19.543481,14.693287,17.56306,1879,1546,1361,0.770130032440772
"FAM168B",56.37186,56.37186,27.786102,31.212443,27.281905,28.76015,2317,2093,2009,1.92780815956909
"FAM169A",5.17417,5.17417,0.836933,1.050894,0.964011,0.950612666666667,58,59,76,3.16524654305194
"FAM169B",0,0,0.460951,0.710366,0.642652,0.604656333333333,5,6,6,0.623186397752042
"FAM170A",0.17711,0.17711,0,0.192264,0.069512,0.0872586666666667,0,1,1,1.08264025487955
"FAM170B",0,0,0,0,0,0,0,0,0,1
"FAM171A1",5.66755,5.66755,26.72378,23.257746,26.434513,25.472013,1395,1037,1217,0.251871665369762
"FAM171A2",0.0253,0.0253,15.499273,14.135278,15.542079,15.0588766666667,463,309,363,0.063846308884619
"FAM171B",2.04943,2.04943,7.259741,8.172528,8.063519,7.83192933333333,627,570,614,0.345273369488011
"FAM172A",10.82907,10.82907,23.830565,12.590942,14.623372,17.0149596666667,249,224,224,0.656624839515322
"FAM174A",38.82524,38.82524,6.380563,6.377524,9.88216,7.546749,78,79,96,4.65969458094534
"FAM174B",11.47426,11.47426,8.378772,20.812024,17.497427,15.562741,41,40,44,0.753151908853734
"FAM177A1",159.98173,159.98173,41.610545,50.897074,45.49767,46.001763,632,668,591,3.42501471700115
"FAM177B",0.73375,0.73375,0,0,0,0,0,0,0,1.73375
"FAM178B",0.10121,0.10121,1.390889,2.8808,1.106597,1.792762,9,17,6,0.394308573376464
"FAM180A",22.89791,22.89791,0.147998,0,0,0.0493326666666667,2,0,0,22.774388674961
"FAM180B",0,0,0.104547,0.064598,0.058663,0.075936,2,1,1,0.929423311423728
"FAM181A",0.0506,0.0506,0,0.134105,0,0.0447016666666667,0,2,0,1.0056459499602
"FAM181B",0.15181,0.15181,1.364275,0.879429,1.219502,1.154402,76,38,58,0.534630955596959
"FAM182A",0.10121,0.10121,0.795956,2.377579,1.813501,1.66234533333333,41,78,66,0.413624027736948
"FAM183A",0,0,0.788924,2.584837,1.61758,1.66378033333333,3,7,5,0.375406330426896
"FAM184A",1.63195,1.63195,10.127534,3.486155,8.268899,7.294196,154,81,137,0.317324307262573
"FAM184B",3.94704,3.94704,0.106257,0.337489,0.086813,0.176853,11,29,8,4.20361761409454
"FAM185A",13.29597,13.29597,2.254052,2.483192,1.715108,2.150784,37,30,34,4.53727389754423
"FAM186A",0.54398,0.54398,0.328053,0.164175,0.595078,0.362435333333333,13,5,16,1.1332501163358
"FAM186B",0.35422,0.35422,0.447441,0.552428,0.217403,0.405757333333333,12,7,2,0.963338385572474
"FAM187A",0.08856,0.08856,0.712409,0.817436,0.847054,0.792299666666667,29,20,29,0.607353792585652
"FAM187B",0,0,0,0,0,0,0,0,0,1
"FAM189A1",0.03795,0.03795,5.386588,4.81715,5.069513,5.09108366666667,341,241,318,0.170404817402224
"FAM189A2",40.26742,40.26742,2.640299,1.610559,2.319753,2.19020366666667,106,50,80,12.9356694154637
"FAM189B",3.42836,3.42836,14.331792,14.539099,15.09573,14.6555403333333,453,331,441,0.282862162896496
"FAM193A",7.23624,7.23624,10.226699,9.274486,8.039833,9.18033933333333,523,448,459,0.809033935934945
"FAM193B",14.28273,14.28273,103.964105,90.905554,94.314868,96.3948423333333,1003,667,808,0.156915188051693
"FAM199X",11.98029,11.98029,4.903266,6.69715,4.837558,5.47932466666667,569,604,496,2.00333995713751
"FAM200A",9.36158,9.36158,3.747854,4.44784,3.780258,3.991984,123,116,115,2.07564367193485
"FAM200B",65.1262,65.1262,33.57055,39.410242,35.321973,36.1009216666667,511,473,492,1.78233308040461
"FAM204A",71.14797,71.14797,16.693461,21.988924,18.907469,19.196618,290,262,278,3.57227977476229
"FAM204CP",0,0,0,0.198018,0,0.066006,0,1,0,0.938081023934199
"FAM205A",0,0,0.045052,0.069077,0.067935,0.060688,3,4,4,0.942784306035328
"FAM207A",9.8423,9.8423,12.920802,8.038212,10.493738,10.4842506666667,105,61,68,0.944101649702758
"FAM209A",0,0,0.852629,0,0,0.284209666666667,6,0,0,0.77868904584376
"FAM209B",1.41689,1.41689,0.273287,0.169263,0.462037,0.301529,2,1,3,1.85696208075271
"FAM20A",7.36275,7.36275,0.540471,0.343731,1.676693,0.853631666666667,23,8,24,4.51154895030386
"FAM20B",44.83436,44.83436,9.874262,9.061273,9.269469,9.401668,922,682,770,4.40644327429024
"FAM20C",1.68255,1.68255,29.8998,27.271836,32.14352,29.7717186666667,495,333,440,0.0871758262532752
"FAM210A",53.53809,53.53809,5.393903,4.994958,5.203756,5.197539,147,145,138,8.79995914507355
"FAM210B",86.77168,86.77168,23.574099,39.14689,28.084549,30.2685126666667,1031,1369,1104,2.80703085994774
"FAM214A",53.51279,53.51279,20.87012,18.524903,24.420674,21.271899,529,419,468,2.44760404130784
"FAM214B",10.6393,10.6393,18.944539,26.003188,13.949239,19.632322,627,685,537,0.564129427603931
"FAM215A",0,0,0.447237,0.145499,0.402714,0.331816666666667,4,1,3,0.750854096534808
"FAM216A",15.73757,15.73757,11.665352,7.744726,11.062033,10.1573703333333,131,72,134,1.50013573987013
"FAM216B",0.18976,0.18976,0,0,0,0,0,0,0,1.18976
"FAM217A",0,0,0,0,2.213463,0.737821,0,0,1,0.575433258085844
"FAM217B",19.29244,19.29244,9.639574,10.1558,6.054472,8.61661533333333,514,498,398,2.11014367286397
"FAM218A",1.18917,1.18917,0.22818,0.323235,0.514259,0.355224666666667,7,8,14,1.61535578110788
"FAM219A",13.30862,13.30862,16.48538,17.295066,16.683045,16.8211636666667,844,598,767,0.802900431623517
"FAM219B",68.83288,68.83288,130.280022,74.545641,140.486415,115.104026,1151,814,979,0.601468204039712
"FAM220A",24.78287,24.78287,8.724384,2.636888,1.54556,4.30227733333333,227,13,14,4.86260306263372
"FAM221A",3.82053,3.82053,4.552036,2.627341,3.020766,3.40004766666667,101,48,52,1.09556313139941
"FAM221B",0.32892,0.32892,0.192379,0.37187,0.262052,0.275433666666667,3,3,3,1.04193580170509
"FAM222A",4.04825,4.04825,2.09633,2.20307,2.528035,2.27581166666667,97,77,95,1.54106844766717
"FAM222B",11.13268,11.13268,10.610594,12.700852,12.376557,11.896001,550,467,582,0.940809480396287
"FAM225A",0,0,0,4e-06,0,1.33333333333333e-06,0,0,0,0.999998666668445
"FAM225B",0,0,0.008447,0.013737,0,0.00739466666666667,1,1,0,0.992659613048047
"FAM227A",0.64519,0.64519,2.596157,2.240386,2.064544,2.30036233333333,196,133,159,0.498487691300965
"FAM227B",30.72874,30.72874,1.827909,3.788428,2.379997,2.66544466666667,19,30,21,8.65617759518763
"FAM228A",0.25302,0.25302,0.226874,0.142771,0.769,0.379548333333333,2,3,3,0.908282783374752
"FAM228B",45.18858,45.18858,10.513025,15.293481,10.64868,12.1517286666667,120,127,102,3.51197786775102
"FAM24A",0,0,0.140296,0,0,0.0467653333333333,1,0,0,0.955323956722551
"FAM24B",0,0,0.317324,0.500761,0.15173,0.323271666666667,2,3,1,0.755702721663352
"FAM25A",0.35422,0.35422,0,0,0,0,0,0,0,1.35422
"FAM25C",0,0,0,0,0,0,0,0,0,1
"FAM25E",0,0,0,0,0,0,0,0,0,1
"FAM25G",0,0,0,1.805618,0.548939,0.784852333333333,0,3,1,0.560270438805675
"FAM27C",0,0,7.059724,7.46025,6.396909,6.97229433333333,140,112,109,0.125434405478339
"FAM27E3",0.22771,0.22771,3.284402,3.294326,2.982565,3.18709766666667,74,60,59,0.29321264936659
"FAM32A",37.28184,37.28184,44.450059,47.366292,44.738597,45.518316,774,637,728,0.82294122598935
"FAM3A",3.95969,3.95969,12.918802,9.114512,12.290618,11.4413106666667,189,125,131,0.398646905690429
"FAM3B",0.15181,0.15181,0.024279,0.150357,0.111713,0.0954496666666667,1,5,2,1.05144949608213
"FAM3C",91.70549,91.70549,69.351797,86.544641,63.529939,73.1421256666667,1730,1614,1514,1.2503753994968
"FAM3D",0,0,0,0,0,0,0,0,0,1
"FAM41C",1.45484,1.45484,1.599329,6.624512,3.828044,4.017295,6,22,14,0.489275595714424
"FAM43A",3.82053,3.82053,0.366764,1.118213,0.616382,0.700453,17,40,24,2.83485047807849
"FAM43B",0.16446,0.16446,0.48174,0.474608,0.197613,0.384653666666667,15,11,5,0.840975637469875
"FAM47A",0,0,0,0,0,0,0,0,0,1
"FAM47B",0,0,0,0,0,0,0,0,0,1
"FAM47C",0,0,0,0,0,0,0,0,0,1
"FAM47E",85.05118,85.05118,3.341861,1.836863,2.816346,2.66502333333333,79,56,62,23.4790265091536
"FAM50A",36.13062,36.13062,80.782474,76.409785,74.281883,77.1580473333333,578,494,499,0.475070978189143
