"Hs_symbol","Heart","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"ACTN1",35.48543,35.48543,69.241658,47.821745,50.974833,56.0127453333333,0.639952168356086
"ACTN2",1533.36279,1533.36279,69.76771,1.253103,0.801863,23.940892,61.5199644824251
"ACTN4",49.46454,49.46454,209.643774,167.250481,183.429698,186.774651,0.26875054610007
"ACTR10",210.81256,210.81256,157.019067,205.113642,237.357145,199.829951333333,1.05468610928675
"ACTR1A",83.50778,83.50778,115.943189,124.852514,131.407319,124.067674,0.675696423361963
"ACTR1B",20.64607,20.64607,30.556702,30.517172,34.362579,31.812151,0.659696769041444
"ACTR2",93.84347,93.84347,96.131777,93.793262,100.811332,96.9121236666667,0.968659104186999
"ACTR3",104.47012,104.47012,61.541822,74.758475,82.615188,72.9718283333333,1.425814696978
"ACTR3B",13.92851,13.92851,12.200305,11.066625,8.231572,10.4995006666667,1.29818767203283
"ACTR3C",3.90909,3.90909,0.478798,0.028455,0.143524,0.216925666666667,4.03400974641837
"ACTR5",3.65607,3.65607,2.300345,2.272068,2.6564,2.40960433333333,1.36557487168844
"ACTR6",30.9944,30.9944,26.189179,23.847515,19.715424,23.250706,1.31931829118707
"ACTR8",19.38099,19.38099,26.624084,28.334546,22.577852,25.845494,0.759195938059475
"ACTRT1",0,0,0,0,0,0,1
"ACTRT2",0,0,0,0,0,0,1
"ACTRT3",1.25243,1.25243,0.786164,0.893232,0.943422,0.874272666666667,1.20176217690133
"ACVR1",23.97322,23.97322,7.530875,6.531985,5.489665,6.51750833333333,3.32200762442343
"ACVR1B",10.04472,10.04472,35.019207,49.193225,49.103909,44.4387803333333,0.243068143972556
"ACVR1C",0.0759,0.0759,0.202768,0.064909,0.072133,0.11327,0.966432222192281
"ACVR2A",7.17299,7.17299,16.001132,14.786883,12.909514,14.565843,0.525059259559537
"ACVR2B",0.0506,0.0506,4.136669,3.378978,3.850929,3.78885866666667,0.219384215139362
"ACVRL1",13.16946,13.16946,1.158399,0.437574,0.500078,0.698683666666667,8.34143535847659
"ACY1",5.02236,5.02236,16.513926,11.864692,15.383214,14.5872773333333,0.386363819107857
"ACY3",0,0,0,0,0,0,1
"ACYP1",40.39393,40.39393,23.726514,23.728152,24.186164,23.8802766666667,1.66372466651295
"ACYP2",157.43893,157.43893,13.526342,21.437315,22.138132,19.0339296666667,7.9085298109845
"ADA",5.95852,5.95852,2.752245,0.680643,2.280619,1.90450233333333,2.39577015316565
"ADAD1",0.0506,0.0506,0,0,0,0,1.0506
"ADAD2",0,0,0,0.231674,0.001766,0.0778133333333333,0.927804443564748
"ADAL",43.1518,43.1518,12.105016,15.600091,15.33191,14.3456723333333,2.87714992480942
"ADAM10",30.8426,30.8426,70.311374,70.683677,76.336447,72.4438326666667,0.433563974588872
"ADAM11",0.64519,0.64519,21.676701,61.251494,63.202393,48.710196,0.0330956248895096
"ADAM12",0.08856,0.08856,253.498386,167.661955,151.796176,190.985505666667,0.00567001136997292
"ADAM15",10.82907,10.82907,30.979275,23.526472,41.074168,31.8599716666667,0.359984181361893
"ADAM17",16.67372,16.67372,14.349408,16.247264,14.244751,14.947141,1.10826887402576
"ADAM18",0,0,0,0,0,0,1
"ADAM19",8.9188,8.9188,16.94927,22.701045,23.52762,21.0593116666667,0.449642316581803
"ADAM2",0,0,0,0,0,0,1
"ADAM20",0.21506,0.21506,0.060308,0.079075,0.087706,0.0756963333333333,1.12955669955183
"ADAM21",0.44278,0.44278,0.188727,0.221899,0.309121,0.239915666666667,1.1636113961514
"ADAM21P1",0.08856,0.08856,0.012879,0,0,0.004293,1.08390678815844
"ADAM22",2.3657,2.3657,13.135,11.196035,9.8092,11.3800783333333,0.271864192566364
"ADAM23",83.65959,83.65959,48.84821,52.745915,47.205046,49.5997236666667,1.6731235640279
"ADAM28",3.2892,3.2892,1.502507,0.416905,0.03323,0.650880666666667,2.59812843326855
"ADAM29",0,0,0.184234,0.673702,0.264276,0.374070666666667,0.727764607933799
"ADAM30",0,0,0,0,0,0,1
"ADAM32",0.54398,0.54398,0.985926,0.562709,0.705876,0.751503666666667,0.88151685285272
"ADAM33",8.48867,8.48867,1.225579,0.212729,0.396698,0.611668666666667,5.88748183559648
"ADAM3A",0,0,0.341385,0,0.42368,0.255021666666667,0.796798992846073
"ADAM3B",0,0,0,0,0,0,1
"ADAM5",0,0,0,0,0,0,1
"ADAM6",0,0,0,0,0,0,1
"ADAM7",0,0,0.297177,0.021595,0.063257,0.127343,0.887041477172431
"ADAM8",0.0253,0.0253,5.896302,4.237317,5.824988,5.31953566666667,0.162242932721798
"ADAM9",112.00998,112.00998,31.044422,15.040139,19.545192,21.8765843333333,4.93998484884537
"ADAMDEC1",0.08856,0.08856,0,0,0,0,1.08856
"ADAMTS1",36.80111,36.80111,53.416922,36.50485,34.398098,41.4399566666667,0.890696244034808
"ADAMTS10",0.27832,0.27832,30.984806,32.271974,30.357747,31.2048423333333,0.0396934096670576
"ADAMTS12",1.32833,1.32833,3.104435,1.18569,1.477975,1.9227,0.796636671570808
"ADAMTS13",2.06208,2.06208,8.251614,7.895253,8.511647,8.21950466666667,0.332130641581106
"ADAMTS14",0.11386,0.11386,1.91118,0.569069,0.357461,0.945903333333333,0.572412812558349
"ADAMTS15",5.11091,5.11091,3.856279,2.752015,3.081575,3.22995633333333,1.44467448797147
"ADAMTS16",0,0,38.568071,1.033011,1.581908,13.7276633333333,0.0678994336960898
"ADAMTS17",1.13857,1.13857,0.604486,0.821092,0.902747,0.776108333333333,1.20407632792669
"ADAMTS18",0,0,0.836196,0.34132,0.027707,0.401741,0.713398552228978
"ADAMTS19",0.17711,0.17711,0.691824,0.172356,0.296478,0.386886,0.848743155529726
