"Hs_symbol","Heart","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"C2orf83",0,0,0.037134,0.054186,0.051629,0.0476496666666667,1,2,2,0.954517556600505
"C2orf88",45.46689,45.46689,4.581836,3.526941,4.796418,4.30173166666667,117,146,206,8.7644741230774
"C2orf91",0,0,0.037548,0.025386,0.050848,0.0379273333333333,2,2,4,0.963458585090414
"C3",74.29802,74.29802,1.508983,0.466936,0.831984,0.935967666666667,11,8,12,38.8942549488172
"C3AR1",5.99647,5.99647,0.362432,0,0.025586,0.129339333333333,3,0,2,6.19518845531517
"C3orf14",7.21094,7.21094,51.294502,55.551395,51.144386,52.6634276666667,646,1050,946,0.153008116645152
"C3orf18",30.70344,30.70344,18.892271,21.093537,11.996004,17.3272706666667,369,536,441,1.72985059131918
"C3orf20",0.10121,0.10121,0,0.033155,0.015288,0.0161476666666667,0,2,1,1.08371060242885
"C3orf22",0,0,0.037085,0,0,0.0123616666666667,1,0,0,0.987789278205911
"C3orf33",10.5634,10.5634,4.004857,5.24178,6.019444,5.08869366666667,105,159,176,1.89915943107884
"C3orf35",0.46808,0.46808,0.989565,0.927527,0.806367,0.907819666666667,34,32,36,0.769506691670195
"C3orf36",0.21506,0.21506,0.040663,0.089006,0.027975,0.052548,1,3,1,1.15439865925354
"C3orf38",17.87555,17.87555,6.467097,6.405315,5.098959,5.990457,165,235,195,2.70018827095281
"C3orf49",0.15181,0.15181,0.761926,1.433958,0.729689,0.975191,8,18,10,0.583138542044795
"C3orf52",3.41571,3.41571,0.342079,0.059961,0.16831,0.190116666666667,10,3,4,3.71031691570854
"C3orf56",0,0,0,0,0,0,0,0,0,1
"C3orf62",6.94528,6.94528,12.950923,10.674948,8.245731,10.6238673333333,206,343,276,0.683531545238444
"C3orf70",1.83436,1.83436,6.162137,7.400446,4.408303,5.99029533333333,726,1186,752,0.4054707082953
"C3orf80",0,0,1.454923,1.12198,1.188023,1.25497533333333,53,53,68,0.443463830942127
"C3P1",0,0,0,0,0,0,0,0,0,1
"C4A",0.41748,0.41748,17.811152,7.889752,6.106918,10.6026073333333,143,132,115,0.12216909176334
"C4B",0.18976,0.18976,1.940677,2.615873,1.287382,1.94797733333333,37,42,16,0.403585192649604
"C4BPA",0.0759,0.0759,0.29096,0.042815,0.135399,0.156391333333333,10,2,3,0.930394382063281
"C4BPAP1",0,0,0,0,0,0,0,0,0,1
"C4BPAP2",0,0,0,0,0,0,0,0,0,1
"C4BPB",0.55663,0.55663,0.085739,0.028287,0,0.0380086666666667,3,1,0,1.49963102427533
"C4orf17",0,0,0.10593,0.209555,0.041024,0.118836333333333,3,8,2,0.893785775637724
"C4orf19",0.0506,0.0506,0.204582,0.079259,0.220873,0.168238,2,1,4,0.899303052973795
"C4orf3",103.40746,103.40746,35.734791,35.85792,42.25756,37.9500903333333,1478,2019,2491,2.68054474601946
"C4orf33",10.17123,10.17123,8.288749,9.261323,8.974267,8.84144633333333,142,204,222,1.13512075579406
"C4orf36",24.37805,24.37805,0.494117,1.089934,0.517057,0.700369333333333,4,22,15,14.9250221716537
"C4orf45",0,0,0,0,0,0,0,0,0,1
"C4orf46",8.72904,8.72904,3.48536,3.561485,2.70199,3.24961166666667,141,216,177,2.28939507021622
"C4orf47",0.64519,0.64519,0.640604,0.678724,1.15187,0.823732666666667,7,12,20,0.9021004174954
"C4orf48",0,0,28.581673,30.664845,115.270759,58.1724256666667,94,140,547,0.0168997635086527
"C4orf50",0,0,1.061585,0.843904,0.966915,0.957468,234,255,312,0.51086403455893
"C4orf51",0,0,0,0,0,0,0,0,0,1
"C5",1.63195,1.63195,0.653573,0.564094,0.577417,0.598361333333333,16,21,26,1.64665519936668
"C5AR1",2.53016,2.53016,4.155155,2.4178,2.265877,2.94627733333333,48,38,35,0.894554462805115
"C5orf15",66.6696,66.6696,24.431569,20.865859,15.289057,20.195495,598,648,529,3.19264070029976
"C5orf17",0.13916,0.13916,0.613441,0.026467,0.443198,0.361035333333333,9,1,10,0.836980475157882
"C5orf22",37.10473,37.10473,21.238397,17.846371,16.014428,18.3663986666667,538,717,618,1.96756922419374
"C5orf24",31.17152,31.17152,92.207062,79.566128,78.567503,83.4468976666667,1479,1992,1745,0.380967458709841
"C5orf34",0.49338,0.49338,0.620996,1.090804,1.288388,1.00006266666667,21,43,37,0.746666604446394
"C5orf38",0.25302,0.25302,13.219199,11.251911,20.234752,14.901954,59,82,150,0.0787966057504631
"C5orf46",23.25213,23.25213,0.907607,0,0.146154,0.351253666666667,5,0,1,17.9478735919557
"C5orf47",0.35422,0.35422,0.181557,0.185783,0.438709,0.268683,4,9,15,1.06742188553011
"C5orf49",0,0,3.53009,3.418684,3.606278,3.51835066666667,59,89,92,0.221319696892347
"C5orf51",12.60017,12.60017,11.269252,11.346548,8.417946,10.344582,953,1299,1005,1.19882513079812
"C5orf52",0,0,0.12425,0.181417,0.085188,0.130285,1,2,1,0.884732611686433
"C5orf58",0.35422,0.35422,1.84781,0,0.542664,0.796824666666667,5,0,3,0.753673981174939
"C5orf60",0,0,0.177109,0.016787,0.099714,0.09787,1,1,2,0.910854654922714
"C5orf63",6.83142,6.83142,0.321908,1.250028,1.095288,0.889074666666667,13,23,24,4.14563814664816
"C5orf64",0.46808,0.46808,0.525166,0.572324,0.214834,0.437441333333333,20,19,8,1.02131472496037
"C6",36.15592,36.15592,0,0,0,0,0,0,0,37.15592
"C6orf118",0,0,0.341759,0.667075,0.237477,0.415437,3,14,4,0.706495591114264
"C6orf120",16.33215,16.33215,5.502963,3.854141,3.857312,4.40480533333333,220,211,229,3.20680374797341
"C6orf132",1.01206,1.01206,0.543568,0.130757,0.3507,0.341675,36,11,36,1.49966273501407
"C6orf136",51.38746,51.38746,127.008009,118.499884,139.123362,128.210418333333,225,274,326,0.405443002783664
"C6orf141",0.96146,0.96146,0.897034,0.265349,0.27485,0.479077666666667,15,9,5,1.32613725716004
"C6orf15",0,0,0,0,0,0,0,0,0,1
"C6orf163",2.26449,2.26449,0.547144,0.784165,0.908332,0.746547,14,16,17,1.86911087992479
"C6orf201",0.27832,0.27832,1.099726,0.750148,2.054994,1.30162266666667,5,3,6,0.555399465999929
"C6orf223",0.03795,0.03795,0.032706,0.051591,0.129208,0.0711683333333333,2,3,6,0.968988689919574
"C6orf226",2.391,2.391,6.288151,7.035464,6.0213,6.448305,32,50,48,0.455271367109698
"C6orf47",10.55075,10.55075,4.744911,5.939227,5.114989,5.26637566666667,185,317,289,1.84329038258
"C6orf52",1.15122,1.15122,4.447912,4.397129,6.065069,4.97003666666667,19,25,29,0.360336145339141
"C6orf58",0,0,0.687422,1.881536,0.863567,1.144175,3,9,4,0.466379843063183
"C6orf62",95.20975,95.20975,44.122691,55.087721,46.557633,48.5893483333333,1032,1867,1568,1.94012934699787
"C6orf89",49.41394,49.41394,14.535844,11.44207,9.461477,11.8131303333333,1262,1608,1443,3.93455296937457
"C6orf99",0.51868,0.51868,0.277579,0.188954,0.416023,0.294185333333333,3,3,3,1.17346407881818
"C7",523.70424,523.70424,5.24024,0.007891,0,1.749377,35,1,0,190.844776834898
"C7orf25",2.4416,2.4416,0.302009,0.733176,1.661499,0.898894666666667,11,25,44,1.81242280596923
"C7orf26",9.03266,9.03266,19.647577,20.400582,16.015544,18.687901,294,456,416,0.509585049213728
"C7orf31",1.41689,1.41689,2.725511,3.08454,1.870563,2.56020466666667,69,130,109,0.678862657146864
"C7orf33",0,0,0,0,0,0,0,0,0,1
"C7orf50",2.88438,2.88438,38.383443,37.585656,40.81378,38.9276263333333,405,547,636,0.0972855227498748
"C7orf57",0.13916,0.13916,0,0.030625,0,0.0102083333333333,0,1,0,1.1276485873376
"C7orf61",0,0,1.268328,1.282549,1.690533,1.41380333333333,11,16,21,0.414283958510843
"C7orf65",0,0,0,0.03167,0,0.0105566666666667,0,2,0,0.989553612365462
"C7orf66",0,0,0,0,0,0,0,0,0,1
"C7orf69",0,0,0.298345,0,0,0.0994483333333333,2,0,0,0.909547060722878
"C8A",0,0,0,0,0,0,0,0,0,1
"C8B",0,0,0,0,0,0,0,0,0,1
"C8G",0,0,0.560592,1.346752,0.696315,0.867886333333333,2,8,6,0.535364482385527
"C8orf31",0.37952,0.37952,4.518437,6.695225,4.437246,5.21696933333333,50,96,73,0.221895899116547
"C8orf33",22.40453,22.40453,25.361189,27.777829,30.620861,27.9199596666667,1001,1364,1454,0.809286398382367
"C8orf34",0.35422,0.35422,1.497922,0.49614,0.68339,0.892484,34,28,29,0.715578044517153
"C8orf37",6.51515,6.51515,0.95664,0.822747,1.206507,0.995298,49,57,87,3.76642987663998
"C8orf44",11.53751,11.53751,10.186972,7.218227,6.938778,8.114659,126,126,130,1.37553253500762
"C8orf48",3.49161,3.49161,1.386702,2.265767,1.826278,1.826249,28,62,53,1.58924779805318
"C8orf49",5.69285,5.69285,0.10217,0.070446,0.047002,0.073206,3,3,2,6.23631437021411
"C8orf58",3.87114,3.87114,5.647756,7.601873,5.989228,6.41295233333333,144,221,214,0.657112008949021
"C8orf74",0,0,0,0,0.037733,0.0125776666666667,0,0,2,0.987578565989835
"C8orf76",19.10267,19.10267,16.22596,18.096898,18.805841,17.7095663333333,142,192,207,1.07445943117263
"C8orf82",3.50427,3.50427,7.606416,9.220054,7.916795,8.247755,164,252,285,0.48706632042047
"C8orf86",0.03795,0.03795,0.099894,0.250121,0.084329,0.144781333333333,4,9,2,0.906679703605696
"C8orf87",0,0,0,0,0,0,0,0,0,1
"C9",0.22771,0.22771,0,0,0,0,0,0,0,1.22771
"C9orf116",1.30303,1.30303,13.101571,9.535775,19.436861,14.0247356666667,55,80,97,0.153282563573442
"C9orf129",5.11091,5.11091,7.865158,4.441266,7.311909,6.53944433333333,37,29,54,0.810525249584043
"C9orf131",0.24036,0.24036,0.115179,0.042541,0.309172,0.155630666666667,6,3,3,1.07331869582323
"C9orf135",0.46808,0.46808,0.392759,0.192833,0.180771,0.255454333333333,3,2,2,1.16936152994281
"C9orf139",0.06325,0.06325,1.789028,2.51356,2.278308,2.193632,26,42,38,0.332928152022525
"C9orf152",0.03795,0.03795,0.047296,0.051863,0.065181,0.05478,2,3,4,0.984044066061169
"C9orf153",0.12651,0.12651,0.566814,0,0.37361,0.313474666666667,6,0,3,0.857656434942027
"C9orf16",2.02412,2.02412,97.196364,121.396679,118.850431,112.481158,631,1083,1334,0.0266486529860755
"C9orf163",0,0,0.085975,0.163124,0.086403,0.111834,3,8,5,0.899414840704638
"C9orf24",12.80259,12.80259,9.231718,9.134315,9.551226,9.305753,24,29,33,1.33930921884117
"C9orf40",2.21389,2.21389,7.682059,7.351097,7.944188,7.65911466666667,252,332,399,0.371156881935274
"C9orf43",0.797,0.797,0.371436,0.149047,0.172071,0.230851333333333,11,6,8,1.45996510816091
"C9orf50",0,0,1.480751,1.09736,1.210352,1.262821,27,41,45,0.44192625046347
"C9orf57",0,0,0.055523,0.040986,0.038505,0.0450046666666667,1,1,1,0.956933525655707
"C9orf62",0,0,0,0,0,0,0,0,0,1
"C9orf64",13.86525,13.86525,0.336391,0.190916,0.182961,0.236756,13,9,4,12.0195495311929
"C9orf72",14.44719,14.44719,24.043906,18.58141,15.35493,19.3267486666667,885,991,828,0.759943966116503
"C9orf78",73.74138,73.74138,24.098063,34.821363,28.34861,29.0893453333333,437,623,627,2.48398159454804
"C9orf85",12.48632,12.48632,8.40012,7.930136,6.327881,7.55271233333333,189,267,211,1.57684714209765
"C9orf92",0,0,0,0,0,0,0,0,0,1
"CA1",0.06325,0.06325,0.061408,0.429787,0,0.163731666666667,1,2,0,0.913655639401408
"CA10",0,0,55.243326,62.408791,43.26682,53.6396456666667,1442,2352,1929,0.0183017292260747
"CA11",3.11209,3.11209,71.955683,86.145346,98.436393,85.512474,600,1057,1098,0.0475317582525729
"CA12",0.12651,0.12651,0.850867,0.27095,0.276789,0.466202,17,15,24,0.768318417244009
"CA13",6.21153,6.21153,1.017784,1.300443,1.583323,1.30051666666667,34,75,108,3.13474364454362
"CA14",15.15563,15.15563,2.039281,1.332258,1.307556,1.55969833333333,33,32,30,6.3115367110317
"CA15P1",0,0,0,0.063359,0.059927,0.0410953333333333,0,1,1,0.960526829755584
"CA2",23.26478,23.26478,0.958674,0.794415,0.38715,0.713413,16,13,9,14.1616644673526
"CA3",6.48985,6.48985,0.377035,0.207833,0.143959,0.242942333333333,5,7,5,6.02590305208582
"CA4",17.34422,17.34422,0.082838,0.121659,0.124742,0.109746333333333,1,2,2,16.5301019241935
"CA5A",0,0,0,0,0.083548,0.0278493333333333,0,0,1,0.972905237732638
"CA5AP1",0,0,0.013248,0,0,0.004416,0,0,0,0.995603415317956
"CA5B",1.6952,1.6952,2.98626,2.537025,2.146526,2.55660366666667,109,118,116,0.757801614292887
"CA5BP1",7.75493,7.75493,7.534155,9.927877,8.668446,8.71015933333333,95,181,153,0.901625781767124
"CA6",0.0759,0.0759,0.260436,0.088047,0.042529,0.130337333333333,6,3,1,0.951839745775008
"CA7",0,0,0.089907,0.065344,0.062104,0.0724516666666667,2,2,2,0.932442953917115
"CA8",6.21153,6.21153,0.037698,0,0.025754,0.0211506666666667,1,0,2,7.06216059530229
"CA9",0,0,0,0.52767,0.499703,0.342457666666667,0,2,5,0.744902446334124
"CAAP1",12.80259,12.80259,8.762033,7.305332,9.322987,8.46345066666667,154,188,149,1.45851555486174
"CAB39",85.15238,85.15238,39.945875,42.152182,37.248205,39.7820873333333,1870,2718,2495,2.11250540698988
"CAB39L",23.6443,23.6443,17.192052,13.950048,14.053056,15.065052,650,658,637,1.53403176037027
"CABIN1",12.67608,12.67608,42.545372,36.074163,32.606932,37.075489,1933,2205,2277,0.359183305564375
"CABLES1",1.49279,1.49279,3.793588,3.018061,1.520258,2.77730233333333,136,128,108,0.659939231763903
"CABLES2",5.02236,5.02236,12.215765,9.968203,9.009724,10.3978973333333,469,489,486,0.528374648751003
"CABP1",9.52604,9.52604,3.342249,6.844166,6.70984,5.632085,66,137,169,1.58713888618738
"CABP2",0,0,0,0,0,0,0,0,0,1
"CABP4",0.15181,0.15181,0.087979,0.082838,0.077851,0.0828893333333333,1,2,2,1.06364516164779
"CABP5",0,0,0.073008,0,0,0.024336,2,0,0,0.976242170537792
"CABP7",0,0,0.553383,0.516469,0.698209,0.589353666666667,27,35,52,0.629186581295835
"CABS1",0.06325,0.06325,0,0.101248,0.031754,0.044334,0,3,1,1.01811297918099
"CABYR",0.49338,0.49338,20.806978,25.438652,17.686736,21.3107886666667,176,292,291,0.0669353299119891
"CACFD1",1.07532,1.07532,16.423623,23.579632,14.513724,18.1723263333333,238,394,301,0.108245601703108
"CACHD1",3.59282,3.59282,6.227659,4.509197,4.858776,5.198544,546,543,620,0.740951423431051
"CACNA1A",0.65784,0.65784,44.395924,45.562327,33.265494,41.0745816666667,1218,1810,1716,0.0394024119629789
"CACNA1B",0.03795,0.03795,18.471725,14.123547,14.159795,15.5850223333333,2374,2722,2611,0.0625835756587364
"CACNA1C",33.97999,33.97999,15.084661,8.822111,8.671342,10.8593713333333,1330,1709,1580,2.94956528611944
"CACNA1D",0.11386,0.11386,2.867225,4.405286,2.384387,3.218966,112,260,175,0.264012556631175
"CACNA1E",0.10121,0.10121,20.341315,18.311783,12.716186,17.1230946666667,2694,3664,3278,0.0607628012905228
"CACNA1F",0.01265,0.01265,0.306004,0.140109,0.319811,0.255308,4,2,2,0.806694452676156
"CACNA1G",0.0253,0.0253,0.754564,0.578094,0.957447,0.763368333333333,64,68,123,0.581444035609879
"CACNA1H",0.64519,0.64519,12.937816,13.76901,16.00602,14.2376153333333,1112,1915,2200,0.107968994098508
"CACNA1I",0,0,11.113514,0.415367,6.610538,6.046473,440,90,218,0.141914969375459
"CACNA1S",0,0,0.019734,0.007243,0,0.00899233333333333,2,1,0,0.991087808067257
"CACNA2D1",47.63018,47.63018,5.870154,3.498106,3.527546,4.298602,709,573,599,9.17792655496676
"CACNA2D2",0.70844,0.70844,12.708032,15.109581,14.4489,14.0888376666667,1034,1654,1773,0.113225421184972
"CACNA2D3",65.67019,65.67019,8.193856,20.777788,12.937786,13.96981,360,1270,929,4.45364303220949
"CACNA2D4",1.34098,1.34098,0.045865,0.033423,0.159905,0.079731,1,2,2,2.16811409508479
"CACNB1",2.02412,2.02412,50.917553,52.544346,42.133449,48.5317826666667,1507,2126,2145,0.0610541320580238
"CACNB2",26.14916,26.14916,10.615492,5.198509,7.284031,7.699344,355,268,314,3.12082842108554
"CACNB3",2.35304,2.35304,97.062993,93.871894,93.987284,94.974057,1483,2201,1965,0.0349369413444719
"CACNB4",0.15181,0.15181,1.647035,2.548626,1.552508,1.91605633333333,180,247,256,0.394988939971324
"CACNG1",0.0759,0.0759,0.271325,0.315314,0.411419,0.332686,5,8,11,0.807316952380381
"CACNG2",0,0,10.937482,16.590276,10.730086,12.7526146666667,381,803,560,0.0727134457147106
"CACNG3",0,0,0.903734,8.330865,8.35309,5.862563,26,327,348,0.145718152241371
"CACNG4",0,0,36.909861,38.156949,27.843664,34.3034913333333,2075,2950,2320,0.0283258103443102
"CACNG5",0,0,1.215779,0.206485,0.2552,0.559154666666667,210,50,64,0.641373188548324
"CACNG6",0,0,0.361126,0.244361,0.39718,0.334222333333333,8,9,15,0.749500270694514
"CACNG7",0,0,48.691192,55.240257,53.765757,52.5657353333333,1166,2015,2077,0.0186686506546978
"CACNG8",0.12651,0.12651,7.821093,6.263709,5.782702,6.62250133333333,1090,1194,1207,0.147787445450977
"CACTIN",1.37893,1.37893,7.254796,9.636747,6.634264,7.84193566666667,172,250,244,0.269050815306015
"CACUL1",19.89967,19.89967,11.48316,8.391168,8.698359,9.524229,924,896,913,1.98586233727905
"CACYBP",135.8314,135.8314,355.705426,384.402793,321.508337,353.872185333333,873,1099,1092,0.385579387889963
"CAD",3.13739,3.13739,27.09137,21.716882,20.389914,23.0660553333333,715,898,789,0.171918078916298
"CADM1",44.98616,44.98616,67.611504,116.655739,77.485015,87.2507526666667,2357,5149,3746,0.521085187496305
"CADM2",1.6446,1.6446,0.49758,0.295932,0.259288,0.350933333333333,64,50,52,1.95760955388867
"CADM3",1.97352,1.97352,108.48053,114.721444,108.976235,110.726069666667,6064,7773,8276,0.0266143793375303
"CADM4",2.50485,2.50485,228.339683,278.545263,229.158918,245.347954666667,2355,3905,3519,0.0142272340143534
"CADPS",17.58458,17.58458,291.814764,237.899052,254.339094,261.35097,7408,8166,8615,0.0708386174444104
"CADPS2",17.9388,17.9388,0.16819,0.021641,0,0.063277,8,2,0,17.8117273297551
"CAGE1",0.15181,0.15181,0.232085,0.170177,0.048817,0.150359666666667,2,3,3,1.00126076511143
"CALB1",0.30362,0.30362,10.982218,4.073166,3.119472,6.05828533333333,248,99,59,0.184693581859541
"CALB2",0.25302,0.25302,13.59162,3.754546,8.72305,8.68973866666667,127,63,133,0.129314117037075
"CALCA",0,0,0.809199,0.211304,0.488623,0.503042,8,3,9,0.665317402973437
"CALCB",0.08856,0.08856,0.774908,1.848091,2.827167,1.816722,14,36,64,0.386463413854828
"CALCOCO1",170.65899,170.65899,34.1803,29.593336,25.527441,29.7670256666667,1003,1266,1090,5.57931702140377
"CALCOCO2",496.51772,496.51772,35.624855,29.014812,24.545427,29.7283646666667,416,435,439,16.1908297235126
"CALCP",0,0,0,0,0,0,0,0,0,1
"CALCR",0.0253,0.0253,0.088401,0,0.024858,0.037753,5,0,2,0.988000034690336
"CALCRL",26.89555,26.89555,1.36113,1.29288,0.8763,1.17677,73,58,44,12.8151113806236
"CALD1",235.97495,235.97495,174.700637,29.504906,35.373946,79.8598296666667,1496,740,673,2.93068821659526
"CALHM1",0,0,0.234364,0.15657,0.13324,0.174724666666667,12,11,10,0.851263303117269
"CALHM2",4.0356,4.0356,0.635659,0.742621,0.665892,0.681390666666667,16,27,25,2.99490183919184
"CALHM3",0.0506,0.0506,0.041359,0.029906,0,0.023755,1,1,0,1.02622209415339
"CALM1",598.736,598.736,307.398022,377.31874,336.872344,340.529702,11487,18981,17908,1.75602882117702
"CALM1P1",0,0,0,0,0,0,0,0,0,1
"CALM2",1031.29138,1031.29138,977.776472,1004.330838,899.996431,960.701247,15061,21049,19868,1.07340131170694
"CALM2P4",0,0,0,0,0,0,0,0,0,1
"CALM3",221.47716,221.47716,723.947844,914.579797,870.20622,836.244620333333,12663,21427,22642,0.265725398046063
"CALML3",0,0,0,0,0,0,0,0,0,1
"CALML4",10.22183,10.22183,2.497928,1.562337,1.212687,1.75765066666667,17,17,11,4.06934429209791
"CALML5",0,0,0,0,0,0,0,0,0,1
"CALML6",0.20241,0.20241,0.600073,0.749593,0.357487,0.569051,4,16,9,0.766329456467636
"CALN1",0,0,10.7718,10.156364,6.475435,9.134533,1074,1226,892,0.0986725288673884
"CALR",215.5566,215.5566,251.752818,195.586431,208.920609,218.753286,3100,2987,3520,0.985453296020338
"CALR3",0,0,0.057542,0.241728,0,0.0997566666666667,1,2,0,0.909292055515311
"CALU",449.8996,449.8996,55.401453,26.494814,21.374721,34.4236626666667,1609,1234,1201,12.7287684574834
"CALY",0,0,66.626022,43.558209,76.090754,62.0916616666667,702,635,974,0.0158499550270734
"CAMK1",12.09414,12.09414,22.789667,23.250636,22.411486,22.817263,317,457,510,0.549775177777564
"CAMK1D",1.07532,1.07532,10.326219,11.210743,9.697974,10.4116453333333,966,1684,1427,0.181859840485754
"CAMK1G",0.25302,0.25302,13.950546,9.160678,8.303334,10.4715193333333,275,228,280,0.109228774636594
"CAMK2A",10.41159,10.41159,6.574032,1.740638,1.968682,3.427784,389,142,210,2.57726890019929
"CAMK2B",26.0353,26.0353,40.868328,44.619994,38.045978,41.1781,1561,2168,2103,0.64097956048281
"CAMK2D",292.41007,292.41007,34.233561,23.718502,23.272888,27.0749836666667,1571,1596,1541,10.4509435689669
"CAMK2G",11.27184,11.27184,52.61835,60.853947,50.065546,54.5126143333333,2040,3304,3203,0.221063989642282
"CAMK2N1",16.77493,16.77493,57.914886,161.910591,103.378116,107.734531,1492,5839,4551,0.163470884883846
"CAMK2N2",0,0,48.923001,42.509864,44.934732,45.4558656666667,704,871,1228,0.0215258070353326
"CAMK4",0.03795,0.03795,2.498533,3.741227,2.926438,3.05539933333333,377,994,804,0.255942735766753
"CAMKK1",1.44219,1.44219,5.763711,5.107502,5.56796,5.47972433333333,321,385,446,0.376897206480955
"CAMKK2",11.56281,11.56281,14.279087,18.559089,13.452171,15.4301156666667,806,1615,1335,0.764620910459405
"CAMKMT",8.66578,8.66578,7.373008,7.107232,8.804205,7.76148166666667,70,109,120,1.10321294590774
"CAMKV",0,0,54.740307,44.557354,47.014308,48.7706563333333,1868,2135,2566,0.020092160193802
"CAMLG",29.42571,29.42571,44.018066,39.278546,43.045388,42.114,733,943,1120,0.705703715730389
"CAMP",0.15181,0.15181,0,0,0,0,0,0,0,1.15181
"CAMSAP1",6.51515,6.51515,76.319827,82.073546,52.230737,70.2080366666667,2630,4038,3596,0.105537947004203
"CAMSAP2",15.28214,15.28214,20.332606,21.27713,19.383292,20.3310093333333,2369,3247,2989,0.763308465415951
"CAMSAP3",0.0253,0.0253,44.179552,59.170191,41.476158,48.2753003333333,1071,2016,1743,0.0208075849982474
"CAMTA1",230.05439,230.05439,67.00103,77.473252,67.472331,70.648871,5122,8004,7195,3.22481550337339
"CAMTA2",18.25507,18.25507,139.521108,161.050061,146.962503,149.177890666667,1194,1528,1564,0.128215078228382
"CAND1",29.86849,29.86849,39.842304,38.797017,35.676049,38.1051233333333,2763,3534,3359,0.789372014937173
"CAND2",13.0809,13.0809,6.77578,7.16571,5.986417,6.64263566666667,334,517,463,1.84241413749628
"CANT1",8.70373,8.70373,23.052531,21.682751,16.35645,20.3639106666667,549,718,680,0.454211316991714
"CANX",350.30003,350.30003,379.43194,307.12197,304.476491,330.343467,7995,8762,8544,1.0602292333713
"CAP1",83.33067,83.33067,257.914739,252.214363,235.545741,248.558281,3056,4158,4440,0.337919742282565
"CAP1P2",0,0,0,0,0,0,0,0,0,1
"CAP2",161.9679,161.9679,12.143482,15.253136,12.732848,13.3764886666667,404,704,644,11.3357234703532
"CAPG",1.55605,1.55605,2.130043,1.811289,1.652725,1.86468566666667,13,14,14,0.892261943340613
"CAPN1",12.32186,12.32186,121.851792,142.869381,134.378072,133.033081666667,2523,3865,3599,0.0993923278816402
"CAPN10",2.11268,2.11268,15.643943,19.672964,15.030038,16.782315,322,496,451,0.175043575597441
"CAPN11",0.10121,0.10121,0.023179,0.052921,0.01606,0.03072,1,2,1,1.06838908723999
"CAPN12",2.27714,2.27714,1.12877,0.447978,1.6233,1.06668266666667,20,7,21,1.58570062683386
"CAPN13",0,0,0.454904,0.096935,0.326694,0.292844333333333,5,5,11,0.773488326643089
"CAPN14",0.06325,0.06325,0.064998,0.095701,0.112972,0.0912236666666667,4,8,10,0.974364864398408
"CAPN2",107.02558,107.02558,69.522276,64.690623,64.311081,66.17466,2002,2511,2662,1.60812991089199
"CAPN3",27.86966,27.86966,1.887527,1.356072,1.99393,1.745843,40,36,48,10.5139514531603
"CAPN5",1.40424,1.40424,30.007398,41.444493,32.513329,34.6550733333333,1653,3075,2696,0.0674305161995647
"CAPN6",0.0253,0.0253,0.017822,0.026232,0.012296,0.0187833333333333,1,2,1,1.00639651872331
"CAPN7",33.91673,33.91673,17.476224,22.567749,17.73022,19.2580643333333,537,847,726,1.72359656013861
"CAPN8",0.12651,0.12651,0.441521,0.730372,0.702859,0.624917333333333,10,5,5,0.693272191077618
"CAPN9",0.08856,0.08856,0.216781,0.044018,0.020737,0.0938453333333333,4,2,1,0.995168116394274
"CAPNS1",615.0555,615.0555,439.956392,444.212726,453.503532,445.890883333333,2717,3747,3992,1.37853673676419
"CAPNS1P1",0,0,0,0,0,0,0,0,0,1
"CAPNS2",0,0,0.079223,0,0,0.0264076666666667,1,0,0,0.97427175621902
"CAPRIN1",119.65105,119.65105,209.025685,211.66994,185.252957,201.982860666667,4577,6664,6242,0.594390332285887
"CAPRIN2",41.5072,41.5072,44.915546,49.495045,42.387502,45.5993643333333,1531,2359,2133,0.912184116846286
"CAPS",2.20124,2.20124,1.805839,2.707682,1.636654,2.05005833333333,44,52,51,1.04956681156371
"CAPS2",11.63872,11.63872,2.372886,0.698213,1.31232,1.46113966666667,43,23,36,5.13531197403263
"CAPSL",0,0,0,0,0,0,0,0,0,1
"CAPZA1",55.17004,55.17004,129.814958,96.958565,95.437562,107.403695,1625,2158,2007,0.51815613849694
"CAPZA2",357.05554,357.05554,435.591832,415.768999,370.633123,407.331318,1287,1910,1655,0.876875038029779
"CAPZA3",0,0,0,0,0,0,0,0,0,1
"CAPZB",195.35331,195.35331,157.938492,160.662576,155.430267,158.010445,2253,3046,3260,1.23484535874357
"CARD10",0.67049,0.67049,4.395004,4.18574,3.107855,3.89619966666667,96,156,155,0.341180939039864
"CARD11",0.0253,0.0253,0.367475,0,0.159905,0.175793333333333,26,0,1,0.872006985354569
"CARD14",0.08856,0.08856,1.366417,0.860695,0.818732,1.01528133333333,44,51,47,0.540152871956339
"CARD16",15.54781,15.54781,0,0,0,0,0,0,0,16.54781
"CARD17",0,0,0,0,0,0,0,0,0,1
"CARD18",1.31568,1.31568,0.040883,0,0,0.0136276666666667,1,0,0,2.28454695560467
"CARD6",5.31333,5.31333,0.377362,0.235174,0.334312,0.315616,8,6,11,4.79876346897575
"CARD8",34.65048,34.65048,11.255285,9.047101,9.603867,9.968751,325,406,357,3.25018591451297
"CARD9",0.08856,0.08856,0.516302,0.360455,0.354994,0.410583666666667,32,32,35,0.771708921437013
