"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"CREBRF","Crebrf",15.901784,9.626338,10.913103,977,1179,1032,12.147075,3.79478,3.79478,2.74195583530423
"CREBZF","Crebzf",25.416437,18.812504,16.014077,397,440,382,20.081006,14.31143,14.31143,1.37681496764182
"CREG1","Creg1",22.670941,33.48841,33.607113,315,714,707,29.9221546666667,61.10322,61.10322,0.497915481140377
"CREG2","Creg2",21.888656,9.840846,9.482974,2019,1628,1582,13.737492,4.41156,4.41156,2.72333523050655
"CRELD1","Creld1",35.892152,30.262988,26.523962,760,1273,1132,30.893034,123.36683,123.36683,0.256443249377668
"CRELD2","Creld2",5.881276,7.095605,7.160089,105,230,236,6.71232333333333,47.16813,47.16813,0.16011257512661
"CREM","Crem",21.361128,16.483372,13.45011,223,264,204,17.0982033333333,51.90376,51.90376,0.342096730616753
"CRH","Crh",2.863697,1.429923,1.242459,46,44,39,1.84535966666667,0.01045,0.01045,2.81593316509146
"CRHBP","Crhbp",8.858812,8.5172,6.881867,215,371,296,8.08595966666667,1.56809,1.56809,3.53802229153444
"CRHR1","Crhr1",5.741675,5.565355,6.096392,199,359,401,5.80114066666667,1.28583,1.28583,2.97534841465318
"CRHR2","Crhr2",0.708466,0.58141,0.557604,15,34,28,0.615826666666667,0.9304,0.9304,0.837042409172538
"CRIM1","Crim1",26.499912,8.289776,9.216503,1159,636,692,14.6687303333333,6.00056,6.00056,2.23821099073979
"CRIP1","Crip1",15.935585,17.074876,20.228708,51,100,118,17.7463896666667,159.47471,159.47471,0.116818342695037
"CRIP2","Crip2",90.168183,94.444636,81.291509,742,1655,1462,88.634776,944.14672,944.14672,0.0948368905094439
"CRIP3","Crip3",0.268217,0.549682,0.410486,3,5,3,0.409461666666667,2.09079,2.09079,0.456019874099071
"CRIPT","Cript",40.80195,44.561886,46.735771,492,964,995,44.0332023333333,13.9769,13.9769,3.00684402869308
"CRISP2","Crisp2",0,0,0.017607,0,0,1,0.005869,0.05227,0.05227,0.955903902990677
"CRISPLD1","Crispld1",1.94238,1.205334,0.533287,81,78,54,1.22700033333333,3.25117,3.25117,0.52385586399352
"CRISPLD2","Crispld2",0.861913,0.864117,0.660964,52,94,70,0.795664666666667,13.94554,13.94554,0.120147192183532
"CRK","Crk",38.994589,30.195511,28.827611,2087,2841,2687,32.6725703333333,36.28559,36.28559,0.903098766395633
"CRKL","Crkl",11.931893,8.036864,7.379895,880,1061,1008,9.11621733333333,15.34637,15.34637,0.618866288560294
"CRLF1","Crlf1",4.833638,6.789865,9.502181,37,91,101,7.04189466666667,4.52655,4.52655,1.45513831715386
"CRLF2","Crlf2",4.935314,7.25721,7.981208,48,162,171,6.72457733333333,0,0,7.72457733333333
"CRLF3","Crlf3",6.160593,7.223337,6.867002,139,216,214,6.75031066666667,4.96562,4.96562,1.29916264640836
"CRLS1","Crls1",13.587729,13.457721,12.29814,302,517,449,13.11453,28.69604,28.69604,0.475300073679858
"CRMP1","Crmp1",49.500256,36.548977,32.103939,1963,2526,2413,39.3843906666667,31.20498,31.20498,1.25397968471543
"CRNKL1","Crnkl1",5.798381,6.508983,6.326374,243,430,358,6.211246,12.18928,12.18928,0.546750542865115
"CROCC","Crocc",8.035133,1.233388,1.716738,377,111,184,3.661753,20.19699,20.19699,0.219925234667752
"CROT","Crot",9.375579,9.363463,8.611339,404,695,648,9.11679366666667,8.34224,8.34224,1.08290877419834
"CRP","Crp",0.045108,0.025516,0,1,1,0,0.0235413333333333,0.08363,0.08363,0.944548723580312
"CRTAC1","Crtac1",42.875357,38.618515,45.821755,748,1196,1203,42.4385423333333,41.97253,41.97253,1.01084442394556
"CRTAM","Crtam",0.038115,0.043441,0.085469,1,2,4,0.055675,0.7945,0.7945,0.588283644469211
"CRTAP","Crtap",5.266257,5.822534,5.517866,65,121,130,5.53555233333333,61.24958,61.24958,0.104989500866244
"CRTC1","Crtc1",27.790519,10.504894,11.862487,2189,1535,1680,16.7193,5.36287,5.36287,2.78479679767149
"CRTC2","Crtc2",8.338173,4.89553,5.289758,201,239,235,6.174487,23.50044,23.50044,0.292830945076905
"CRTC3","Crtc3",3.067653,1.597824,1.260407,236,164,182,1.97529466666667,9.83715,9.83715,0.274545859997016
"CRX","Crx",0,0.02669,0.067427,0,2,5,0.0313723333333333,0.10454,0.10454,0.933757340914166
"CRY1","Cry1",62.345088,72.656665,51.102939,238,463,379,62.0348973333333,2.72848,2.72848,16.9063257234405
"CRY2","Cry2",25.776947,12.675669,11.462094,1523,1324,1218,16.6382366666667,16.34995,16.34995,1.01661599409028
"CRYAB","Cryab",148.201286,174.826857,179.580697,1165,2372,2618,167.53628,751.45988,751.45988,0.223980420059073
"CRYBA1","Cryba1",0.23514,0,0,2,0,0,0.07838,0.15681,0.15681,0.932201485118559
"CRYBA2","Cryba2",0,0.214484,0.4907,0,3,7,0.235061333333333,19.25614,19.25614,0.0609721957556244
"CRYBA4","Cryba4",0.25397,0.203896,0.790995,2,3,12,0.416287,0.56451,0.56451,0.905259154623492
"CRYBB1","Crybb1",3.286398,3.607233,3.82656,30,66,70,3.573397,9.59671,9.59671,0.431586501848215
"CRYBB2","Crybb2",0.157689,0,0,1,0,0,0.052563,0.30316,0.30316,0.807700512600141
"CRYBB3","Crybb3",0.255968,0.493834,0.323999,2,9,5,0.357933666666667,0.26135,0.26135,1.07657166263659
"CRYBG3","Crybg3",3.16546,1.545837,1.75603,190,117,116,2.15577566666667,5.69739,5.69739,0.471194848540501
"CRYGA","Cryga",0,0.408682,0.537516,0,5,6,0.315399333333333,0,0,1.31539933333333
"CRYGB","Crygb",0,0,0,0,0,0,0,0.21953,0.21953,0.819988028174789
"CRYGC","Crygc",0,0,0,0,0,0,0,0.17772,0.17772,0.849098257650375
"CRYGD","Crygd",0,0.092986,0,0,1,0,0.0309953333333333,17.66714,17.66714,0.0552304923696578
"CRYGN","Crygn",5.195424,3.231656,14.807066,1,6,15,7.74471533333333,6.82642,6.82642,1.11733274387694
"CRYGS","Crygs",0,0.1662,0.05459,0,3,1,0.0735966666666667,5.78102,5.78102,0.158323772333169
"CRYL1","Cryl1",6.943916,9.146369,10.816726,117,277,294,8.96900366666667,41.32439,41.32439,0.2355380353188
"CRYM","Crym",42.365636,53.038154,44.37083,761,1757,1500,46.59154,2.46713,2.46713,13.7264942474035
"CRYZ","Cryz",11.848239,19.454748,14.116021,194,453,410,15.1396693333333,32.79398,32.79398,0.477590071762288
"CRYZL1","Cryzl1",66.426805,63.125036,71.979785,642,1169,1250,67.1772086666667,44.49193,44.49193,1.49866599783009
"CS","Cs",78.843101,62.852143,60.724622,3408,4826,4732,67.4732886666667,60.29827,60.29827,1.1170509162276
"CSAD","Csad",40.750937,30.524405,23.912924,214,331,293,31.729422,11.31115,11.31115,2.65851865991398
"CSDC2","Csdc2",39.459248,31.579789,31.743292,1412,2102,2129,34.2607763333333,20.88695,20.88695,1.61104111506324
"CSDE1","Csde1",70.603458,53.575655,47.26895,3222,4026,3636,57.1493543333333,174.17293,174.17293,0.331953997306167
"CSE1L","Cse1l",39.322549,36.346206,30.030886,1020,1527,1322,35.2332136666667,67.0306,67.0306,0.532601706682973
"CSF1","Csf1",6.106255,4.620505,5.684733,250,319,350,5.47049766666667,25.37169,25.37169,0.245357717562533
"CSF1R","Csf1r",34.260982,16.772126,15.174411,1239,1467,1313,22.069173,59.13788,59.13788,0.383604693081964
"CSF2","Csf2",0,0,0,0,0,0,0,0.02091,0.02091,0.979518272913381
"CSF2RA","Csf2ra",8.499603,4.256751,7.52897,83,105,138,6.76177466666667,0,0,7.76177466666667
"CSF2RB","Csf2rb",0.186728,0.835479,0.649979,10,16,19,0.557395333333333,1.10812,1.10812,0.738760285625739
"CSF3","Csf3",0,0,0,0,0,0,0,0.3868,0.3868,0.721084511104702
"CSF3R","Csf3r",1.339743,0.803822,0.803025,50,49,46,0.982196666666667,17.84486,17.84486,0.105185003585416
"CSGALNACT1","Csgalnact1",5.009873,5.027786,4.379855,231,373,337,4.805838,31.77995,31.77995,0.177115523361079
"CSGALNACT2","Csgalnact2",4.544661,3.731773,4.223624,161,301,288,4.166686,6.59643,6.59643,0.680146595176945
"CSK","Csk",23.887209,31.433067,35.512558,304,639,644,30.2776113333333,42.23388,42.23388,0.723451407399321
"CSMD1","Csmd1",6.147941,1.308966,1.238645,1030,290,303,2.89851733333333,29.386,29.386,0.128299787182694
"CSMD3","Csmd3",3.084689,1.137462,0.953338,500,224,248,1.725163,2.98982,2.98982,0.683029058955041
"CSN1S1","Csn1s1",0,0,0,0,0,0,0,0.02091,0.02091,0.979518272913381
"CSN1S2AP","Csn1s2a",0,0,0,0,0,0,0,0,0,1
"CSN2","Csn2",0,0,0,0,0,0,0,0,0,1
"CSN3","Csn3",0,0,0,0,0,0,0,0,0,1
"CSNK1A1","Csnk1a1",94.161281,85.378648,75.37747,3744,5117,4133,84.9724663333333,79.02126,79.02126,1.07437031525539
"CSNK1D","Csnk1d",83.32652,36.376219,35.871969,1710,1992,1828,51.858236,129.05377,129.05377,0.406433708150098
"CSNK1E","Csnk1e",78.105781,49.249115,36.108555,990,1221,1137,54.487817,57.08891,57.08891,0.955222210229113
"CSNK1G1","Csnk1g1",8.235127,2.972086,3.034226,507,309,252,4.74714633333333,1.24402,1.24402,2.56109407818706
"CSNK1G2","Csnk1g2",317.833204,293.053281,292.923164,1397,2644,2718,301.269883,70.65812,70.65812,4.21822234521363
"CSNK1G3","Csnk1g3",27.001304,15.393975,13.737343,913,994,818,18.710874,10.1194,10.1194,1.77265625843121
"CSNK2A1","Csnk2a1",45.432226,25.101018,21.926484,1864,2068,1790,30.8199093333333,25.35078,25.35078,1.20755094662599
"CSNK2A2","Csnk2a2",48.321532,29.422878,27.271424,777,860,807,35.005278,25.90484,25.90484,1.33824538633198
"CSNK2B","Csnk2b",173.094209,206.669713,170.969846,728,1596,1436,183.577922666667,193.69042,193.69042,0.948058577646844
"CSPG4","Cspg4",3.539718,1.134727,1.229136,350,178,203,1.96786033333333,3.52297,3.52297,0.656175109128147
"CSPG5","Cspg5",84.545706,95.793017,90.243574,2691,5359,5146,90.194099,35.04157,35.04157,2.53024768343887
"CSPP1","Cspp1",9.839329,10.156194,6.583602,221,164,117,8.85970833333333,2.47758,2.47758,2.83522114037156
"CSRNP1","Csrnp1",3.782052,2.814061,4.429078,124,149,141,3.67506366666667,8.11225,8.11225,0.513052612325898
"CSRNP2","Csrnp2",4.726,3.208454,2.850256,301,374,339,3.59490333333333,11.93839,11.93839,0.355137179613022
"CSRNP3","Csrnp3",11.505237,6.528341,5.74574,1632,1200,1099,7.92643933333333,1.59945,1.59945,3.43397231465631
"CSRP1","Csrp1",119.880184,170.671804,193.783918,3033,7826,9018,161.445302,546.55239,546.55239,0.296675359229096
"CSRP2","Csrp2",10.265721,16.75146,17.698469,31,112,117,14.9052166666667,22.18324,22.18324,0.686065306948756
"CSRP3","Csrp3",0,0.054959,0,0,1,0,0.0183196666666667,0.01045,0.01045,1.00778827914955
"CST11","Cst11",0,0,0,0,0,0,0,0,0,1
"CST12P","Cst12",0,0,0,0,0,0,0,0,0,1
"CST13P","Cst13",0,0,0,0,0,0,0,0,0,1
"CST3","Cst3",1036.610775,2146.65746,2402.671175,6052,19643,21688,1861.97980333333,2890.3863,2890.3863,0.64432061649228
"CST5","Cst10",0,0,0,0,0,0,0,1.25447,1.25447,0.44356323215656
"CST7","Cst7",0.25238,0.095369,0.046919,3,2,1,0.131556,3.3139,3.3139,0.262304643130346
"CST8","Cst8",0,0,0,0,0,0,0,0,0,1
"CST9L","Cst9",0,0,0,0,0,0,0,0,0,1
"CSTA","Stfa2",0,0,0,0,0,0,0,9.79533,9.79533,0.092632647635598
"CSTB","Cstb",27.20566,39.266437,44.035577,155,395,450,36.8358913333333,107.87411,107.87411,0.347519638354181
"CSTF1","Cstf1",6.552002,6.181763,5.801404,264,460,375,6.17838966666667,11.1648,11.1648,0.590095165285633
"CSTF2","Cstf2",37.567871,26.451581,22.412281,1271,1647,1408,28.8105776666667,6.72188,6.72188,3.86053366106009
"CSTF2T","Cstf2t",18.042873,16.256837,14.726453,1147,1822,1625,16.3420543333333,8.26906,8.26906,1.87096149267923
"CSTF3","Cstf3",21.6548,13.110934,16.41522,376,418,407,17.060318,19.39204,19.39204,0.885655285101442
"CSTL1","Cstl1",0.491274,0.341552,0.336247,3,2,3,0.389691,0.03136,0.03136,1.34743542506981
"CTBP1","Ctbp1",142.542735,151.131851,147.757412,1966,3703,3499,147.143999333333,156.78805,156.78805,0.938879714486194
"CTBP2","Ctbp2",19.935296,18.905007,16.474308,235,420,391,18.4382036666667,16.31859,16.31859,1.12238950553519
"CTBS","Ctbs",3.160863,3.126333,3.170313,115,205,185,3.152503,4.73563,4.73563,0.723983764643117
"CTC1","Ctc1",20.657059,15.623727,18.846537,398,498,523,18.3757743333333,10.94527,10.94527,1.62204574139666
"CTCF","Ctcf",18.818175,14.484656,13.267312,904,1139,975,15.523381,10.04623,10.04623,1.49583894233598
"CTCFL","Ctcfl",0.047883,0.01211,0.01229,2,1,1,0.0240943333333333,0,0,1.02409433333333
"CTDNEP1","Ctdnep1",84.531598,78.840153,65.772215,635,1083,931,76.381322,127.1407,127.1407,0.603877784341743
"CTDP1","Ctdp1",5.125469,4.337012,3.259967,203,267,251,4.240816,11.19616,11.19616,0.42971033505628
"CTDSP1","Ctdsp1",10.175658,10.303228,12.403979,319,583,566,10.960955,58.17612,58.17612,0.202124691514077
"CTDSP2","Ctdsp2",18.411721,10.019744,10.336378,1246,1252,1302,12.9226143333333,29.08283,29.08283,0.46280932789014
"CTDSPL","Ctdspl",7.9231,4.337215,2.778983,400,321,308,5.01309933333333,24.52492,24.52492,0.235577597631387
"CTDSPL2","Ctdspl2",7.901071,5.703952,5.756418,309,394,365,6.45381366666667,2.23714,2.23714,2.30259230884876
"CTF1","Ctf1",4.291871,1.788488,8.192929,11,33,39,4.75776266666667,4.98652,4.98652,0.961787927989327
"CTF2P","Ctf2",0.042516,0.024615,0.023255,1,1,1,0.0301286666666667,0,0,1.03012866666667
"CTH","Cth",1.476321,3.126868,2.648388,36,73,98,2.41719233333333,2.42531,2.42531,0.997630092848044
"CTHRC1","Cthrc1",7.03038,8.465706,12.552466,85,172,223,9.34951733333333,2.16396,2.16396,3.27106453094645
"CTIF","Ctif",14.217929,5.201506,5.738665,1303,881,990,8.38603333333333,175.17651,175.17651,0.0532763041641212
"CTLA4","Ctla4",0.036729,0,0.021212,1,0,1,0.0193136666666667,0.19862,0.19862,0.850406022481409
"CTNNA1","Ctnna1",23.930889,18.957445,19.101708,1046,1356,1326,20.6633473333333,188.19165,188.19165,0.114504775096223
"CTNNA2","Ctnna2",34.815601,26.85559,25.751399,1850,2562,2433,29.1408633333333,32.92988,32.92988,0.888328026309947
"CTNNA3","Ctnna3",0.8094,0.318752,0.33308,35,26,26,0.487077333333333,0.95131,0.95131,0.762091791326511
"CTNNAL1","Ctnnal1",9.664024,6.06728,5.827567,187,264,312,7.18629033333333,65.31616,65.31616,0.123443370866669
"CTNNB1","Ctnnb1",447.569282,294.271253,260.405338,6521,7904,7297,334.081957666667,57.87296,57.87296,5.69161050619277
"CTNNBIP1","Ctnnbip1",13.48103,14.28896,14.597117,448,910,949,14.122369,24.31584,24.31584,0.597348103005865
"CTNNBL1","Ctnnbl1",31.285395,22.285891,30.21711,298,517,564,27.9294653333333,57.02619,57.02619,0.498558759989814
"CTNND1","Ctnnd1",21.918645,8.668699,11.444547,1122,903,923,14.0106303333333,27.75519,27.75519,0.522014646167643
"CTNND2","Ctnnd2",68.70894,24.439915,21.242804,2876,2042,1967,38.130553,29.89824,29.89824,1.26643307191607
"CTNS","Ctns",4.871231,3.062265,2.584734,149,183,175,3.50607666666667,15.14775,15.14775,0.27905291242846
"CTPS2","Ctps2",104.659176,59.42398,85.574627,385,641,595,83.219261,3.81568,3.81568,17.4885501113031
"CTR9","Ctr9",19.706898,14.000129,16.911232,826,1050,1031,16.872753,10.80936,10.80936,1.51343959367823
"CTRB2","Ctrb1",0,0,0,0,0,0,0,0.21953,0.21953,0.819988028174789
"CTRC","Ctrc",0,0,0,0,0,0,0,0.4077,0.4077,0.710378631810755
"CTSA","Ctsa",67.737626,64.472354,73.80858,892,1753,1817,68.6728533333333,168.60099,168.60099,0.410804520264495
"CTSB","Ctsb",224.529526,254.208902,253.534096,6687,13270,13449,244.090841333333,1246.1085,1246.1085,0.196527279970695
"CTSC","Ctsc",3.754805,3.541433,4.060174,118,213,195,3.78547066666667,51.14063,51.14063,0.0917800699122099
"CTSD","Ctsd",113.939606,145.145999,143.808417,3077,7107,7126,134.298007333333,1257.87962,1257.87962,0.107474936589515
"CTSE","Ctse",0,0,0,0,0,0,0,0,0,1
"CTSF","Ctsf",49.60697,58.949029,67.207934,536,1223,1337,58.5879776666667,108.03092,108.03092,0.54652366197283
"CTSG","Ctsg",0,0,0,0,0,0,0,2.35213,2.35213,0.298317786004719
"CTSH","Ctsh",11.74863,15.24848,15.440986,109,280,297,14.146032,125.83396,125.83396,0.119416219441544
"CTSK","Ctsk",1.420712,1.467139,1.907365,29,53,70,1.59840533333333,17.99121,17.99121,0.136821473372857
"CTSO","Ctso",7.568569,10.946171,11.295443,378,963,962,9.93672766666667,13.88282,13.88282,0.734855871848659
"CTSS","Ctss",36.974841,46.903169,43.509809,661,1471,1376,42.4626063333333,26.17664,26.17664,1.59926342378356
"CTSW","Ctsw",0.149021,0.484808,0.120314,3,4,4,0.251381,1.29629,1.29629,0.544957736174438
"CTSZ","Ctsz",16.093446,19.910786,17.952182,305,697,640,17.9854713333333,270.78816,270.78816,0.0698539308457489
"CTTN","Cttn",74.875828,59.188572,43.967823,1315,1992,1651,59.3440743333333,73.29251,73.29251,0.812249772330122
"CTTNBP2","Cttnbp2",39.260979,17.340892,12.537992,1304,893,767,23.046621,2.45667,2.45667,6.95658567349501
"CTTNBP2NL","Cttnbp2nl",6.648029,3.30553,5.257647,466,433,420,5.070402,4.90289,4.90289,1.02837796401424
"CTU1","Ctu1",2.726317,2.61685,2.434623,89,167,161,2.59259666666667,9.01129,9.01129,0.358854519913684
"CTU2","Ctu2",30.297452,37.789997,22.704368,110,298,286,30.263939,25.37169,25.37169,1.18551139498455
"CTXN1","Ctxn1",146.871807,140.11718,125.196072,2142,3922,3607,137.395019666667,30.89136,30.89136,4.33957722927673
"CTXN2","Ctxn2",22.539423,34.720195,30.439717,104,285,245,29.2331116666667,1.42173,1.42173,12.4840967682882
"CTXN3","Ctxn3",5.295848,5.562343,7.145085,76,139,180,6.001092,1.589,1.589,2.70416840478949
"CUBN","Cubn",0.184036,0.051772,0.138359,16,16,25,0.124722333333333,0.44952,0.44952,0.775927433449234
"CUEDC2","Cuedc2",90.586121,135.629055,145.48849,838,2130,2305,123.901222,169.60457,169.60457,0.732109473972473
"CUL1","Cul1",129.764281,127.210711,110.390356,1651,2572,2425,122.455116,33.89164,33.89164,3.53824343023142
"CUL2","Cul2",47.639707,48.995762,40.028957,851,1571,1392,45.5548086666667,26.96069,26.96069,1.66500929221227
"CUL3","Cul3",106.262287,66.656018,51.834281,2206,2208,1955,74.9175286666667,78.4672,78.4672,0.9553316169019
"CUL4A","Cul4a",43.256926,27.376966,22.242908,890,1267,1067,30.9589333333333,47.61765,47.61765,0.657352490984927
"CUL4B","Cul4b",14.73358,9.365759,8.099176,742,822,695,10.7328383333333,13.38103,13.38103,0.815855215748339
"CUL5","Cul5",18.670084,9.123287,8.167484,934,1050,915,11.9869516666667,6.36644,6.36644,1.76298886119573
"CUL7","Cul7",8.276285,3.457643,4.467302,377,439,421,5.40041,7.33866,7.33866,0.767558576557864
"CUL9","Cul9",12.688058,6.355151,5.490531,848,670,686,8.17791333333333,22.61185,22.61185,0.388699459522796
"CUTA","Cuta",42.357708,60.717816,54.568399,268,732,726,52.5479743333333,312.5307,312.5307,0.170790210761923
"CUTC","Cutc",4.044382,3.796101,3.121178,40,85,77,3.653887,26.80388,26.80388,0.167382645875324
"CUX1","Cux1",22.407443,17.855347,16.566525,1149,1156,1159,18.943105,38.38683,38.38683,0.506339428687203
"CUX2","Cux2",20.434016,7.227991,8.091675,899,614,605,11.917894,0.64814,0.64814,7.83786207482374
"CUZD1","Cuzd1",0.092977,0.177247,0.157099,3,10,9,0.142441,0.45997,0.45997,0.782509914587286
"CWC15","Cwc15",56.799359,72.607757,65.266154,543,1205,1174,64.89109,57.69524,57.69524,1.1225968238651
"CWC22","Cwc22",9.019387,4.32873,5.116678,232,200,210,6.15493166666667,5.61376,5.61376,1.08182511410554
"CWC25","Cwc25",4.12445,3.508492,2.976078,180,268,244,3.53634,7.23412,7.23412,0.55091983114164
"CWC27","Cwc27",5.395248,6.036145,4.656316,125,153,147,5.36256966666667,33.2435,33.2435,0.185803719440672
"CWF19L1","Cwf19l1",8.469279,7.409075,6.186737,154,246,217,7.35503033333333,16.18268,16.18268,0.486247217158984
"CWF19L2","Cwf19l2",2.804626,1.655902,1.683197,180,183,173,2.04790833333333,5.14333,5.14333,0.496132933333116
"CWH43","Cwh43",0.833025,0.379232,0.931995,19,25,27,0.714750666666667,0,0,1.71475066666667
"CX3CL1","Cx3cl1",230.196008,126.422268,106.751129,8423,8620,7524,154.456468333333,11.08117,11.08117,12.8676666525952
"CX3CR1","Cx3cr1",10.701792,8.58052,8.618291,574,833,815,9.300201,20.44789,20.44789,0.480243091511566
"CXADR","Cxadr",4.529723,2.399685,2.313327,347,302,252,3.08091166666667,0.64814,0.64814,2.47607100529486
"CXCL10","Cxcl10",0.147562,1.090142,1.075149,2,20,11,0.770951,4.71472,4.71472,0.309892873141641
"CXCL11","Cxcl11",0.046393,0.053194,0,2,2,0,0.0331956666666667,0.22999,0.22999,0.840003306259942
"CXCL12","Cxcl12",16.95336,14.792741,12.744021,872,1112,982,14.8300406666667,23.97086,23.97086,0.633940547769146
"CXCL13","Cxcl13",0.068691,0.158714,0.039698,1,4,1,0.0890343333333333,8.46768,8.46768,0.115026525329683
"CXCL14","Cxcl14",29.459137,36.609464,33.683058,704,1567,1465,33.250553,20.34335,20.34335,1.60474119573544
"CXCL16","Cxcl16",0.91408,0.652245,0.908543,22,30,32,0.824956,23.60497,23.60497,0.0741702184558648
"CXCL17","Cxcl17",0,0,0,0,0,0,0,0,0,1
"CXCL2","Cxcl1",0,0.049934,0,0,1,0,0.0166446666666667,1.43219,1.43219,0.417995578744533
"CXCL3","Cxcl2",0,0.227385,0,0,1,0,0.075795,0.10454,0.10454,0.973975591649012
"CXCL6","Cxcl5",0.250328,0.209664,0.162775,6,7,5,0.207589,0.04182,0.04182,1.15911481829875
"CXCL9","Cxcl9",0,0.288227,0,0,3,0,0.0960756666666667,0.71087,0.71087,0.640653975267944
"CXCR1","Cxcr1",0,0,0,0,0,0,0,0.16726,0.16726,0.856707160358446
"CXCR2","Cxcr2",0.273284,0.125688,0.107748,12,10,9,0.168906666666667,0.25089,0.25089,0.934459997814889
"CXCR3","Cxcr3",0.042024,0,0.045682,1,0,2,0.0292353333333333,0.30316,0.30316,0.789799666451804
"CXCR4","Cxcr4",0.852353,1.431028,1.618166,16,41,48,1.30051566666667,12.8897,12.8897,0.165627455356607
"CXCR5","Cxcr5",0.052573,0.287098,0,2,2,0,0.113223666666667,0,0,1.11322366666667
"CXCR6","Cxcr6",0,0.021683,0.086094,0,1,4,0.0359256666666667,0.55406,0.55406,0.666593095933662
"CXXC1","Cxxc1",14.90687,15.634131,18.593812,344,614,572,16.378271,59.7024,59.7024,0.286286390653417
"CXXC4","Cxxc4",6.725335,3.608633,3.699315,533,533,520,4.677761,2.08033,2.08033,1.84323140702457
"CXXC5","Cxxc5",26.897117,19.32995,20.380806,864,1136,1078,22.2026243333333,39.85038,39.85038,0.567990416082625
"CXorf65","Gm614",0,0,0,0,0,0,0,0.29271,0.29271,0.773568704504491
"CYB561","Cyb561",25.109192,20.045863,19.295842,862,1317,1193,21.4836323333333,39.37996,39.37996,0.556801748524103
"CYB561D1","Cyb561d1",4.469429,3.504418,3.224493,229,314,309,3.73278,15.30455,15.30455,0.290273573941016
"CYB561D2","Cyb561d2",10.495574,15.959831,15.434845,93,298,295,13.9634166666667,30.63002,30.63002,0.473076421281639
"CYB5A","Cyb5a",40.236045,57.060995,58.396407,369,818,820,51.8978156666667,122.34235,122.34235,0.42886985424444
"CYB5B","Cyb5b",37.078557,27.682141,24.711123,2420,3171,2841,29.8239403333333,69.4141,69.4141,0.437752386714214
"CYB5D1","Cyb5d1",26.416699,15.719956,14.913129,266,288,273,19.0165946666667,9.46081,9.46081,1.91348420119156
"CYB5D2","Cyb5d2",5.28373,11.199626,8.88919,175,301,289,8.45751533333333,29.04102,29.04102,0.314820047166619
"CYB5R1","Cyb5r1",22.675876,15.828116,17.221797,179,259,302,18.575263,303.2267,303.2267,0.0643443294096146
"CYB5R2","Cyb5r2",0.073868,0.377637,0.334637,3,11,11,0.262047333333333,48.85122,48.85122,0.0253162777828373
"CYB5R3","Cyb5r3",21.070665,16.466919,17.710693,590,842,924,18.4160923333333,472.27721,472.27721,0.0410247777055086
"CYB5R4","Cyb5r4",19.316353,18.240915,14.02,520,866,683,17.1924226666667,7.37002,7.37002,2.17352200671763
"CYB5RL","Cyb5rl",3.491795,5.328413,5.079583,50,111,85,4.63326366666667,1.3381,1.3381,2.40933393211012
"CYBA","Cyba",4.591549,5.744425,7.547804,36,84,112,5.96125933333333,254.81455,254.81455,0.0272121321220131
"CYBB","Cybb",0.875309,0.226105,0.257827,14,22,17,0.453080333333333,15.69135,15.69135,0.0870558902265744
"CYBRD1","Cybrd1",0.48092,0.300577,0.395291,39,43,57,0.392262666666667,34.72796,34.72796,0.0389684344324912
"CYC1","Cyc1",151.326805,219.502596,219.729061,1275,3460,3680,196.852820666667,300.31006,300.31006,0.656641934446751
"CYCS","Cycs",17.238816,16.011855,15.192286,700,1174,1087,16.1476523333333,83.94506,83.94506,0.201867563968209
"CYCTP","Cyct",0,0.176759,0,0,2,0,0.0589196666666667,0,0,1.05891966666667
"CYFIP1","Cyfip1",34.429414,22.668888,17.644276,1181,1530,1462,24.9141926666667,44.82645,44.82645,0.565485492912208
"CYFIP2","Cyfip2",147.717536,63.687187,60.703521,13907,10323,10286,90.702748,146.12504,146.12504,0.623298032748198
"CYGB","Cygb",20.32156,24.411861,25.318263,648,1468,1556,23.3505613333333,19.86247,19.86247,1.16719455238681
"CYHR1","Cyhr1",43.493494,46.445948,44.210335,1543,2583,2538,44.7165923333333,73.03116,73.03116,0.617531757348302
"CYLD","Cyld",24.420924,10.389351,8.434877,2499,1682,1359,14.4150506666667,9.74306,9.74306,1.4348845363115
"CYP11A1","Cyp11a1",2.632462,1.51224,0.92641,33,35,38,1.69037066666667,2.73893,2.73893,0.719556307998991
"CYP11B2","Cyp11b2",0,0,0,0,0,0,0,0,0,1
"CYP17A1","Cyp17a1",0,0,0.021962,0,0,1,0.00732066666666667,0.68996,0.68996,0.596061839727962
"CYP19A1","Cyp19a1",6.293136,0.067242,0.054943,3,4,3,2.13844033333333,3.13618,3.13618,0.758777503235675
"CYP1A1","Cyp1a1",0,0.044163,0.029144,0,3,2,0.0244356666666667,0.5436,0.5436,0.663666537099421
"CYP1A2","Cyp1a2",0.036736,0,0,1,0,0,0.0122453333333333,0,0,1.01224533333333
"CYP1B1","Cyp1b1",0.872023,0.617749,0.520649,68,84,72,0.670140333333333,23.52134,23.52134,0.0681096682862084
