"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ABR","Abr",121.644538,73.850699,64.046723,7113,7103,6497,86.5139866666667,299.60981,317.03652,304.52305,307.05646,0.28408424438386
"ABRA","Abra",0.023622,0.027351,0.115394,1,2,8,0.0554556666666667,0.14909,0.05527,0,0.06812,0.988143342196258
"ABRACL","Abracl",33.217061,37.836813,39.468236,67,98,101,36.8407033333333,18.95132,11.68887,21.1711,17.27043,2.07114464921369
"ABT1","Abt1",2.396752,2.64066,2.619396,162,315,315,2.55226933333333,8.41545,8.04128,6.16125,7.53932666666667,0.415989394948392
"ABTB1","Abtb1",21.831981,27.654929,23.552319,275,528,482,24.3464096666667,115.24856,79.80489,91.19524,95.41623,0.262885301226429
"ABTB2","Abtb2",3.117546,2.432269,2.363293,188,299,300,2.63770266666667,6.80856,6.24512,9.94102,7.6649,0.419820501871535
"ACAA1","Acaa1b",0.135692,0.223053,0.257686,3,9,11,0.205477,99.64354,88.26067,80.7517,89.55197,0.0133125430622879
"ACAA2","Acaa2",16.998977,25.66273,27.282412,209,607,599,23.3147063333333,63.01646,61.15243,33.38436,52.51775,0.454329756638374
"ACACA","Acaca",15.981778,6.514919,6.271574,1592,1200,1232,9.58942366666667,36.95839,37.99575,40.70358,38.5525733333333,0.26773033393866
"ACACB","Acacb",0.922284,0.975901,1.144648,109,90,100,1.01427766666667,20.49195,31.50193,31.19952,27.7311333333333,0.0701078388832556
"ACAD10","Acad10",1.268187,1.37903,0.87532,38,74,65,1.174179,24.91503,22.63165,26.08699,24.5445566666667,0.0851132015470484
"ACAD11","Acad11",7.725064,8.513703,8.234594,340,530,552,8.157787,18.22243,17.18789,9.94102,15.1171133333333,0.568202680628913
"ACAD8","Acad8",13.864191,15.434606,14.236606,258,559,469,14.511801,43.56816,32.08223,31.52725,35.72588,0.422367033819203
"ACAD9","Acad9",28.724183,35.433702,31.159821,429,851,844,31.7725686666667,27.96314,25.78184,27.98781,27.2442633333333,1.16032655126781
"ACADL","Acadl",19.503812,22.189297,22.09295,399,856,916,21.2620196666667,1.32527,1.63036,0.52436,1.15999666666667,10.3065064915224
"ACADM","Acadm",46.965469,51.19742,51.99983,336,672,732,50.0542396666667,52.48059,49.82279,36.42129,46.2415566666667,1.08070612547554
"ACADS","Acads",3.826219,4.460667,5.525779,58,193,222,4.60422166666667,17.75858,19.89596,16.93251,18.1956833333333,0.291952183694077
"ACADSB","Acadsb",145.380778,130.594786,130.001808,908,1382,1212,135.325790666667,15.12461,11.57834,8.215,11.6393166666667,10.7858513448116
"ACADVL","Acadvl",18.073398,20.606721,19.713457,479,1011,988,19.4645253333333,850.20868,1070.84452,774.50407,898.51909,0.0227505180944335
"ACAN","Acan",0.97749,0.350438,0.41702,94,47,60,0.581649333333333,0.71233,1.18823,1.63863,1.17973,0.725617087131587
"ACAP1","Acap1",0,0.018565,0.036549,0,1,2,0.0183713333333333,120.28457,95.39005,24.71054,80.1283866666667,0.0125525894840918
"ACAP2","Acap2",36.691042,10.677867,10.414354,1409,875,776,19.2610876666667,6.75886,7.87548,5.09068,6.57500666666667,2.67472869110786
"ACAT1","Acat1",43.890942,47.535747,47.180457,948,1985,2072,46.202382,91.26122,90.63713,80.1181,87.3388166666667,0.534333419680175
"ACAT2","Acat2",21.860344,25.469903,26.905039,427,936,993,24.7450953333333,14.59451,10.77698,17.1073,14.1595966666667,1.69827046849751
"ACBD3","Acbd3",10.281829,7.11692,5.836016,516,626,510,7.74492166666667,8.61424,9.22951,9.74439,9.19604666666667,0.857677681611239
"ACBD5","Acbd5",31.718534,21.222073,20.502479,1208,1400,1161,24.4810286666667,27.4496,28.9044,23.68367,26.6792233333333,0.920583224457045
"ACBD6","Acbd6",46.051315,40.289734,37.283973,465,683,684,41.2083406666667,159.59532,134.10426,263.79763,185.832403333333,0.225915525966668
"ACBD7","Acbd7",0,0.633204,0.507256,0,5,4,0.380153333333333,60.8629,83.23141,60.76041,68.2849066666667,0.0199199710259166
"ACCS","Accs",1.702548,1.880763,1.530269,43,62,61,1.70452666666667,16.40018,12.6284,11.6015,13.54336,0.185962987003462
"ACCSL","Accsl",0,0.221119,0.229811,0,2,2,0.15031,0,0.0829,0,0.0276333333333333,1.11937785850984
"ACD","Acd",15.910447,14.66128,14.732569,297,491,503,15.101432,21.63499,14.56273,22.17613,19.45795,0.787050119880047
"ACE","Ace",8.036527,5.639198,4.870534,431,541,552,6.18208633333333,35.79878,27.88197,7.51585,23.7322,0.290394155527342
"ACE2","Ace2",0.383734,0.590837,0.631366,19,44,39,0.535312333333333,0.66263,0.829,0,0.49721,1.02544889049187
"ACE3P","Ace3",0,0,0.017317,0,0,1,0.00577233333333333,0,0,0,0,1.00577233333333
"ACER1","Acer1",0.030558,0,0,1,0,0,0.010186,0.6295,0.3316,0.37142,0.444173333333333,0.699490827509163
"ACER2","Acer2",3.118334,2.54008,2.402802,132,184,153,2.687072,1.95477,1.13296,1.42015,1.50262666666667,1.47328087289621
"ACER3","Acer3",3.481609,5.184627,5.45389,351,403,381,4.70670866666667,22.21479,21.27762,19.8602,21.1175366666667,0.258017371132801
"ACHE","Ache",33.834013,47.679276,42.808478,660,1514,1703,41.440589,124.93958,128.46708,62.90155,105.43607,0.398742540945001
"ACIN1","Acin1",45.807958,21.09828,21.753088,1080,1089,980,29.5531086666667,84.9662,86.90664,82.0626,84.6451466666667,0.356740689412095
"ACLY","Acly",44.180974,41.640376,34.502339,2485,3516,3246,40.1078963333333,34.88766,21.19472,31.22137,29.10125,1.36565412842767
"ACMSD","Acmsd",0.102752,0.079444,0,3,4,0,0.060732,0.0497,0.2487,0,0.0994666666666667,0.964769585253456
"ACO1","Aco1",7.262014,5.414308,4.996443,412,554,518,5.89092166666667,16.64867,16.08256,13.32753,15.35292,0.421387841845167
"ACO2","Aco2",263.104087,251.75769,261.873345,6115,11826,11858,258.911707333333,194.64864,168.23135,188.20215,183.694046666667,1.4072554693786
"ACOT1","Acot3",0.889756,0.635427,0.487761,33,39,32,0.670981333333333,2.23639,3.31599,4.85035,3.46757666666667,0.374024098075541
"ACOT11","Acot11",21.802128,6.375834,9.361889,792,624,658,12.5132836666667,4.55561,7.12938,9.43851,7.04116666666667,1.68051281944991
"ACOT12","Acot12",0.04416,0.076111,0.025569,2,6,2,0.0486133333333333,0.0497,0,0,0.0165666666666667,1.03152441223727
"ACOT13","Acot13",187.035261,203.440437,207.538666,394,833,891,199.338121333333,37.93578,57.75354,36.3339,44.00774,4.45119264671662
"ACOT2","Acot2",2.118218,1.538339,1.968624,59,81,106,1.87506033333333,8.051,10.61118,19.33584,12.6660066666667,0.210380428127993
"ACOT4","Acot4",0.670655,0.306245,0.31109,62,50,51,0.42933,2.96529,3.31599,4.67556,3.65228,0.307232152836889
"ACOT6","Acot6",1.922866,1.41504,1.514438,91,121,132,1.617448,1.62345,0.19343,0.26218,0.69302,1.54602308301142
"ACOT7","Acot7",174.61588,209.453191,230.233611,2449,5334,5637,204.767560666667,154.75809,102.10494,213.74293,156.868653333333,1.30340986840622
"ACOT8","Acot8",8.915559,7.038879,6.834587,102,183,184,7.59634166666667,66.89287,65.57375,49.87991,60.7821766666667,0.139139508033951
"ACOT9","Acot9",8.656998,10.402593,11.574608,207,422,487,10.2113996666667,13.46803,14.06534,14.22331,13.9188933333333,0.751490034560204
"ACOX1","Acox1",52.075992,36.160964,33.933861,2775,3505,3371,40.7236056666667,62.50292,72.70314,76.18538,70.4638133333333,0.583842419268232
"ACOX2","Acox2",0.425945,0.503412,0.569201,5,11,9,0.499519333333333,13.50116,16.5247,11.05529,13.6937166666667,0.102051738668342
"ACOX3","Acox3",14.587127,10.948877,12.068161,399,504,521,12.5347216666667,8.46514,6.68725,23.55258,12.9016566666667,0.973604944446669
"ACOXL","Acoxl",0.094962,0.026312,0.051821,2,1,2,0.0576983333333333,0,0.05527,0,0.0184233333333333,1.03856451311995
"ACP1","Acp1",42.16122,34.03718,37.936118,564,974,980,38.0448393333333,58.74247,61.70509,55.34201,58.5965233333333,0.655152971171641
"ACP2","Acp2",27.775885,13.88201,13.462821,1230,1605,1534,18.373572,38.03517,21.63685,46.29677,35.32293,0.53337029804589
"ACP5","Acp5",0.266159,0.463497,0.182784,5,15,6,0.304146666666667,4.42308,6.63199,1.9882,4.34775666666667,0.24386798950588
"ACP6","Acp6",6.776354,4.322587,4.022952,116,152,143,5.040631,9.44253,12.54551,9.70069,10.56291,0.522414426818163
"ACR","Acr",0.186909,0.423882,0.312842,2,7,5,0.307877666666667,2.81619,1.3264,1.81342,1.98533666666667,0.438100560405806
"ACRBP","Acrbp",3.307852,1.573221,2.810081,32,37,54,2.563718,3.9261,2.45936,2.16299,2.84948333333333,0.925765275859531
"ACRV1","Acrv1",0.041311,0,0.023691,2,0,2,0.0216673333333333,5.84774,3.01203,4.1075,4.32242333333333,0.191955293547363
"ACSBG1","Acsbg1",75.991695,72.124837,77.401997,1978,4020,4197,75.172843,88.3125,109.42775,56.1067,84.61565,0.889706998662044
"ACSBG2","Acsbg2",0,0,0.028707,0,0,2,0.009569,0.59637,0.77373,0.10924,0.493113333333333,0.676150281068193
"ACSF2","Acsf2",10.926012,9.765954,9.224856,183,286,301,9.972274,51.30441,52.55848,47.82616,50.5630166666667,0.212793484735991
"ACSF3","Acsf3",6.485458,6.055549,5.885676,203,348,340,6.14222766666667,61.67463,58.77597,55.18907,58.5465566666667,0.119943588117914
"ACSL1","Acsl1",42.346285,28.804089,28.573101,682,880,842,33.2411583333333,34.42382,22.99088,27.48529,28.2999966666667,1.16864034910584
"ACSL3","Acsl3",155.549541,107.251119,90.126894,2978,3760,3462,117.642518,44.29706,41.69861,41.796,42.5972233333333,2.72133197779339
"ACSL4","Acsl4",36.923525,27.741878,18.657545,1487,1298,1009,27.774316,16.20139,7.04648,11.47041,11.57276,2.28862365940335
"ACSL5","Acsl5",90.630157,64.187729,63.662764,978,1441,1317,72.8268833333333,9.19404,8.12418,3.23356,6.85059333333333,9.40398772407011
"ACSL6","Acsl6",88.954339,98.112671,85.343388,3610,5149,4996,90.803466,35.4509,34.34816,47.73876,39.1792733333333,2.2848463494694
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.84486,0,0,0.28162,0.780262480298372
"ACSM2B","Acsm2",0.04055,0,0,4,0,0,0.0135166666666667,0.0994,0.46977,0,0.189723333333333,0.851892736966858
"ACSM3","Acsm3",0.261954,2.557811,0.041191,2,4,3,0.953652,0.59637,0.22107,1.02687,0.61477,1.20986394347183
