"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"CD3G","Cd3g",0.027279,0,0.045553,1,0,1,0.0242773333333333,0.37342,0.37342,0.745785945547126
"CD4","Cd4",12.06679,8.952398,2.205635,38,71,27,7.74160766666667,10.26893,10.26893,0.775726503462766
"CD40","Cd40",0.031776,0.42337,0.346048,1,12,9,0.267064666666667,4.29428,4.29428,0.239327097672708
"CD40LG","Cd40lg",0,0,0,0,0,0,0,0,0,1
"CD44","Cd44",0.696735,0.690782,0.874226,54,82,98,0.753914333333333,37.46603,37.46603,0.0455964479134793
"CD46","Cd46",0.568164,0.287191,0.28221,46,29,31,0.379188333333333,66.1153,66.1153,0.0205495368914887
"CD47","Cd47",36.352761,17.564241,16.44935,2192,1583,1539,23.4554506666667,41.73956,41.73956,0.57219706208175
"CD48","Cd48",0.331383,0.650907,0.380491,5,17,10,0.454260333333333,0.14522,0.14522,1.26985237188779
"CD5","Cd5",0.06872,0.056035,0.036779,2,3,2,0.0538446666666667,0.31118,0.31118,0.803737600227785
"CD52","Cd52",1.404545,2.756545,2.455876,6,21,19,2.20565533333333,16.22283,16.22283,0.186128257280211
"CD53","Cd53",2.863891,4.230173,3.519825,69,176,145,3.537963,18.81599,18.81599,0.229005111528619
"CD55","Cd55",2.682385,2.337915,2.14433,70,133,106,2.38821,26.01462,26.01462,0.125421345923059
"CD59","Cd59a",4.929373,6.38713,6.72495,114,199,238,6.01381766666667,83.14719,83.14719,0.0833517752246589
"CD5L","Cd5l",0,0,0.038219,0,0,2,0.0127396666666667,0,0,1.01273966666667
"CD6","Cd6",0.705464,0.643908,0.476893,24,28,18,0.608755,8.06992,8.06992,0.177372567784501
"CD63","Cd63",43.512965,53.473006,63.393248,444,1052,1250,53.4597396666667,926.98332,926.98332,0.0586861191283769
"CD68","Cd68",5.48754,7.440236,5.923259,76,145,118,6.28367833333333,38.2336,38.2336,0.185648993039979
"CD69","Cd69",0.056598,0.049682,0,2,2,0,0.0354266666666667,5.20707,5.20707,0.166814079213972
"CD7","Cd7",0.93117,0.702923,0.369404,11,15,8,0.667832333333333,1.72186,1.72186,0.612754635922984
"CD70","Cd70",0.106782,0.113126,0.222486,1,2,4,0.147464666666667,0.35267,0.35267,0.848296086012602
"CD72","Cd72",0.47491,0.970412,0.529657,3,10,6,0.658326333333333,7.738,7.738,0.189783283741512
"CD74","Cd74",3.744466,4.748345,5.546968,62,127,166,4.67992633333333,709.90442,709.90442,0.0079897186928917
"CD79A","Cd79a",0.154189,0.451826,0.318949,3,16,11,0.308321333333333,0.2282,0.2282,1.06523476089671
"CD79B","Cd79b",0.065553,0.145969,0.251681,1,4,7,0.154401,0.24894,0.24894,0.924304610309543
"CD80","Cd80",0.457038,0.247525,0.42673,17,16,14,0.377097666666667,0,0,1.37709766666667
"CD81","Cd81",228.759737,290.02711,304.296613,2987,6827,6886,274.361153333333,481.91349,481.91349,0.570208037330523
"CD82","Cd82",16.510835,16.96237,23.634148,252,504,583,19.0357843333333,89.39153,89.39153,0.221655550396518
"CD83","Cd83",8.926784,13.621329,17.217543,272,741,958,13.2552186666667,12.28122,12.28122,1.07333653585037
"CD84","Cd84",1.24389,1.444939,1.152586,42,69,60,1.28047166666667,1.07876,1.07876,1.0970346103767
"CD86","Cd86",1.335029,0.968519,1.43048,21,36,43,1.244676,4.93738,4.93738,0.378058335494781
"CD8A","Cd8a",0,0.020595,0.062075,0,1,5,0.0275566666666667,1.68037,1.68037,0.383363739583217
"CD9","Cd9",28.40461,41.511122,47.962752,420,1118,1242,39.292828,227.99093,227.99093,0.175958183147254
"CD93","Cd93",1.346982,0.712151,0.696271,140,130,128,0.918468,1.07876,1.07876,0.922890569377898
"CD96","Cd96",0,0,0,0,0,0,0,1.16174,1.16174,0.462590320760128
"CD99L2","Cd99l2",25.621372,24.92245,37.257063,1278,2197,2235,29.2669616666667,169.21947,169.21947,0.177811396467553
"CDA","Cda",1.7756,3.384445,4.3745,17,56,76,3.17818166666667,2.63465,2.63465,1.14954167984996
"CDADC1","Cdadc1",41.603934,30.729881,31.420858,642,987,981,34.584891,23.00655,23.00655,1.48229924749704
"CDAN1","Cdan1",7.57384,7.326837,5.965149,288,389,348,6.95527533333333,9.41837,9.41837,0.763581571141487
"CDC123","Cdc123",170.142293,184.813525,165.016279,700,1291,1179,173.324032333333,61.77953,61.77953,2.77676548921812
"CDC14A","Cdc14a",1.371812,1.437836,0.795801,51,62,60,1.20181633333333,1.20323,1.20323,0.99935836627739
"CDC14B","Cdc14b",4.666292,1.151836,1.761382,147,149,149,2.52650333333333,26.92741,26.92741,0.12627391273782
"CDC16","Cdc16",19.624735,18.275174,18.170436,505,1047,1013,18.690115,53.46066,53.46066,0.361547491345129
"CDC20","Cdc20",0.480364,0.926978,0.442168,4,20,12,0.616503333333333,6.09912,6.09912,0.227704748381959
"CDC23","Cdc23",20.2409,16.155417,18.88883,494,973,884,18.4283823333333,10.04073,10.04073,1.75970088330512
"CDC25A","Cdc25a",1.685743,1.76678,1.583627,87,119,116,1.67871666666667,0.4564,0.4564,1.83927263572279
"CDC25B","Cdc25b",3.388013,3.06993,2.604742,117,145,160,3.020895,26.2843,26.2843,0.147370282543441
"CDC25C","Cdc25c",0.966146,0.347087,0.064459,6,13,3,0.459230666666667,0.14522,0.14522,1.27419244046268
"CDC26","Cdc26",13.333004,19.169317,17.425889,201,432,462,16.6427366666667,14.27277,14.27277,1.15517595476568
"CDC27","Cdc27",14.71771,7.784725,5.383718,894,845,752,9.29538433333333,15.68345,15.68345,0.61710163864988
"CDC34","Cdc34",52.071662,83.161943,72.855001,289,669,674,69.3628686666667,89.64047,89.64047,0.776285346563921
"CDC37","Cdc37",58.834266,66.2687,63.448496,1169,2431,2448,62.8504873333333,141.21331,141.21331,0.448976873777379
"CDC37L1","Cdc37l1",90.260692,54.265484,57.90566,1950,2546,2522,67.4772786666667,9.58433,9.58433,6.46968477614234
"CDC40","Cdc40",8.693597,6.74635,6.273865,452,613,572,7.23793733333333,8.73377,8.73377,0.846325455947011
"CDC42","Cdc42",144.605612,158.298312,150.089683,3438,6602,6308,150.997869,104.45262,104.45262,1.44138542029586
"CDC42BPA","Cdc42bpa",67.351776,13.352966,19.382158,5085,2023,2246,33.3623,33.06802,33.06802,1.00863801301044
"CDC42BPB","Cdc42bpb",34.721948,17.421491,24.570871,2094,1822,1950,25.5714366666667,61.03269,61.03269,0.428345710409571
"CDC42BPG","Cdc42bpg",4.088203,2.225518,1.097041,68,67,72,2.470254,0.33192,0.33192,2.60545227941618
"CDC42EP1","Cdc42ep1",7.843544,6.17633,7.880622,286,425,552,7.30016533333333,294.54188,294.54188,0.0280845656572711
"CDC42EP2","Cdc42ep2",2.780035,3.524123,4.06201,142,319,373,3.45538933333333,23.94008,23.94008,0.178643746665341
"CDC42EP3","Cdc42ep3",8.516956,7.976837,7.9614,130,220,203,8.151731,2.98732,2.98732,2.29520856113881
"CDC42EP4","Cdc42ep4",9.403183,11.134447,13.124331,415,833,910,11.2206536666667,36.57398,36.57398,0.325242459453767
"CDC42EP5","Cdc42ep5",0.724943,1.173452,1.72562,8,17,22,1.208005,7.86247,7.86247,0.249141040815935
"CDC42SE1","Cdc42se1",23.571646,28.100267,25.403433,704,1411,1251,25.691782,50.05843,50.05843,0.522769344846679
"CDC42SE2","Cdc42se2",48.106236,43.959017,38.693738,2025,3430,3128,43.5863303333333,106.0915,106.0915,0.416338648103102
"CDC45","Cdc45",0.522871,0.857972,0.83346,16,33,34,0.738101,1.63888,1.63888,0.658651018613957
"CDC5L","Cdc5l",21.94382,20.480589,16.346603,820,1388,1233,19.5903373333333,6.88744,6.88744,2.61052221422075
"CDC6","Cdc6",0.139776,0.091453,0.078754,2,9,7,0.103327666666667,0.85056,0.85056,0.596212858089804
"CDC7","Cdc7",4.656437,2.483481,2.508829,112,118,112,3.216249,1.99155,1.99155,1.40938610419348
"CDC73","Cdc73",9.00255,6.274338,5.900136,863,597,458,7.059008,9.23166,9.23166,0.787654007267638
"CDCA2","Cdca2",0.29175,0.042367,0.039132,6,4,3,0.124416333333333,0,0,1.12441633333333
"CDCA3","Cdca3",0.363884,0.200863,0.285404,7,10,7,0.283383666666667,2.07453,2.07453,0.417424343449785
"CDCA4","Cdca4",2.502816,1.615681,1.808929,71,82,90,1.97580866666667,2.05379,2.05379,0.974464081245491
"CDCA5","Cdca5",0.069935,0.058994,0.116201,2,3,5,0.08171,1.80484,1.80484,0.385658361974302
"CDCA7","Cdca7",0.901828,0.920513,1.337923,27,57,41,1.05342133333333,1.24472,1.24472,0.914778383643988
"CDCA7L","Cdca7l",0.256987,0.122887,0.364325,7,9,21,0.248066333333333,14.31426,14.31426,0.0814970056230816
"CDCA8","Cdca8",0.516245,0.832136,0.462654,12,19,18,0.603678333333333,0.99577,0.99577,0.803538650913348
"CDCP1","Cdcp1",0.092536,0.094644,0.02736,7,9,3,0.0715133333333333,0.53938,0.53938,0.696068114002607
"CDCP2","Cdcp2",0,0,0,0,0,0,0,0.18671,0.18671,0.842665857707443
"CDH1","Cdh1",0.488677,0.26516,0.474977,33,32,58,0.409604666666667,11.05725,11.05725,0.116909300766482
"CDH10","Cdh10",18.33245,8.303242,7.40756,653,686,617,11.3477506666667,7.46831,7.46831,1.45811273638621
"CDH11","Cdh11",12.597564,10.56358,10.768237,844,1002,904,11.3097936666667,20.01922,20.01922,0.585644646502899
"CDH12","Cdh12",3.709131,1.206574,1.261522,253,176,141,2.05907566666667,7.82098,7.82098,0.346795442985549
"CDH13","Cdh13",33.073563,27.166215,23.254067,987,1475,1210,27.8312816666667,76.71615,76.71615,0.370981857267333
"CDH15","Cdh15",0.34046,0.424105,0.492103,16,38,45,0.418889333333333,0.93354,0.93354,0.733829831983478
"CDH16","Cdh16",0,0,0.138359,0,0,1,0.0461196666666667,0.41491,0.41491,0.739354210986329
"CDH17","Cdh17",0.061402,0.045647,0.022527,3,4,2,0.043192,0.06224,0.06224,0.982068082542551
"CDH2","Cdh2",31.946598,14.839427,13.317978,1898,1539,1359,20.0346676666667,22.77835,22.77835,0.884614267460386
"CDH20","Cdh20",5.442119,3.195086,3.57142,326,343,389,4.06954166666667,23.02729,23.02729,0.210990988441338
"CDH22","Cdh22",8.31707,6.19995,5.73689,398,574,548,6.75130333333333,8.17365,8.17365,0.844953026694209
"CDH23","Cdh23",1.277063,0.31526,0.719361,44,25,50,0.770561333333333,7.65502,7.65502,0.204570449673523
"CDH24","Cdh24",2.988212,1.856176,2.368848,108,170,184,2.404412,5.0826,5.0826,0.559696840167034
"CDH26","Cdh26",0.047002,0.279004,0.553437,2,13,21,0.293147666666667,2.26124,2.26124,0.396520239745209
"CDH3","Cdh3",0.090002,0.066754,0.057883,6,8,7,0.0715463333333333,6.20285,6.20285,0.148766992695021
"CDH4","Cdh4",6.492711,3.437202,2.538115,438,322,336,4.15600933333333,5.35229,5.35229,0.811677258647406
"CDH5","Cdh5",3.558555,2.10863,2.464296,214,228,269,2.71049366666667,5.91241,5.91241,0.536787266187432
"CDH6","Cdh6",3.946265,1.120856,1.099791,504,249,240,2.05563733333333,2.80062,2.80062,0.803983911396912
"CDH7","Cdh7",7.929007,4.315011,4.134596,301,343,295,5.459538,0.10373,0.10373,5.85246210576862
"CDH8","Cdh8",13.879691,8.977628,10.380513,742,847,916,11.0792773333333,109.92938,109.92938,0.108891596918087
"CDH9","Cdh9",3.957708,2.782943,2.262401,187,222,174,3.00101733333333,6.45179,6.45179,0.536920301475663
"CDHR1","Cdhr1",1.52493,1.344345,1.103814,100,157,131,1.324363,11.55514,11.55514,0.185132384027578
"CDHR2","Cdhr2",0.143668,0.168364,0.165918,9,19,19,0.159316666666667,13.09029,13.09029,0.0822777009321076
"CDHR3","Cdhr3",0.761935,1.618283,1.664029,16,65,63,1.34808233333333,6.84595,6.84595,0.299273170659172
"CDHR5","Cdhr5",0,0,0,0,0,0,0,1.59739,1.59739,0.385001867259056
"CDIPT","Cdipt",86.834869,94.103574,80.313725,1280,2262,2137,87.084056,76.13528,76.13528,1.14194251968749
"CDK1","Cdk1",0.322845,0.902332,0.83672,5,9,14,0.687299,0,0,1.687299
"CDK10","Cdk10",35.295925,36.351928,37.032375,438,942,987,36.2267426666667,65.11952,65.11952,0.563021973944558
"CDK11B","Cdk11b",24.435691,14.481252,12.97939,800,782,808,17.2987776666667,210.62711,210.62711,0.0864670772410334
"CDK12","Cdk12",6.573308,2.156832,1.941766,400,195,217,3.557302,12.19824,12.19824,0.345296191007286
"CDK13","Cdk13",15.546487,6.113623,5.324398,798,580,556,8.994836,9.0657,9.0657,0.992959853760792
"CDK14","Cdk14",81.901982,54.389098,51.091792,3349,4311,4171,62.4609573333333,98.22903,98.22903,0.63954023669619
"CDK15","Cdk15",0.38183,0.912062,0.643003,10,17,18,0.645631666666667,0.14522,0.14522,1.43695680014903
"CDK16","Cdk16",120.536934,102.202013,95.154115,2883,4404,4240,105.964354,126.007,126.007,0.842192587810121
"CDK17","Cdk17",95.826394,65.233626,46.209801,2194,2637,1948,69.0899403333333,27.25933,27.25933,2.4802406969073
"CDK18","Cdk18",19.031624,16.41994,17.267381,440,547,562,17.5729816666667,458.0149,458.0149,0.0404626988506619
"CDK19","Cdk19",15.31963,7.927332,7.408843,1320,1221,1153,10.2186016666667,179.84107,179.84107,0.0620356961317839
"CDK2","Cdk2",1.240328,0.65813,0.689609,26,42,32,0.862689,4.02459,4.02459,0.370714625471929
"CDK20","Cdk20",3.567554,5.235994,5.549966,82,154,172,4.78450466666667,7.46831,7.46831,0.683076631189301
"CDK2AP1","Cdk2ap1",62.902085,70.137213,77.809915,696,1348,1519,70.283071,185.73274,185.73274,0.381738472856983
"CDK2AP2","Cdk2ap2",14.09556,15.754321,12.824143,149,313,279,14.2246746666667,54.76761,54.76761,0.273002100442652
"CDK3","Cdk3",0.898037,0.375308,0.369998,8,9,4,0.547781,6.92893,6.92893,0.195206793350427
"CDK4","Cdk4",46.840004,58.809593,64.254783,309,759,796,56.6347933333333,46.22055,46.22055,1.22054472752506
"CDK5","Cdk5",67.326093,87.710495,81.429641,847,2118,2028,78.8220763333333,44.02154,44.02154,1.77297525436343
"CDK5R1","Cdk5r1",57.858381,30.451684,26.250252,3456,3273,2910,38.1867723333333,26.78219,26.78219,1.41049976021809
"CDK5R2","Cdk5r2",57.695815,41.346034,36.557157,1894,2742,2541,45.1996686666667,44.4157,44.4157,1.01726206282556
"CDK5RAP1","Cdk5rap1",3.399957,4.555121,5.511139,68,139,184,4.488739,26.84443,26.84443,0.197121614628132
"CDK5RAP2","Cdk5rap2",2.684989,1.148415,1.934447,297,206,195,1.922617,30.0807,30.0807,0.0940331781459234
"CDK5RAP3","Cdk5rap3",9.554164,14.803742,13.430743,190,524,494,12.5962163333333,148.37044,148.37044,0.0910234738100345
"CDK6","Cdk6",0.490906,0.080825,0.142161,43,20,23,0.237964,13.42221,13.42221,0.0858373300624523
"CDK7","Cdk7",10.061009,8.773929,10.049607,239,326,341,9.62818166666667,22.61239,22.61239,0.450110372845217
"CDK8","Cdk8",7.286371,5.671626,4.359719,278,352,258,5.772572,6.4103,6.4103,0.913940326302579
"CDK9","Cdk9",55.9358,51.706798,45.11507,635,1048,1072,50.9192226666667,102.27437,102.27437,0.502730955092407
"CDKAL1","Cdkal1",6.200064,4.770186,4.963626,147,256,245,5.311292,13.4637,13.4637,0.436353906676715
"CDKL1","Cdkl1",10.879054,12.843467,11.758004,133,330,308,11.8268416666667,27.612,27.612,0.448302868260404
"CDKL2","Cdkl2",11.301714,9.150309,8.767215,531,668,590,9.739746,2.82136,2.82136,2.81045125295706
"CDKL3","Cdkl3",9.069868,10.435846,7.72045,94,176,153,9.075388,15.39302,15.39302,0.614614512762139
"CDKL4","Cdkl4",6.438345,5.35447,4.176617,267,377,297,5.323144,0.16596,0.16596,5.42312257710384
"CDKL5","Cdkl5",22.925242,7.435627,6.744484,3299,1886,1650,12.368451,3.48521,3.48521,2.98056300596851
"CDKN1A","Cdkn1a",10.030512,7.232901,4.402301,262,343,217,7.22190466666667,49.00042,49.00042,0.164436712064952
"CDKN1B","Cdkn1b",14.395803,14.195653,12.379634,615,1010,825,13.65703,70.09839,70.09839,0.206151362921158
"CDKN1C","Cdkn1c",3.532638,7.749503,7.649948,56,175,167,6.31069633333333,115.55136,115.55136,0.0627251053383962
"CDKN2A","Cdkn2a",0,0.165172,0,0,3,0,0.0550573333333333,5.55974,5.55974,0.160838285257241
"CDKN2AIP","Cdkn2aip",4.271134,3.360348,3.071678,203,277,236,3.56772,45.99235,45.99235,0.0972013529861775
"CDKN2AIPNL","Cdkn2aipnl",16.196074,19.50351,22.275753,398,834,979,19.3251123333333,44.02154,44.02154,0.451453067428021
"CDKN2B","Cdkn2b",0.299026,0.554816,0.297961,5,18,10,0.383934333333333,4.81291,4.81291,0.238079435830476
"CDKN2C","Cdkn2c",1.537614,1.301018,1.495468,21,40,38,1.4447,9.16943,9.16943,0.240396954401574
"CDKN2D","Cdkn2d",25.044922,25.775931,24.818638,364,736,724,25.2131636666667,68.18983,68.18983,0.378858622237786
"CDKN3","Cdkn3",0.234805,0.185742,0.667198,3,3,8,0.362581666666667,7.84173,7.84173,0.154108038434409
"CDNF","Cdnf",0.716611,0.256409,1.037694,20,20,18,0.670238,4.48099,4.48099,0.304732904092144
"CDO1","Cdo1",20.931101,23.671421,22.077613,281,558,429,22.2267116666667,14.81215,14.81215,1.46891546479553
"CDON","Cdon",1.516106,0.940893,0.688485,147,78,100,1.04849466666667,0.60161,0.60161,1.2790221506276
"CDPF1","Cdpf1",5.690152,9.539361,10.067258,68,137,162,8.432257,12.94507,12.94507,0.676386493578017
"CDR2","Cdr2",8.57765,9.047013,8.972562,303,573,579,8.86574166666667,19.47984,19.47984,0.481729430828887
"CDR2L","Cdr2l",6.032358,3.003615,3.456038,310,291,344,4.16400366666667,35.53671,35.53671,0.141337401935387
"CDRT4","Cdrt4",0,0.073646,0,0,1,0,0.0245486666666667,22.38419,22.38419,0.0438137334099093
"CDS1","Cds1",51.858785,27.600108,25.205323,1532,1680,1581,34.888072,4.29428,4.29428,6.77865016583936
"CDS2","Cds2",96.368026,44.610807,58.952009,9811,8268,8422,66.643614,30.97274,30.97274,2.11566521980912
"CDSN","Cdsn",0.257618,0.431494,0.164472,10,31,12,0.284528,2.77987,2.77987,0.339833909631813
"CDT1","Cdt1",1.115388,0.711575,1.202302,14,26,31,1.009755,5.26931,5.26931,0.320570365797831
"CDV3","Cdv3",24.311172,17.878782,17.688179,1270,1528,1517,19.9593776666667,33.3792,33.3792,0.609652861807915
"CDX1","Cdx1",0.049892,0,0,1,0,0,0.0166306666666667,0,0,1.01663066666667
"CDX2","Cdx2",0,0,0,0,0,0,0,0,0,1
"CDX4","Cdx4",0,0,0.020884,0,0,1,0.00696133333333333,0,0,1.00696133333333
"CDYL","Cdyl",2.371058,1.985393,1.654785,116,175,146,2.00374533333333,14.7914,14.7914,0.190213998336647
"CDYL2","Cdyl2",2.139837,0.599772,0.685421,74,38,44,1.14167666666667,3.19478,3.19478,0.510557565990747
"CEACAM1","Ceacam2",0.373631,0.139837,0.1924,15,11,16,0.235289333333333,1.3277,1.3277,0.530690953874354
"CEACAM16","Ceacam16",0.091744,0.192521,0.212173,2,8,9,0.165479333333333,0,0,1.16547933333333
"CEACAM18","Ceacam18",0,0.020308,0,0,1,0,0.00676933333333333,0,0,1.00676933333333
"CEACAM20","Ceacam20",0.095065,0.032507,0.065469,4,2,5,0.064347,0,0,1.064347
"CEBPA","Cebpa",3.488122,3.073699,3.096253,100,172,173,3.219358,1.90857,1.90857,1.4506640720354
"CEBPB","Cebpb",2.606333,2.807038,2.11708,26,64,53,2.51015033333333,16.59625,16.59625,0.199482863299472
"CEBPD","Cebpd",0.402011,0.590918,0.619509,21,56,60,0.537479333333333,25.57896,25.57896,0.0578457296046698
"CEBPE","Cebpe",0,0.033496,0,0,1,0,0.0111653333333333,0,0,1.01116533333333
"CEBPG","Cebpg",9.800852,4.635323,4.408702,604,546,487,6.28162566666667,6.03688,6.03688,1.03478042352103
"CEBPZ","Cebpz",11.294266,9.198737,9.197152,505,772,716,9.89671833333333,20.66233,20.66233,0.50302614415593
"CECR2","Cecr2",0.636704,0.596766,0.629546,73,51,56,0.621005333333333,14.64619,14.64619,0.103603837952456
"CEL","Cel",0,0.018913,0,0,1,0,0.00630433333333333,0.2282,0.2282,0.819332627693644
"CELA1","Cela1",2.745027,4.735327,5.50667,16,43,65,4.329008,0,0,5.329008
"CELA2A","Cela2a",0.129063,0.074016,0.073169,1,1,1,0.0920826666666667,1.26546,1.26546,0.482057801358959
"CELA3B","Cela3b",0,0,0,0,0,0,0,0,0,1
"CELF1","Celf1",26.634198,9.826455,10.90163,2703,1673,1496,15.7874276666667,43.60664,43.60664,0.37634369382376
"CELF2","Celf2",68.363059,21.510798,17.502958,5171,2167,1948,35.7922716666667,16.47177,16.47177,2.10581250020271
"CELF3","Celf3",53.196688,45.125299,40.14702,975,1305,1238,46.1563356666667,55.14103,55.14103,0.839962068146357
"CELF4","Celf4",212.02107,121.814469,117.137228,5021,4990,4316,150.324255666667,179.88256,179.88256,0.836588423265718
"CELF6","Celf6",9.10051,11.239337,13.295883,270,472,409,11.21191,6.49328,6.49328,1.62971489120919
"CELSR1","Celsr1",1.242855,0.664945,0.810046,114,62,52,0.905948666666667,0.29043,0.29043,1.47698725747748
"CELSR2","Celsr2",51.963531,8.942047,9.815256,3460,873,1283,23.5736113333333,97.85562,97.85562,0.248580822550436
"CELSR3","Celsr3",10.729393,1.758799,1.981082,957,349,448,4.82309133333333,7.98694,7.98694,0.647950396167476
"CEND1","Cend1",110.730647,120.566918,118.174508,2326,4590,4606,116.490691,250.12617,250.12617,0.467855225920899
"CENPA","Cenpa",1.179841,1.728456,1.017096,14,26,22,1.30846433333333,0.2282,0.2282,1.87955083319763
"CENPB","Cenpb",21.285715,21.743267,22.319505,1500,2848,2994,21.782829,243.86109,243.86109,0.0930438927638524
"CENPE","Cenpe",0.479775,0.157449,0.141851,20,10,15,0.259691666666667,0.76758,0.76758,0.712664584724124
"CENPH","Cenph",0.270832,0.337237,0.188717,3,6,4,0.265595333333333,2.01229,2.01229,0.420143921512648
"CENPI","Cenpi",0.625768,0.350761,0.232146,9,14,6,0.402891666666667,0.2282,0.2282,1.14223389241709
"CENPJ","Cenpj",2.484915,0.382831,0.603097,53,44,34,1.15694766666667,13.44296,13.44296,0.149342493967072
"CENPK","Cenpk",0.991336,0.341916,0.808565,6,9,13,0.713939,0.82981,0.82981,0.936675939031921
"CENPL","Cenpl",0.706634,1.086713,0.969932,19,29,43,0.921093,3.2985,3.2985,0.446921716877981
"CENPM","Cenpm",3.117254,3.458832,7.676794,5,32,31,4.75096,2.24049,2.24049,1.77471925542125
"CENPN","Cenpn",0.586041,0.490792,0.680964,16,23,23,0.585932333333333,4.08683,4.08683,0.31177223011843
"CENPO","Cenpo",1.16075,0.956573,1.134517,33,52,59,1.08394666666667,4.08683,4.08683,0.409674918695271
"CENPP","Cenpp",0.535033,0.511148,0.605451,9,14,15,0.550544,1.95006,1.95006,0.525597445475685
"CENPQ","Cenpq",1.563718,1.84496,2.074553,43,84,95,1.82774366666667,7.36458,7.36458,0.338061644059435
"CENPT","Cenpt",5.339677,4.581712,5.327308,101,196,192,5.082899,51.78029,51.78029,0.115249442547587
"CENPV","Cenpv",19.728739,36.915695,37.847903,122,292,288,31.4974456666667,47.32005,47.32005,0.672545778960632
"CENPW","Cenpw",1.805775,1.58371,1.160517,82,104,74,1.51666733333333,6.92893,6.92893,0.317403146872697
"CEP104","Cep104",13.007036,4.936844,8.40571,579,654,557,8.78319666666667,19.16866,19.16866,0.485069244395347
"CEP112","Cep112",3.100866,2.070755,2.399937,30,31,38,2.52385266666667,76.50869,76.50869,0.0454639688358385
"CEP120","Cep120",10.215343,6.918428,6.830932,707,843,835,7.98823433333333,5.37303,5.37303,1.41035493844111
"CEP128","Cep128",4.787115,1.874857,1.73149,65,80,49,2.79782066666667,7.32309,7.32309,0.456299363177217
"CEP135","Cep135",1.457351,0.710965,0.608871,120,101,85,0.925729,2.05379,2.05379,0.630602955671477
"CEP152","Cep152",0.561636,0.170848,0.230634,50,27,37,0.321039333333333,1.28621,1.28621,0.577829391584033
"CEP164","Cep164",2.848005,2.062852,1.765169,174,131,119,2.225342,22.17673,22.17673,0.139162944902063
"CEP170","Cep170",22.77732,9.997607,8.257064,1324,781,809,13.6773303333333,23.214,23.214,0.606150587814212
"CEP19","Cep19",28.487447,28.534242,26.062702,587,1023,932,27.694797,6.76297,6.76297,3.69636840023857
"CEP250","Cep250",3.712485,0.669355,1.421043,436,148,153,1.93429433333333,17.13562,17.13562,0.161797299090593
"CEP290","Cep290",4.891385,1.845885,1.661265,310,150,143,2.79951166666667,4.56397,4.56397,0.68287781326403
"CEP350","Cep350",8.644118,1.883578,1.461915,1097,362,414,3.996537,9.39762,9.39762,0.480546221154456
"CEP41","Cep41",4.309483,2.355177,2.377963,112,129,131,3.01420766666667,5.3108,5.3108,0.636085388012085
"CEP44","Cep44",5.067266,6.417089,6.49172,84,139,185,5.992025,8.09067,8.09067,0.769142978460334
"CEP55","Cep55",0.157263,0.034312,0.07232,4,2,5,0.087965,0,0,1.087965
"CEP57","Cep57",8.198213,7.492297,7.623158,199,334,284,7.77122266666667,18.11065,18.11065,0.458970399576501
"CEP57L1","Cep57l1",1.43606,1.264078,1.60695,41,66,72,1.435696,9.7088,9.7088,0.22744808008367
"CEP63","Cep63",14.93016,10.292703,13.298159,249,333,316,12.8403406666667,23.75338,23.75338,0.559129325638223
"CEP68","Cep68",5.918117,5.164149,4.749119,373,528,502,5.27712833333333,10.18595,10.18595,0.561161844397064
"CEP70","Cep70",8.517623,5.723284,6.112299,134,159,176,6.784402,15.57973,15.57973,0.469513194726332
"CEP72","Cep72",0.730988,2.021576,1.295648,24,39,25,1.349404,11.90781,11.90781,0.182014144924662
"CEP76","Cep76",9.521154,4.964923,6.544012,109,163,145,7.01002966666667,5.43527,5.43527,1.24470762946491
"CEP78","Cep78",2.712083,2.152673,2.423741,98,138,160,2.429499,5.93316,5.93316,0.494651645137282
"CEP85","Cep85",27.394131,21.324715,17.135465,436,480,472,21.951437,12.84135,12.84135,1.65817907935281
"CEP89","Cep89",14.440613,5.67854,12.364423,106,179,184,10.8278586666667,8.25663,8.25663,1.27777157201559
"CEP95","Cep95",9.058322,4.291609,4.335723,79,101,96,5.895218,26.63697,26.63697,0.249492545673422
"CEP97","Cep97",2.377017,1.266635,2.109798,281,190,207,1.91781666666667,7.48906,7.48906,0.343714930353498
"CEPT1","Cept1",32.408813,33.653623,23.419819,536,985,852,29.8274183333333,25.10182,25.10182,1.18104478282868
"CER1","Cer1",0.125752,0.023578,0.023413,3,1,1,0.057581,0,0,1.057581
"CERCAM","Cercam",4.512931,3.576274,4.097148,60,117,107,4.06211766666667,2368.13909,2368.13909,0.00213669078697556
"CERK","Cerk",19.290397,15.009437,14.704146,1033,1464,1487,16.33466,15.60047,15.60047,1.04422706104104
"CERS2","Cers2",25.247438,33.896651,37.144763,697,1633,1832,32.096284,166.41886,166.41886,0.197685517629256
"CERS3","Cers3",0.136463,0.047689,0.116749,6,4,8,0.100300333333333,4.75068,4.75068,0.191333952390558
"CERS4","Cers4",15.543483,9.405339,10.03372,667,667,614,11.6608473333333,115.17795,115.17795,0.108978057654945
