"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"CACNB1","Cacnb1",31.089498,18.741179,15.427683,1361,1546,1215,21.7527866666667,9.80684,9.80684,2.1054060823207
"CACNB2","Cacnb2",16.710567,12.970129,14.86294,666,683,679,14.8478786666667,5.86548,5.86548,2.30834241257227
"CACNB3","Cacnb3",75.047918,83.697497,65.882111,2106,3799,3206,74.875842,27.21709,27.21709,2.68900308288346
"CACNB4","Cacnb4",100.958678,53.701361,22.869223,4098,3437,2525,59.1764206666667,2.54481,2.54481,16.9759227339876
"CACNG1","Cacng1",0,0.102318,0.03363,0,3,1,0.045316,1.14827,1.14827,0.48658501957389
"CACNG2","Cacng2",15.090159,7.180538,7.074044,1189,1033,1020,9.78158033333333,2.0793,2.0793,3.50130884724883
"CACNG3","Cacng3",41.466557,23.385507,20.024512,944,1083,862,28.292192,2.23447,2.23447,9.05625713022535
"CACNG4","Cacng4",15.856554,9.800756,10.969697,567,548,561,12.2090023333333,12.662,12.662,0.96684250719758
"CACNG5","Cacng5",4.576024,4.0704,3.908427,253,402,392,4.18495033333333,0,0,5.18495033333333
"CACNG6","Cacng6",0.406705,0.399233,0.21625,6,20,11,0.340729333333333,0,0,1.34072933333333
"CACNG7","Cacng7",60.253439,53.820569,53.666297,1576,2713,2739,55.913435,64.20998,64.20998,0.872771851793238
"CACNG8","Cacng8",27.791346,15.340555,16.341963,433,480,506,19.8246213333333,4.68618,4.68618,3.66232186341856
"CACTIN","Cactin",13.264115,7.86809,7.799566,277,338,290,9.64392366666667,26.53433,26.53433,0.386569190776266
"CACUL1","Cacul1",12.826884,10.027532,8.428447,1102,1423,1272,10.427621,8.81374,8.81374,1.16445116744483
"CACYBP","Cacybp",34.369477,28.741233,30.933427,784,1314,1187,31.3480456666667,163.58183,163.58183,0.196546882888996
"CAD","Cad",13.741823,4.890853,3.76945,310,185,207,7.46737533333333,20.97919,20.97919,0.385245103815624
"CADM1","Cadm1",51.104843,31.245518,27.668127,2709,2749,2389,36.6728293333333,33.08257,33.08257,1.10534004135643
"CADM2","Cadm2",63.45564,26.817075,29.456837,4320,2691,2133,39.9098506666667,42.33079,42.33079,0.944128890026391
"CADM3","Cadm3",116.530523,78.47985,66.584466,5280,5565,5075,87.1982796666667,30.69293,30.69293,2.78290078155181
"CADM4","Cadm4",106.32295,108.156701,103.349542,2284,4090,3881,105.943064333333,242.68828,242.68828,0.438851898553896
"CADPS","Cadps",155.718106,100.398958,120.612064,4195,4731,4893,125.576376,16.07577,16.07577,7.41263064564585
"CADPS2","Cadps2",22.830648,16.864412,14.875854,1303,1530,1278,18.1903046666667,15.14474,15.14474,1.18864129534862
"CAGE1","Cage1",0.98865,0.76132,0.671994,34,51,43,0.807321333333333,0,0,1.80732133333333
"CALB1","Calb1",29.961414,24.325835,21.115006,1601,2490,1921,25.134085,14.7413,14.7413,1.66022406027456
"CALB2","Calb2",28.292398,54.762434,65.076537,536,1865,2253,49.377123,21.91022,21.91022,2.19889302678019
"CALCB","Calcb",0.175216,0.294704,0.29693,2,6,6,0.255616666666667,0.27931,0.27931,0.981479599680036
"CALCOCO1","Calcoco1",31.582047,22.790328,22.615972,651,835,815,25.6627823333333,62.22378,62.22378,0.421720788180228
"CALCOCO2","Calcoco2",0,0.025502,0.025138,0,1,1,0.01688,69.33064,69.33064,0.0144585631525605
"CALCR","Calcr",0.472675,0.523504,0.288593,27,51,27,0.428257333333333,0.27931,0.27931,1.11642786606322
"CALCRL","Calcrl",3.797361,2.005101,2.019676,107,164,111,2.60737933333333,18.093,18.093,0.18893727194958
"CALHM1","Calhm1",0,0,0.033298,0,0,1,0.0110993333333333,0.06207,0.06207,0.952008185273413
"CALHM2","Calhm2",1.345456,1.214511,0.93602,48,78,61,1.165329,15.0206,15.0206,0.135159045229267
"CALM1","Calm1",917.906164,994.118713,930.948848,35205,61064,54936,947.657908333333,406.30114,406.30114,2.32913148323949
"CALM2","Calm2",1505.185202,1682.021426,1517.328412,14750,28737,24359,1568.17834666667,1151.52795,1151.52795,1.36151001515119
"CALM3","Calm3",1364.080046,1583.439227,1420.140896,13432,28650,26380,1455.886723,415.20799,415.20799,3.50038143909731
"CALML3","Calml3",0,0,0,0,0,0,0,2.0793,2.0793,0.324749131296074
"CALML4","Calml4",2.829731,7.959693,7.07738,25,83,79,5.95560133333333,7.78961,7.78961,0.79134356738619
"CALML5","Calm4",0,0,0,0,0,0,0,6.73444,6.73444,0.129291842719059
"CALN1","Caln1",29.129713,8.978104,9.445676,3506,1525,1462,15.8511643333333,74.5444,74.5444,0.22306305077985
"CALR","Calr",229.231727,181.739389,164.428364,4583,6681,6042,191.799826666667,383.7392,383.7392,0.50111822935294
"CALR3","Calr3",0.681258,0.876689,1.046991,14,32,37,0.868312666666667,0.12414,0.12414,1.66199287158776
"CALU","Calu",34.81655,31.608919,27.5638,1312,2093,1915,31.3297563333333,32.52395,32.52395,0.9643778950074
"CALY","Caly",87.993768,118.513974,107.110355,1104,2796,2589,104.539365666667,104.05803,104.05803,1.0045816170993
"CAMK1","Camk1",28.395505,37.627805,36.096157,577,1374,1340,34.0398223333333,27.99294,27.99294,1.20856395844414
"CAMK1D","Camk1d",24.309586,8.732713,8.0886,2525,1627,1540,13.7102996666667,14.95854,14.95854,0.921782297545181
"CAMK1G","Camk1g",16.473135,11.017382,10.278474,452,590,514,12.5896636666667,1.58275,1.58275,5.26170309424709
"CAMK2A","Camk2a",578.175698,237.053079,230.384687,30369,25068,24424,348.537821333333,23.27573,23.27573,14.3986533600981
"CAMK2B","Camk2b",166.909079,92.994124,90.219343,8886,9440,8866,116.707515333333,82.27195,82.27195,1.41353139122277
"CAMK2D","Camk2d",89.377721,85.240246,53.228487,1990,1782,1546,75.948818,20.01713,20.01713,3.66124290043407
"CAMK2G","Camk2g",146.578669,166.829362,163.720202,2763,5215,5345,159.042744333333,47.63766,47.63766,3.29051077566917
"CAMK2N1","Camk2n1",296.39474,241.645865,211.61811,17948,26598,23723,249.886238333333,235.98487,235.98487,1.05865930737829
"CAMK2N2","Camk2n2",74.592539,89.789449,87.960367,931,2302,2392,84.1141183333333,35.34808,35.34808,2.34164000776199
"CAMK4","Camk4",19.043222,7.779647,7.231047,714,500,444,11.3513053333333,16.35508,16.35508,0.711682419979241
"CAMKK1","Camkk1",43.384451,30.414621,27.337696,1781,2350,2109,33.712256,4.3448,4.3448,6.49458464301751
"CAMKK2","Camkk2",54.733444,39.934179,28.675305,2799,2878,2312,41.1143093333333,27.52743,27.52743,1.47627421514428
"CAMKMT","Camkmt",4.399832,4.043933,3.328387,97,156,136,3.92405066666667,19.0861,19.0861,0.245147174746052
"CAMKV","Camkv",115.594026,125.599896,106.565167,4547,8438,7405,115.919696333333,12.07235,12.07235,8.94404574030938
"CAMP","Camp",0,0,0,0,0,0,0,2.29654,2.29654,0.303348359188725
"CAMSAP1","Camsap1",69.25917,25.861507,26.83804,1557,1075,1009,40.6529056666667,15.70336,15.70336,2.49368424476672
"CAMSAP2","Camsap2",35.543581,13.364071,12.113192,2958,1970,1765,20.3402813333333,10.33442,10.33442,1.88278547409866
"CAMSAP3","Camsap3",8.457294,4.646574,5.609772,310,268,330,6.23788,2.2655,2.2655,2.21646914714439
"CAMTA1","Camta1",138.770712,84.979421,69.006301,4731,3007,3118,97.585478,286.16734,286.16734,0.343303239149689
"CAMTA2","Camta2",54.017438,21.58241,23.20716,3438,2684,2835,32.9356693333333,64.61343,64.61343,0.517206147176475
"CAND1","Cand1",44.527406,23.045117,22.175874,2620,2199,2208,29.9161323333333,20.42057,20.42057,1.44329176736816
"CAND2","Cand2",0.634054,0.337833,0.299121,52,52,47,0.423669333333333,4.31377,4.31377,0.267920766862949
"CANT1","Cant1",14.012761,10.543511,12.568608,609,884,941,12.37496,16.94473,16.94473,0.745341947190066
"CANX","Canx",224.442314,152.602865,175.254874,5618,6321,5754,184.100017666667,251.99857,251.99857,0.73162475845878
"CAP1","Cap1",79.001929,70.735399,60.964074,2832,4515,4003,70.2338006666667,204.11264,204.11264,0.347291130700998
"CAP2","Cap2",102.116984,63.868702,50.242893,3123,3424,2719,72.076193,8.87581,8.87581,7.39951386266038
"CAPG","Capg",1.928903,3.813535,2.926389,25,45,63,2.889609,180.93001,180.93001,0.0213796998087341
"CAPN1","Capn1",12.911652,13.728842,11.845528,253,438,460,12.828674,31.03431,31.03431,0.431683217150611
"CAPN10","Capn10",16.835092,20.77959,22.716112,265,633,618,20.1102646666667,35.22394,35.22394,0.582771080856104
"CAPN11","Capn11",0.68976,0.695336,0.116535,26,47,8,0.500543666666667,0.18621,0.18621,1.26498989779775
"CAPN12","Capn12",0.160375,0.832424,0.790037,6,12,13,0.594278666666667,21.10333,21.10333,0.0721284379623644
"CAPN13","Capn13",0,0,0.030898,0,0,1,0.0102993333333333,1.70689,1.70689,0.373232504214554
"CAPN2","Capn2",34.775455,24.81635,20.888395,1069,1491,1365,26.8267333333333,53.0066,53.0066,0.515246901921864
"CAPN3","Capn3",13.516759,7.729399,8.600975,65,96,120,9.94904433333333,529.44527,529.44527,0.0206412328520402
"CAPN5","Capn5",8.931228,6.098691,5.5878,605,757,694,6.872573,6.57927,6.57927,1.03869805403423
"CAPN6","Capn6",0.25746,0.286698,0.354819,14,27,34,0.299659,0,0,1.299659
"CAPN7","Capn7",14.807177,8.78209,7.135865,606,689,578,10.2417106666667,10.52063,10.52063,0.97578957632236
"CAPN8","Capn8",0.027722,0,0.015417,1,0,1,0.0143796666666667,4.1586,4.1586,0.196638558265162
"CAPN9","Capn9",0,0.049366,1.080931,0,3,3,0.376765666666667,15.70336,15.70336,0.0824244742774308
"CAPNS1","Capns1",149.207434,171.571949,184.977726,1223,2713,2821,168.585703,608.45862,608.45862,0.278256303930856
"CAPNS2","Capns2",0.164047,0,0,2,0,0,0.0546823333333333,0.83793,0.83793,0.573842493094586
"CAPRIN1","Caprin1",110.677116,75.007682,61.358247,3773,4242,3522,82.3476816666667,53.62728,53.62728,1.52575199912327
"CAPRIN2","Caprin2",3.152569,2.400791,2.105168,90,95,110,2.55284266666667,8.06892,8.06892,0.39176028310611
"CAPS2","Caps2",0.149362,0.116027,0.123658,6,7,8,0.129682333333333,6.61031,6.61031,0.148441040290518
"CAPSL","Capsl",1.910315,2.150871,2.231893,19,40,44,2.097693,0,0,3.097693
"CAPZA1","Capza1",24.986032,22.954036,23.136326,727,1345,1377,23.6921313333333,38.73081,38.73081,0.621485726903965
"CAPZA2","Capza2",140.383541,134.591024,127.78603,2676,4483,3968,134.253531666667,33.05154,33.05154,3.97202392804163
"CAPZA3","Capza3",0,0,0,0,0,0,0,0.58965,0.58965,0.629069291982512
"CAPZB","Capzb",156.952913,176.229635,187.942358,1823,3894,3756,173.708302,217.27118,217.27118,0.800418552737929
"CARD10","Card10",1.585009,0.773458,0.996876,97,102,135,1.11844766666667,4.40687,4.40687,0.391806658319262
"CARD11","Card11",0.064643,0.008809,0,4,1,0,0.024484,3.87929,3.87929,0.209965794203665
"CARD14","Card14",0.104795,0.03684,0.058453,5,4,6,0.066696,8.16202,8.16202,0.116425853687287
"CARD9","Card9",0.960744,1.528819,1.059782,14,35,25,1.183115,3.56895,3.56895,0.477815471826131
"CARHSP1","Carhsp1",17.58067,20.816428,20.016827,737,1564,1528,19.4713083333333,48.9411,48.9411,0.409909039515216
"CARM1","Carm1",29.132705,17.487288,18.414009,845,922,892,21.6780006666667,23.08952,23.08952,0.941405252851309
"CARNS1","Carns1",3.391331,2.549528,3.244725,102,144,149,3.06186133333333,363.4738,363.4738,0.0111444535473698
"CARS2","Cars2",4.983767,8.190797,8.636613,107,211,248,7.27039233333333,67.62375,67.62375,0.120517930502681
"CARTPT","Cartpt",6.897457,29.194675,28.921804,72,556,558,21.671312,4.81032,4.81032,3.90190419804761
"CASC3","Casc3",22.086087,7.67304,9.779409,769,767,707,13.179512,175.96452,175.96452,0.0801262987631645
"CASD1","Casd1",35.201648,22.538591,26.403171,918,1045,920,28.0478033333333,24.57917,24.57917,1.13560382660318
"CASK","Cask",32.579015,17.814724,18.089358,1183,987,926,22.827699,27.21709,27.21709,0.844442109374142
"CASKIN1","Caskin1",26.004647,11.460642,13.269212,1694,1635,1841,16.9115003333333,42.26873,42.26873,0.413959465261248
"CASKIN2","Caskin2",6.717996,2.744938,4.373185,335,357,401,4.61203966666667,20.54471,20.54471,0.260483416424109
"CASP1","Casp1",2.259026,2.143615,1.76471,17,37,42,2.05578366666667,17.16197,17.16197,0.168251773715443
"CASP12","Casp12",0.537349,0.310864,0.692346,10,14,22,0.513519666666667,0.68275,0.68275,0.899432278512356
"CASP14","Casp14",0,0,0,0,0,0,0,0.62069,0.62069,0.61702114531465
"CASP2","Casp2",4.018705,4.609289,5.050155,121,167,170,4.559383,5.86548,5.86548,0.809758822398434
"CASP3","Casp3",5.937149,2.964308,3.103508,147,185,197,4.001655,8.68961,8.68961,0.51618744201263
"CASP4","Casp4",0.32814,0.186953,0.1832,7,7,6,0.232764333333333,20.29644,20.29644,0.0578859346131717
"CASP6","Casp6",1.818853,2.736105,1.876174,30,52,49,2.14371066666667,10.7689,10.7689,0.267120178323094
"CASP7","Casp7",1.473969,2.156661,1.535095,36,50,56,1.72190833333333,5.05859,5.05859,0.449264322776972
"CASP8","Casp8",1.084931,0.715757,1.172778,28,36,51,0.991155333333333,7.66547,7.66547,0.229780419681025
"CASP8AP2","Casp8ap2",2.41314,1.085205,0.924201,242,186,156,1.474182,14.05854,14.05854,0.164304241978306
"CASP9","Casp9",9.43369,6.424644,6.753707,320,455,464,7.537347,23.27573,23.27573,0.351682400488059
"CASQ1","Casq1",0.918291,0.606472,1.152117,11,13,27,0.892293333333333,6.14479,6.14479,0.264849398419454
"CASQ2","Casq2",1.373842,1.374341,2.018424,32,48,81,1.588869,7.88271,7.88271,0.29145035692936
"CASR","Casr",0.145347,0.227675,0.224499,9,6,18,0.199173666666667,0,0,1.19917366666667
"CASS4","Cass4",0.167999,0.020614,0.138359,8,2,7,0.108990666666667,0.55862,0.55862,0.711520875304222
"CAST","Cast",14.304812,10.618537,11.173504,231,281,261,12.0322843333333,73.70648,73.70648,0.174446504952895
"CASZ1","Casz1",1.323492,1.762461,3.199457,46,115,181,2.09513666666667,7.97582,7.97582,0.344830518734407
"CAT","Cat",15.789551,15.384608,16.371727,570,848,987,15.8486286666667,35.65842,35.65842,0.459611425333298
"CATSPER1","Catsper1",0,0,0,0,0,0,0,0.06207,0.06207,0.941557524456957
"CATSPER2","Catsper2",0.934044,0.65091,1.06713,26,25,43,0.884028,10.98614,10.98614,0.15718388071556
"CATSPER3","Catsper3",0.234091,0.099971,0.098462,4,3,3,0.144174666666667,0.37241,0.37241,0.833697413066552
"CATSPER4","Catsper4",0,0,0,0,0,0,0,0.24827,0.24827,0.801108734488532
"CATSPERB","Catsperb",0.068426,0,0,2,0,0,0.0228086666666667,0,0,1.02280866666667
"CATSPERD","Catsperd",0.215752,0.215429,0.181845,8,14,12,0.204342,0,0,1.204342
"CATSPERG","Catsperg2",0.059022,0,0.032473,1,0,2,0.0304983333333333,8.81374,8.81374,0.105005668922687
"CAV1","Cav1",16.640937,13.939611,12.711408,197,428,396,14.430652,33.67222,33.67222,0.445043668966106
"CAV2","Cav2",18.945133,19.710422,19.358143,531,878,695,19.3378993333333,44.00665,44.00665,0.45188653972987
"CAV3","Cav3",0.068706,0.112869,0.074216,1,3,2,0.0852636666666667,0.49655,0.49655,0.725177018253093
"CBFA2T2","Cbfa2t2",18.443087,16.709572,13.497188,848,940,839,16.2166156666667,8.56547,8.56547,1.79987137763922
"CBFA2T3","Cbfa2t3",5.881612,2.913814,3.652136,363,194,205,4.14918733333333,2.85516,2.85516,1.33566112258203
"CBFB","Cbfb",11.491703,12.834226,9.653358,315,464,403,11.326429,30.81707,30.81707,0.38741559169339
"CBL","Cbl",97.73091,20.880912,26.604579,1505,469,479,48.405467,2.73102,2.73102,13.2418124266286
"CBLB","Cblb",6.482449,2.696281,2.558629,335,230,238,3.912453,7.60341,7.60341,0.57098906131406
"CBLC","Cblc",0,0.07034,0.291373,0,1,3,0.120571,0.12414,0.12414,0.996825128542708
"CBLL1","Cbll1",6.881343,3.75926,2.695394,356,347,250,4.44533233333333,8.03789,8.03789,0.602500399245104
"CBLN1","Cbln1",10.174959,10.394031,12.237681,259,459,564,10.935557,13.77923,13.77923,0.807589908269917
"CBLN2","Cbln2",15.946492,13.596187,13.431516,519,773,777,14.3247316666667,2.32757,2.32757,4.60538220583389
"CBLN3","Cbln3",0.157849,0.10466,0.165697,12,14,22,0.142735333333333,10.4896,10.4896,0.0994582346934039
"CBLN4","Cbln4",8.822584,6.817299,5.977919,367,517,452,7.205934,0.27931,0.27931,6.41434366963441
"CBR1","Cbr1",27.91897,49.060121,52.172226,379,1043,1175,43.050439,134.81303,134.81303,0.324346191230694
"CBR3","Cbr3",4.933899,4.348407,5.49323,70,116,150,4.92517866666667,6.4241,6.4241,0.79810060029723
"CBR4","Cbr4",9.27229,8.995248,10.460726,144,194,184,9.576088,26.81364,26.81364,0.380248252296355
"CBWD1","Cbwd1",7.15013,6.439687,6.541644,115,219,225,6.710487,8.78271,8.78271,0.788174953566036
"CBX1","Cbx1",14.466018,10.245749,10.493114,454,553,564,11.7349603333333,71.84442,71.84442,0.174824102289967
"CBX2","Cbx2",0.551644,0.296779,0.319027,31,31,34,0.38915,0.80689,0.80689,0.768807176972588
"CBX3","Cbx3",66.857758,60.535876,57.525454,1482,2404,2006,61.639696,82.83056,82.83056,0.747217911940466
"CBX4","Cbx4",12.710487,6.69375,8.336863,513,575,662,9.24703333333333,26.56537,26.56537,0.371735744281079
"CBX5","Cbx5",44.182558,25.80035,29.66377,3793,3426,3063,33.2155593333333,17.31714,17.31714,1.86795314843547
"CBX6","Cbx6",79.627799,49.317391,52.732281,5707,5606,5630,60.559157,25.32399,25.32399,2.33851923663548
"CBX7","Cbx7",19.049764,18.306771,15.886373,593,1206,1120,17.747636,39.66184,39.66184,0.461062165411108
"CBX8","Cbx8",4.976346,3.504366,4.341943,91,159,177,4.27421833333333,4.37584,4.37584,0.981096597616992
"CBY1","Cby1",17.988802,23.672099,23.185592,260,580,618,21.6154976666667,30.63086,30.63086,0.71498206709102
"CC2D1A","Cc2d1a",11.16863,10.434096,9.112349,513,760,680,10.2383583333333,63.43412,63.43412,0.174416261653505
"CC2D1B","Cc2d1b",39.077681,30.521773,28.355135,211,308,320,32.6515296666667,105.82699,105.82699,0.315009621320105
"CC2D2A","Cc2d2a",4.395261,1.766966,1.985038,339,243,267,2.715755,11.88614,11.88614,0.288352834906341
"CCAR1","Ccar1",18.74941,9.440713,5.465822,670,581,433,11.2186483333333,51.82729,51.82729,0.231294248357872
"CCBE1","Ccbe1",1.845899,0.652352,0.473666,129,78,81,0.990639,0.68275,0.68275,1.18296776110533
"CCDC102A","Ccdc102a",0.632515,0.746564,0.955802,10,26,37,0.778293666666667,10.21029,10.21029,0.158630478485986
"CCDC103","Ccdc103",1.280535,1.837095,1.805397,24,57,65,1.641009,0,0,2.641009
"CCDC105","Ccdc105",0.090706,0,0.092189,2,0,4,0.060965,0,0,1.060965
"CCDC106","Ccdc106",48.443223,53.461283,66.468496,224,592,641,56.124334,46.27215,46.27215,1.20841412967254
"CCDC107","Ccdc107",14.810982,18.716116,24.648616,131,312,398,19.3919046666667,57.59967,57.59967,0.347986680926133
"CCDC110","Ccdc110",0.324566,0.185924,0.073131,10,10,5,0.194540333333333,1.52068,1.52068,0.473896065082967
"CCDC112","Ccdc112",6.120557,3.450213,2.807166,117,116,79,4.12597866666667,9.65167,9.65167,0.481237089270196
"CCDC113","Ccdc113",1.136082,1.431722,1.612031,19,42,48,1.39327833333333,3.0724,3.0724,0.587682529548505
"CCDC115","Ccdc115",6.39024,6.510814,7.205223,150,278,312,6.70209233333333,29.38949,29.38949,0.253445922696739
"CCDC116","Ccdc116",0.878231,0.583249,0.862108,31,27,28,0.774529333333333,1.39654,1.39654,0.740454711097388
"CCDC117","Ccdc117",5.295795,5.111256,4.179298,260,444,368,4.86211633333333,6.331,6.331,0.799633928977402
"CCDC12","Ccdc12",36.080071,32.901555,34.806905,207,373,396,34.596177,171.1542,171.1542,0.206769146497733
"CCDC120","Ccdc120",12.556411,12.670309,25.78949,105,135,133,17.0054033333333,2.88619,2.88619,4.63317628148221
"CCDC122","Ccdc122",1.610639,1.721866,1.591573,27,44,42,1.64135933333333,1.42758,1.42758,1.0880627346301
"CCDC124","Ccdc124",23.838107,32.910202,35.586364,384,1067,1162,30.7782243333333,112.90281,112.90281,0.27899420860059
"CCDC125","Ccdc125",1.096049,0.480096,0.414107,38,29,25,0.663417333333333,3.91032,3.91032,0.338759456274404
"CCDC126","Ccdc126",3.557596,4.397547,5.223363,115,244,273,4.39283533333333,6.39307,6.39307,0.729444646585699
"CCDC127","Ccdc127",37.040094,28.760234,24.839286,1149,1431,1370,30.2132046666667,25.44813,25.44813,1.18016678935965
"CCDC13","Ccdc13",3.069021,6.065139,4.759646,51,101,87,4.63126866666667,6.4241,6.4241,0.758511963290724
"CCDC130","Ccdc130",12.271497,10.729153,8.598831,83,148,133,10.5331603333333,64.20998,64.20998,0.176861890362999
"CCDC134","Ccdc134",5.401121,3.356973,2.461738,82,112,135,3.739944,1.67585,1.67585,1.77137881420857
"CCDC136","Ccdc136",83.516456,77.143694,78.888913,929,1511,1543,79.8496876666667,51.1135,51.1135,1.55141542338677
"CCDC137","Ccdc137",12.458448,11.580249,10.094147,217,447,434,11.3776146666667,18.27921,18.27921,0.642018768749688
"CCDC138","Ccdc138",1.074022,0.68486,0.609705,39,43,37,0.789529,1.64482,1.64482,0.676616556136145
"CCDC14","Ccdc14",0.595882,0.396204,0.342334,37,41,36,0.444806666666667,19.14817,19.14817,0.0717090766390529
"CCDC142","Ccdc142",1.785456,0.106073,0.741748,8,5,8,0.877759,4.93445,4.93445,0.316416685623773
"CCDC148","Ccdc148",3.682731,2.373628,1.78704,208,232,168,2.61446633333333,9.27926,9.27926,0.351627095076234
"CCDC15","Ccdc15",0.612819,0.266967,0.345393,28,19,25,0.408393,0.52758,0.52758,0.921976590424069
"CCDC150","Ccdc150",0.065278,0.037299,0.036777,1,1,1,0.0464513333333333,5.74135,5.74135,0.155228749928921
"CCDC153","Ccdc153",3.341944,8.416177,11.097672,27,81,97,7.61859766666667,4.93445,4.93445,1.45229931445486
"CCDC154","Ccdc154",0,0.015869,0,0,1,0,0.00528966666666667,8.16202,8.16202,0.109723583518336
"CCDC157","Ccdc157",4.725907,3.474601,3.07639,337,420,366,3.758966,2.54481,2.54481,1.34251652415785
"CCDC158","Ccdc158",0.197127,0.173539,0.175174,10,15,15,0.181946666666667,0.40345,0.40345,0.842172265963637
"CCDC159","Ccdc159",3.496134,2.493186,2.95511,60,86,90,2.98147666666667,138.94059,138.94059,0.0284511925143853
"CCDC160","Ccdc160",1.060294,2.107365,1.96379,22,76,71,1.710483,2.20344,2.20344,0.846116362410409
"CCDC162P","Ccdc162",0.46593,0.411582,0.754876,18,26,40,0.544129333333333,1.92413,1.92413,0.52806452973477
"CCDC167","Ccdc167",7.285908,11.005696,4.846808,157,159,170,7.712804,45.96181,45.96181,0.185529561147664
"CCDC169","Ccdc169",0.114843,0.066444,0.142415,2,3,3,0.107900666666667,2.82412,2.82412,0.289713886244853
"CCDC17","Ccdc17",1.062945,1.882589,1.210292,11,43,31,1.38527533333333,2.1724,2.1724,0.751883537174799
"CCDC171","Ccdc171",0.812886,0.223178,0.366956,27,13,23,0.467673333333333,20.35851,20.35851,0.0687160917748164
"CCDC172","Ccdc172",0,0,0.058385,0,0,1,0.0194616666666667,0.12414,0.12414,0.906881408602725
"CCDC173","Ccdc173",0.838591,0.361699,0.423247,20,13,15,0.541179,1.76896,1.76896,0.55659128336993
"CCDC18","Ccdc18",0.318608,0.175599,0.283523,17,15,23,0.259243333333333,9.43443,9.43443,0.120681564142299
"CCDC22","Ccdc22",7.491235,7.460698,7.692833,251,462,484,7.54825533333333,13.09648,13.09648,0.606410631117366
"CCDC25","Ccdc25",13.117441,8.119821,8.041145,419,451,450,9.759469,29.45156,29.45156,0.353330633964237
"CCDC27","Ccdc27",0,0.149623,0.257954,0,8,14,0.135859,0.0931,0.0931,1.03911718964413
"CCDC28B","Ccdc28b",29.286668,56.076441,47.748228,99,287,277,44.3704456666667,18.77576,18.77576,2.29424536233584
"CCDC3","Ccdc3",4.027567,3.03024,3.538405,149,202,241,3.53207066666667,14.24475,14.24475,0.297287306559089
"CCDC30","Ccdc30",6.368031,4.619576,4.223885,159,202,159,5.07049733333333,6.92065,6.92065,0.766414035885102
"CCDC33","Ccdc33",3.087621,2.383171,1.882339,8,23,21,2.45104366666667,0.06207,0.06207,3.24935613157953
"CCDC34","Ccdc34",5.888682,3.638054,4.812713,106,165,181,4.77981633333333,12.7551,12.7551,0.42019442485575
"CCDC38","Ccdc38",0.220769,0.141646,0.345898,8,13,5,0.236104333333333,0.80689,0.80689,0.684106023794107
"CCDC39","Ccdc39",4.04545,4.322102,2.182622,151,191,151,3.51672466666667,7.5103,7.5103,0.530736245099076
"CCDC40","Ccdc40",2.616206,1.382108,0.660971,28,51,38,1.553095,3.84825,3.84825,0.526601351002939
"CCDC42","Ccdc42",1.044376,0.892151,0.659219,12,20,15,0.865248666666667,0.18621,0.18621,1.57244388992393
"CCDC43","Ccdc43",17.116405,14.632522,16.861504,263,424,378,16.203477,16.63439,16.63439,0.975564054101106
"CCDC47","Ccdc47",71.369521,36.451914,31.473594,1685,1749,1559,46.4316763333333,33.05154,33.05154,1.39293777413102
"CCDC50","Ccdc50",9.974943,7.859024,7.290731,909,1182,1035,8.37489933333333,9.80684,9.80684,0.867496819915288
"CCDC51","Ccdc51",2.001599,3.141053,2.701075,41,117,102,2.61457566666667,14.71026,14.71026,0.230077393160054
"CCDC54","Ccdc54",0,0,0,0,0,0,0,0.31034,0.31034,0.76316070638155
"CCDC57","Ccdc57",1.211046,0.721937,0.841312,45,43,53,0.924765,89.22363,89.22363,0.021333269344184
"CCDC59","Ccdc59",12.590718,13.244009,11.174126,231,393,377,12.3362843333333,26.5964,26.5964,0.483261741869712
"CCDC6","Ccdc6",10.856725,3.774881,3.559748,866,554,530,6.06378466666667,7.78961,7.78961,0.803651659933338
"CCDC60","Ccdc60",0.343293,0.181419,0.201276,17,14,19,0.241996,0,0,1.241996
"CCDC61","Ccdc61",7.279418,4.229908,9.693826,66,85,126,7.06771733333333,11.69993,11.69993,0.635256834748958
"CCDC62","Ccdc62",1.336062,1.411226,1.0447,29,39,39,1.263996,0.65172,0.65172,1.37068994744872
"CCDC63","Ccdc63",0.619963,0.201865,0.362,7,9,5,0.394609333333333,0,0,1.39460933333333
"CCDC65","Ccdc65",2.886718,4.878614,3.165958,77,141,122,3.64376333333333,3.04136,3.04136,1.14905955750869
"CCDC66","Ccdc66",3.461308,2.85495,2.290132,155,247,166,2.86879666666667,19.36541,19.36541,0.189969004634165
"CCDC68","Ccdc68",0,0.257331,0.074659,0,8,2,0.110663333333333,1.9862,1.9862,0.371931998303306
"CCDC69","Ccdc69",0.269182,0.090714,0.208655,5,3,7,0.189517,15.0206,15.0206,0.0742492166335842
"CCDC70","Ccdc70",0,0,0,0,0,0,0,0.18621,0.18621,0.843021050235624
"CCDC71","Ccdc71",12.007199,8.60771,13.233184,302,555,558,11.2826976666667,7.01375,7.01375,1.53270287526647
