"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"CCL4","Ccl4",0,0,0,0,0,0,0,0.86025,0.86025,0.537562155624244
"CCL5","Ccl5",1.101974,0.490635,0.362368,5,4,3,0.651659,1.75846,1.75846,0.598761265343706
"CCL7","Ccl7",0.112577,0,0.065163,1,0,1,0.0592466666666667,0,0,1.05924666666667
"CCM2","Ccm2",29.802321,30.790111,24.541982,455,959,856,28.378138,18.72315,18.72315,1.48952565893379
"CCNA1","Ccna1",0.8781,0.559914,1.980978,7,11,17,1.139664,0.20241,0.20241,1.77947954524663
"CCNA2","Ccna2",0.885893,0.215355,0.352407,21,14,15,0.484551666666667,1.80906,1.80906,0.528486990903244
"CCNB1","Ccnb1",0.291983,0.255681,0.65683,10,11,19,0.401498,3.51692,3.51692,0.310277357137164
"CCNB1IP1","Ccnb1ip1",0,0,0,0,0,0,0,194.16413,194.16413,0.00512389238739721
"CCNB2","Ccnb2",0.193372,0.219556,0.10818,4,8,4,0.173702666666667,0.69579,0.69579,0.692127366399535
"CCNB3","Ccnb3",0,0,0,0,0,0,0,0.34157,0.34157,0.745395320408178
"CCNC","Ccnc",15.926044,21.965561,17.956071,406,713,564,18.615892,37.28184,37.28184,0.512407240613304
"CCND1","Ccnd1",14.482504,8.622585,8.843367,660,785,699,10.6494853333333,57.33332,57.33332,0.199705508504116
"CCND2","Ccnd2",67.881296,20.943905,19.417062,928,810,664,36.0807543333333,94.33685,94.33685,0.388944614106018
"CCND3","Ccnd3",26.134454,38.649636,33.72997,258,498,463,32.83802,21.46837,21.46837,1.50602914230093
"CCNDBP1","Ccndbp1",36.621067,42.012543,53.772789,427,974,1098,44.1354663333333,113.97085,113.97085,0.392581826900761
"CCNE1","Ccne1",9.282194,8.422887,10.008376,161,344,317,9.237819,2.47955,2.47955,2.9422824790562
"CCNE2","Ccne2",2.464119,2.477495,2.014115,94,129,108,2.31857633333333,3.02354,3.02354,0.82479019304725
"CCNF","Ccnf",2.17123,1.096299,0.779937,59,86,58,1.34915533333333,0.22771,0.22771,1.91344481460062
"CCNG1","Ccng1",30.949921,27.259811,24.393059,1189,1896,1601,27.5342636666667,101.83876,101.83876,0.277466041662372
"CCNG2","Ccng2",12.416668,10.468475,9.969363,446,626,514,10.951502,15.15563,15.15563,0.739773193617333
"CCNH","Ccnh",104.62064,110.067799,85.363842,547,1008,903,100.017427,57.92791,57.92791,1.71425436605507
"CCNI","Ccni",166.37694,161.672616,171.205791,3149,5955,5463,166.418449,434.61746,434.61746,0.384324468996261
"CCNJ","Ccnj",1.698445,1.198632,1.048303,97,121,106,1.31512666666667,4.94645,4.94645,0.389329207622475
"CCNJL","Ccnjl",0.865555,0.752934,0.554554,33,52,39,0.724347666666667,6.42659,6.42659,0.232185655417448
"CCNK","Ccnk",9.774061,4.500921,5.466058,318,313,337,6.58034666666667,23.35334,23.35334,0.311265176220866
"CCNL1","Ccnl1",20.455314,9.162308,6.963736,356,362,275,12.193786,85.56986,85.56986,0.152406230066677
"CCNL2","Ccnl2",13.384091,9.931538,8.121805,523,678,564,10.4791446666667,57.04236,57.04236,0.197771845711764
"CCNO","Ccno",0.599472,0.48022,1.088713,11,18,29,0.722801666666667,0.0506,0.0506,1.6398264483787
"CCNT1","Ccnt1",15.783222,7.448109,6.237327,636,562,460,9.822886,9.60194,9.60194,1.02084014812383
"CCNT2","Ccnt2",9.867778,4.315269,3.588979,808,643,553,5.92400866666667,22.12621,22.12621,0.299400925039886
"CCNY","Ccny",39.553572,33.13586,30.580793,2129,2578,2313,34.4234083333333,85.22829,85.22829,0.410809588515942
"CCP110","Ccp110",20.859907,12.352282,11.937279,1255,1130,1125,15.0498226666667,8.47602,8.47602,1.69373034952086
"CCPG1","Ccpg1",44.096191,21.371735,19.036309,1572,1440,1224,28.1680783333333,114.37568,114.37568,0.252809589796856
"CCR1","Ccr1",0.103956,0.092662,0.06585,4,6,4,0.0874893333333333,2.31509,2.31509,0.328042174822805
"CCR10","Ccr10",0.043362,0.319196,0.200357,1,14,9,0.187638333333333,0.15181,0.15181,1.03110611414498
"CCR2","Ccr2",0.186926,0.138862,0.040851,8,11,4,0.122213,0.99941,0.99941,0.561272075262202
"CCR3","Ccr3",0.020722,0,0.012345,1,0,1,0.0110223333333333,0.0759,0.0759,0.939699166589212
"CCR4","Ccr4",0,0,0,0,0,0,0,0.0253,0.0253,0.975324295328197
"CCR5","Ccr5",2.92121,3.579708,3.099838,66,101,67,3.200252,0.7464,0.7464,2.40509161704077
"CCR6","Ccr6",0.067142,0.657099,0,1,4,0,0.241413666666667,0.06325,0.06325,1.16756516968414
"CCR7","Ccr7",0,0.01981,0.05856,0,1,3,0.0261233333333333,0.20241,0.20241,0.853388888426854
"CCR8","Ccr8",0,0,0,0,0,0,0,0,0,1
"CCR9","Ccr9",0.04763,0.078219,0.087515,3,6,7,0.0711213333333333,0.0759,0.0759,0.995558447191499
"CCRL2","Ccrl2",0.77427,0.345469,0.384117,12,18,19,0.501285333333333,1.55605,1.55605,0.587345839609293
"CCS","Ccs",11.89735,14.101632,16.218161,132,292,305,14.072381,13.8779,13.8779,1.01307180448854
"CCSAP","Ccsap",19.062452,12.814544,9.695723,621,760,592,13.857573,4.41512,4.41512,2.7437199914314
"CCT2","Cct2",85.080467,82.241424,79.059082,1717,3166,2967,82.126991,101.57309,101.57309,0.810417147421414
"CCT3","Cct3",106.381571,121.273567,134.741614,1315,2797,3009,120.798917333333,167.85052,167.85052,0.721341677439509
"CCT4","Cct4",50.135411,58.886531,56.006254,1278,2478,2491,55.0093986666667,136.24887,136.24887,0.408086410231768
"CCT5","Cct5",72.189782,86.662759,94.517328,1722,3812,4017,84.456623,153.95996,153.95996,0.551475510189858
"CCT6A","Cct6a",151.470229,175.791033,168.484188,1952,3762,3685,165.248483333333,176.41509,176.41509,0.937059431265589
"CCT6B","Cct6b",0.161661,0.09245,0.114244,4,4,5,0.122785,4.33922,4.33922,0.210290079824394
"CCT7","Cct7",909.786795,930.553913,853.877761,2150,4423,4348,898.072823,368.4792,368.4792,2.43335165551944
"CCT8","Cct8",162.191351,141.574614,139.593744,2303,3912,3860,147.786569666667,227.89111,227.89111,0.65003210332925
"CCZ1B","Ccz1",17.127776,15.364218,15.105475,380,623,610,15.865823,18.53339,18.53339,0.863435532695554
"CD101","Cd101",0.041791,0.057911,0.034247,2,5,3,0.0446496666666667,0.26567,0.26567,0.825372859170769
"CD109","Cd109",0.590285,0.260697,0.30213,53,41,48,0.384370666666667,7.98264,7.98264,0.154116236058293
"CD14","Cd14",1.068671,1.187874,1.317249,21,48,54,1.19126466666667,1.45484,1.45484,0.892630341149186
"CD151","Cd151",19.459379,24.793823,27.518629,251,621,716,23.9239436666667,42.12709,42.12709,0.577918511698022
"CD160","Cd160",0.335215,0.095807,0.063806,12,6,4,0.164942666666667,6.31274,6.31274,0.159303170448651
"CD163","Cd163",0.451217,0.187882,0.1427,28,18,17,0.260599666666667,63.59546,63.59546,0.019515298237162
"CD164","Cd164",30.222399,26.860943,20.426533,1088,1811,1454,25.836625,142.24534,142.24534,0.187347281244891
"CD164L2","Cd164l2",25.794024,33.497697,22.704388,26,46,52,27.3320363333333,0,0,28.3320363333333
"CD177","Cd177",0.025186,0,0,1,0,0,0.00839533333333333,0,0,1.00839533333333
"CD180","Cd180",1.404908,0.578047,0.600255,19,24,35,0.86107,0.96146,0.96146,0.948818737063208
"CD19","Cd19",0,0.528417,0.138713,0,1,1,0.222376666666667,0,0,1.22237666666667
"CD1D","Cd1d1",0.640464,0.839053,0.96893,6,18,19,0.816149,2.17593,2.17593,0.571847931157173
"CD2","Cd2",0.151559,0.086412,0.170003,1,2,3,0.135991333333333,0.91086,0.91086,0.594492183275244
"CD200","Cd200",85.743661,97.732863,84.762661,1409,2522,2305,89.4130616666667,1.75846,1.75846,32.7766440936851
"CD200R1L","Cd200r1",0.292399,0.111703,0.209021,5,5,9,0.204374333333333,0,0,1.20437433333333
"CD207","Cd207",0,0,0,0,0,0,0,0.13916,0.13916,0.877839811791144
"CD209","Cd209d",0,0,0,0,0,0,0,3.40306,3.40306,0.227114779267146
"CD22","Cd22",0.213908,0.118908,0.480414,8,6,6,0.271076666666667,0.08856,0.08856,1.1676679895152
"CD226","Cd226",0.015874,0.02938,0.138359,1,3,1,0.0612043333333333,0.49338,0.49338,0.710605695357734
"CD247","Cd247",0.04477,0.243219,0.138359,1,4,4,0.142116,1.01206,1.01206,0.567635159985289
"CD248","Cd248",1.316917,0.820196,0.972311,47,56,68,1.03647466666667,0.797,0.797,1.13326358746058
"CD27","Cd27",0.183745,0.026306,0,2,1,0,0.070017,0.37952,0.37952,0.775644427047089
"CD274","Cd274",0.650195,0.440792,0.708059,35,42,67,0.599682,28.99558,28.99558,0.0533305907070308
"CD276","Cd276",8.620918,3.628739,3.680502,116,127,120,5.310053,31.18417,31.18417,0.196060765276843
"CD28","Cd28",0.148644,0.008671,0.00875,7,1,1,0.055355,0.69579,0.69579,0.622338261223383
"CD2AP","Cd2ap",4.995373,2.220068,1.778465,380,302,232,2.99796866666667,13.802,13.802,0.270096518488493
"CD2BP2","Cd2bp2",33.902893,30.270094,27.131417,921,1443,1263,30.4348013333333,27.83171,27.83171,1.09028570741497
"CD300A","Cd300a",0.57161,0.321289,0.235353,16,28,30,0.376084,1.07532,1.07532,0.663070755353391
"CD300C","Cd300c2",1.320492,1.575884,2.261155,21,43,64,1.719177,0.17711,0.17711,2.3100449405748
"CD300E","Cd300e",0.134817,0.095915,0.113303,4,5,6,0.114678333333333,0.22771,0.22771,0.907932926614048
"CD300LB","Cd300lb",0.025863,0,0.014441,1,0,1,0.0134346666666667,0.03795,0.03795,0.976381007434526
"CD300LD","Cd300ld",0.027332,0.029672,0,1,2,0,0.0190013333333333,0,0,1.01900133333333
"CD300LF","Cd300lf",0.083458,0.321072,0.115532,3,9,5,0.173354,0.35422,0.35422,0.866442675488473
"CD300LG","Cd300lg",0.212813,0.173534,0.07222,6,7,5,0.152855666666667,17.21771,17.21771,0.0632821395590701
"CD302","Cd302",7.735736,8.132313,8.831151,133,248,265,8.23306666666667,28.19858,28.19858,0.316216290883552
"CD320","Cd320",6.533845,9.53089,9.155474,111,237,235,8.40673633333333,0.7717,0.7717,5.30944083836616
"CD33","Cd33",2.037422,0.727464,2.219251,97,62,78,1.661379,2.4163,2.4163,0.779023797675848
"CD34","Cd34",26.412175,25.990754,24.420158,702,1380,1275,25.6076956666667,146.62251,146.62251,0.180241452788377
"CD36","Cd36",0.296264,0.567661,0.677692,11,39,31,0.513872333333333,2533.28024,2533.28024,0.000597357904401817
"CD37","Cd37",3.392465,3.377045,2.816715,27,50,48,3.19540833333333,0.64519,0.64519,2.55010566155479
"CD38","Cd38",2.566643,2.318901,2.179755,124,193,174,2.35509966666667,5.86996,5.86996,0.488372518423203
"CD3D","Cd3d",0,0,1.729489,0,0,4,0.576496333333333,1.06267,1.06267,0.764298861831187
"CD3E","Cd3e",0.053951,0.031001,0,2,2,0,0.0283173333333333,0.96146,0.96146,0.524261179597511
"CD3G","Cd3g",0.027279,0,0.045553,1,0,1,0.0242773333333333,0.06325,0.06325,0.963345716748961
"CD4","Cd4",12.06679,8.952398,2.205635,38,71,27,7.74160766666667,5.17417,5.17417,1.41583527286529
"CD40","Cd40",0.031776,0.42337,0.346048,1,12,9,0.267064666666667,9.07061,9.07061,0.12581806530753
"CD40LG","Cd40lg",0,0,0,0,0,0,0,0.21506,0.21506,0.823004625285994
"CD44","Cd44",0.696735,0.690782,0.874226,54,82,98,0.753914333333333,12.68873,12.68873,0.128128345970249
"CD46","Cd46",0.568164,0.287191,0.28221,46,29,31,0.379188333333333,117.86729,117.86729,0.0116027574392697
"CD47","Cd47",36.352761,17.564241,16.44935,2192,1583,1539,23.4554506666667,48.22476,48.22476,0.496811983779437
"CD48","Cd48",0.331383,0.650907,0.380491,5,17,10,0.454260333333333,1.82171,1.82171,0.515382634407268
"CD5","Cd5",0.06872,0.056035,0.036779,2,3,2,0.0538446666666667,0.0506,0.0506,1.00308839393363
"CD52","Cd52",1.404545,2.756545,2.455876,6,21,19,2.20565533333333,13.48573,13.48573,0.221297465390652
"CD53","Cd53",2.863891,4.230173,3.519825,69,176,145,3.537963,13.94116,13.94116,0.303722267882815
"CD55","Cd55",2.682385,2.337915,2.14433,70,133,106,2.38821,103.07854,103.07854,0.0325543575073209
"CD59","Cd59a",4.929373,6.38713,6.72495,114,199,238,6.01381766666667,916.38437,916.38437,0.00764545145527896
"CD5L","Cd5l",0,0,0.038219,0,0,2,0.0127396666666667,0.32892,0.32892,0.762077225616791
"CD6","Cd6",0.705464,0.643908,0.476893,24,28,18,0.608755,0.25302,0.25302,1.28390209254441
"CD63","Cd63",43.512965,53.473006,63.393248,444,1052,1250,53.4597396666667,1259.05598,1259.05598,0.0432200954013699
"CD68","Cd68",5.48754,7.440236,5.923259,76,145,118,6.28367833333333,8.33686,8.33686,0.780099341034709
"CD69","Cd69",0.056598,0.049682,0,2,2,0,0.0354266666666667,1.03736,1.03736,0.508219787699114
"CD7","Cd7",0.93117,0.702923,0.369404,11,15,8,0.667832333333333,0,0,1.66783233333333
"CD70","Cd70",0.106782,0.113126,0.222486,1,2,4,0.147464666666667,0,0,1.14746466666667
"CD72","Cd72",0.47491,0.970412,0.529657,3,10,6,0.658326333333333,0.797,0.797,0.922830458171026
"CD74","Cd74",3.744466,4.748345,5.546968,62,127,166,4.67992633333333,124.04087,124.04087,0.0454245586529695
"CD79A","Cd79a",0.154189,0.451826,0.318949,3,16,11,0.308321333333333,0,0,1.30832133333333
"CD79B","Cd79b",0.065553,0.145969,0.251681,1,4,7,0.154401,1.94822,1.94822,0.391558635379992
"CD80","Cd80",0.457038,0.247525,0.42673,17,16,14,0.377097666666667,0.25302,0.25302,1.09902289402138
"CD81","Cd81",228.759737,290.02711,304.296613,2987,6827,6886,274.361153333333,125.73608,125.73608,2.17271319527425
"CD82","Cd82",16.510835,16.96237,23.634148,252,504,583,19.0357843333333,9.80435,9.80435,1.85441829756842
"CD83","Cd83",8.926784,13.621329,17.217543,272,741,958,13.2552186666667,1.03736,1.03736,6.9969071085457
"CD84","Cd84",1.24389,1.444939,1.152586,42,69,60,1.28047166666667,1.58135,1.58135,0.883441480878868
"CD86","Cd86",1.335029,0.968519,1.43048,21,36,43,1.244676,2.06208,2.06208,0.733055961960497
"CD8A","Cd8a",0,0.020595,0.062075,0,1,5,0.0275566666666667,0.91086,0.91086,0.537745657278224
"CD9","Cd9",28.40461,41.511122,47.962752,420,1118,1242,39.292828,116.26065,116.26065,0.343617641553241
"CD93","Cd93",1.346982,0.712151,0.696271,140,130,128,0.918468,20.48161,20.48161,0.0893074587984792
"CD96","Cd96",0,0,0,0,0,0,0,0.25302,0.25302,0.798071858390129
"CD99L2","Cd99l2",25.621372,24.92245,37.257063,1278,2197,2235,29.2669616666667,50.55251,50.55251,0.587109369973774
"CDA","Cda",1.7756,3.384445,4.3745,17,56,76,3.17818166666667,1.11327,1.11327,1.97711682211297
"CDADC1","Cdadc1",41.603934,30.729881,31.420858,642,987,981,34.584891,14.24478,14.24478,2.33423447238989
"CDAN1","Cdan1",7.57384,7.326837,5.965149,288,389,348,6.95527533333333,5.12356,5.12356,1.29912588973299
"CDC123","Cdc123",170.142293,184.813525,165.016279,700,1291,1179,173.324032333333,68.78228,68.78228,2.49811316473657
"CDC14A","Cdc14a",1.371812,1.437836,0.795801,51,62,60,1.20181633333333,2.79582,2.79582,0.580063420639897
"CDC14B","Cdc14b",4.666292,1.151836,1.761382,147,149,149,2.52650333333333,20.31715,20.31715,0.165430338170597
"CDC16","Cdc16",19.624735,18.275174,18.170436,505,1047,1013,18.690115,77.78963,77.78963,0.249907443403402
"CDC20","Cdc20",0.480364,0.926978,0.442168,4,20,12,0.616503333333333,0.46808,0.46808,1.10110030334405
"CDC23","Cdc23",20.2409,16.155417,18.88883,494,973,884,18.4283823333333,30.38717,30.38717,0.618991209890326
"CDC25A","Cdc25a",1.685743,1.76678,1.583627,87,119,116,1.67871666666667,0.8223,0.8223,1.4699646966288
"CDC25B","Cdc25b",3.388013,3.06993,2.604742,117,145,160,3.020895,9.36158,9.36158,0.388058095386997
"CDC25C","Cdc25c",0.966146,0.347087,0.064459,6,13,3,0.459230666666667,0,0,1.45923066666667
"CDC26","Cdc26",13.333004,19.169317,17.425889,201,432,462,16.6427366666667,73.81729,73.81729,0.235810955818724
"CDC27","Cdc27",14.71771,7.784725,5.383718,894,845,752,9.29538433333333,42.94939,42.94939,0.23425545458841
"CDC34","Cdc34",52.071662,83.161943,72.855001,289,669,674,69.3628686666667,13.95381,13.95381,4.70534724372362
"CDC37","Cdc37",58.834266,66.2687,63.448496,1169,2431,2448,62.8504873333333,98.03087,98.03087,0.644753371684338
"CDC37L1","Cdc37l1",90.260692,54.265484,57.90566,1950,2546,2522,67.4772786666667,54.32244,54.32244,1.23778486029659
"CDC40","Cdc40",8.693597,6.74635,6.273865,452,613,572,7.23793733333333,17.66049,17.66049,0.441464148762081
"CDC42","Cdc42",144.605612,158.298312,150.089683,3438,6602,6308,150.997869,254.47039,254.47039,0.594972548482037
"CDC42BPA","Cdc42bpa",67.351776,13.352966,19.382158,5085,2023,2246,33.3623,22.25272,22.25272,1.47777550325295
"CDC42BPB","Cdc42bpb",34.721948,17.421491,24.570871,2094,1822,1950,25.5714366666667,29.47631,29.47631,0.871871846252603
"CDC42BPG","Cdc42bpg",4.088203,2.225518,1.097041,68,67,72,2.470254,0.0759,0.0759,3.22544288502649
"CDC42EP1","Cdc42ep1",7.843544,6.17633,7.880622,286,425,552,7.30016533333333,0.55663,0.55663,5.33213758782327
"CDC42EP2","Cdc42ep2",2.780035,3.524123,4.06201,142,319,373,3.45538933333333,1.99882,1.99882,1.48571415868019
"CDC42EP3","Cdc42ep3",8.516956,7.976837,7.9614,130,220,203,8.151731,70.7811,70.7811,0.127494995200687
"CDC42EP4","Cdc42ep4",9.403183,11.134447,13.124331,415,833,910,11.2206536666667,27.36363,27.36363,0.430856475940021
"CDC42EP5","Cdc42ep5",0.724943,1.173452,1.72562,8,17,22,1.208005,0.24036,0.24036,1.78013238092167
"CDC42SE1","Cdc42se1",23.571646,28.100267,25.403433,704,1411,1251,25.691782,55.08149,55.08149,0.475946377316295
"CDC42SE2","Cdc42se2",48.106236,43.959017,38.693738,2025,3430,3128,43.5863303333333,16.63577,16.63577,2.52817599307166
"CDC45","Cdc45",0.522871,0.857972,0.83346,16,33,34,0.738101,0.40482,0.40482,1.23724107003032
"CDC5L","Cdc5l",21.94382,20.480589,16.346603,820,1388,1233,19.5903373333333,27.49014,27.49014,0.722718011681702
"CDC6","Cdc6",0.139776,0.091453,0.078754,2,9,7,0.103327666666667,0.39217,0.39217,0.792523662100653
"CDC7","Cdc7",4.656437,2.483481,2.508829,112,118,112,3.216249,1.58135,1.58135,1.63335037867782
"CDC73","Cdc73",9.00255,6.274338,5.900136,863,597,458,7.059008,26.0859,26.0859,0.297535175128019
"CDCA2","Cdca2",0.29175,0.042367,0.039132,6,4,3,0.124416333333333,8.43807,8.43807,0.1191362570243
"CDCA3","Cdca3",0.363884,0.200863,0.285404,7,10,7,0.283383666666667,0.18976,0.18976,1.07869122063834
"CDCA4","Cdca4",2.502816,1.615681,1.808929,71,82,90,1.97580866666667,0.89821,0.89821,1.56769201862105
"CDCA5","Cdca5",0.069935,0.058994,0.116201,2,3,5,0.08171,0.24036,0.24036,0.872093585733174
"CDCA7","Cdca7",0.901828,0.920513,1.337923,27,57,41,1.05342133333333,1.75846,1.75846,0.744408595134
"CDCA7L","Cdca7l",0.256987,0.122887,0.364325,7,9,21,0.248066333333333,37.3704,37.3704,0.0325268001723551
"CDCA8","Cdca8",0.516245,0.832136,0.462654,12,19,18,0.603678333333333,0.18976,0.18976,1.34790069705935
"CDCP1","Cdcp1",0.092536,0.094644,0.02736,7,9,3,0.0715133333333333,0.20241,0.20241,0.891138075476196
"CDCP2","Cdcp2",0,0,0,0,0,0,0,0,0,1
"CDH1","Cdh1",0.488677,0.26516,0.474977,33,32,58,0.409604666666667,0,0,1.40960466666667
"CDH10","Cdh10",18.33245,8.303242,7.40756,653,686,617,11.3477506666667,0,0,12.3477506666667
"CDH11","Cdh11",12.597564,10.56358,10.768237,844,1002,904,11.3097936666667,6.23683,6.23683,1.7009925155996
"CDH12","Cdh12",3.709131,1.206574,1.261522,253,176,141,2.05907566666667,0,0,3.05907566666667
"CDH13","Cdh13",33.073563,27.166215,23.254067,987,1475,1210,27.8312816666667,69.94615,69.94615,0.406382610848745
"CDH15","Cdh15",0.34046,0.424105,0.492103,16,38,45,0.418889333333333,0,0,1.41888933333333
"CDH16","Cdh16",0,0,0.138359,0,0,1,0.0461196666666667,0,0,1.04611966666667
"CDH17","Cdh17",0.061402,0.045647,0.022527,3,4,2,0.043192,0.20241,0.20241,0.867584268261242
"CDH2","Cdh2",31.946598,14.839427,13.317978,1898,1539,1359,20.0346676666667,364.393,364.393,0.0575672431236139
"CDH20","Cdh20",5.442119,3.195086,3.57142,326,343,389,4.06954166666667,0,0,5.06954166666667
"CDH22","Cdh22",8.31707,6.19995,5.73689,398,574,548,6.75130333333333,0.0506,0.0506,7.37797766355733
"CDH23","Cdh23",1.277063,0.31526,0.719361,44,25,50,0.770561333333333,0.49338,0.49338,1.18560669979063
"CDH24","Cdh24",2.988212,1.856176,2.368848,108,170,184,2.404412,1.73316,1.73316,1.2455955743535
"CDH26","Cdh26",0.047002,0.279004,0.553437,2,13,21,0.293147666666667,1.75846,1.75846,0.468793336378511
"CDH3","Cdh3",0.090002,0.066754,0.057883,6,8,7,0.0715463333333333,0.21506,0.21506,0.881887588541581
"CDH4","Cdh4",6.492711,3.437202,2.538115,438,322,336,4.15600933333333,0,0,5.15600933333333
"CDH5","Cdh5",3.558555,2.10863,2.464296,214,228,269,2.71049366666667,33.89143,33.89143,0.106343983799651
"CDH6","Cdh6",3.946265,1.120856,1.099791,504,249,240,2.05563733333333,2.68196,2.68196,0.829894223004414
"CDH7","Cdh7",7.929007,4.315011,4.134596,301,343,295,5.459538,0,0,6.459538
"CDH8","Cdh8",13.879691,8.977628,10.380513,742,847,916,11.0792773333333,0.06325,0.06325,11.3607122815268
"CDH9","Cdh9",3.957708,2.782943,2.262401,187,222,174,3.00101733333333,0,0,4.00101733333333
"CDHR1","Cdhr1",1.52493,1.344345,1.103814,100,157,131,1.324363,0.50603,0.50603,1.54337098198575
"CDHR2","Cdhr2",0.143668,0.168364,0.165918,9,19,19,0.159316666666667,0,0,1.15931666666667
"CDHR3","Cdhr3",0.761935,1.618283,1.664029,16,65,63,1.34808233333333,1.49279,1.49279,0.941949515736718
"CDHR5","Cdhr5",0,0,0,0,0,0,0,0,0,1
"CDIPT","Cdipt",86.834869,94.103574,80.313725,1280,2262,2137,87.084056,19.81112,19.81112,4.23254759955255
"CDK1","Cdk1",0.322845,0.902332,0.83672,5,9,14,0.687299,1.01206,1.01206,0.838592785503414
"CDK10","Cdk10",35.295925,36.351928,37.032375,438,942,987,36.2267426666667,10.05737,10.05737,3.36669051199939
"CDK11B","Cdk11b",24.435691,14.481252,12.97939,800,782,808,17.2987776666667,26.18711,26.18711,0.673068143935367
"CDK12","Cdk12",6.573308,2.156832,1.941766,400,195,217,3.557302,14.19417,14.19417,0.29993754183348
"CDK13","Cdk13",15.546487,6.113623,5.324398,798,580,556,8.994836,26.79435,26.79435,0.359599558903158
"CDK14","Cdk14",81.901982,54.389098,51.091792,3349,4311,4171,62.4609573333333,8.60253,8.60253,6.60877470138946
"CDK15","Cdk15",0.38183,0.912062,0.643003,10,17,18,0.645631666666667,1.27773,1.27773,0.722487593642208
"CDK16","Cdk16",120.536934,102.202013,95.154115,2883,4404,4240,105.964354,65.72079,65.72079,1.603163781484
"CDK17","Cdk17",95.826394,65.233626,46.209801,2194,2637,1948,69.0899403333333,18.11591,18.11591,3.66657618357344
"CDK18","Cdk18",19.031624,16.41994,17.267381,440,547,562,17.5729816666667,40.84936,40.84936,0.443805632073386
"CDK19","Cdk19",15.31963,7.927332,7.408843,1320,1221,1153,10.2186016666667,8.0712,8.0712,1.23672740835465
"CDK2","Cdk2",1.240328,0.65813,0.689609,26,42,32,0.862689,11.70197,11.70197,0.146645677796436
"CDK20","Cdk20",3.567554,5.235994,5.549966,82,154,172,4.78450466666667,0.73375,0.73375,3.3364122086037
"CDK2AP1","Cdk2ap1",62.902085,70.137213,77.809915,696,1348,1519,70.283071,146.98938,146.98938,0.481676935196296
"CDK2AP2","Cdk2ap2",14.09556,15.754321,12.824143,149,313,279,14.2246746666667,4.25066,4.25066,2.89957351393285
"CDK3","Cdk3",0.898037,0.375308,0.369998,8,9,4,0.547781,1.46749,1.46749,0.627269411426186
"CDK4","Cdk4",46.840004,58.809593,64.254783,309,759,796,56.6347933333333,46.22594,46.22594,1.2204054240812
"CDK5","Cdk5",67.326093,87.710495,81.429641,847,2118,2028,78.8220763333333,4.65549,4.65549,14.1140867251703
"CDK5R1","Cdk5r1",57.858381,30.451684,26.250252,3456,3273,2910,38.1867723333333,0.92351,0.92351,20.3725337187399
"CDK5R2","Cdk5r2",57.695815,41.346034,36.557157,1894,2742,2541,45.1996686666667,0,0,46.1996686666667
"CDK5RAP1","Cdk5rap1",3.399957,4.555121,5.511139,68,139,184,4.488739,50.31214,50.31214,0.106967649371084
"CDK5RAP2","Cdk5rap2",2.684989,1.148415,1.934447,297,206,195,1.922617,31.93056,31.93056,0.0887509049345046
"CDK5RAP3","Cdk5rap3",9.554164,14.803742,13.430743,190,524,494,12.5962163333333,98.52426,98.52426,0.136612081650578
"CDK6","Cdk6",0.490906,0.080825,0.142161,43,20,23,0.237964,4.36452,4.36452,0.230768829270839
"CDK7","Cdk7",10.061009,8.773929,10.049607,239,326,341,9.62818166666667,18.97617,18.97617,0.532043012582826
"CDK8","Cdk8",7.286371,5.671626,4.359719,278,352,258,5.772572,20.16534,20.16534,0.319984087191607
"CDK9","Cdk9",55.9358,51.706798,45.11507,635,1048,1072,50.9192226666667,28.09738,28.09738,1.78432637806795
"CDKAL1","Cdkal1",6.200064,4.770186,4.963626,147,256,245,5.311292,8.1977,8.1977,0.686181545386347
"CDKL1","Cdkl1",10.879054,12.843467,11.758004,133,330,308,11.8268416666667,5.42718,5.42718,1.99571844365129
"CDKL2","Cdkl2",11.301714,9.150309,8.767215,531,668,590,9.739746,0.51868,0.51868,7.07176363684252
"CDKL3","Cdkl3",9.069868,10.435846,7.72045,94,176,153,9.075388,8.67843,8.67843,1.04101471003045
"CDKL4","Cdkl4",6.438345,5.35447,4.176617,267,377,297,5.323144,0.37952,0.37952,4.58358269543029
"CDKL5","Cdkl5",22.925242,7.435627,6.744484,3299,1886,1650,12.368451,1.15122,1.15122,6.21435789923857
"CDKN1A","Cdkn1a",10.030512,7.232901,4.402301,262,343,217,7.22190466666667,28.5528,28.5528,0.278210682800502
"CDKN1B","Cdkn1b",14.395803,14.195653,12.379634,615,1010,825,13.65703,44.55604,44.55604,0.321736261536341
"CDKN1C","Cdkn1c",3.532638,7.749503,7.649948,56,175,167,6.31069633333333,24.63106,24.63106,0.285228013719812
"CDKN2A","Cdkn2a",0,0.165172,0,0,3,0,0.0550573333333333,0,0,1.05505733333333
"CDKN2AIP","Cdkn2aip",4.271134,3.360348,3.071678,203,277,236,3.56772,14.91527,14.91527,0.287002356856026
"CDKN2AIPNL","Cdkn2aipnl",16.196074,19.50351,22.275753,398,834,979,19.3251123333333,49.75551,49.75551,0.400451346727347
