"Hs_symbol","DRG","dHs_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg__TPM","FoldChange"
"AC005539.2",0,0,0,0,0,0,1
"AC005544.1",0.08363,0.08363,6.27845,4.75292,0.58991,3.87376,0.222339631003578
"AC005550.6",0.09409,0.09409,0,0,0,0,1.09409
"AC005559.3",1.21266,1.21266,9.70758,10.85988,4.41338,8.32694666666667,0.237233049472425
"AC005562.2",0.06272,0.06272,0.86142,0.77373,1.13612,0.923756666666667,0.5524191382486
"AC005588.2",0,0,0,0,0,0,1
"AC005594.1",0.25089,0.25089,1.259,1.43693,1.07057,1.2555,0.554595433385059
"AC005609.1",0.02091,0.02091,0.53011,0.3316,0.58991,0.483873333333333,0.688003468400268
"AC005609.2",0,0,0,0,0,0,1
"AC005618.1",3.15709,3.15709,1.95477,3.20546,0,1.72007666666667,1.52829883471422
"AC005682.6",1.00358,1.00358,0.08283,0,0.26218,0.115003333333333,1.79692736344585
"AC005682.7",0.25089,0.25089,0,0.4145,0,0.138166666666667,1.09903939083321
"AC005722.4",0,0,0,0,0,0,1
"AC005730.2",0,0,0,0,0,0,1
"AC005740.3",0.12545,0.12545,4.25742,0.4145,2.64366,2.43852666666667,0.327305881007176
"AC005740.4",0,0,0,0,0,0,1
"AC005741.2",0,0,0,0,0,0,1
"AC005754.1",0.05227,0.05227,0.41415,0.6632,0.78654,0.621296666666667,0.649029891712189
"AC005758.1",0.02091,0.02091,0.23192,0,0,0.0773066666666667,0.947650313126563
"AC005777.3",0,0,0,13.07054,0,4.35684666666667,0.186676987829905
"AC005779.1",0,0,0,0,0,0,1
"AC005779.2",0,0,0,0,0,0,1
"AC005786.3",0,0,0,34.45869,0,11.48623,0.0800882251888681
"AC005822.1",0.22999,0.22999,0,0.13817,0,0.0460566666666667,1.17583496113977
"AC005831.1",0,0,0,0,0.21848,0.0728266666666667,0.93211702418533
"AC005838.1",0.09409,0.09409,0.54667,0.96716,0,0.50461,0.727158532775935
"AC005838.2",0,0,2.23639,0,0,0.745463333333333,0.572913782204916
