"Hs_symbol","DRG","dHs_Avg_TPM","Brain_2_Hippocampus","dHs_Avg__TPM","FoldChange"
"SPOCK1",75.25784,75.25784,600.61814,600.61814,0.126754555638897
"SPOCK2",383.25154,383.25154,103.04194,103.04194,3.69323697731895
"SPOCK3",101.22541,101.22541,2839.45173,2839.45173,0.0359891382487954
"SPON1",7.38047,7.38047,7.86247,7.86247,0.945613356095987
"SPON2",6.47098,6.47098,7.57204,7.57204,0.8715521626124
"SPOP",30.61956,30.61956,57.17407,57.17407,0.54353357088476
"SPOPL",4.71472,4.71472,5.9539,5.9539,0.821800716144897
"SPP1",1096.30368,1096.30368,680.77801,680.77801,1.60947355870278
"SPP2",0,0,2.6554,2.6554,0.27356787218909
"SPPL2A",13.7051,13.7051,5.9539,5.9539,2.1146550856354
"SPPL2B",43.94832,43.94832,121.83719,121.83719,0.365917846215792
"SPPL2C",0.01045,0.01045,0.12447,0.12447,0.898601118749277
"SPPL3",34.33071,34.33071,66.36424,66.36424,0.524472776654201
"SPR",36.12878,36.12878,7.9662,7.9662,4.14097164908211
"SPRED1",4.68336,4.68336,15.78718,15.78718,0.338553586725108
"SPRED2",10.9139,10.9139,40.10068,40.10068,0.28987111648761
"SPRED3",0.28226,0.28226,4.70918,4.70918,0.224596176683867
"SPRN",5.48831,5.48831,14.50097,14.50097,0.41857445050213
"SPRR1A",0.14636,0.14636,3.40223,3.40223,0.260404385958935
"SPRR1B",0,0,1.14099,1.14099,0.467073643501371
"SPRR2A",0,0,1.41068,1.41068,0.414820714487199
"SPRR2B",0.02091,0.02091,0,0,1.02091
"SPRR2C",0,0,0,0,1
"SPRR2D",0,0,1.99155,1.99155,0.334274874229079
"SPRR2E",0,0,4.46024,4.46024,0.183142132946537
"SPRR2F",0,0,0,0,1
"SPRR2G",0.36589,0.36589,2.61391,2.61391,0.377953518488286
"SPRR3",0,0,8.87899,8.87899,0.10122492279069
"SPRR4",0,0,1.34844,1.34844,0.425814583297849
"SPRTN",2.73893,2.73893,3.65117,3.65117,0.803868704003509
"SPRY1",9.26218,9.26218,7.57204,7.57204,1.19716893528262
"SPRY2",22.02643,22.02643,26.45027,26.45027,0.838841658023765
"SPRY3",0,0,0,0,1
"SPRY4",6.11555,6.11555,17.57128,17.57128,0.383148065184521
"SPRYD3",104.90519,104.90519,87.69041,87.69041,1.19409967774419
"SPRYD4",11.40524,11.40524,7.30235,7.30235,1.49418417676923
"SPRYD7",22.14142,22.14142,21.07723,21.07723,1.04820305808292
"SPSB1",9.94169,9.94169,25.95238,25.95238,0.405963777595893
"SPSB2",11.96975,11.96975,5.99539,5.99539,1.85404244795501
"SPSB3",88.12663,88.12663,76.84062,76.84062,1.1449886961332
"SPSB4",3.62751,3.62751,3.15329,3.15329,1.11417936142191
"SPTA1",0.02091,0.02091,0,0,1.02091
"SPTAN1",266.36615,266.36615,90.15911,90.15911,2.93296139025491
"SPTB",9.69079,9.69079,24.9566,24.9566,0.411871739750198
"SPTBN1",185.49454,185.49454,348.97756,348.97756,0.532875707802523
"SPTBN2",105.78332,105.78332,107.14951,107.14951,0.987367580306189
"SPTBN4",22.14142,22.14142,20.64158,20.64158,1.069303627554
"SPTBN5",2.81211,2.81211,2.53093,2.53093,1.07963341102769
"SPTLC1",51.42288,51.42288,61.11568,61.11568,0.843955664656654
"SPTLC1P1",0,0,0,0,1
"SPTLC1P2",0,0,0,0,1
"SPTLC1P3",0,0,0,0,1
"SPTLC1P4",0,0,0,0,1
"SPTLC1P5",0,0,0,0,1
"SPTLC2",14.52051,14.52051,26.53325,26.53325,0.56370061652729
"SPTLC3",1.87125,1.87125,3.15329,3.15329,0.69131941183977
"SPTSSA",14.20689,14.20689,14.39724,14.39724,0.987637394753865
"SPTSSB",0.85722,0.85722,2.09528,2.09528,0.600016799772557
"SPTY2D1",2.75984,2.75984,2.11602,2.11602,1.20661613211725
"SPZ1",0,0,0,0,1
"SQLE",59.66058,59.66058,29.23014,29.23014,2.00662583765738
"SQRDL",31.21544,31.21544,4.50173,4.50173,5.85551090293417
"SQSTM1",202.76443,202.76443,180.11076,180.11076,1.12508185598691
"SRA1",44.83691,44.83691,46.34502,46.34502,0.968146385828964
"SRBD1",5.25833,5.25833,10.89129,10.89129,0.526295296809682
"SRC",9.39808,9.39808,26.80294,26.80294,0.373992102993424
"SRCAP",7.18185,7.18185,24.10605,24.10605,0.325891567968677
"SRCIN1",5.53013,5.53013,208.53183,208.53183,0.0311653365505375
"SRCRB4D",5.12243,5.12243,1.80484,1.80484,2.18280900158298
"SRD5A1",33.79756,33.79756,10.24818,10.24818,3.09361692291553
"SRD5A1P1",0,0,0,0,1
"SRD5A2",0.18817,0.18817,0,0,1.18817
"SRD5A3",24.45174,24.45174,16.26432,16.26432,1.47423935608237
"SREBF1",96.44796,96.44796,322.56879,322.56879,0.301166129156029
"SREBF2",68.10736,68.10736,76.38422,76.38422,0.89304201812721
"SREK1",8.61404,8.61404,16.28507,16.28507,0.55620486350359
"SREK1IP1",4.52655,4.52655,12.05302,12.05302,0.423392440983006
"SRF",15.10593,15.10593,17.07339,17.07339,0.89114051099434
"SRFBP1",2.31032,2.31032,3.5267,3.5267,0.731287693021406
"SRGAP1",1.62036,1.62036,6.03688,6.03688,0.372375257216266
"SRGAP2",24.29493,24.29493,65.49294,65.49294,0.380415274162941
"SRGAP2B",6.29327,6.29327,155.90099,155.90099,0.0464832631075177
"SRGAP2C",1.11857,1.11857,14.08606,14.08606,0.140432293123586
"SRGAP3",9.76397,9.76397,16.43028,16.43028,0.617544296477165
"SRGN",84.48867,84.48867,50.03768,50.03768,1.67501089391211
"SRI",185.08684,185.08684,142.27132,142.27132,1.29884222466855
"SRIP1",0,0,0,0,1
"SRIP2",0,0,0,0,1
"SRIP3",0,0,0,0,1
"SRL",0.30316,0.30316,1.05801,1.05801,0.633213638417695
"SRM",188.76662,188.76662,80.13912,80.13912,2.33878084948419
"SRMP1",0,0,0.33192,0.33192,0.75079584359421
"SRMS",0.02091,0.02091,0.35267,0.35267,0.754736927705944
"SRP14",835.77082,835.77082,750.58597,750.58597,1.11334012794305
"SRP19",86.73626,86.73626,40.68155,40.68155,2.10491836316068
"SRP54",34.73841,34.73841,48.35731,48.35731,0.724075319339729
"SRP68",42.9552,42.9552,33.69038,33.69038,1.26707173573769
"SRP68P1",0.34498,0.34498,0,0,1.34498
"SRP68P2",0,0,0,0,1
"SRP68P3",0.07318,0.07318,11.36843,11.36843,0.0867676819127407
"SRP72",38.7109,38.7109,34.56168,34.56168,1.11667671493585
