"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg__TPM","FoldChange"
"LEPR",0.532121,1.054353,0.426944,47,68,35,3.407411,3.075553,1.010928,1.14863,279,78,81,5.70660466666667,0.65717471344417
"LEPROT",60.959223,52.737618,50.319373,871,872,879,2.43226533333333,53.568668,37.976266,37.379801,935,595,637,4.83052966666667,0.588671275091131
"LEPROTL1",40.708012,40.710759,42.999637,774,615,780,4.309877,31.651801,41.219389,42.183604,746,704,761,2.79131866666667,1.40053566235002
"LETM1",12.064946,12.428082,15.018254,711,553,669,3.66371633333333,10.529651,13.566225,14.788371,696,679,749,11.502332,0.373027714616228
"LETM2",3.174748,2.110708,1.224868,42,28,26,0,4.235039,2.775332,4.805215,62,58,63,0.021686,0.978774300518946
"LETMD1",44.255486,42.346716,47.868995,510,399,472,10.2349116666667,60.345057,50.099348,51.511587,815,527,589,6.661236,1.46646202605776
"LEUTX",0,0,0,0,0,0,9.78418266666667,0,0,0,0,0,0,41.4303693333333,0.254161885369086
"LEXM",0,0,0,0,0,0,59.7212433333333,0.032406,0,0,1,0,0,121.147571666667,0.497113798537378
"LFNG",1.207873,4.778114,1.305244,32,96,27,31.9642246666667,11.045798,0.762834,2.491309,354,22,59,74.086041,0.439019346707422
"LGALS1",781.095748,1441.583423,1043.78227,1228,1348,1387,25.1887646666667,1399.502116,551.22274,483.250736,2410,776,834,63.298254,0.407301334600263
"LGALS12",0,0,0,0,0,0,4.70207033333333,0,0,0,0,0,0,5.28718166666667,0.906935831608704
"LGALS13",0,0,0,0,0,0,5.47869233333333,0,0,0,0,0,0,10.70184,0.55364731814256
"LGALS14",0,0,0.143749,0,0,1,30.4573856666667,0.244655,0.302574,0.145499,2,1,1,37.9645956666667,0.807332531711031
"LGALS16",0,0,0,0,0,0,0.618959666666667,0,0,0,0,0,0,0.832239333333333,0.883596175026625
"LGALS17A",0.0392,0.048729,0,1,1,0,12.0342626666667,0,0,0,0,0,0,20.631754,0.602552278778072
