"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg__TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"ABHD18",3.285167,2.22549,2.818459,2.776372,157,105,137,8.712244,6.827573,4.421348,6.65372166666667,367,326,288,0.493403361719669
"ABHD2",43.040132,37.278752,34.676228,38.331704,4800,3122,3837,3.332886,2.82704,2.375777,2.84523433333333,614,430,406,10.2286884466426
"ABHD3",3.984849,5.25904,2.915345,4.053078,43,53,50,2.331696,3.741765,1.156728,2.410063,72,76,34,1.48181367910212
"ABHD4",36.086594,26.455903,21.679738,28.0740783333333,296,237,316,15.0237,23.747182,16.357654,18.3761786666667,409,343,303,1.50050630898394
"ABHD5",2.814933,3.503613,4.082079,3.466875,117,93,117,7.210165,4.691474,4.783658,5.56176566666667,177,215,128,0.680742840709998
"ABHD6",11.831495,8.409419,12.306665,10.849193,138,99,156,2.357982,2.891814,1.502824,2.25087333333333,64,48,45,3.64492608140172
"ABHD8",3.366122,1.881682,2.264601,2.504135,60,36,33,4.748047,3.701303,3.322699,3.92401633333333,184,148,137,0.711641628050381
"ABI1",12.69711,14.372399,14.823763,13.964424,447,426,457,10.258949,6.855637,7.216852,8.11047933333333,359,321,284,1.64255067735551
"ABI2",23.445738,22.714472,18.676018,21.612076,1466,1126,1250,21.727203,10.892244,9.493522,14.0376563333333,933,760,670,1.50369681942237
"ABI3",0,0.122185,0,0.0407283333333333,0,1,0,0.029558,0.160231,0.222847,0.137545333333333,1,5,7,0.914889545793926
"ABI3BP",2.697237,9.393819,2.628398,4.90648466666667,50,93,34,0.659504,0.308934,0,0.322812666666667,5,4,0,4.46509533473876
"ABITRAM",13.474933,12.693075,15.766697,13.978235,185,143,177,13.449005,10.517363,5.073883,9.68008366666667,184,198,136,1.40244547397584
"ABL1",20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,7.760499,5.097737,3.86969,5.57597533333333,787,524,458,3.50417697227777
"ABL2",7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,1.446018,0.98648,1.194757,1.209085,315,194,136,4.57816999647667
"ABLIM1",13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,59.262507,38.678189,34.133185,44.024627,7498,5439,4652,0.326327219397805
"ABLIM2",2.618199,1.169305,2.227903,2.00513566666667,73,27,55,6.864886,5.835002,6.004859,6.23491566666667,163,143,105,0.415365680143611
"ABLIM3",39.693627,31.45544,35.010631,35.386566,1694,1071,1302,1.439051,0.939932,0.795889,1.05829066666667,79,55,65,17.678050330436
"ABO",0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,0.108377,0.428422,0.100191,0.21233,15,12,11,0.879740114765232
"ABR",198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,137.5781,52.298863,84.704982,91.527315,1454,973,842,2.20774752478948
"ABRA",0,0,0,0,0,0,0,1.22541,0.904378,0.700678,0.943488666666667,55,43,33,0.514538632075035
"ABRACL",16.160065,20.958007,19.636272,18.9181146666667,132,135,145,1.304502,3.067132,2.188819,2.18681766666667,11,29,19,6.25015822994998
"ABRAXAS1",3.82892,6.035163,5.406464,5.09018233333333,107,132,131,1.870927,1.13124,1.242214,1.41479366666667,62,58,36,2.52203010857656
"ABRAXAS2",5.545332,5.945653,7.320012,6.27033233333333,243,210,286,2.908321,2.115077,1.946772,2.32339,158,120,108,2.18762538652801
"ABT1",4.559478,4.690372,4.720066,4.65663866666667,202,168,186,3.32542,2.791458,2.174212,2.76369666666667,199,168,128,1.50294754536542
"ABTB1",6.145615,3.499741,5.352266,4.99920733333333,109,78,105,4.435767,2.908722,2.928956,3.42448166666667,118,103,97,1.35591189777786
"ABTB2",1.812701,1.607969,1.602889,1.67451966666667,139,98,106,6.950399,6.045716,4.152189,5.71610133333333,790,633,438,0.398225031744607
"ACAA1",38.003127,38.829187,39.570663,38.8009923333333,550,465,521,73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,0.604155113352587
"ACAA2",13.362606,16.013843,12.490575,13.9556746666667,285,274,234,33.764452,29.686524,22.134757,28.5285776666667,1017,904,664,0.506481376634316
"ACACA",42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,7.1497,4.870629,6.747958,6.25609566666667,693,417,430,5.81171008081619
"ACACB",3.811888,6.196471,2.56891,4.192423,69,75,51,26.02878,14.841445,7.767875,16.2127,1315,753,655,0.301662319101594
"ACAD10",21.73928,19.257871,23.277153,21.424768,392,285,343,20.02537,13.653281,10.050915,14.576522,659,558,399,1.4396518041704
"ACAD11",13.192374,11.007639,9.386726,11.1955796666667,340,270,275,6.08628,6.516346,6.250521,6.28438233333333,364,279,315,1.67420916538931
"ACAD8",26.483493,20.192299,24.101738,23.59251,534,375,468,17.886304,13.41606,11.385466,14.2292766666667,633,534,433,1.61481799420108
"ACAD9",19.252462,17.316786,16.985834,17.851694,406,304,324,9.950716,8.300763,6.289277,8.180252,369,346,279,2.05350506718116
"ACADL",0.207989,0.400506,0.246715,0.28507,5,7,5,0.430319,0.363646,0.199827,0.331264,20,21,12,0.965300646603529
"ACADM",27.650351,25.508799,28.982212,27.380454,462,377,403,55.824798,42.128201,34.763102,44.2387003333333,1043,919,796,0.627349012922203
"ACADS",4.599063,3.579749,4.281652,4.153488,112,71,98,15.466497,14.289382,12.849752,14.201877,587,501,461,0.33900340069848
"ACADSB",2.345294,3.480124,2.567987,2.79780166666667,193,175,184,6.230585,3.533107,3.515221,4.42630433333333,558,395,389,0.699887332772157
"ACADVL",487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,539.418883,513.721339,438.661315,497.267179,4271,3691,3049,1.03385290672202
"ACAN",13.521626,21.358045,13.180758,16.020143,1180,1435,924,0,0.022851,0,0.007617,0,2,0,16.8914805923282
"ACAP1",8.203837,7.799579,5.089685,7.03103366666667,31,27,34,14.853065,11.82895,6.245988,10.976001,42,44,28,0.670593937547823
"ACAP2",4.317336,5.926497,4.813944,5.019259,442,447,434,2.720509,0.953916,0.841565,1.50533,159,108,106,2.40258129667549
"ACAP3",268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,32.135196,15.329502,11.519368,19.6613553333333,755,449,440,11.2645840787534
