"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg__TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"ABCF2.H2BE1",6.221399,6.723693,6.848703,6.59793166666667,199,174,194,5.23563,7.257672,6.208637,6.23397966666667,143,217,121,1.05031144912904
"ABCF2P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCF2P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCF3",48.291703,49.874702,42.97229,47.0462316666667,634,530,501,49.775637,52.727308,46.588001,49.696982,554,722,457,0.947713843531488
"ABCG1",4.150456,4.415328,3.848561,4.138115,183,146,140,7.097047,8.637267,8.443098,8.05913733333333,274,360,227,0.567174865656818
"ABCG2",2.961168,3.343736,4.879457,3.72812033333333,130,124,137,0.071606,0.158845,0.025076,0.0851756666666667,4,11,1,4.35700917240127
"ABCG4",3.253555,1.724564,3.36298,2.78036633333333,122,50,91,11.183928,15.998495,13.278866,13.4870963333333,433,622,404,0.260947138498354
"ABCG5",0,0.053623,0,0.0178743333333333,0,2,0,0.093551,0.161392,0.087861,0.114268,3,7,2,0.913491487984339
"ABCG8",0.166037,0.120609,0.140823,0.142489666666667,13,5,8,0.279919,0.336852,0.476524,0.364431666666667,19,25,16,0.837337401775342
"ABHD1",0.539133,1.449996,2.556852,1.515327,16,11,17,1.219066,0.595476,1.404846,1.07312933333333,17,18,14,1.21329960439838
"ABHD10",17.896254,16.509149,18.709231,17.704878,474,316,439,20.734833,22.479951,21.319982,21.5115886666667,502,570,353,0.830899954550816
"ABHD11",8.315591,5.793527,10.881287,8.330135,88,44,86,5.79209,6.6316,4.983045,5.802245,56,74,48,1.37162583823429
"ABHD12",34.456652,32.027544,41.779576,36.087924,424,313,435,62.698382,74.955257,56.465736,64.7064583333333,591,762,413,0.564448684965646
"ABHD12B",3.893477,1.544872,5.021108,3.48648566666667,34,27,39,3.562703,1.658765,4.615794,3.27908733333333,22,21,30,1.04846788980392
"ABHD13",3.072772,3.602061,3.056116,3.24364966666667,238,226,207,2.86622,3.359063,3.388676,3.204653,195,241,166,1.00927464565249
"ABHD14A",19.98651,11.809536,18.625674,16.80724,220,94,202,25.012009,25.594496,21.460029,24.022178,268,287,164,0.711658273712224
