"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg__TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"HELQ",4.465438,3.955824,4.45343,4.291564,174,125,136,3.02836,2.976536,3.631007,3.21196766666667,105,92,86,1.25631638672757
"HELT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HELZ",4.506039,4.517016,4.298192,4.44041566666667,1113,597,527,2.540697,4.494986,2.533969,3.189884,518,566,488,1.29846450800706
"HELZ2",16.548725,11.033643,9.920147,12.5008383333333,808,437,392,5.847056,6.827497,5.265117,5.97989,255,222,193,1.934248008684
"HEMGN",0.112448,0,0,0.0374826666666667,4,0,0,0.033593,0.083304,0,0.0389656666666667,1,2,0,0.998572618857794
"HEMK1",9.11586,5.447444,4.860431,6.47457833333333,505,232,204,8.085693,8.821516,7.629112,8.17877366666667,474,385,333,0.814333004034925
"HENMT1",6.329421,8.346589,8.200081,7.62536366666667,136,171,153,4.469874,3.554114,7.456981,5.160323,76,50,110,1.4001479576098
"HEPACAM",0.193827,0.069944,0.321701,0.195157333333333,11,3,9,0.021138,0.026663,0.072943,0.040248,1,1,3,1.14891577136734
"HEPACAM2",0,0,0,0,0,0,0,0.037851,0,0,0.012617,1,0,0,0.987540205230605
"HEPH",15.144762,5.786387,4.171978,8.367709,1073,181,155,15.360858,22.088144,12.966255,16.8050856666667,777,988,546,0.526125466362541
"HEPHL1",0.036929,0.036295,0.080255,0.0511596666666667,4,3,6,0.033263,0.01375,0.049835,0.0322826666666667,3,1,4,1.01828665791799
"HEPN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HERC1",76.143975,81.222944,115.620153,90.9956906666667,3023,2374,1886,59.205353,61.253383,72.143164,64.2006333333333,1567,1391,1324,1.41096314504102
"HERC2",67.593289,97.997414,94.900273,86.8303253333333,3364,3221,2647,74.829677,64.612035,83.6033,74.3483373333333,2429,1886,1939,1.16565711257544
"HERC2P2",70.244987,72.330242,63.489097,68.6881086666667,3234,2150,2112,81.204536,72.784448,63.056724,72.3485693333333,3046,2419,2445,0.95009499571789
"HERC2P3",62.925682,76.029169,52.430353,63.795068,1720,1336,1149,68.223379,77.817728,47.742169,64.5944253333333,1158,986,801,0.987813639203771
"HERC2P5",2.324422,2.184778,3.07072,2.52664,44,32,39,2.89178,2.641249,2.610796,2.71460833333333,44,32,35,0.949397536303738
"HERC2P6",0,0,0,0,0,0,0,0,0.91545,0,0.30515,0,6,0,0.766195456460943
"HERC2P7",10.548514,11.227183,11.608072,11.127923,246,200,191,12.40142,10.841789,11.92101,11.7214063333333,246,168,198,0.953347663160616
"HERC2P9",38.56947,44.679027,36.670428,39.972975,1052,968,831,42.803364,36.589385,34.62079,38.004513,1089,759,839,1.05046754461464
"HERC3",11.685662,15.111989,15.231835,14.0098286666667,360,380,320,2.022397,1.83688,2.435717,2.09833133333333,65,64,75,4.84448790391903
"HERC3.1",0.565726,0.407902,0.858347,0.610658333333333,52,29,54,0.490539,0,0.269716,0.253418333333333,38,0,18,1.28501258558263
"HERC4",20.776064,26.490169,28.795898,25.3540436666667,1117,1120,1271,16.057889,18.591769,15.552801,16.734153,879,715,731,1.48606159350642
"HERC5",0.649056,0.413071,0.546564,0.536230333333333,17,13,9,0.515629,0.610206,0.343135,0.489656666666667,18,18,13,1.03126469857708
"HERC6",8.346107,5.029135,5.028455,6.13456566666667,362,200,148,0.227253,0.847964,0.561084,0.545433666666667,11,16,15,4.6165460352984
"HERPUD1",73.694587,93.548608,104.582444,90.6085463333333,708,647,650,111.416365,108.0409,118.027258,112.494841,847,624,773,0.807160444705441
"HERPUD2",9.739893,10.360266,8.878287,9.659482,295,195,205,12.241857,14.616102,12.775074,13.211011,338,298,296,0.750086112803656
"HES1",20.397936,10.078693,15.20464,15.2270896666667,483,182,241,22.888126,28.565293,20.925702,24.1263736666667,452,453,358,0.645819006034841
"HES2",0.666203,0.119273,0.222414,0.335963333333333,14,7,5,0.315222,1.020682,0.273273,0.536392333333333,12,8,9,0.869545691128807
"HES3",0,0.18876,0.227452,0.138737333333333,0,1,1,0,0,0,0,0,0,0,1.13873733333333
"HES4",9.367053,6.818477,11.325769,9.170433,92,49,62,6.86722,6.319662,6.587266,6.59138266666667,62,35,40,1.33973393867468
"HES5",1.345416,0.143322,0.675029,0.721255666666667,25,2,8,0,0.082588,0,0.0275293333333333,0,1,0,1.67514017442487
"HES6",26.769582,8.282969,20.623757,18.5587693333333,429,117,214,8.364214,8.801977,12.132317,9.76616933333333,147,95,129,1.81668787920482
"HES7",1.700887,1.366006,1.284054,1.45031566666667,24,17,8,1.803007,1.247521,0.904294,1.318274,18,10,14,1.056956885453
"HESX1",1.066348,0.405193,0.497013,0.656184666666667,14,4,3,0.556883,0.499839,0.52812,0.528280666666667,5,3,6,1.08369143364155
"HEXA",61.209184,58.880592,72.434661,64.1748123333333,1216,992,987,116.451301,98.037097,121.694377,112.060925,2117,1384,1815,0.576457448347723
"HEXA.AS1",0.084481,0.193212,0.120624,0.132772333333333,4,7,4,0.076035,0.1258,0.113469,0.105101333333333,3,4,4,1.02503933274294
"HEXB",64.710363,69.436999,89.911902,74.6864213333333,579,608,730,227.973351,155.914615,281.387325,221.758430333333,2000,993,1989,0.339769054845992
"HEXD",21.391663,18.755603,26.453839,22.2003683333333,365,221,287,19.293299,12.344041,19.891326,17.176222,268,168,226,1.27641312552924
"HEXIM1",12.503224,12.248988,14.12128,12.9578306666667,828,619,636,19.10739,16.607709,17.395725,17.703608,1054,739,846,0.746264071972994
"HEXIM2",6.301638,4.076009,5.960719,5.446122,107,57,72,6.881961,4.398151,5.203338,5.49448333333333,67,50,56,0.992553474872263
"HEY1",6.603685,12.573287,10.568848,9.91527333333333,252,350,273,7.373726,11.936418,5.027585,8.11257633333333,204,291,142,1.19782517413937
"HEY2",2.644541,1.536037,1.835695,2.00542433333333,116,51,56,4.996528,6.137966,4.05639,5.063628,187,181,132,0.495647875056539
"HEYL",11.533985,4.714409,5.851127,7.366507,888,275,298,8.641884,7.854811,8.39826,8.29831833333333,550,403,470,0.899787112042303
"HFE",2.057454,0.702011,1.466563,1.408676,71,25,25,1.654755,2.448042,2.440595,2.18113066666667,54,39,55,0.757176064862472
"HFM1",1.955791,1.187385,1.431081,1.52475233333333,62,32,38,2.694642,1.284734,2.861037,2.28013766666667,61,36,62,0.769709259154062
"HGC6.3",0.193136,0.654644,0.348088,0.398622666666667,3,7,3,0,0,0.140549,0.0468496666666667,0,0,1,1.33603010174336
"HGD",0.364481,0,0.174274,0.179585,3,0,1,0.350502,0.456183,0.358471,0.388385333333333,2,2,2,0.849609234323996
"HGF",2.686436,0.050802,0.121316,0.952851333333333,174,2,4,0.011637,0.094582,0.148138,0.0847856666666667,1,3,3,1.80021859925017
"HGFAC",2.379709,3.426833,4.908786,3.571776,56,58,81,5.474367,1.795875,4.356594,3.875612,110,35,66,0.93768248991101
"HGH1",7.838648,8.529751,9.629192,8.66586366666667,224,175,191,8.094255,17.423152,13.516924,13.0114436666667,204,160,167,0.689854942618214
"HGS",126.740546,134.915934,161.390885,141.015788333333,1049,829,935,153.815267,143.213038,163.353675,153.46066,1088,819,931,0.919430153498848
"HGSNAT",25.240395,26.803826,25.171228,25.738483,1508,1260,1160,25.038724,28.079837,24.895054,26.0045383333333,1342,1002,1237,0.990147754794055
"HHAT",3.882442,3.225372,3.179684,3.429166,201,128,125,5.149632,4.018449,6.055662,5.074581,214,165,169,0.729131112088225
"HHATL",12.108456,10.399448,7.272104,9.92666933333333,135,67,53,0.212355,0,1.390573,0.534309333333333,2,0,7,7.12155567065138
"HHATL.AS1",0,0.420473,0.48414,0.301537666666667,0,2,2,0,0,0,0,0,0,0,1.30153766666667
"HHEX",0.267641,0.09588,0.22172,0.195080333333333,6,2,4,0.107975,0.056764,0.122281,0.0956733333333333,1,1,1,1.09072685897865
"HHIP",3.389375,0.333675,0.469347,1.39746566666667,147,7,16,0.389687,0.621927,0.180001,0.397205,10,20,4,1.71590115027263
"HHIP.AS1",1.692644,1.495982,1.42355,1.537392,25,12,11,1.237984,0.700781,1.483069,1.14061133333333,12,6,11,1.18535857513601
"HHIPL1",0.583217,0.673313,0.569892,0.608807333333333,58,60,52,0.251088,0.174196,0.237571,0.220951666666667,29,16,20,1.31766668350235
"HHIPL2",0.053959,0.071098,0,0.0416856666666667,1,1,0,1.094144,0.300936,0.205173,0.533417666666667,4,1,2,0.679322854634299
"HHLA1",0.897465,0.75887,0.956572,0.870969,36,23,26,0.76714,1.119469,0.864706,0.917105,25,30,25,0.975934547142697
"HHLA2",0.151966,0.144071,0,0.098679,6,5,0,0.061801,0.234315,0.065869,0.120661666666667,2,7,2,0.980384207544055
"HHLA3",6.639031,4.911197,5.395046,5.64842466666667,70,32,40,6.080648,6.329119,7.403754,6.604507,48,40,55,0.874274251659794
"HIBADH",11.860562,6.710468,7.856353,8.80912766666667,296,144,165,3.989847,4.191249,4.867525,4.34954033333333,102,82,94,1.83363935131872
"HIBCH",155.4002,120.401021,177.283034,151.028085,400,349,311,59.766857,58.801541,48.150882,55.5730933333333,194,151,175,2.68728605848434
"HIC1",1.795935,1.161606,2.454193,1.80391133333333,76,33,43,1.14343,0.938208,0.4266,0.836079333333333,44,22,16,1.52711883546063
"HIC2",4.476415,6.063217,6.444571,5.661401,587,604,556,5.14846,4.831387,5.540296,5.173381,564,425,526,1.07905230537367
"HID1",60.88675,70.312134,79.529789,70.242891,894,993,844,40.406253,21.556239,52.33144,38.0979773333333,556,281,491,1.82216308512873
"HID1.AS1",0.191625,0,0.268127,0.153250666666667,2,0,2,0.490496,0.267533,0.659976,0.472668333333333,5,2,5,0.783102780553666
"HIF1A",67.201312,60.385161,74.559445,67.3819726666667,1848,1454,1548,55.053587,80.493089,72.487617,69.3447643333333,1430,1531,1409,0.972097544355031
"HIF1A.AS1",0.126205,0.165955,0,0.0973866666666667,1,1,0,0.151982,0.194318,0.171059,0.172453,1,1,1,0.935974974405513
"HIF1A.AS3",6.560768,5.931448,7.715152,6.73578933333333,158,115,136,6.415748,6.481049,6.096018,6.33093833333333,135,110,114,1.05522499052531
"HIF1AN",14.929747,17.581829,15.546789,16.019455,1258,952,866,14.69167,14.429709,10.067301,13.0628933333333,1119,942,931,1.21023850473634
"HIF1AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HIF3A",20.544894,1.215119,2.284225,8.014746,514,18,63,0.484555,0.846427,0.293616,0.541532666666667,18,42,13,5.84791110492198
"HIGD1A",46.379111,40.819375,50.205237,45.801241,841,571,644,28.109539,31.586276,31.910309,30.5353746666667,415,427,414,1.48408704493591
"HIGD1AP13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HIGD1AP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HIGD1AP8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HIGD1B",0,0,1.37269,0.457563333333333,0,0,2,0,0.545525,0.305797,0.283774,0,3,1,1.13537377555032
"HIGD1C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HIGD2A",52.549689,44.033698,57.608266,51.3972176666667,431,274,312,41.478383,40.769012,48.629377,43.6255906666667,281,224,290,1.17415180132966
"HIGD2AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HIGD2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HIKESHI",39.028758,33.242487,46.171174,39.4808063333333,403,251,291,29.12403,32.460359,35.682028,32.422139,237,219,241,1.21119735434448
"HILPDA",18.705092,6.291502,6.667318,10.5546373333333,380,90,78,8.086505,7.350146,6.809231,7.415294,123,110,102,1.37305212786782
"HINFP",16.031538,18.758287,22.568239,19.1193546666667,401,306,334,20.105552,18.61268,18.342966,19.0203993333333,389,291,333,1.00494272525167
"HINT1",159.94355,153.688304,165.553516,159.728456666667,2017,1469,1457,100.662404,91.808813,109.370801,100.614006,1090,803,1019,1.58175494691811
"HINT2",26.628409,15.804778,27.3153,23.2494956666667,158,100,128,12.035865,8.695764,11.301551,10.6777266666667,58,40,58,2.07655962147884
"HINT3",16.672091,20.342657,21.360917,19.458555,952,898,853,6.666262,6.496634,7.197197,6.78669766666667,323,254,306,2.62737245951889
"HIP1",14.533042,21.368301,20.690475,18.8639393333333,2259,2371,1980,10.13429,8.849558,9.111053,9.364967,1164,733,972,1.91644983851211
"HIP1R",20.80941,30.805252,40.885543,30.8334016666667,874,861,848,29.934821,19.555539,28.768568,26.0863093333333,946,434,687,1.1752579974966
"HIPK1",7.574499,4.898735,5.874356,6.11586333333333,1023,491,423,5.757014,7.939936,5.767656,6.488202,588,703,498,0.950276626262664
"HIPK1.AS1",0.451801,0.400385,0.293123,0.381769666666667,11,7,6,0.357931,0.118222,0.642782,0.372978333333333,7,2,7,1.00640311148392
"HIPK2",7.850054,10.464257,10.07933,9.464547,2274,2287,1989,5.243623,6.329368,4.465904,5.34629833333333,1280,1240,962,1.64892137910315
"HIPK3",20.332249,6.349873,6.301345,10.994489,2709,649,583,4.410214,5.812086,4.181102,4.801134,493,526,415,2.06761109121079
"HIPK4",1.258244,1.781853,1.743325,1.594474,56,60,51,0.217995,0.101171,0.31258,0.210582,8,3,10,2.14316254495771
"HIRA",14.887652,21.94887,20.940472,19.258998,746,697,723,12.720366,12.60078,13.520661,12.947269,547,481,477,1.45254228623539
"HIRAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HIRIP3",9.015693,5.95231,4.820148,6.59605033333333,209,106,123,2.644661,4.241083,3.185239,3.35699433333333,61,50,54,1.74341524275565
"HIVEP1",3.397599,5.212611,6.952916,5.18770866666667,351,419,339,6.59528,8.420829,7.117192,7.377767,434,542,361,0.738586865290795
"HIVEP2",24.007033,27.345421,8.920248,20.0909006666667,1060,844,482,6.067287,5.487401,1.592892,4.38252666666667,283,277,216,3.91840151898922
"HIVEP3",4.323975,5.45547,6.340745,5.37339666666667,359,514,477,2.505469,2.465005,2.563816,2.51143,227,192,182,1.81504306412677
"HJURP",11.546594,2.342972,8.364585,7.41805033333333,204,31,101,0.88109,2.610643,0.785055,1.425596,24,57,18,3.47050800435577
"HJV",7.461613,0.064369,0,2.50866066666667,141,1,0,0.266668,0,0,0.0888893333333333,2,0,0,3.22223807255589
"HK1",310.552634,286.188692,211.395842,269.379056,6906,4690,4278,221.226327,211.608895,267.969684,233.601635333333,4177,2987,3570,1.15250286135402
"HK2",26.779149,3.121418,3.572476,11.157681,2164,175,188,5.253097,3.957621,4.555763,4.588827,462,280,350,2.17535468533916
"HK3",0,0,0.052896,0.017632,0,0,2,0,0.44453,0.226856,0.223795333333333,0,2,3,0.831537735340278
"HKDC1",0.443193,0.63827,0.442335,0.507932666666667,6,20,14,2.440585,1.421674,2.401276,2.087845,80,48,79,0.488344676195426
"HLA.A",102.005195,75.042511,94.208556,90.418754,2679,1473,1622,143.770769,129.137317,145.734427,139.547504333333,3106,2240,2744,0.650447366060547
"HLA.B",718.913795,736.574269,1089.294651,848.260905,1657,1331,1665,867.210171,1167.455617,1116.434487,1050.36675833333,1803,1750,1885,0.807768457836997
"HLA.C",51.37546,45.327317,65.22703,53.9766023333333,1279,873,1104,64.004028,59.787659,74.200927,65.997538,1357,978,1300,0.820576456605515
"HLA.DMA",3.381509,12.222632,19.706985,11.7703753333333,40,109,148,51.980513,53.846553,69.642966,58.4900106666667,562,494,662,0.214664196395729
"HLA.DMB",0.200242,1.749916,2.55561,1.50192266666667,5,37,44,10.349001,11.965101,13.813442,12.0425146666667,154,193,219,0.191828242529099
"HLA.DOA",0.916391,3.825695,15.124474,6.62218666666667,36,136,178,25.94779,31.079055,26.236535,27.75446,571,742,693,0.265078414502191
"HLA.DOB",1.008455,0.221454,0.272069,0.500659333333333,14,2,4,0.149444,1.007206,0.527971,0.561540333333333,3,8,9,0.961012214221812
"HLA.DPA1",2.672293,43.18634,64.8403,36.8996443333333,38,411,609,67.532276,158.024191,99.510663,108.35571,898,1524,1185,0.346572157350845
"HLA.DPB1",7.869338,15.121717,22.208581,15.0665453333333,109,184,223,35.04679,62.221796,45.561051,47.609879,376,547,441,0.330520167172877
"HLA.DPB2",0.202575,0.195221,0.158495,0.185430333333333,3,2,2,0.131003,0.08119,0.073753,0.0953153333333333,2,1,1,1.08227311100061
"HLA.DQA1",0.088181,2.501792,6.760368,3.11678033333333,9,38,64,7.400689,12.490487,10.999542,10.296906,117,139,153,0.364416622864113
"HLA.DQA1.1",0.183393,2.288262,4.62723,2.366295,4,41,74,4.445255,9.928813,8.175745,7.51660433333333,87,158,143,0.395262579808314
"HLA.DQB1",1.477075,8.102855,16.850393,8.81010766666667,14,45,65,21.568777,28.943565,38.931429,29.8145903333333,127,149,188,0.318359178575699
"HLA.DQB1.AS1",0,0.447229,0,0.149076333333333,0,2,0,0,0.253737,0,0.084579,0,1,0,1.05946762138427
"HLA.DQB2",0.104015,1.656901,3.128309,1.62974166666667,1,19,28,2.012252,4.944272,4.922678,3.959734,23,42,60,0.530218287244168
"HLA.DRA",3.02056,57.36783,93.133681,51.1740236666667,59,850,1220,147.812109,261.344384,206.938858,205.365117,2391,3408,2966,0.252823851361791
"HLA.DRB1",1.902008,22.503581,34.41779,19.607793,38,340,453,43.675699,71.622199,60.470718,58.5895386666667,718,953,878,0.345829040820006
"HLA.DRB5",0.744738,13.718895,17.485947,10.64986,15,211,235,22.128454,45.778575,31.826115,33.2443813333333,371,621,471,0.340197706788765
"HLA.DRB6",0.105444,3.395503,8.565535,4.02216066666667,1,28,69,10.327247,17.271045,12.939226,13.512506,94,133,106,0.346057439470941
"HLA.E",14.756457,9.393948,12.28979,12.1467316666667,661,330,379,36.311924,33.933054,41.592552,37.2791766666667,1368,1018,1367,0.343443428293869
"HLA.F",2.424593,3.812591,4.198421,3.478535,23,23,23,5.04798,5.346156,7.159095,5.851077,34,36,40,0.653697951431578
"HLA.F.AS1",1.099172,0.14644,0.595091,0.613567666666667,16,4,6,0.197828,0.258931,0.223737,0.226832,6,7,5,1.31523115362712
"HLA.G",0.042174,0.157166,0.251194,0.150178,1,2,2,0.220041,0.095171,0.162295,0.159169,3,1,2,0.992243581393222
"HLA.J",1.896661,1.232695,1.433133,1.52082966666667,39,18,18,2.09776,1.215278,2.539778,1.95093866666667,36,18,36,0.854246716525002
"HLA.K",1.363346,0.328823,1.407653,1.033274,22,4,15,1.054646,1.018342,0.601783,0.891590333333333,14,11,7,1.07490187709777
"HLA.L",2.890926,0.932198,1.212548,1.67855733333333,136,34,30,1.068922,1.26307,1.320227,1.21740633333333,49,49,54,1.20796864925824
"HLA.V",0.499742,0.127438,0,0.20906,17,9,0,0.068852,0.020937,0.061347,0.0503786666666667,5,1,4,1.15107059803195
"HLA.Z",0,22.087919,0,7.36263966666667,0,1,0,0,0,0,0,0,0,0,8.36263966666667
"HLCS",5.373757,6.884267,5.726711,5.99491166666667,589,492,410,3.738699,4.471907,5.071172,4.42725933333333,343,259,330,1.288847876442
"HLF",1.816382,0.494747,0.451929,0.921019333333333,52,15,22,0.056337,0.02807,0.164869,0.083092,5,1,13,1.7736437286337
"HLFP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HLTF",17.345352,10.627943,13.247158,13.740151,1217,703,732,6.88587,10.382463,6.089072,7.78580166666667,456,425,384,1.67772407792042
"HLTF.AS1",0.303623,0,0,0.101207666666667,1,0,0,0,0,0.413358,0.137786,0,0,1,0.967851306543293
"HLX",0.331901,0.292039,0,0.20798,7,3,0,0.134216,0.497006,0.152759,0.261327,2,4,3,0.957705654441711
"HLX.AS1",0.16357,0,0,0.0545233333333333,1,0,0,0.195302,0,0,0.0651006666666667,1,0,0,0.990069170300648
"HM13",122.682806,148.860576,199.662553,157.068645,1315,1223,1307,300.835736,281.586533,328.731736,303.718001666667,2640,1907,2470,0.518737469186059
"HM13.AS1",0.21748,0.277254,0,0.164911333333333,1,1,0,0.533843,0.314787,0,0.282876666666667,2,1,0,0.908046239830797
"HMBOX1",30.513297,29.357836,31.623184,30.4981056666667,403,268,242,21.831775,33.354252,25.986065,27.057364,240,252,202,1.12263239221855
"HMBS",13.413128,10.659348,15.321352,13.131276,216,150,158,10.193464,11.673729,12.055123,11.3074386666667,161,143,162,1.1481898372789
"HMCES",23.526145,21.763174,21.906543,22.3986206666667,604,358,411,10.635713,10.001407,12.124697,10.9206056666667,204,168,210,1.96287179703425
"HMCN1",36.254765,40.645276,39.656495,38.8521786666667,2113,1293,1025,111.299133,129.436088,105.049216,115.261479,3504,4016,2806,0.342780592587048
"HMCN2",2.763235,3.503093,2.373012,2.87978,256,249,148,0.153494,0.016563,0.076627,0.082228,7,3,5,3.58499318073456
"HMG20A",36.396933,33.563626,30.157904,33.372821,1041,695,738,25.361822,26.438657,20.104645,23.9683746666667,727,573,698,1.37665432607788
"HMG20B",78.204385,49.350648,59.757986,62.437673,1042,478,604,98.632043,101.06114,120.129355,106.607512666667,1128,868,1123,0.589528290617677
"HMGA1",31.870688,29.730647,33.172022,31.591119,1041,701,721,17.612107,20.367731,22.055723,20.0118536666667,461,409,522,1.55108252308566
"HMGA2",25.850422,11.482676,10.085456,15.8061846666667,1356,427,505,39.738871,87.75672,34.025142,53.8402443333333,1906,3045,1680,0.306457144219021
"HMGA2.AS1",0.385133,0.216745,0.246451,0.282776333333333,7,4,3,0.464811,1.733225,0.600991,0.933009,12,27,13,0.663616327359745
"HMGB1",212.464704,139.87627,157.944519,170.095164333333,4884,2658,3059,103.5989,151.885772,112.127753,122.537475,2283,2471,2058,1.38496569023556
"HMGB1P11",0.132637,0,0,0.0442123333333333,1,0,0,0,0,0,0,0,0,0,1.04421233333333
"HMGB1P12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB1P13",0,0,0.187513,0.0625043333333333,0,0,1,0,0,0,0,0,0,0,1.06250433333333
"HMGB1P17",0,0,0.19268,0.0642266666666667,0,0,1,0,0,0,0,0,0,0,1.06422666666667
"HMGB1P19",0,0,0,0,0,0,0,0.186646,0,0,0.0622153333333333,1,0,0,0.941428699642194
"HMGB1P23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB1P30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB1P31",0.566833,0.371808,0,0.312880333333333,2,1,0,0.340277,0,1.153373,0.497883333333333,1,0,3,0.876490380870784
"HMGB1P32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB1P33",0.182326,0,0,0.0607753333333333,1,0,0,0,0,0,0,0,0,0,1.06077533333333
"HMGB1P35",0,0.296407,0.259742,0.185383,0,2,1,0.098616,0.555782,0,0.218132666666667,1,3,0,0.973114860505068
"HMGB1P36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB1P39",0.097225,0.424458,0.150793,0.224158666666667,1,4,1,0.098536,0.848515,0.402998,0.450016333333333,1,7,4,0.844237846516212
"HMGB1P43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB1P44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB1P46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB1P49",0.158807,0.622016,0,0.260274333333333,1,3,0,0.570521,0,0.639738,0.403419666666667,3,0,3,0.898002474432095
"HMGB1P5",147.18123,101.735018,113.787061,120.901103,1123,587,591,74.147763,101.990037,70.803272,82.3136906666667,469,520,398,1.46315811992676
"HMGB1P50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB1P7",0,0,0,0,0,0,0,0,0,0.189753,0.063251,0,0,1,0.940511694792669
"HMGB2",40.63294,7.502363,19.048068,22.394457,609,88,205,3.094924,5.278606,2.411029,3.594853,36,58,35,5.09144840977502
"HMGB3",47.915976,51.138176,48.223719,49.0926236666667,1237,1025,1073,21.068301,24.824659,20.493986,22.128982,470,419,459,2.16579457179165
"HMGB3P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB3P14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB3P15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB3P16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB3P18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB3P21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB3P22",0.741365,0.603826,0.868824,0.738005,5,3,4,0.542436,0.239069,0,0.260501666666667,3,1,0,1.37882007296037
"HMGB3P25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB3P26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB3P27",0,0.216498,0,0.072166,0,1,0,0,0,0,0,0,0,0,1.072166
"HMGB3P28",0,0.390951,0.217487,0.202812666666667,0,2,1,0,0,0.20079,0.06693,0,0,1,1.12735855835591
"HMGB3P29",0.31269,0.267626,1.099621,0.559979,6,4,15,0.512153,0.366425,0.309154,0.395910666666667,8,5,5,1.11753498074853
"HMGB3P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB3P30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB3P31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB3P32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB3P4",0.380668,0.251383,0,0.210683666666667,2,1,0,0.230104,0,0,0.0767013333333333,1,0,0,1.12443778899998
"HMGB3P6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGB4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGCL",13.709688,7.861158,9.511925,10.3609236666667,296,134,139,10.704076,12.095888,12.201634,11.6671993333333,196,161,192,0.896877310264689
"HMGCLL1",12.60876,21.82005,21.438507,18.622439,330,392,388,4.169405,2.373852,4.822537,3.788598,68,46,85,4.09774196957022
"HMGCR",220.878892,173.641273,165.761813,186.760659333333,6197,4186,4218,133.0401,151.818947,138.456482,141.105176333333,3472,2723,3235,1.32127952111264
"HMGCS1",228.369195,151.268116,158.451269,179.36286,10975,5383,5582,78.277928,101.709442,83.272558,87.7533093333333,2977,2827,2935,2.03218180093551
"HMGCS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGN1",149.548856,91.033835,105.646777,115.409822666667,2464,1121,1391,144.474747,161.875683,134.348985,146.899805,1945,1647,1671,0.787085707561728
"HMGN1P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGN1P12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGN1P13",10.080294,0,0,3.360098,1,0,0,12.113871,0,0,4.037957,1,0,0,0.865449625711375
"HMGN1P14",0.200345,0.258875,0.2773,0.245506666666667,1,1,1,0.474643,0.294215,0,0.256286,2,1,0,0.991419682036309
"HMGN1P15",1.072372,0,1.551754,0.874708666666667,1,0,1,0,0,0,0,0,0,0,1.87470866666667
"HMGN1P16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGN1P17",15.11313,2.819734,1.585354,6.50607266666667,14,2,1,0,0,0,0,0,0,0,7.50607266666667
"HMGN1P19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HMGN1P23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
