"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg__TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"CPNE1",95.888482,80.667822,86.197063,87.5844556666667,719,463,448,92.855521,116.315807,137.099176,115.423501333333,529,637,478,0.760881219445888
"CPNE2",24.362798,15.147023,25.004485,21.5047686666667,588,286,387,6.722752,5.24191,10.07669,7.34711733333333,123,127,145,2.6961126539813
"CPNE3",34.774801,28.175838,18.947302,27.2993136666667,1901,1248,1151,17.937067,18.943695,21.399534,19.4267653333333,925,955,794,1.38540357246316
"CPNE4",6.215586,0.16417,0.531466,2.30374066666667,114,5,16,10.968195,17.285435,7.245857,11.8331623333333,224,263,86,0.257437767937012
"CPNE5",5.346563,1.883426,1.814057,3.014682,183,39,31,4.860846,6.288012,6.698851,5.94923633333333,94,124,129,0.577715565772719
"CPNE6",0.696499,0.265056,0.467212,0.476255666666667,5,3,3,0.749011,0.961379,0.397729,0.702706333333333,5,9,1,0.867005447602141
"CPNE7",38.90423,62.205017,64.08186,55.0637023333333,478,547,552,106.728504,100.570239,115.526722,107.608488333333,803,904,690,0.516200006036974
"CPNE8",9.989304,3.823307,6.102481,6.638364,274,93,104,25.040972,20.026055,42.607844,29.224957,351,315,558,0.252717117182334
"CPNE9",15.274106,10.80577,13.785212,13.2883626666667,395,242,204,16.336438,22.032201,12.489415,16.9526846666667,237,374,177,0.795890026030276
"CPO",0.102128,0.134154,0.149771,0.128684333333333,2,2,2,0.497277,0.588115,0.50115,0.528847333333333,7,9,5,0.738258365452666
"CPOX",11.899705,12.730159,13.828675,12.819513,351,316,290,13.378936,11.558203,11.792429,12.2431893333333,273,273,206,1.04351849483991
"CPPED1",4.159824,4.11931,3.811674,4.03026933333333,265,174,155,4.522634,5.50718,4.014097,4.68130366666667,192,230,134,0.885407580454979
"CPQ",9.6841,10.514845,13.215673,11.138206,180,163,193,5.030356,6.852388,4.170378,5.35104066666667,56,80,37,1.91121528534799
"CPS1",4.322291,1.852961,2.813912,2.996388,180,58,54,0.414926,0.136418,0.441647,0.330997,8,5,9,3.00255222213123
"CPS1.IT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CPSF1",70.553534,57.82448,87.775474,72.0511626666667,1673,1095,1218,47.817523,49.948696,64.594411,54.12021,786,861,686,1.32530631989005
