"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ABHD17C",1.848624,2.204347,1.707873,1.92028133333333,50,65,54,"Abhd17c",11.283472,13.469857,8.899621,714,148,294,11.21765,0.23902152487044
"ABHD18",8.712244,6.827573,4.421348,6.65372166666667,367,326,288,"Abhd18",3.17983,3.46159,2.752458,273,75,108,3.13129266666667,1.85262151200778
"ABHD2",3.332886,2.82704,2.375777,2.84523433333333,614,430,406,"Abhd2",36.723837,35.505954,38.19751,10887,2566,4419,36.8091003333333,0.101701291473029
"ABHD3",2.331696,3.741765,1.156728,2.410063,72,76,34,"Abhd3",14.353249,12.050526,13.142816,749,205,280,13.182197,0.240446737554132
"ABHD4",15.0237,23.747182,16.357654,18.3761786666667,409,343,303,"Abhd4",50.359455,48.462447,50.512159,4010,834,1505,49.7780203333333,0.381585940914422
"ABHD5",7.210165,4.691474,4.783658,5.56176566666667,177,215,128,"Abhd5",30.875776,28.899154,33.675929,1450,328,540,31.1502863333333,0.204096647806942
"ABHD6",2.357982,2.891814,1.502824,2.25087333333333,64,48,45,"Abhd6",12.397356,10.977638,11.245281,974,215,348,11.5400916666667,0.259238402696418
"ABHD8",4.748047,3.701303,3.322699,3.92401633333333,184,148,137,"Abhd8",37.222072,31.595592,35.732559,2814,569,1151,34.8500743333333,0.137350240547618
"ABI1",10.258949,6.855637,7.216852,8.11047933333333,359,321,284,"Abi1",73.499723,76.395454,73.837698,3519,880,1307,74.577625,0.120544662965174
"ABI2",21.727203,10.892244,9.493522,14.0376563333333,933,760,670,"Abi2",33.5103,22.271769,32.250394,3171,695,1283,29.3441543333333,0.495570124253367
"ABI3",0.029558,0.160231,0.222847,0.137545333333333,1,5,7,"Abi3",0.648225,0.232863,1.080233,18,6,10,0.653773666666667,0.687848256542965
"ABI3BP",0.659504,0.308934,0,0.322812666666667,5,4,0,"Abi3bp",1.766439,2.649653,2.136867,308,112,149,2.18431966666667,0.415414532816481
"ABITRAM",13.449005,10.517363,5.073883,9.68008366666667,184,198,136,"Abitram",3.739558,3.621243,4.375773,439,119,176,3.91219133333333,2.1741994441856
"ABL1",7.760499,5.097737,3.86969,5.57597533333333,787,524,458,"Abl1",8.536541,8.902709,11.083969,1262,319,543,9.50773966666667,0.62582206468191
"ABL2",1.446018,0.98648,1.194757,1.209085,315,194,136,"Abl2",5.264426,4.654585,6.798877,2047,472,841,5.57262933333333,0.336103694269893
"ABLIM1",59.262507,38.678189,34.133185,44.024627,7498,5439,4652,"Ablim1",44.867705,42.117908,43.063424,9236,2061,3536,43.349679,1.01521877982476
"ABLIM2",6.864886,5.835002,6.004859,6.23491566666667,163,143,105,"Ablim2",27.7936,29.426839,21.693994,1532,345,560,26.304811,0.264968531247723
"ABLIM3",1.439051,0.939932,0.795889,1.05829066666667,79,55,65,"Ablim3",13.169178,12.081958,12.860354,2375,528,912,12.70383,0.150198204930057
"ABO",0.108377,0.428422,0.100191,0.21233,15,12,11,"Abo",0.10168,0,0.037192,7,0,1,0.0462906666666667,1.15869331403128
"ABR",137.5781,52.298863,84.704982,91.527315,1454,973,842,"Abr",59.447352,52.550682,58.358209,10128,2156,3916,56.7854143333333,1.60122266263004
"ABRA",1.22541,0.904378,0.700678,0.943488666666667,55,43,33,"Abra",0.017227,0,0.044071,2,0,2,0.0204326666666667,1.90457315818323
"ABRACL",1.304502,3.067132,2.188819,2.18681766666667,11,29,19,"Abracl",37.088713,47.865666,52.35161,184,56,84,45.768663,0.0681400207371048
"ABRAXAS1",1.870927,1.13124,1.242214,1.41479366666667,62,58,36,"Abraxas1",3.576158,3.463709,2.394861,158,35,60,3.14490933333333,0.582592638938303
"ABRAXAS2",2.908321,2.115077,1.946772,2.32339,158,120,108,"Abraxas2",19.151046,15.849001,18.553229,1604,384,645,17.851092,0.176296948739097
"ABT1",3.32542,2.791458,2.174212,2.76369666666667,199,168,128,"Abt1",1.783222,1.437852,1.858162,334,66,136,1.69307866666667,1.39754427275054
"ABTB1",4.435767,2.908722,2.928956,3.42448166666667,118,103,97,"Abtb1",46.710301,42.045226,46.427737,1463,361,559,45.061088,0.0960568206002139
"ABTB2",6.950399,6.045716,4.152189,5.71610133333333,790,633,438,"Abtb2",16.08518,16.368571,14.737303,2968,692,1128,15.7303513333333,0.401432175542677
"ACAA1",73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,"Acaa1a",25.849155,26.174187,25.673361,1300,309,546,25.898901,2.44912475544385
"ACAA1",73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,"Acaa1b",0.255714,0.200968,0.42739,5,3,3,0.294690666666667,50.8837871697538
"ACAA2",33.764452,29.686524,22.134757,28.5285776666667,1017,904,664,"Acaa2",48.921519,40.774913,50.141634,1806,371,659,46.6126886666667,0.620182948990642
"ACACA",7.1497,4.870629,6.747958,6.25609566666667,693,417,430,"Acaca",28.483863,24.922881,36.571534,7673,1813,3098,29.9927593333333,0.23412228606772
"ACACB",26.02878,14.841445,7.767875,16.2127,1315,753,655,"Acacb",2.097291,2.286744,2.776692,428,116,205,2.386909,5.08212650531797
"ACAD10",20.02537,13.653281,10.050915,14.576522,659,558,399,"Acad12",3.621239,3.400602,3.793902,278,56,108,3.60524766666667,3.38234186898236
