"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"ABHD15",1.644095,1.578787,1.43262,1.551834,123,111,101,"Abhd15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,1.90013420446685
"ABHD16A",19.452254,20.109003,15.952975,18.504744,486,433,358,"Abhd16a",41.183855,61.475216,60.134246,564,1496,1639,54.264439,0.352934804965631
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0.040812,0,0,1,0,0,0.013604,0.986578584930604
"ABHD17A",21.413135,20.573032,17.57639,19.8541856666667,715,597,525,"Abhd17a",58.483824,79.896002,84.757266,762,2077,2222,74.3790306666667,0.276657652429704
"ABHD17B",2.046774,1.634046,1.489593,1.723471,103,84,78,"Abhd17b",13.462328,12.425725,11.081772,411,633,517,12.323275,0.204414530211228
"ABHD17C",1.848624,2.204347,1.707873,1.92028133333333,50,65,54,"Abhd17c",13.103004,9.007656,13.856976,380,472,433,11.989212,0.224823594636328
"ABHD18",8.712244,6.827573,4.421348,6.65372166666667,367,326,288,"Abhd18",3.492566,4.65432,2.618732,161,244,203,3.58853933333333,1.66800829428799
"ABHD2",3.332886,2.82704,2.375777,2.84523433333333,614,430,406,"Abhd2",19.626201,7.092046,7.529354,2086,1334,1439,11.415867,0.309703247733995
"ABHD3",2.331696,3.741765,1.156728,2.410063,72,76,34,"Abhd3",38.388158,39.33974,44.624386,668,1261,1382,40.7840946666667,0.081611508570518
"ABHD4",15.0237,23.747182,16.357654,18.3761786666667,409,343,303,"Abhd4",30.102026,40.118908,40.409999,828,1966,2027,36.8769776666667,0.511555563835773
"ABHD5",7.210165,4.691474,4.783658,5.56176566666667,177,215,128,"Abhd5",15.396005,16.375689,21.571022,243,450,555,17.7809053333333,0.349384949777714
"ABHD6",2.357982,2.891814,1.502824,2.25087333333333,64,48,45,"Abhd6",20.131196,19.454461,16.882188,613,1035,897,18.822615,0.163998207770939
"ABHD8",4.748047,3.701303,3.322699,3.92401633333333,184,148,137,"Abhd8",73.165664,99.876587,96.017002,1879,5091,5065,89.6864176666667,0.0542971754759615
"ABI1",10.258949,6.855637,7.216852,8.11047933333333,359,321,284,"Abi1",83.535127,72.202167,67.21898,1473,2226,1830,74.318758,0.120958969256149
"ABI2",21.727203,10.892244,9.493522,14.0376563333333,933,760,670,"Abi2",73.550072,33.93638,32.706777,2945,2764,2269,46.7310763333333,0.315049596374421
"ABI3",0.029558,0.160231,0.222847,0.137545333333333,1,5,7,"Abi3",2.741241,3.098633,2.942035,27,77,59,2.927303,0.289650514190867
"ABI3BP",0.659504,0.308934,0,0.322812666666667,5,4,0,"Abi3bp",1.005749,0.614508,0.331046,67,69,42,0.650434333333333,0.801493667424514
"ABITRAM",13.449005,10.517363,5.073883,9.68008366666667,184,198,136,"Abitram",7.343123,3.117896,3.047484,317,313,275,4.50283433333333,1.94083321788778
"ABL1",7.760499,5.097737,3.86969,5.57597533333333,787,524,458,"Abl1",16.493449,7.635737,7.237194,757,701,772,10.45546,0.574047251994537
"ABL2",1.446018,0.98648,1.194757,1.209085,315,194,136,"Abl2",9.166805,2.613638,2.099504,1313,592,529,4.626649,0.392611126089436
"ABLIM1",59.262507,38.678189,34.133185,44.024627,7498,5439,4652,"Ablim1",19.521036,10.009919,8.622963,1779,1479,1369,12.7179726666667,3.28216334104568
"ABLIM2",6.864886,5.835002,6.004859,6.23491566666667,163,143,105,"Ablim2",97.913663,59.151526,46.287557,1212,1466,1295,67.7842486666667,0.105182738881507
"ABLIM3",1.439051,0.939932,0.795889,1.05829066666667,79,55,65,"Ablim3",4.516867,3.560203,3.140058,289,412,368,3.73904266666667,0.434326257736443
"ABO",0.108377,0.428422,0.100191,0.21233,15,12,11,"Abo",0,0,0,0,0,0,0,1.21233
"ABR",137.5781,52.298863,84.704982,91.527315,1454,973,842,"Abr",121.644538,73.850699,64.046723,7113,7103,6497,86.5139866666667,1.05728602391785
"ABRA",1.22541,0.904378,0.700678,0.943488666666667,55,43,33,"Abra",0.023622,0.027351,0.115394,1,2,8,0.0554556666666667,1.84137404160667
"ABRACL",1.304502,3.067132,2.188819,2.18681766666667,11,29,19,"Abracl",33.217061,37.836813,39.468236,67,98,101,36.8407033333333,0.0842166605254254
"ABRAXAS1",1.870927,1.13124,1.242214,1.41479366666667,62,58,36,"Abraxas1",2.097837,2.986823,1.808422,42,70,66,2.297694,0.732267356118144
"ABRAXAS2",2.908321,2.115077,1.946772,2.32339,158,120,108,"Abraxas2",15.079319,12.887985,9.021063,380,628,479,12.3294556666667,0.249326760455109
"ABT1",3.32542,2.791458,2.174212,2.76369666666667,199,168,128,"Abt1",2.396752,2.64066,2.619396,162,315,315,2.55226933333333,1.05951894788759
"ABTB1",4.435767,2.908722,2.928956,3.42448166666667,118,103,97,"Abtb1",21.831981,27.654929,23.552319,275,528,482,24.3464096666667,0.174560489033891
"ABTB2",6.950399,6.045716,4.152189,5.71610133333333,790,633,438,"Abtb2",3.117546,2.432269,2.363293,188,299,300,2.63770266666667,1.84624801660535
"ACAA1",73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,"Acaa1a",32.745647,29.059165,34.358911,520,1066,1037,32.0545743333333,1.99303018302368
"ACAA1",73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,"Acaa1b",0.135692,0.223053,0.257686,3,9,11,0.205477,54.6495406659217
"ACAA2",33.764452,29.686524,22.134757,28.5285776666667,1017,904,664,"Acaa2",16.998977,25.66273,27.282412,209,607,599,23.3147063333333,1.21443283179553
"ACACA",7.1497,4.870629,6.747958,6.25609566666667,693,417,430,"Acaca",15.981778,6.514919,6.271574,1592,1200,1232,9.58942366666667,0.685221018166208
"ACACB",26.02878,14.841445,7.767875,16.2127,1315,753,655,"Acacb",0.922284,0.975901,1.144648,109,90,100,1.01427766666667,8.54534619771885
"ACAD10",20.02537,13.653281,10.050915,14.576522,659,558,399,"Acad12",1.157293,1.86023,1.664471,45,84,89,1.56066466666667,6.08299954412878
"ACAD10",20.02537,13.653281,10.050915,14.576522,659,558,399,"Acad10",1.268187,1.37903,0.87532,38,74,65,1.174179,7.16432363664629
"ACAD11",6.08628,6.516346,6.250521,6.28438233333333,364,279,315,"Acad11",7.725064,8.513703,8.234594,340,530,552,8.157787,0.795430417122972
"ACAD8",17.886304,13.41606,11.385466,14.2292766666667,633,534,433,"Acad8",13.864191,15.434606,14.236606,258,559,469,14.511801,0.981786490599426
"ACAD9",9.950716,8.300763,6.289277,8.180252,369,346,279,"Acad9",28.724183,35.433702,31.159821,429,851,844,31.7725686666667,0.280120001986214
"ACADL",0.430319,0.363646,0.199827,0.331264,20,21,12,"Acadl",19.503812,22.189297,22.09295,399,856,916,21.2620196666667,0.0597997854612143
"ACADM",55.824798,42.128201,34.763102,44.2387003333333,1043,919,796,"Acadm",46.965469,51.19742,51.99983,336,672,732,50.0542396666667,0.886090961861287
"ACADS",15.466497,14.289382,12.849752,14.201877,587,501,461,"Acads",3.826219,4.460667,5.525779,58,193,222,4.60422166666667,2.71257596579721
"ACADSB",6.230585,3.533107,3.515221,4.42630433333333,558,395,389,"Acadsb",145.380778,130.594786,130.001808,908,1382,1212,135.325790666667,0.0398039454368639
