"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ABL1",7.760499,5.097737,3.86969,5.57597533333333,787,524,458,"Abl1",17.901029,13.698011,17.087719,305,1363,769,16.2289196666667,0.38168239567894
"ABL2",1.446018,0.98648,1.194757,1.209085,315,194,136,"Abl2",4.995949,5.682749,8.350547,342,1365,865,6.34308166666667,0.300838952946413
"ABLIM1",59.262507,38.678189,34.133185,44.024627,7498,5439,4652,"Ablim1",34.801176,35.93125,43.941288,1345,5168,3521,38.2245713333333,1.14786791721386
"ABLIM2",6.864886,5.835002,6.004859,6.23491566666667,163,143,105,"Ablim2",45.109793,56.693162,60.767226,382,1889,1015,54.1900603333333,0.13109091787488
"ABLIM3",1.439051,0.939932,0.795889,1.05829066666667,79,55,65,"Ablim3",9.713718,10.446052,13.010561,280,1148,806,11.056777,0.170716491369681
"ABO",0.108377,0.428422,0.100191,0.21233,15,12,11,"Abo",0,0.04772,0,0,2,0,0.0159066666666667,1.19334781410366
"ABR",137.5781,52.298863,84.704982,91.527315,1454,973,842,"Abr",72.847619,78.817078,72.995401,1670,6447,3704,74.8866993333333,1.21928237507831
"ABRA",1.22541,0.904378,0.700678,0.943488666666667,55,43,33,"Abra",0.104979,0.014323,0.024908,2,1,1,0.04807,1.85435005931538
"ABRACL",1.304502,3.067132,2.188819,2.18681766666667,11,29,19,"Abracl",23.553344,24.607412,18.383949,18,67,32,22.1815683333333,0.137472047656252
"ABRAXAS1",1.870927,1.13124,1.242214,1.41479366666667,62,58,36,"Abraxas1",2.527091,2.89354,2.878353,15,97,65,2.766328,0.641153310775553
"ABRAXAS2",2.908321,2.115077,1.946772,2.32339,158,120,108,"Abraxas2",17.910056,12.732544,10.244335,210,637,376,13.6289783333333,0.227178544138478
"ABT1",3.32542,2.791458,2.174212,2.76369666666667,199,168,128,"Abt1",2.169662,2.135689,2.150485,66,245,139,2.15194533333333,1.1940869109828
"ABTB1",4.435767,2.908722,2.928956,3.42448166666667,118,103,97,"Abtb1",20.252164,25.862883,30.335142,130,636,382,25.4833963333333,0.167066248262795
"ABTB2",6.950399,6.045716,4.152189,5.71610133333333,790,633,438,"Abtb2",4.467642,5.02184,4.513611,139,562,291,4.66769766666667,1.18497875651212
"ACAA1",73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,"Acaa1a",25.124783,38.637608,36.052522,224,1188,549,33.2716376666667,1.92225317547076
"ACAA1",73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,"Acaa1b",0.263199,0.567147,0.28493,3,22,6,0.371758666666667,48.0250396328217
"ACAA2",33.764452,29.686524,22.134757,28.5285776666667,1017,904,664,"Acaa2",16.960302,15.003065,16.159893,87,361,209,16.0410866666667,1.73278724791807
"ACACA",7.1497,4.870629,6.747958,6.25609566666667,693,417,430,"Acaca",19.485886,15.979125,16.156752,704,2629,1715,17.2072543333333,0.398527726027444
"ACACB",26.02878,14.841445,7.767875,16.2127,1315,753,655,"Acacb",2.347324,2.448333,1.442423,63,283,136,2.07936,5.58970045723787
"ACAD10",20.02537,13.653281,10.050915,14.576522,659,558,399,"Acad12",3.5386,1.843828,2.742705,30,115,59,2.70837766666667,4.20036021142399
"ACAD10",20.02537,13.653281,10.050915,14.576522,659,558,399,"Acad10",0.953402,2.089012,1.322435,20,83,38,1.45494966666667,6.3449455650754
"ACAD11",6.08628,6.516346,6.250521,6.28438233333333,364,279,315,"Acad11",11.510665,10.029851,9.42974,198,617,402,10.3234186666667,0.64330239371761
"ACAD8",17.886304,13.41606,11.385466,14.2292766666667,633,534,433,"Acad8",22.587965,18.479586,22.129273,169,624,442,21.065608,0.690181601461726
"ACAD9",9.950716,8.300763,6.289277,8.180252,369,346,279,"Acad9",33.288168,40.760278,41.790665,258,1076,590,38.613037,0.231748249951146
"ACADL",0.430319,0.363646,0.199827,0.331264,20,21,12,"Acadl",23.989554,27.786441,27.839466,286,1063,571,26.538487,0.0483419441307723
"ACADM",55.824798,42.128201,34.763102,44.2387003333333,1043,919,796,"Acadm",53.479148,49.461303,49.645235,187,658,428,50.8618953333333,0.87229169012373
"ACADS",15.466497,14.289382,12.849752,14.201877,587,501,461,"Acads",7.376174,4.693633,4.113654,41,181,88,5.394487,2.37734113776445
"ACADSB",6.230585,3.533107,3.515221,4.42630433333333,558,395,389,"Acadsb",192.571336,128.986745,179.660881,434,1410,912,167.072987333333,0.0322854042129419
"ACADVL",539.418883,513.721339,438.661315,497.267179,4271,3691,3049,"Acadvl",27.327889,26.55274,25.529242,288,1140,639,26.469957,18.1386224594381
"ACAN",0,0.022851,0,0.007617,0,2,0,"Acan",1.886721,2.604057,2.264707,54,340,200,2.25182833333333,0.309861682940418
"ACAP1",14.853065,11.82895,6.245988,10.976001,42,44,28,"Acap1",0,0.039392,0.070892,0,2,3,0.0367613333333333,11.5513576895229
"ACAP2",2.720509,0.953916,0.841565,1.50533,159,108,106,"Acap2",22.737422,25.4554,28.768513,509,2068,1130,25.6537783333333,0.0939953041054154
"ACAP3",32.135196,15.329502,11.519368,19.6613553333333,755,449,440,"Acap3",20.858138,22.288186,21.60155,324,1404,830,21.5826246666667,0.914922673440646
"ACAT1",106.632562,103.500411,97.170077,102.43435,946,923,785,"Acat1",27.981588,41.326883,51.020392,423,1692,1035,40.109621,2.51606187271831
"ACAT2",7.765272,8.394048,3.664681,6.60800033333333,210,229,100,"Acat2",21.793864,27.314291,29.301711,186,906,543,26.136622,0.280359152046756
"ACAT2",7.765272,8.394048,3.664681,6.60800033333333,210,229,100,"Acat3",0.859081,0.856018,0.384914,8,16,6,0.700004333333333,4.47528290614161
"ACBD3",26.857783,13.437707,11.62415,17.3065466666667,382,312,276,"Acbd3",11.640037,11.430117,12.696939,265,965,610,11.9223643333333,1.41665613152887
"ACBD4",4.538466,2.387986,1.850638,2.92569666666667,119,81,68,"Acbd4",49.52793,55.202241,55.661162,120,558,315,53.4637776666667,0.0720790373868851
"ACBD5",7.618894,5.044549,4.657079,5.77350733333333,439,324,287,"Acbd5",36.358403,38.338337,37.022115,721,2219,1388,37.2396183333333,0.177133235857349
"ACBD6",23.154423,24.794667,23.033485,23.6608583333333,532,463,433,"Acbd6",35.945392,35.894611,35.871149,188,692,414,35.9037173333333,0.668248624131379
"ACBD7",0.572654,0.568327,0.510339,0.55044,37,38,33,"Acbd7",0.489517,0.389686,0.926633,1,3,4,0.601945333333333,0.967848257826526
"ACCS",8.564602,4.575821,7.352098,6.83084033333333,163,107,122,"Accs",4.011864,4.156498,4.12503,21,102,76,4.09779733333333,1.53612233309654
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0.036953,0.308815,0,2,4,0.115256,0.89665511774875
"ACD",6.047245,4.588355,4.00999,4.88186333333333,85,83,68,"Acd",12.505277,15.687622,17.331572,102,490,312,15.1748236666667,0.363643119365485
"ACE",1.157448,0.481306,0.687591,0.775448333333333,31,27,17,"Ace",7.222874,11.540329,13.795783,209,1077,644,10.8529953333333,0.149789001294919
"ACE2",0.292,0.608641,1.089188,0.663276333333333,17,9,22,"Ace2",0.85973,0.864133,0.577398,15,60,28,0.767087,0.941253222582325
"ACER1",0,0,0,0,0,0,0,"Acer1",0,0.018434,0.02977,0,1,1,0.016068,0.984186097780857
"ACER2",0.086941,0.071304,0.036141,0.0647953333333333,5,4,2,"Acer2",4.509376,2.843414,1.85398,75,244,99,3.06892333333333,0.26168970169832
"ACER3",5.889447,3.785697,2.608854,4.094666,373,369,276,"Acer3",5.509058,6.757561,6.453785,157,709,365,6.24013466666667,0.703670060648964
"ACHE",0.074404,0.220625,0.154447,0.149825333333333,5,9,7,"Ache",62.86421,90.196685,78.823217,529,2718,1405,77.294704,0.0146858634695564
"ACIN1",48.187336,30.018075,26.134553,34.779988,1665,1167,1053,"Acin1",53.375948,57.667286,55.722878,628,2276,1280,55.588704,0.632281453203099
"ACKR1",0,0,0,0,0,0,0,"Ackr1",233.645771,184.25091,183.13379,246,1171,640,200.343490333333,0.00496663685696744
"ACKR2",2.083034,1.740608,0.931254,1.58496533333333,43,37,20,"Ackr2",0.05344,0.027932,0.673087,1,2,1,0.251486333333333,2.06551623016792
"ACKR3",4.479841,2.665596,2.943872,3.363103,125,78,87,"Ackr3",2.177535,2.34772,3.084983,44,180,134,2.536746,1.23364895302066
"ACKR4",0,0,0,0,0,0,0,"Ackr4",1.74279,0.892203,0.91059,13,41,19,1.181861,0.458324338718186
"ACLY",20.336467,13.559479,13.590368,15.8287713333333,1109,844,693,"Acly",62.900693,84.057985,88.066181,1466,6929,3937,78.3416196666667,0.212105215447265
"ACMSD",0.044606,0.168465,0.027939,0.0803366666666667,1,1,1,"Acmsd",0,0.12895,0.079902,0,6,3,0.0696173333333333,1.01002165260349
"ACO1",8.895559,7.661565,6.460032,7.67238533333333,708,594,504,"Aco1",6.130113,9.373893,10.179954,158,755,490,8.56132,0.90702803936416
"ACO2",146.738618,107.939366,96.620982,117.099655333333,7447,5908,4897,"Aco2",282.147415,284.798699,303.885091,2956,11701,6722,290.277068333333,0.405454696482257
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0.015449,0,0,1,0,0.00514966666666667,0.994876716535415
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot3",0.109079,0.207848,0.217536,1,10,7,0.178154333333333,6.19056727995172
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot2",1.585568,1.620148,1.475092,22,79,41,1.56026933333333,2.848701725131
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot1",10.727808,10.211123,13.832099,46,140,108,11.5903433333333,0.579288703538135
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot5",0.262587,0.519585,0.226514,2,16,4,0.336228666666667,5.45823020311394
"ACOT11",20.174206,15.320592,11.474642,15.65648,1325,899,708,"Acot11",18.795607,22.115918,27.499553,496,1856,1128,22.8036926666667,0.699743532789128
"ACOT12",0.102651,0,0,0.034217,1,0,0,"Acot12",0.049362,0.069376,0.069691,1,3,3,0.0628096666666667,0.973097095779771
