"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","FoldChange"
"CTBP2","Ctbp2",14.846966,7.757637,10.228805,179,141,263,10.9444693333333,9.613506,6.656293,5.687043,356,297,267,36.45209,0.318926642901193
"CTBS","Ctbs",4.121638,3.679259,3.668536,110,108,200,3.82314433333333,2.629551,2.382879,1.778642,101,89,65,0,4.82314433333333
"CTC1","Ctc1",19.851289,18.887455,23.132097,315,375,707,20.6236136666667,5.524037,3.753897,4.210311,178,121,104,0,21.6236136666667
"CTCF","Ctcf",21.708034,25.756358,22.722648,806,814,1361,23.39568,5.185314,4.715037,2.839683,344,266,177,0.101874,22.1401721067926
"CTCFL","Ctcfl",0.11975,0.133973,0.065796,5,6,6,0.106506333333333,0.141649,0.171567,0.025777,5,7,1,9.30198966666667,0.107407051369268
"CTDNEP1","Ctdnep1",80.487701,75.316075,78.526556,520,514,1077,78.1101106666667,41.190826,42.409692,35.803383,836,806,669,24.483114,3.10441301116758
"CTDP1","Ctdp1",4.052164,3.314071,5.274242,154,160,296,4.21349233333333,3.02281,3.653226,1.923902,202,217,137,2.08509566666667,1.68989648835309
"CTDSP1","Ctdsp1",10.082814,12.119788,13.794305,220,275,496,11.998969,19.524832,15.548075,14.09076,827,687,607,14.9595183333333,0.81449632304066
"CTDSP2","Ctdsp2",15.698026,17.046323,17.712269,966,1051,2078,16.8188726666667,14.354545,10.392385,7.633467,1049,901,708,9.47418333333333,1.70121832887528
"CTDSPL","Ctdspl",7.603911,7.691284,8.207553,369,384,750,7.83424933333333,2.297457,1.752896,1.607035,131,108,140,1.47914066666667,3.56343206019505
"CTDSPL2","Ctdspl2",6.563339,6.690896,7.781386,281,288,553,7.01187366666667,6.994772,3.578282,3.624848,203,228,144,2.76503066666667,2.12797036093199
"CTF1","Ctf1",0.534792,5.345406,6.66142,7,6,20,4.18053933333333,4.014212,4.488737,4.172178,121,117,114,8.86493533333333,0.525146811234377
"CTH","Cth",2.666479,1.625048,1.583559,39,30,51,1.958362,1.795992,1.120818,0.684845,22,13,8,0.0255833333333333,2.88456520679288
"CTHRC1","Cthrc1",6.696403,6.374221,6.852975,59,51,99,6.64119966666667,3.591062,3.727682,2.268823,52,53,32,1.49376033333333,3.06412752040727
"CTIF","Ctif",9.715902,10.720929,9.982208,820,903,1645,10.1396796666667,15.874753,22.857479,14.600564,668,516,377,31.0851533333333,0.347191099600999
"CTLA4","Ctla4",0.306008,0,0,2,0,0,0.102002666666667,0,0,0,0,0,0,3.43044033333333,0.248734343260538
"CTNNA1","Ctnna1",24.557022,23.642984,23.858207,810,747,1398,24.0194043333333,403.417239,250.075645,187.566795,5078,3549,3255,16.7246383333333,1.41156078125901
"CTNNA2","Ctnna2",31.668069,37.835213,32.110338,1521,1750,2986,33.8712066666667,0,0.033187,0.044846,0,3,4,15.5158673333333,2.11137604600925
"CTNNA3","Ctnna3",0.512486,0.662708,0.533131,25,28,42,0.569441666666667,16.568006,6.28279,4.638654,698,494,359,249.061408666667,0.00627622500822885
"CTNNAL1","Ctnnal1",6.731002,7.143625,7.239568,183,145,384,7.038065,17.426731,20.079783,12.957703,578,565,394,27.735997,0.279721110772666
"CTNNB1","Ctnnb1",322.725456,340.85525,335.303662,4504,4707,8569,332.961456,71.289833,61.242512,46.123767,2708,2084,1536,64.161929,5.12510082382613
"CTNNBIP1","Ctnnbip1",12.538434,9.805035,9.440094,363,293,597,10.594521,11.260515,9.428155,6.255077,415,371,322,1.77870933333333,4.17262822739766
"CTNNBL1","Ctnnbl1",20.477161,21.62373,15.66493,295,250,378,19.2552736666667,13.526931,13.333767,19.214261,256,226,254,40.1402546666667,0.492346822614062
"CTNND1","Ctnnd1",20.809195,16.097678,17.792879,983,895,1788,18.2332506666667,22.417087,17.114358,16.336544,1738,1603,1466,8.42810566666667,2.03999099571681
"CTNND2","Ctnnd2",61.481738,55.689539,58.381603,2146,2212,3996,58.5176266666667,11.153818,6.996884,5.134495,413,299,269,14.550771,3.8273103415044
"CTNS","Ctns",6.539858,5.330327,6.594736,156,129,317,6.15497366666667,11.14963,10.944218,7.821779,352,261,177,0.638525,4.36671620308916
"CTPS2","Ctps2",104.730526,98.855366,100.076552,317,349,662,101.220814666667,14.514954,11.143679,12.19215,555,432,432,77.6790493333333,1.29921263071692
"CTR9","Ctr9",15.422036,19.58498,17.250533,568,622,1080,17.419183,13.390659,6.483712,5.726718,597,429,344,4.456269,3.37578352533572
"CTRB2","Ctrb1",0,0,0,0,0,0,0,0.105316,0.434042,0.07329,3,6,3,11.385578,0.0807390660330911
"CTRC","Ctrc",0,0,0,0,0,0,0,0.107757,0.031265,0.070569,3,2,5,4.425628,0.184310461388064
"CTSA","Ctsa",69.357678,58.700541,53.849524,767,757,1361,60.6359143333333,64.983475,55.189097,50.22453,1450,1248,1086,7.35334933333333,7.3785869444464
"CTSB","Ctsb",177.901232,210.263061,180.835328,4976,5584,9462,189.666540333333,209.405233,143.446003,110.76622,3702,3150,2669,0.0222183333333333,186.52232513928
"CTSC","Ctsc",4.45623,4.049484,2.87247,101,119,197,3.792728,16.128872,13.587791,13.158823,384,349,293,3.11976766666667,1.16334909824607
"CTSD","Ctsd",94.934258,95.424636,88.132924,2364,2333,4205,92.830606,121.904966,103.57203,100.89106,2634,2300,2032,0.164932666666667,80.5459480061509
"CTSE","Ctse",0,0.036364,0.044249,0,1,2,0.026871,0,0,0,0,0,0,14.0068426666667,0.068426851857446
"CTSF","Ctsf",39.163761,49.665813,40.410141,410,469,889,43.079905,9.976562,9.58705,7.526983,236,207,191,34.481015,1.24235186056543
"CTSG","Ctsg",0.088327,0,0,1,0,0,0.0294423333333333,0,0,0,0,0,0,14.680227,0.0656522595835719
"CTSH","Ctsh",11.318554,12.01629,10.48174,87,86,189,11.2721946666667,10.482557,11.161951,8.239368,172,147,114,3.81008333333333,2.5513476204501
"CTSK","Ctsk",1.056368,1.081595,1.718612,20,20,62,1.285525,1.109658,1.247345,0.839224,20,25,11,82.641718,0.0273251800016829
"CTSO","Ctso",6.590116,7.867206,7.376641,306,350,641,7.27798766666667,1.548941,1.497189,0.812119,79,81,43,11.7393773333333,0.649795311816915
"CTSS","Ctss",36.097239,37.751553,36.26843,598,611,1144,36.7057406666667,0.116133,0.319946,0.266617,5,8,7,0.203959,31.3181268354376
"CTSV","Ctsl",78.705135,89.730202,68.755546,762,850,1341,79.0636276666667,0.945486,1.122495,0.711974,43,36,40,0.0140156666666667,78.9569927749308
"CTSW","Ctsw",0.467541,0,0.179823,7,0,3,0.215788,0.156531,0,0.166361,1,0,2,1.069744,0.587409843922727
"CTSZ","Ctsz",15.940613,16.559486,15.406037,279,288,524,15.968712,62.872959,61.123307,54.099898,1830,1652,1474,3.602722,3.6866688885403
"CTTN","Cttn",73.296008,73.127486,69.431927,1038,971,1803,71.951807,52.376028,36.999145,32.0141,1934,1376,1183,0,72.951807
"CTTNBP2","Cttnbp2",49.102262,48.570801,51.570428,1434,1332,2991,49.7478303333333,3.21195,1.758549,2.258929,72,40,44,6.93814033333333,6.39291171513261
"CTTNBP2NL","Cttnbp2nl",7.212642,6.40198,6.581092,382,358,660,6.73190466666667,2.002928,1.486927,1.369518,169,152,125,21.0937546666667,0.34995883602944
"CTU1","Ctu1",1.838147,2.259467,1.728896,53,70,108,1.94217,0.577796,0.721573,0.457659,24,25,17,82.0584833333333,0.035422871715492
"CTU2","Ctu2",19.105996,28.819133,30.999134,96,114,191,26.3080876666667,6.506436,9.215729,4.727461,99,78,53,6.829,3.48806842082854
"CTXN1","Ctxn1",142.542413,188.455468,164.880642,1869,2578,4499,165.292841,2.25278,2.08189,2.167111,52,38,44,7.87655066666667,18.7339482693953
"CTXN2","Ctxn2",14.173832,20.022686,14.308152,57,80,113,16.1682233333333,0,0.01959,0.03325,0,1,2,53.5564463333333,0.31468734654082
"CTXN3","Ctxn3",2.391123,2.962712,2.602636,27,33,62,2.652157,0,0,0,0,0,0,22.4744186666667,0.155580295804556
"CUBN","Cubn",0.030625,0.08738,0.140262,5,14,16,0.086089,0.192431,0.144779,0.141693,25,19,6,7.52097633333333,0.127460628631406
"CUEDC2","Cuedc2",83.299564,95.760299,91.361172,673,712,1312,90.140345,59.596639,46.345185,40.823147,911,752,650,62.6045636666667,1.43292147207613
"CUL1","Cul1",121.37176,117.051259,118.974347,1325,1372,2429,119.132455333333,14.794716,13.353843,11.717627,886,803,666,7.687845,13.8276471706543
"CUL2","Cul2",31.766328,34.933406,34.119395,640,730,1203,33.6063763333333,7.729459,6.447941,5.080021,369,349,264,0.015443,34.0800776935124
"CUL3","Cul3",93.161168,97.457179,88.888562,1795,1687,3016,93.1689696666667,38.050051,39.938336,29.910531,729,714,524,35.5154103333333,2.57888296494655
"CUL4A","Cul4a",28.757521,46.543018,34.589691,744,805,1411,36.6300766666667,49.241797,29.622766,25.528357,1417,1308,977,40.370604,0.909584899139173
"CUL4B","Cul4b",10.502801,11.322461,9.903562,494,517,882,10.5762746666667,6.320171,4.879795,2.038323,262,235,166,1.27404433333333,5.09061081043128
"CUL5","Cul5",14.563737,19.979101,14.268618,848,884,1469,16.2704853333333,4.103285,3.536626,2.117856,238,227,168,5.33006333333333,2.72832741536551
"CUL7","Cul7",4.854105,5.356284,5.733113,270,315,602,5.31450066666667,4.853379,3.527808,2.700997,496,315,243,0.55641,4.05709335372213
"CUL9","Cul9",13.202312,11.26383,12.221808,663,692,1385,12.2293166666667,9.856546,8.582558,8.340951,280,165,153,0.011376,13.0805127535819
"CUTA","Cuta",36.926563,34.711023,31.406226,205,224,401,34.3479373333333,101.033544,105.917424,82.093876,1105,1071,848,28.142304,1.21294244042384
"CUTC","Cutc",4.275639,5.069266,5.530892,43,42,76,4.958599,11.527407,11.488954,8.267793,241,246,152,2.30541066666667,1.80268039311706
"CUX1","Cux1",20.087038,21.188604,18.835195,1032,1022,1761,20.0369456666667,24.029003,18.219081,15.111533,1850,1280,1260,4.797643,3.62853415891021
"CUX2","Cux2",22.701894,26.214371,26.455425,834,841,1854,25.1238966666667,2.374125,1.855597,1.365765,350,266,197,63.4782916666667,0.405158015068379
"CUZD1","Cuzd1",0.067246,0.171391,0.087962,2,5,5,0.108866333333333,0,0,0,0,0,0,50.4191396666667,0.0215652447808685
"CWC15","Cwc15",52.590067,52.929431,49.94631,462,456,821,51.821936,28.347779,29.263016,27.012133,319,334,293,8.20976766666667,5.73542546476833
"CWC22","Cwc22",7.198053,8.675611,7.243391,191,203,387,7.705685,2.327619,1.851505,1.831118,153,131,126,10.8916416666667,0.73208437018438
"CWC25","Cwc25",4.170781,4.66216,3.91285,172,181,308,4.248597,4.090005,1.735666,2.044059,143,101,99,23.2007396666667,0.216877544748322
"CWC27","Cwc27",7.118839,10.539116,5.057512,120,137,201,7.57182233333333,6.478912,9.111604,7.52597,216,220,188,1.50533,3.42143443511766
"CWF19L1","Cwf19l1",6.512362,8.542831,5.955888,114,144,194,7.00369366666667,4.394681,4.329474,4.513761,206,196,189,4.63678833333333,1.41990317772561
"CWF19L2","Cwf19l2",3.172569,2.670824,3.067012,175,144,315,2.970135,1.555096,0.816033,0.510435,67,50,32,0.0131736666666667,3.91851380530024
"CWH43","Cwh43",1.987959,0.958862,1.416584,39,25,62,1.45446833333333,0,0,0,0,0,0,31.442394,0.0756562026012425
"CX3CL1","Cx3cl1",213.121191,208.01952,193.444672,7620,6605,12491,204.861794333333,1.559836,0.973281,0.377111,69,62,28,34.577232,5.78633532629333
"CX3CR1","Cx3cr1",10.033296,12.821558,10.046438,510,609,953,10.9670973333333,0.137997,0.032135,0.114057,4,2,7,0.502659,7.96394746468316
"CXADR","Cxadr",6.835854,6.390003,6.753199,410,367,766,6.65968533333333,10.454618,2.698244,12.559426,302,252,249,2.38004133333333,2.26615138039732
"CXCL10","Cxcl10",2.124658,0.16313,0.36911,7,2,3,0.885632666666667,0,0,0,0,0,0,357.825509666667,0.00525501285685719
"CXCL11","Cxcl11",0.018844,0.051005,0.040171,1,1,4,0.0366733333333333,0,0,0,0,0,0,2.50092,0.29611454512909
"CXCL12","Cxcl12",15.639506,14.941005,14.307032,789,709,1410,14.9625143333333,16.84279,14.033097,12.5592,512,444,410,1.29144233333333,6.96614272204392
"CXCL13","Cxcl13",0.074423,0,0.078205,1,0,2,0.050876,0.151517,0,0,1,0,0,73.6072253333333,0.0140854454150366
"CXCL14","Cxcl14",30.111469,33.095265,30.442274,638,693,1289,31.216336,0.170967,0.321846,0.233041,6,10,7,3.05130366666667,7.95209114169093
"CXCL16","Cxcl16",0.503986,0.605221,0.698093,14,10,31,0.602433333333333,0.264517,0.344595,0.26621,6,9,8,4.715102,0.280385780224628
"CXCL17","Cxcl17",0,0.133032,0,0,1,0,0.044344,0,0,0.184883,0,0,2,14.064275,0.0693258719719336
"CXCL2","Cxcl1",0,0,0.049717,0,0,1,0.0165723333333333,0.122096,0.302256,0,2,3,0,2.392312,0.299669468295762
"CXCL3","Cxcl2",0,0,0,0,0,0,0,0.110187,0,0,1,0,0,0.0369263333333333,0.964388662775466
"CXCL6","Cxcl5",0.809586,0.452918,0.525166,15,9,18,0.59589,0.155299,0.14476,0,1,1,0,41.6432186666667,0.0374242388332538
"CXCL9","Cxcl9",0.056754,0.026057,0.035782,2,1,3,0.039531,0,0,0,0,0,0,8.541392,0.108949616575862
"CXCR1","Cxcr1",0,0,0,0,0,0,0,0,0,0,0,0,0,11.5153876666667,0.0799016400157854
"CXCR2","Cxcr2",0.162292,0.310557,0.386448,7,13,31,0.286432333333333,0.016894,0.086776,0.018928,1,5,1,12.065373,0.0984612022430078
"CXCR3","Cxcr3",0.045084,0.046157,0.04746,1,1,2,0.0462336666666667,0.029758,0,0.031839,1,0,1,2.12180833333333,0.33513705998393
"CXCR4","Cxcr4",0.299985,0.835223,0.772404,7,12,34,0.635870666666667,0.523602,0.331031,0.567209,16,10,17,7.10163833333333,0.201918500846434
"CXCR5","Cxcr5",0,0.057852,0,0,2,0,0.019284,0,0,0,0,0,0,14.5645223333333,0.0654876505793614
"CXCR6","Cxcr6",0,0,0.042748,0,0,2,0.0142493333333333,0.033922,0,0.035913,2,0,2,0.0542773333333333,0.962032760513363
"CXXC1","Cxxc1",23.465158,18.267174,26.768733,329,273,703,22.8336883333333,19.531197,12.528224,11.450258,294,168,189,12.629495,1.748684623556
"CXXC4","Cxxc4",6.15178,5.947573,5.037319,472,438,762,5.712224,2.154858,1.33997,0.901544,80,62,54,3.42448166666667,1.51706448476639
"CXXC5","Cxxc5",22.004364,25.719602,25.36199,639,694,1181,24.3619853333333,52.442819,42.30364,61.45019,652,604,581,0.255038333333333,20.2081360064699
"CXorf65","Gm614",0,0,0,0,0,0,0,0,0,0.211758,0,0,1,16.5927173333333,0.0568417022255724
"CYB561","Cyb561",21.896574,23.9011,20.467187,627,686,1191,22.088287,1.961638,1.538829,1.555368,101,93,92,3.246966,5.43641908129239
"CYB561A3","Cyb561a3",3.232663,5.460921,3.317168,110,118,195,4.003584,5.996089,4.508594,3.530492,173,152,129,6.50928133333333,0.666319954985484
"CYB561D1","Cyb561d1",5.120777,5.680109,4.935002,246,268,475,5.245296,1.027731,0.840519,0.878238,114,91,86,21.7460526666667,0.274566145235046
"CYB561D2","Cyb561d2",11.881951,13.352818,8.657111,86,90,139,11.2972933333333,2.280223,2.776212,2.446325,50,58,51,0.0419663333333333,11.8020063987992
"CYB5A","Cyb5a",48.920945,45.729095,54.57626,365,380,761,49.7421,55.396182,55.56094,59.149171,390,348,361,21.205644,2.28509922972736
"CYB5B","Cyb5b",32.038083,34.18369,29.954354,1940,2025,3446,32.058709,37.35586,35.777085,26.543246,689,655,534,0.132393333333333,29.1936626849328
"CYB5D1","Cyb5d1",20.956522,20.796828,18.334365,197,193,330,20.0292383333333,3.843518,3.025897,2.015203,174,180,126,7.33110566666667,2.52418336469705
"CYB5D2","Cyb5d2",7.666289,5.993089,3.810992,127,143,226,5.82345666666667,6.963239,7.277525,6.143211,189,204,141,107.475082,0.0629034478781649
"CYB5R1","Cyb5r1",11.147062,14.903831,13.841586,110,127,241,13.297493,77.403904,57.562577,53.199129,2063,1618,1431,4.564145,2.56957591867214
"CYB5R2","Cyb5r2",0.432658,0.368541,0.075675,7,5,2,0.292291333333333,4.492546,2.68625,0.954156,45,33,25,0.327585333333333,0.973414891597678
"CYB5R3","Cyb5r3",15.313906,20.113103,18.681431,400,514,938,18.0361466666667,98.155355,91.447211,83.085194,3981,3434,3133,15.0901876666667,1.18309040646574
"CYB5R4","Cyb5r4",21.409704,18.380481,21.250514,478,475,953,20.3468996666667,3.289388,3.845749,2.991929,114,89,88,0.087679,19.6261026154469
"CYB5RL","Cyb5rl",4.664064,1.62787,4.268243,48,38,86,3.520059,2.029221,0.934748,1.089889,61,46,50,0.907587666666667,2.36951573916306
"CYBA","Cyba",5.841075,4.943953,4.029011,42,28,56,4.938013,116.344998,132.45196,113.918934,215,171,172,0.817726333333333,3.26672551918798
"CYBB","Cybb",0.208347,0.216339,0.260007,14,11,15,0.228231,0.168897,0.330993,0.107445,14,13,9,98.6879836666667,0.0123207527610039
"CYBC1","Cybc1",7.535169,8.349024,6.614125,155,169,296,7.49943933333333,42.68166,24.787076,28.675131,394,245,248,4.13186433333333,1.65620889042728
"CYBRD1","Cybrd1",0.283565,0.340867,0.320026,21,25,46,0.314819333333333,0.597415,0.35362,0.219996,29,18,12,3122.563018,0.000420935747336132
"CYC1","Cyc1",127.046941,137.39783,121.896056,898,1090,1885,128.780275666667,121.14082,115.712235,91.154377,2209,1936,1549,5.932155,18.7214907437394
"CYCS","Cycs",18.472924,15.294254,12.315766,626,542,905,15.3609813333333,279.018706,225.197904,257.25409,2754,2784,2772,3.790856,3.41504343552245
"CYFIP1","Cyfip1",26.031315,27.131498,26.146126,903,927,1687,26.436313,14.561263,8.960103,7.389304,434,313,248,90.37186,0.300270925862733
"CYFIP2","Cyfip2",120.387892,142.537361,130.285067,10757,11869,20896,131.070106666667,47.504052,36.536118,27.698842,2034,1468,1196,26.9632556666667,4.72298748904619
"CYGB","Cygb",13.525555,16.611004,13.098357,395,491,763,14.4116386666667,1.077913,1.339048,0.876204,35,25,29,4.424325,2.84120856819359
"CYHR1","Cyhr1",36.587547,38.004408,35.523066,1254,1205,2316,36.705007,20.211237,17.721253,14.447453,826,650,523,43.233607,0.852406338917828
"CYLD","Cyld",28.975773,29.936778,27.474597,2738,2824,5126,28.795716,3.012678,3.105646,4.781434,293,207,197,33.7834526666667,0.856606050168031
"CYP11A1","Cyp11a1",1.461633,2.49455,1.837097,41,32,63,1.93109333333333,4.779304,3.518927,3.759524,132,99,83,7.943621,0.327730047296652
"CYP11B2","Cyp11b2",0,0,0.025466,0,0,1,0.00848866666666667,0,0,0,0,0,0,8.435802,0.106878955987702
"CYP17A1","Cyp17a1",0,0,0,0,0,0,0,0.021886,3.007487,0.022976,1,1,1,8.67224833333333,0.103388577871157
"CYP19A1","Cyp19a1",6.730539,0.06486,0.085402,2,2,5,2.29360033333333,0,0,0,0,0,0,0.131887666666667,2.90982968569025
"CYP1A1","Cyp1a1",0.028204,0.115473,0.014815,1,4,1,0.0528306666666667,0.236273,0.164562,0.193483,12,4,9,0.668169333333333,0.631129373756621
"CYP1A2","Cyp1a2",0,0,0,0,0,0,0,0.06297,0.031018,0.082147,4,2,5,1.46781366666667,0.405216979509933
"CYP1B1","Cyp1b1",0.610461,0.632039,0.668639,44,45,89,0.637046333333333,0.596959,1.037555,0.375142,46,25,19,0.485826,1.1017752639497
"CYP20A1","Cyp20a1",3.810341,4.69098,4.658564,106,106,217,4.38662833333333,3.183797,2.468916,1.045582,171,154,108,130.176480666667,0.0410639796551741
"CYP24A1","Cyp24a1",0,0.020624,0,0,1,0,0.00687466666666667,0,0,0,0,0,0,0.224127333333333,0.822524454155368
"CYP26A1","Cyp26a1",0.137693,0.04475,0.084212,3,1,1,0.088885,0,0,0,0,0,0,31.1436343333333,0.0338756031352314
"CYP26B1","Cyp26b1",1.750383,1.75877,1.499581,86,90,171,1.669578,0.991921,0.752256,1.298496,67,53,74,0.672494333333333,1.59616564719801
"CYP27A1","Cyp27a1",2.608134,1.800106,2.984865,36,34,81,2.46436833333333,2.076379,1.698122,1.436133,62,53,56,0.0100156666666667,3.43001445192104
"CYP27B1","Cyp27b1",0.44646,0.032077,0.148265,7,1,9,0.208934,0.353978,0.080419,0.143799,4,4,5,59.7025043333333,0.0199157186886628
"CYP2A13","Cyp2a5",0.713302,0.37372,0.710956,4,4,7,0.599326,0,0,0,0,0,0,1.690078,0.594527742318252
"CYP2B6","Cyp2b10",0,0,0,0,0,0,0,0.217743,0,0.038699,6,0,2,0,1
"CYP2C18","Cyp2c55",0,0,0.020326,0,0,1,0.00677533333333333,0,0,0,0,0,0,3.772013,0.210974977086888
"CYP2C8","Cyp2c29",0,0,0,0,0,0,0,0.393187,0.367026,0.283237,12,10,11,5.56069766666667,0.152422813976136
"CYP2E1","Cyp2e1",0.263251,0.056269,0.140624,5,1,5,0.153381333333333,2.126543,2.030051,3.623655,28,24,23,23.9037513333333,0.0463135580618149
"CYP2J2","Cyp2j6",3.8639,5.164801,4.428407,195,254,424,4.48570266666667,59.142588,54.730311,48.963463,2274,2035,1773,0.0124246666666667,5.41838108777805
"CYP2R1","Cyp2r1",0.521344,0.163196,0.456858,9,3,15,0.380466,8.300526,6.623001,8.749438,84,74,75,0.995164,0.691906028777584
"CYP2S1","Cyp2s1",2.538232,3.682934,2.563765,68,81,142,2.92831033333333,0.034971,0.018576,0.018695,2,1,1,1.01921966666667,1.94545962392403
"CYP2U1","Cyp2u1",2.119653,2.581037,2.827887,83,88,195,2.50952566666667,0.924828,0.780039,0.642477,76,63,60,26.3810006666667,0.128173754837935
"CYP2W1","Cyp2w1",0,0,0,0,0,0,0,0.018897,0.142644,0,1,1,0,4.90266933333333,0.169414877156143
"CYP39A1","Cyp39a1",0.936412,1.300529,0.936469,32,40,55,1.05780333333333,1.413251,1.164297,0.305988,21,17,13,16.4201503333333,0.118127759747041
"CYP3A5","Cyp3a16",0,0,0,0,0,0,0,0.520272,0.312971,0.47922,26,16,18,1.359759,0.423772088590403
"CYP3A7","Cyp3a13",0.148699,0.303718,0.221046,6,12,17,0.224487666666667,0.345948,0,0,7,0,0,0,1.22448766666667
"CYP46A1","Cyp46a1",60.642594,73.786257,71.81182,1550,1876,3488,68.7468903333333,4.794861,2.909402,2.72439,130,108,87,0.330825666666667,52.4087354792526
"CYP4A11","Cyp4a10",0,0,0,0,0,0,0,0.065742,0.071014,0.147687,2,3,5,243.982049,0.00408193173370021
"CYP4A22","Cyp4a12a",0,0,0,0,0,0,0,0.030244,0,0.000913,2,0,0,7.18868366666667,0.122119749731041
"CYP4B1","Cyp4b1",0.224566,0.327447,0.085218,4,6,4,0.212410333333333,0.434976,0.15088,0.152834,3,1,1,8.25485966666667,0.13100256265366
"CYP4F12","Cyp4f14",2.341109,2.524156,2.120486,62,67,109,2.32858366666667,0,0,0,0,0,0,2.62076633333333,0.919303639128328
"CYP4X1","Cyp4x1",3.429421,3.913194,3.63168,200,224,405,3.65809833333333,0,0.02343,0,0,1,0,0.477997333333333,3.15162837461141
"CYP7A1","Cyp7a1",0,0,0,0,0,0,0,0,0,0,0,0,0,5.74357433333333,0.148289312250482
"CYP7B1","Cyp7b1",3.844946,3.722443,3.931675,110,104,214,3.83302133333333,0.794597,0.551199,0.42091,28,30,27,0.331264,3.63040038139192
"CYP8B1","Cyp8b1",0.039148,0.040108,0.08251,1,1,4,0.053922,0.073857,0.052778,0.095314,6,4,7,0.345648,0.783207792825464
"CYREN","Cyren",1.47804,1.599084,1.530046,40,34,52,1.53572333333333,7.025098,14.467321,3.764241,178,136,113,26.042409,0.0937683966444459
"CYS1","Cys1",3.417208,3.423439,6.40517,59,60,178,4.41527233333333,0.056959,0.020381,0,3,1,0,10.747861,0.460958155134227
"CYSLTR1","Cysltr1",0.734515,0.336092,0.345175,18,14,25,0.471927333333333,0.727769,0.517569,0.358081,44,31,22,6.332092,0.200751345364097
"CYSLTR2","Cysltr2",0.402952,0.142035,0.191004,3,1,6,0.245330333333333,0,0,0,0,0,0,7.870422,0.140391328995772
"CYSRT1","Cysrt1",2.422994,5.338462,7.08927,9,20,53,4.950242,0.689088,0.516676,0.584315,14,9,11,0,5.950242
"CYSTM1","Cystm1",55.108553,55.936673,47.249422,283,256,452,52.7648826666667,47.061077,39.618649,38.819278,561,449,443,5.026254,8.92177506402264
"CYTH1","Cyth1",43.177045,40.714791,38.373474,745,704,1394,40.7551033333333,9.665114,7.204569,4.687586,381,312,247,9.927886,3.82096805670679
"CYTH2","Cyth2",81.581778,87.245916,75.23622,607,638,1041,81.354638,40.765987,42.601955,27.365355,1064,867,690,27.1795556666667,2.92249597453435
"CYTH3","Cyth3",7.550057,10.761,10.715418,357,355,677,9.67549166666667,4.185999,3.077766,1.824194,311,210,170,1.39947066666667,4.44910280211802
"CYTH4","Cyth4",15.672916,8.084728,4.723077,119,103,177,9.49357366666667,0.06929,0,0,2,0,0,0.249476333333333,8.3983772935275
"CYTIP","Cytip",0.154184,0.011702,0.180786,2,1,6,0.115557333333333,0.086925,0,0,1,0,0,2.647322,0.305856552652421
"CYYR1","Cyyr1",1.558082,1.372819,2.530823,121,103,219,1.82057466666667,0.019195,0.054752,0.092731,1,3,4,6.473741,0.377397967987741
"CZIB","Czib",38.286639,58.984943,43.720018,290,252,549,46.9972,16.190425,14.326441,13.605277,295,238,226,37.8143656666667,1.23658339317444
"D2HGDH","D2hgdh",12.104178,11.934436,8.951732,101,132,254,10.996782,20.332188,20.834748,9.708197,214,169,180,0.0106366666666667,11.8705192436451
"DAAM1","Daam1",9.961859,10.146082,9.61442,802,801,1466,9.90745366666667,34.484116,16.248583,10.83114,992,754,572,60.8737236666667,0.176285715814173
"DAAM2","Daam2",11.972552,9.306904,10.550628,1236,913,2137,10.610028,0.590456,1.150968,0.357683,45,28,47,5.002968,1.9340479576103
"DAB1","Dab1",23.647233,19.771571,19.057112,1148,1084,1966,20.8253053333333,1.77357,1.586366,0.658411,115,105,67,8.344845,2.33554492699808
"DAB2","Dab2",3.403304,4.133236,3.643474,115,129,249,3.72667133333333,1.600685,1.199481,0.889701,100,95,79,14.7258206666667,0.300567546427148
"DAB2IP","Dab2ip",18.819,22.421649,23.296312,1399,1477,2826,21.5123203333333,8.155461,6.444528,5.907631,995,795,714,7.83162333333333,2.54905802519507
"DACH1","Dach1",3.102742,4.23734,3.439721,211,281,447,3.59326766666667,0.104267,0.099189,0.114362,9,9,8,0.114635,4.12087155586059
"DACH2","Dach2",0.184001,0.39874,0.101948,8,12,8,0.228229666666667,0,0,0,0,0,0,126.170639,0.0096581229466549
"DACT1","Dact1",1.633764,1.831919,1.674233,73,83,153,1.71330533333333,5.106143,3.661533,3.434041,317,274,230,3.58969066666667,0.591173900463299
"DACT2","Dact2",14.462214,19.769101,16.309039,416,593,907,16.8467846666667,0.028944,0,0,1,0,0,3.509392,3.95769200518976
"DACT3","Dact3",34.864923,33.700507,32.578358,853,953,1974,33.714596,15.974377,19.550566,14.867495,772,761,615,8.67981366666667,3.58628762860828
"DAD1","Dad1",41.336151,38.443429,35.366149,394,365,650,38.3819096666667,62.077557,67.695886,46.886387,537,534,433,174.605622333333,0.22426337575862
