"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"RABGGTA","Rabggta",14.93636,11.411047,13.143359,340,323,592,13.1635886666667,24.74339,24.586672,29.81208,250,179,231,0.199968,11.8033053103638
"RABGGTB","Rabggtb",23.564088,23.897598,23.810912,365,350,630,23.7575326666667,53.396991,56.757467,65.853508,776,647,726,28.813718,0.830407420727152
"RABIF","Rabif",8.123344,9.130278,8.230511,316,348,611,8.494711,5.222188,5.548813,5.596921,244,209,233,0.0108903333333333,9.39242436782625
"RABL2B","Rabl2",70.764534,69.840182,88.40528,176,162,346,76.3366653333333,30.180767,25.02213,23.005649,436,371,401,168.484226,0.456305977013656
"RABL3","Rabl3",3.245958,3.438201,2.54473,73,82,130,3.07629633333333,4.283985,5.504228,4.674735,163,143,173,497.171137666667,0.00818252207951244
"RABL6","Rabl6",129.984461,99.613834,123.170615,1356,1329,2542,117.589636666667,21.434945,25.583309,18.756823,936,726,669,0.516735666666667,78.1874121331183
"RAC1","Rac1",142.842738,175.716697,144.36059,2830,3088,5265,154.306675,119.579489,129.161794,125.116348,2359,2070,2282,242.821017333333,0.636970006517841
"RAC2","Rac2",9.856095,9.341489,8.484568,17,20,47,9.227384,0,0,0,0,0,0,0,10.227384
"RAC3","Rac3",11.864846,17.96218,16.569054,90,107,198,15.46536,22.489769,23.888629,25.155795,233,176,224,1.392031,6.88342249745091
"RACGAP1","Racgap1",4.387007,4.146883,5.217611,140,138,319,4.58383366666667,14.908646,14.794542,8.279413,189,210,159,0.935957,2.88427566659108
"RACK1","Rack1",207.08249,213.88166,193.732872,1327,1276,2387,204.899007333333,1232.783251,1156.944915,1268.723006,6393,4903,5767,2.26752866666667,63.0136804716633
"RAD1","Rad1",7.369582,9.205763,7.013488,95,106,193,7.86294433333333,28.190071,32.232219,16.771821,290,273,226,0,8.86294433333333
"RAD17","Rad17",4.156265,4.617419,5.122668,153,164,355,4.63211733333333,16.532505,18.269116,19.687595,375,346,325,0,5.63211733333333
"RAD18","Rad18",1.360708,2.430678,1.911203,52,69,111,1.900863,2.667563,4.027443,4.344755,172,205,155,0,2.900863
"RAD21","Rad21",24.683013,25.820647,23.334076,1359,1376,2396,24.6125786666667,22.148154,30.930347,25.179069,1192,1202,1214,0.213917666666667,21.0991069410803
"RAD23A","Rad23a",40.108739,44.891633,40.162945,494,462,872,41.7211056666667,23.629461,19.425564,24.095224,382,302,375,0.0203026666666667,41.8710124577413
"RAD23B","Rad23b",45.057051,52.115386,49.771648,1994,2003,3613,48.9813616666667,25.267515,32.153925,30.09364,1509,1530,1394,0.118343333333333,44.6923231684963
"RAD50","Rad50",2.60537,6.187481,4.894979,157,200,330,4.56261,9.931597,13.683361,8.219575,446,349,317,0.899109666666667,2.92906202187025
"RAD51","Rad51",0.35767,1.528405,0.747148,6,22,30,0.877741,1.98392,4.22562,2.865736,40,48,23,0.713837666666667,1.09563527311902
"RAD51AP1","Rad51ap1",3.620009,3.077388,1.508826,22,16,38,2.73540766666667,1.338865,3.818917,1.965065,25,48,27,0,3.73540766666667
"RAD51B","Rad51b",0.083701,0.128023,0.065626,2,3,3,0.09245,6.29457,7.267882,16.111455,29,26,36,0.0112786666666667,1.08026603942995
"RAD51C","Rad51c",0.8525,1.383662,1.087089,25,32,58,1.10775033333333,11.946471,10.678552,15.380003,113,77,103,0.230449666666667,1.71299191704713
"RAD51D","Rad51d",5.347944,5.674337,4.990323,156,169,280,5.33753466666667,8.677211,7.986883,8.836252,174,131,145,0.089262,5.81819127690736
"RAD52","Rad52",11.597115,9.312088,11.372593,118,116,251,10.7605986666667,27.995504,20.131083,21.413593,291,172,243,0.001016,11.7486620260482
"RAD54B","Rad54b",0.732892,1.15058,1.718626,14,28,63,1.20069933333333,7.660106,9.809894,6.155775,122,168,113,73.0119276666667,0.0297343874523144
"RAD54L","Rad54l",0.366347,5.069978,2.135984,17,15,25,2.524103,10.660693,32.484832,10.873096,34,82,28,0.270059333333333,2.77475461776326
"RAD54L2","Rad54l2",3.422202,3.49503,3.143374,370,338,742,3.35353533333333,6.861913,7.132308,6.828404,903,749,772,0,4.35353533333333
"RAD9A","Rad9a",4.014786,3.592599,2.906621,74,78,152,3.50466866666667,9.043657,8.206399,7.86183,124,96,102,0,4.50466866666667
"RAD9B","Rad9b",1.473346,2.473163,2.456854,32,35,70,2.13445433333333,0.165327,0.50086,0.292314,8,10,8,0,3.13445433333333
"RADIL","Radil",10.964108,4.020044,9.93142,146,122,306,8.30519066666667,2.037517,1.96303,1.811427,59,31,37,99.0539926666667,0.0930016925728015
