"Hs_symbol","DRG","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","FoldChange"
"ACLY",93.47905,93.47905,254.093676,248.408509,244.338036,248.946740333333,0.37799672791892
"ACMSD",0.1359,0.1359,0.255707,0.275251,0.059046,0.196668,0.949218998084682
"ACO1",12.07429,12.07429,9.414829,8.829655,9.906688,9.383724,1.25911378230007
"ACO2",112.07659,112.07659,76.722101,90.811985,92.660824,86.7316366666667,1.28889183305255
"ACOT1",4.03522,4.03522,2.580575,3.185492,1.979403,2.58182333333333,1.40577005938316
"ACOT11",1.43219,1.43219,0.582734,0.576701,0.609753,0.589729333333333,1.52993968784623
"ACOT12",0.22999,0.22999,0.331608,0.188218,0.467097,0.328974333333333,0.92551825054058
"ACOT13",113.34151,113.34151,4.473594,5.647834,5.032359,5.05126233333333,18.8954805958669
"ACOT2",11.03935,11.03935,14.610747,12.124256,16.719956,14.4849863333333,0.777485348765457
"ACOT4",2.35213,2.35213,0.210825,0.819407,0.499504,0.509912,2.22008302470608
"ACOT6",0.09409,0.09409,0.113721,0.104565,0.160646,0.126310666666667,0.971392735929578
"ACOT7",824.49103,824.49103,141.034258,158.621084,147.569266,149.074869333333,5.50052806087401
"ACOT8",123.19957,123.19957,15.109551,19.026084,18.961389,17.699008,6.64204058311543
"ACOT9",22.4864,22.4864,19.733347,15.220957,15.831859,16.928721,1.30998747763435
"ACOX1",12.56562,12.56562,26.69153,36.454793,34.43575,32.5273576666667,0.404613454327989
"ACOX2",12.28337,12.28337,0,0.720589,0,0.240196333333333,10.7106993005677
"ACOX3",6.50234,6.50234,9.956542,12.099373,8.284384,10.113433,0.675069530720166
"ACOXL",0.63769,0.63769,0.165362,0.317846,0.200234,0.227814,1.33382580749201
"ACP1",91.26281,91.26281,61.586263,66.10944,74.714785,67.4701626666667,1.34748927717849
"ACP2",61.68864,61.68864,115.861262,97.504509,108.715051,107.360274,0.578520500972524
"ACP5",7.92408,7.92408,0.900021,1.872376,0.519606,1.09733433333333,4.25496300621599
"ACP6",6.57552,6.57552,5.681603,4.537779,4.413437,4.87760633333333,1.28887842607583
"ACPP",1.11857,1.11857,0.048184,0.022238,0,0.023474,2.06997930577621
"ACR",0.49133,0.49133,0,0.561401,0,0.187133666666667,1.25624438247757
"ACRBP",1.62036,1.62036,0.871936,1.387368,0.356541,0.871948333333333,1.39980359144528
"ACRV1",1.60991,1.60991,0.419432,0.594965,0.365907,0.460101333333333,1.78748552611874
"ACSBG1",34.69659,34.69659,0.253329,0.789068,1.028992,0.690463,21.1164574439074
"ACSBG2",0.03136,0.03136,0.326791,0.354839,0.057953,0.246527666666667,0.827386369014941
"ACSF2",12.0952,12.0952,0.770281,0.767876,3.321446,1.61986766666667,4.99842040367688
"ACSF3",29.46963,29.46963,15.821189,18.561092,20.415246,18.2658423333333,1.5815363518927
"ACSL1",41.32439,41.32439,62.19037,73.44608,83.471369,73.0359396666667,0.571673570843537
"ACSL3",27.2743,27.2743,130.996535,121.985228,113.197501,122.059754666667,0.229760737591156
"ACSL4",18.97388,18.97388,61.049607,65.37075,77.690858,68.0370716666667,0.289321078049781
"ACSL5",4.58928,4.58928,0.344508,0.341116,0.484939,0.390187666666667,4.02052192953325
"ACSL6",22.19369,22.19369,16.646079,21.155853,18.209522,18.6704846666667,1.1791112620272
"ACSM1",0.15681,0.15681,0.124507,0.048926,0,0.057811,1.09358855220829
"ACSM2A",0.01045,0.01045,2.771496,1.037998,0.161293,1.32359566666667,0.434864815120588
"ACSM2B",0.07318,0.07318,0.143928,1.678159,1.180417,1.00083466666667,0.536366156524011
"ACSM3",0.9304,0.9304,3.546028,4.370048,3.432423,3.782833,0.403610161592512
"ACSM4",0,0,0.149807,0.241539,0.10526,0.165535333333333,0.857974847609367
"ACSM5",7.64182,7.64182,0,0.179494,0,0.0598313333333333,8.15395783102594
"ACSS1",10.40166,10.40166,0.066638,0.220548,0.348834,0.212006666666667,9.40725848592692
"ACSS2",70.14587,70.14587,148.399461,146.694353,101.822483,132.305432333333,0.533705706921966
"ACSS3",5.10152,5.10152,0.627096,0.612727,1.358752,0.866191666666667,3.26950340041886
"ACTA1",1.11857,1.11857,0.242012,0.585729,0.672663,0.500134666666667,1.41225321104505
"ACTA2",82.33516,82.33516,2.655925,3.057572,5.813821,3.84243933333333,17.2093348545134
"ACTB",3647.18813,3647.18813,2178.850167,2041.670166,2557.016143,2259.17882533333,1.61411481653978
"ACTBL2",0,0,0.259337,0.108094,0,0.122477,0.890886851133698
"ACTC1",4.652,4.652,0.551692,0.56988,1.037101,0.719557666666667,3.28689180337657
"ACTG1",3916.71136,3916.71136,1435.350734,1536.991071,1807.979395,1593.4404,2.45710743405649
