"Hs_symbol","DRG","dHs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"CUL1",33.89164,33.89164,16.345965,22.077417,17.891374,18.7715853333333,706,592,703,1.76473658595173
"CUL2",26.96069,26.96069,18.804564,21.314319,18.895359,19.671414,677,589,594,1.35262590164369
"CUL3",78.4672,78.4672,59.077322,65.238579,52.07619,58.7973636666667,898,862,841,1.32894153064975
"CUL4A",47.61765,47.61765,35.721033,38.3555,30.409198,34.828577,923,822,804,1.35695174273876
"CUL4B",13.38103,13.38103,17.83253,20.022543,19.191238,19.015437,1040,1001,975,0.718496928146011
"CUL5",6.36644,6.36644,5.229009,5.570762,4.442851,5.080874,349,420,318,1.21141138592906
"CUL7",7.33866,7.33866,16.433819,15.308438,14.629868,15.457375,1149,953,928,0.506682262511488
"CUL9",22.61185,22.61185,25.967935,16.297478,23.789246,22.0182196666667,603,329,413,1.02578958503003
"CUTA",312.5307,312.5307,148.561525,119.465055,159.635429,142.554003,1049,747,1052,2.1840610045545
"CUTC",26.80388,26.80388,5.340417,6.991454,4.940828,5.75756633333333,57,72,70,4.11448125382812
"CUX1",38.38683,38.38683,10.947117,15.479264,12.671002,13.032461,864,952,764,2.80683694756037
"CUX2",0.64814,0.64814,1.764623,1.260071,1.562312,1.529002,185,105,142,0.651695807278919
"CUZD1",0.45997,0.45997,0.108938,0,0.080227,0.063055,3,0,2,1.37337202684715
"CWC15",57.69524,57.69524,35.724459,35.494587,35.529191,35.5827456666667,324,265,327,1.60445146831835
"CWC22",5.61376,5.61376,4.067946,5.403004,4.450145,4.640365,208,208,197,1.17257659743651
"CWC25",7.23412,7.23412,7.18061,8.410561,8.862929,8.15136666666667,220,182,195,0.899769433345111
"CWC27",33.2435,33.2435,10.444841,11.527407,10.188174,10.7201406666667,189,162,171,2.92176527346572
"CWF19L1",16.18268,16.18268,7.696976,4.849586,7.545415,6.69732566666667,176,110,139,2.23229219395117
"CWF19L2",5.14333,5.14333,1.466196,3.65842,1.463542,2.19605266666667,72,77,56,1.92216169153658
"CWH43",0,0,0,0,0,0,0,0,0,1
"CX3CL1",11.08117,11.08117,1.342258,1.188935,0.75241,1.09453433333333,48,42,42,5.76795033040757
"CX3CR1",20.44789,20.44789,0.021438,0.026595,0.048297,0.03211,1,1,2,20.7806241582777
"CXADR",0.64814,0.64814,14.620188,7.782836,14.196695,12.1999063333333,705,490,686,0.124859976910442
"CXADRP1",0,0,0,0,0,0,0,0,0,1
"CXCL1",0.74223,0.74223,5.795962,5.701192,5.048922,5.51535866666667,82,69,64,0.267403544322656
"CXCL10",4.71472,4.71472,0.067272,0.083433,0.151969,0.100891333333333,1,1,2,5.19099372205673
"CXCL11",0.22999,0.22999,0,0.064084,0,0.0213613333333333,0,1,0,1.20426528776626
"CXCL12",23.97086,23.97086,127.236366,224.265321,140.445352,163.982346333333,3412,4985,3561,0.15135473918857
"CXCL13",8.46768,8.46768,0.260475,0.261405,0.23604,0.25264,4,3,2,7.55818112147145
"CXCL14",20.34335,20.34335,8.404037,6.97353,16.848966,10.7421776666667,197,130,347,1.81766539443436
"CXCL16",23.60497,23.60497,0.644913,0.399637,0.95071,0.665086666666667,9,6,14,14.7769905870766
"CXCL17",0,0,0.122937,0,0,0.040979,1,0,0,0.960634172255156
"CXCL2",1.43219,1.43219,0.206221,0.179129,0.521737,0.302362333333333,1,2,3,1.86752176237693
"CXCL3",0.10454,0.10454,0.169511,0.147862,0.049846,0.122406333333333,2,2,1,0.984082116429018
"CXCL5",0.18817,0.18817,0,0.346238,0.035759,0.127332333333333,0,9,1,1.05396604432233
"CXCL6",0.04182,0.04182,0.150003,0.678997,0.225416,0.351472,3,11,3,0.770877976014301
"CXCL9",0.71087,0.71087,0,0,0,0,0,0,0,1.71087
"CXCR1",0.16726,0.16726,0,0,0.030606,0.010202,0,0,1,1.15547187592185
"CXCR2",0.25089,0.25089,0.069807,0.057547,0,0.0424513333333333,3,2,0,1.19995050128639
"CXCR3",0.30316,0.30316,0,0,0.04258,0.0141933333333333,0,0,1,1.28492266431778
"CXCR4",12.8897,12.8897,0.648308,1.927471,0.537048,1.037609,15,36,11,6.81666600412542
"CXCR5",0,0,0,0.018298,0,0.00609933333333333,0,1,0,0.993937643002779
"CXCR6",0.55406,0.55406,0.142806,0.112776,0.07366,0.109747333333333,5,3,2,1.40037281759632
"CXorf38",4.33838,4.33838,3.366784,3.768814,3.317894,3.48449733333333,211,196,184,1.19040766516232
"CXorf51A",0,0,0,0,0,0,0,0,0,1
"CXorf51B",0,0,0,0,0,0,0,0,0,1
"CXorf56",15.61817,15.61817,12.586831,8.845269,13.718765,11.716955,215,136,215,1.30677272979263
"CXorf58",0.1359,0.1359,0,0.058282,0,0.0194273333333333,0,1,0,1.11425303487383
"CXorf65",0.29271,0.29271,1.781451,0.349926,0,0.710459,2,1,0,0.75576789621967
"CXorf66",0,0,0,0,0,0,0,0,0,1
"CXXC1",59.7024,59.7024,45.857997,34.234483,39.38496,39.8258133333333,430,300,357,1.48686321333953
"CXXC1P1",0,0,0,0.091331,0,0.0304436666666667,0,2,0,0.970455768081774
"CXXC4",2.08033,2.08033,6.596662,4.421592,3.172508,4.730254,252,197,218,0.537555577815573
"CXXC5",39.85038,39.85038,73.818976,111.44151,74.990349,86.7502783333333,902,994,776,0.465529919401775
"CYB561",39.37996,39.37996,5.718094,7.67777,6.29602,6.56396133333333,235,134,210,5.33846726873802
"CYB561D1",15.30455,15.30455,6.49322,6.396354,8.073261,6.98761166666667,414,256,368,2.04122967920949
"CYB561D2",30.63002,30.63002,7.831353,6.978186,9.952434,8.253991,110,79,126,3.41798689884181
"CYB5A",122.34235,122.34235,11.093205,11.485801,19.193194,13.9240666666667,125,97,106,8.26466088331599
"CYB5B",69.4141,69.4141,35.22898,47.086134,37.890194,40.068436,606,597,581,1.7145551878333
"CYB5D1",9.46081,9.46081,5.44481,4.408877,3.733143,4.52894333333333,154,133,158,1.89200890103775
"CYB5D2",29.04102,29.04102,19.813544,14.117112,19.69125,17.8739686666667,393,247,376,1.59166418735533
"CYB5R1",303.2267,303.2267,31.35302,20.468,31.382529,27.7345163333333,589,328,538,10.5875002895762
"CYB5R2",48.85122,48.85122,7.984688,8.461609,11.744551,9.39694933333333,107,70,112,4.79479301107812
"CYB5R3",472.27721,472.27721,68.224128,73.166958,72.068923,71.1533363333333,1748,1437,1640,6.55932537635624
"CYB5R4",7.37002,7.37002,2.973937,2.673368,4.134317,3.26054066666667,201,176,198,1.96454409307363
"CYB5RL",1.3381,1.3381,2.718029,3.958511,2.674389,3.11697633333333,152,166,114,0.567916793951289
"CYBA",254.81455,254.81455,452.887482,386.082437,689.904269,509.624729333333,613,413,581,0.500983472410333
"CYBB",15.69135,15.69135,0.224118,0.057029,0.154389,0.145178666666667,9,3,9,14.5753239087001
"CYBRD1",34.72796,34.72796,7.834289,10.976795,9.419847,9.41031033333333,360,438,371,3.43197838066371
"CYC1",300.31006,300.31006,35.458272,32.749571,35.731586,34.6464763333333,405,303,381,8.45273056395317
"CYCS",83.94506,83.94506,66.853693,66.522142,79.742843,71.0395593333333,1413,1217,1410,1.17914463644831
"CYCSP2",0,0,0,0,0,0,0,0,0,1
"CYCSP42",0,0,0,0,0,0,0,0,0,1
"CYCSP52",0,0,2.978821,6.166727,2.249749,3.79843233333333,3,5,2,0.208401396650587
"CYCTP",0,0,0,0,0,0,0,0,0,1
"CYFIP1",44.82645,44.82645,39.464461,39.155047,42.826239,40.4819156666667,1172,1077,911,1.10473321358262
"CYFIP2",146.12504,146.12504,40.959761,40.321905,31.894305,37.7253236666667,1426,1093,1331,3.79919458559981
"CYGB",19.86247,19.86247,4.852599,3.49052,5.561091,4.63473666666667,116,76,114,3.70247470896303
"CYHR1",73.03116,73.03116,25.286568,20.519622,24.65333,23.4865066666667,853,597,618,3.02334510217328
"CYLC1",0,0,0.033597,0,0,0.011199,1,0,0,0.988925028604656
"CYLC2",0,0,0.065178,0,0.088232,0.0511366666666667,2,0,2,0.951351077087978
"CYLD",9.74306,9.74306,5.365613,3.521966,5.831769,4.90644933333333,309,259,300,1.81886940761026
"CYMP",0.17772,0.17772,0,0,0,0,0,0,0,1.17772
"CYP11A1",2.73893,2.73893,0.253396,0.307201,0.392584,0.317727,5,3,4,2.83740865900145
"CYP11B1",0,0,0,0,0,0,0,0,0,1
"CYP11B2",0,0,0,0,0,0,0,0,0,1
"CYP17A1",0.68996,0.68996,0.031183,0,0.130961,0.054048,1,0,3,1.6033045933392
"CYP19A1",3.13618,3.13618,0.291198,0.453446,2.257357,1.000667,10,4,15,2.06740052192594
"CYP1A1",0.5436,0.5436,0.919475,1.128616,2.378147,1.47541266666667,32,26,48,0.623572796885853
"CYP1A2",0,0,0.170482,0.188528,0.19631,0.185106666666667,8,7,8,0.843805902141017
"CYP1B1",23.52134,23.52134,2.871789,4.186667,3.176905,3.411787,199,257,192,5.55814231285418
"CYP1D1P",0,0,0,0,0,0,0,0,0,1
"CYP20A1",4.42201,4.42201,4.681158,5.241896,4.197514,4.706856,373,260,247,0.950087053186553
"CYP21A1P",0.43907,0.43907,1.212897,0.610649,1.10699,0.976845333333333,35,14,28,0.727962868786228
"CYP21A2",0.53315,0.53315,0.793568,0.427234,0.312251,0.511017666666667,16,10,8,1.01464730282218
"CYP24A1",0.60633,0.60633,0.277397,0,0,0.0924656666666667,2,0,0,1.47037115125205
"CYP26A1",0.03136,0.03136,0.104507,3.037109,0.057299,1.066305,1,48,1,0.499132509479482
"CYP26B1",5.51968,5.51968,2.080002,1.276269,1.200411,1.518894,72,41,51,2.58831058393088
"CYP26C1",0.04182,0.04182,0.015944,0.348069,0,0.121337666666667,1,13,0,0.929086778202106
"CYP27A1",57.16209,57.16209,5.73891,5.778259,7.541647,6.35293866666667,143,101,173,7.91004693996269
"CYP27B1",0.18817,0.18817,2.470167,4.933939,4.622141,4.008749,44,39,35,0.237218914343681
"CYP27C1",0.58542,0.58542,5.068062,7.782415,5.073681,5.97471933333333,344,453,282,0.227309505118438
"CYP2A13",0,0,0,0,0,0,0,0,0,1
"CYP2A6",0.21953,0.21953,0.487197,1.027688,0.32964,0.614841666666667,5,8,2,0.755200974295726
"CYP2A7",0.06272,0.06272,0.218414,0.168916,0.176946,0.188092,1,4,1,0.894476185345916
"CYP2A7P1",0,0,0,0,0,0,0,0,0,1
"CYP2AB1P",0.02091,0.02091,0,0,0,0,0,0,0,1.02091
"CYP2AC1P",0,0,0,0,0,0,0,0,0,1
"CYP2B6",0.09409,0.09409,0.146378,0.184975,0.045292,0.125548333333333,4,3,1,0.972050659752506
"CYP2C18",0.11499,0.11499,0,0,0,0,0,0,0,1.11499
"CYP2C19",0.03136,0.03136,0.05977,0.444545,0.019785,0.1747,4,3,1,0.877977355920661
"CYP2C56P",0,0,0,0,0,0,0,0,0,1
"CYP2C58P",0,0,0,0,0,0,0,0,0,1
"CYP2C8",1.00358,1.00358,2.51085,1.879474,2.075946,2.15542333333333,60,34,50,0.634963929826637
"CYP2C9",0.04182,0.04182,0.05424,0.164619,0,0.072953,2,2,0,0.970983817557712
"CYP2D6",0.70041,0.70041,3.499556,2.192026,2.887001,2.85952766666667,87,55,73,0.440574636810048
"CYP2E1",3.97249,3.97249,3.614062,2.074744,3.615993,3.10159966666667,60,25,46,1.21232943341862
"CYP2F1",0.03136,0.03136,0.03617,0.052159,0.036834,0.041721,1,1,1,0.99005395878551
"CYP2G1P",0.04182,0.04182,0.130245,0.735627,0.3057,0.390524,4,13,8,0.749228348449937
"CYP2J2",14.7714,14.7714,0.398855,0.37569,0.494546,0.423030333333333,10,7,11,11.0829682478073
"CYP2R1",18.69163,18.69163,19.593182,19.435823,24.444291,21.1577653333333,229,173,214,0.888701080806945
"CYP2S1",1.91307,1.91307,0.22859,0.093921,0.777335,0.366615333333333,3,3,8,2.13159469892284
"CYP2U1",15.1582,15.1582,4.415574,3.448767,5.163233,4.34252466666667,312,189,315,3.02445023807096
"CYP2W1",1.48446,1.48446,0.100297,0,0.677167,0.259154666666667,3,0,7,1.97311741422288
"CYP39A1",1.63081,1.63081,0.393307,0.488533,0.130697,0.337512333333333,6,6,4,1.96694261012422
"CYP3A4",0.01045,0.01045,0.029497,0.036594,0,0.0220303333333333,1,1,0,0.988669286071418
"CYP3A43",0.01045,0.01045,0.040975,0.214199,0.350351,0.201841666666667,1,3,6,0.840751346891229
"CYP3A5",0.64814,0.64814,1.415214,2.025114,1.563286,1.66787133333333,79,67,56,0.617773420857128
"CYP3A7",0,0,0,0,0,0,0,0,0,1
"CYP46A1",12.69107,12.69107,3.675951,1.371857,3.893764,2.980524,86,47,87,3.43951449608142
"CYP4A11",0.11499,0.11499,0.318901,0.211435,0.274469,0.268268333333333,11,5,8,0.87914360919942
"CYP4A22",0.06272,0.06272,0.109607,0.078275,0.097782,0.0952213333333333,3,2,3,0.970324415399749
"CYP4B1",75.60282,75.60282,0.267973,0.2521,0.550214,0.356762333333333,1,1,2,56.4600137533299
"CYP4F11",2.50894,2.50894,0,0.059791,0.052272,0.0373543333333333,0,2,2,3.38258576384861
"CYP4F12",12.14747,12.14747,0.18376,0,0,0.0612533333333333,1,0,0,12.3886253988994
"CYP4F2",0.03136,0.03136,0,0,0,0,0,0,0,1.03136
"CYP4F22",0.05227,0.05227,0,0,0,0,0,0,0,1.05227
"CYP4F27P",0,0,0,0,0,0,0,0,0,1
"CYP4F29P",4.4011,4.4011,0,0.0726,0,0.0242,0,1,0,5.2734817418473
"CYP4F3",0.45997,0.45997,0.02773,0.597096,0.058123,0.227649666666667,2,4,4,1.18923992702587
"CYP4F30P",0,0,0,0.025907,0.09547,0.040459,0,1,3,0.961114277448703
"CYP4F32P",0,0,0,0,0,0,0,0,0,1
"CYP4F44P",0,0,0,0,0,0,0,0,0,1
"CYP4F60P",0,0,2.298242,3.435253,3.307252,3.01358233333333,11,14,15,0.249153976908575
"CYP4F8",0,0,0.069358,0.068311,0.127601,0.0884233333333333,3,3,5,0.918760163784312
"CYP4V2",10.81982,10.81982,4.517025,3.982374,3.891684,4.130361,291,209,251,2.30389635349247
"CYP4X1",5.21651,5.21651,3.362908,1.52247,2.322802,2.40272666666667,77,40,67,1.8269201757806
"CYP4Z1",1.14993,1.14993,0.084941,0.039925,0.718922,0.281262666666667,3,1,3,1.6779775575552
"CYP4Z2P",0.04182,0.04182,0.070548,0,0,0.023516,1,0,0,1.0178834527257
"CYP51A1",64.93982,64.93982,34.164164,35.370925,36.55697,35.3640196666667,1137,1027,1119,1.81332593603353
"CYP7A1",0.03136,0.03136,0,0,0,0,0,0,0,1.03136
"CYP7B1",1.22311,1.22311,0.754025,1.086985,0.831101,0.890703666666667,84,73,77,1.17581091061159
"CYP8B1",0.05227,0.05227,0.020782,0.022017,0.040249,0.0276826666666667,1,1,2,1.02392502484554
"CYS1",4.62064,4.62064,0.218183,0.88188,0.158582,0.419548333333333,8,15,5,3.95945658771746
"CYSLTR1",2.3835,2.3835,0.742283,1.437162,0.713799,0.964414666666667,34,53,29,1.72239601822019
"CYSLTR2",5.51968,5.51968,0.036943,0.051741,0.015563,0.034749,1,3,1,6.30073573397993
"CYSTM1",344.61381,344.61381,18.065709,14.342756,18.50121,16.9698916666667,161,103,146,19.2329378724691
"CYTH1",45.70458,45.70458,19.42219,29.984336,17.352197,22.2529076666667,657,635,396,2.00854794890669
"CYTH2",42.15025,42.15025,137.478312,119.745693,116.530172,124.584725666667,2240,1733,1788,0.343594730736058
"CYTH3",25.05807,25.05807,24.010468,33.166836,23.819462,26.998922,984,810,807,0.930681188368609
"CYTH4",21.12739,21.12739,0.283389,0.098325,0.27447,0.218728,4,1,1,18.1561349209996
"CYTIP",2.50894,2.50894,0,0,0,0,0,0,0,3.50894
"CYTL1",6.59643,6.59643,97.517354,113.759767,139.462476,116.913199,575,547,574,0.0644239157653589
"CYYR1",6.82642,6.82642,1.080946,1.062761,1.102923,1.08221,48,38,43,3.75870829551294
"D2HGDH",28.70649,28.70649,67.736616,65.169404,58.069864,63.658628,364,245,320,0.459435823475871
"DAAM1",10.12986,10.12986,30.45521,31.985587,30.784498,31.0750983333333,871,564,773,0.346993792016954
"DAAM2",11.3007,11.3007,40.358395,72.538141,41.553793,51.483443,1211,1705,959,0.234372962154941
"DAB1",3.16754,3.16754,13.726966,21.421908,10.589828,15.246234,640,770,544,0.256523450296235
"DAB2",10.99753,10.99753,21.862591,19.340124,15.075333,18.7593493333333,918,899,688,0.607182442984627
"DAB2IP",28.61241,28.61241,25.405919,23.348192,14.191223,20.981778,863,830,726,1.34713443107286
"DACH1",1.81898,1.81898,5.6391,4.541041,5.66482,5.28165366666667,427,276,372,0.448763995850137
"DACH2",0.20908,0.20908,1.327789,1.072036,1.535464,1.311763,84,39,92,0.523012090772281
"DACT1",4.70427,4.70427,2.169838,6.51575,2.540568,3.742052,95,221,99,1.20291173525723
"DACT2",0.01045,0.01045,0.710541,0.669623,0.368558,0.582907333333333,23,17,12,0.638350697303401
"DACT3",11.39478,11.39478,10.725932,11.848839,10.548523,11.041098,328,264,260,1.02937290270372
"DAD1",348.41904,348.41904,178.384398,165.91627,215.913617,186.738095,975,756,1000,1.86120478105416
"DAG1",34.27844,34.27844,117.155928,93.757804,104.44619,105.119974,8885,5559,7089,0.332439206967767
"DAGLA",5.89602,5.89602,18.245595,17.933113,16.602521,17.593743,1668,1316,1320,0.370878526179479
"DAGLB",15.23138,15.23138,11.044766,10.69636,13.199316,11.646814,400,263,381,1.28343628679919
"DALRD3",54.9354,54.9354,9.05529,8.324287,9.073083,8.81755333333333,145,103,129,5.6974887836956
"DANCR",63.6958,63.6958,77.795206,85.006743,71.376442,78.0594636666667,274,211,253,0.818318225288913
"DAND5",0.15681,0.15681,0.066432,0.174127,0,0.0801863333333333,2,3,0,1.07093560092564
"DAO",0.05227,0.05227,0.232578,0.189213,0.061887,0.161226,3,4,1,0.906171580725888
"DAOA",0,0,0,0,0,0,0,0,0,1
"DAP",41.07349,41.07349,78.383869,92.936211,66.599122,79.3064006666667,1559,1478,1458,0.523912037530325
"DAP3",136.74786,136.74786,211.988593,216.271177,252.490527,226.916765666667,860,634,823,0.604377916635845
"DAPK1",15.73317,15.73317,30.057853,18.061364,12.161597,20.0936046666667,889,569,675,0.793281673020199
"DAPK2",12.47154,12.47154,0.986864,2.049641,1.268729,1.435078,37,43,25,5.53228274412565
"DAPK3",77.09774,77.09774,43.466527,51.987501,44.069924,46.507984,689,629,577,1.64388663598102
"DAPL1",95.98799,95.98799,0,0,0,0,0,0,0,96.98799
"DAPP1",0.87813,0.87813,0,0,0.026289,0.008763,0,0,1,1.86181491589204
"DARS2",4.15021,4.15021,5.020683,5.865994,4.646398,5.17769166666667,198,199,169,0.833678706852479
"DAXX",22.77911,22.77911,13.307069,17.330569,12.897244,14.5116273333333,247,242,229,1.53298615864117
"DAZ1",0,0,0,0,0,0,0,0,0,1
"DAZ2",0,0,0,0,0,0,0,0,0,1
"DAZ3",0,0,0,0,0,0,0,0,0,1
"DAZ4",0,0,0,0,0,0,0,0,0,1
"DAZAP1",73.04161,73.04161,37.161748,37.591407,33.321258,36.0248043333333,837,718,649,1.9997839646472
"DAZAP2",199.58644,199.58644,44.935582,44.441977,49.135506,46.1710216666667,668,575,752,4.25232341621602
"DAZL",0.02091,0.02091,0,0,0,0,0,0,0,1.02091
"DBF4",1.80853,1.80853,6.202458,10.298764,6.182981,7.561401,105,122,104,0.328045608423201
"DBF4B",4.63109,4.63109,8.063075,8.752862,4.931421,7.24911933333333,235,218,151,0.682629232583131
"DBH",0.21953,0.21953,0.979817,0.680319,0.545807,0.735314333333333,41,23,20,0.702771812906903
"DBI",612.47487,612.47487,92.203601,114.186601,103.125778,103.171993333333,558,558,569,5.8890576091501
"DBIL5P",0.81541,0.81541,1.439749,4.078125,3.808995,3.10895633333333,9,11,8,0.441817788442467
"DBIL5P2",0.1359,0.1359,0.054958,3.582575,0,1.212511,1,2,0,0.5133985774534
"DBN1",85.22044,85.22044,187.65025,230.322099,160.195614,192.722654333333,3354,2958,2864,0.445071539499159
"DBNDD1",122.46779,122.46779,13.42641,12.875864,14.921129,13.7411343333333,380,310,376,8.37573196255385
"DBNDD2",161.24142,161.24142,3.349609,3.851727,4.000873,3.73406966666667,52,48,54,34.2710250215301
"DBNL",146.38639,146.38639,42.776773,50.635818,38.365715,43.926102,1908,1400,1368,3.28064050604702
"DBP",10.69437,10.69437,1.286608,0.601596,1.220697,1.03630033333333,19,13,15,5.74294950924888
"DBR1",5.16424,5.16424,5.433696,7.179601,5.62394,6.079079,115,137,122,0.870768640948914
"DBT",5.25833,5.25833,2.296493,3.23892,2.037872,2.52442833333333,288,256,211,1.77570074012003
"DBX1",0.04182,0.04182,0,0,0,0,0,0,0,1.04182
"DBX2",0.12545,0.12545,0.049546,0,0.028384,0.0259766666666667,2,0,1,1.09695477155101
"DCAF10",11.81294,11.81294,5.03289,6.048157,5.847077,5.642708,329,299,291,1.92887298372892
"DCAF11",41.81572,41.81572,21.239309,19.078687,22.396658,20.9048846666667,488,346,437,1.95461974128328
"DCAF12",9.01129,9.01129,13.964569,14.286783,12.570969,13.6074403333333,569,518,501,0.685355529206224
"DCAF12L1",0.07318,0.07318,0,0.025231,0,0.00841033333333333,0,1,0,1.06422947536899
"DCAF12L2",1.97579,1.97579,0.172651,0.344017,0.143127,0.219931666666667,7,11,5,2.43930875909716
"DCAF13",23.04046,23.04046,25.200889,23.835923,25.053915,24.696909,554,481,562,0.935538978637469
"DCAF13P1",0,0,0.05896,0.071777,0,0.043579,1,1,0,0.958240823167197
"DCAF15",38.40774,38.40774,25.213328,21.834882,29.193011,25.4137403333333,385,296,356,1.49194091797248
"DCAF16",7.8509,7.8509,13.142165,13.174651,11.464961,12.5939256666667,672,522,569,0.651092275846636
"DCAF17",2.82256,2.82256,9.091449,19.123687,7.918094,12.04441,344,288,257,0.29304200036644
"DCAF4",16.32904,16.32904,12.894693,8.681649,11.716876,11.0977393333333,193,122,172,1.43241968788769
"DCAF4L1",0.06272,0.06272,0.110952,0.103,0.218475,0.144142333333333,8,6,14,0.928835485794745
"DCAF4L2",0.01045,0.01045,0.06141,0.025329,0,0.028913,3,1,0,0.982055820074195
"DCAF5",10.81982,10.81982,17.260066,17.386007,15.220251,16.622108,1006,859,888,0.670738143245973
"DCAF6",65.66114,65.66114,15.086807,15.767536,19.217065,16.6904693333333,491,497,486,3.76819510799487
"DCAF7",14.39506,14.39506,33.369143,28.139393,37.723037,33.077191,2439,1970,2324,0.451770217797588
"DCAF8",54.13045,54.13045,116.076233,127.900754,111.687459,118.554815333333,1806,1367,1455,0.461131154326905
"DCAF8L1",0,0,0,0,0,0,0,0,0,1
"DCAF8L2",0,0,0,0.042556,0.039745,0.0274336666666667,0,1,1,0.973298843948077
"DCAKD",37.01737,37.01737,11.118655,11.885569,11.028626,11.3442833333333,289,208,256,3.07975513631816
"DCBLD1",2.23714,2.23714,5.678176,13.126413,10.42056,9.74171633333333,110,222,111,0.301361523572785
"DCBLD2",6.34554,6.34554,49.616113,100.399141,42.493188,64.1694806666667,2688,3960,2310,0.112714416700226
"DCC",0.17772,0.17772,1.091753,1.648398,1.055652,1.26526766666667,134,108,118,0.519903240279331
"DCD",0,0,0,0,0,0,0,0,0,1
"DCDC1",0.05227,0.05227,0.275664,0.087633,0.053766,0.139021,11,5,3,0.923837225125788
"DCDC2",0.12545,0.12545,1.087659,0.347188,0.5157,0.650182333333333,73,18,32,0.682015542928893
"DCDC2B",0.02091,0.02091,0.841933,0.774617,0.736719,0.784423,20,17,16,0.572123313810683
"DCDC2C",0.50179,0.50179,0.154093,0.086379,0,0.0801573333333333,5,2,0,1.39034375239163
"DCHS1",0.62724,0.62724,10.96321,8.359734,8.17993,9.16762466666667,1889,1151,1225,0.160041312828424
"DCHS2",0.57497,0.57497,0.902811,0.662067,0.829521,0.798133,84,69,93,0.875891827801392
"DCK",9.69079,9.69079,68.708126,103.977959,85.771698,86.1525943333333,172,159,146,0.122667490070472
"DCLK1",18.69163,18.69163,14.444588,10.350114,15.540934,13.445212,1358,789,1268,1.36319425426224
"DCLK2",14.16508,14.16508,9.066366,8.418202,9.019606,8.83472466666667,342,213,300,1.54199334643295
"DCLK3",2.68666,2.68666,0.023822,0.059055,0.013404,0.0320936666666667,2,4,1,3.57202075651402
"DCLRE1A",2.27896,2.27896,1.677394,1.984235,1.703242,1.78829033333333,113,106,102,1.17597509871939
"DCLRE1B",1.65172,1.65172,2.20815,3.299428,2.038335,2.51530433333333,109,116,88,0.754335826589884
"DCLRE1C",2.77029,2.77029,23.427955,24.543788,43.778482,30.5834083333333,159,158,142,0.119375653197657
"DCN",839.53424,839.53424,144.447583,278.884891,53.478969,158.937147666667,418,646,219,5.25540346481482
"DCP1A",2.54031,2.54031,5.904166,6.863114,6.252837,6.340039,381,362,339,0.482328499889442
"DCP1B",7.06686,7.06686,6.246366,6.67148,7.021985,6.64661033333333,109,115,116,1.05495894891292
"DCP2",8.01816,8.01816,2.442268,4.263516,2.932231,3.21267166666667,353,433,337,2.14072225741147
"DCPS",15.28365,15.28365,9.615738,9.189302,10.461931,9.755657,265,221,250,1.51396144373142
"DCST1",0.06272,0.06272,0.030649,0.12472,0.241966,0.132445,1,2,3,0.938429680911656
"DCST2",1.3381,1.3381,0.259589,0.245442,0.403443,0.302824666666667,9,7,13,1.79463903303438
"DCSTAMP",0.07318,0.07318,0,0.514263,0.155287,0.223183333333333,0,5,1,0.877366434576447
"DCT",0.11499,0.11499,0.039092,0.035288,0.053356,0.0425786666666667,3,1,3,1.06945407157126
"DCTD",68.44188,68.44188,23.123784,27.360951,31.395395,27.2933766666667,458,350,464,2.45435109489111
"DCTN1",405.30933,405.30933,153.470454,107.073016,167.922075,142.821848333333,3987,2681,3025,2.82508766719716
"DCTN2",538.04289,538.04289,287.943166,291.281609,260.415052,279.879942333333,1287,1011,1258,1.91912204738455
"DCTN3",315.17555,315.17555,44.258298,38.256832,42.097102,41.5374106666667,406,268,354,7.43288190429895
"DCTN4",38.38683,38.38683,20.690121,25.770958,21.40594,22.6223396666667,953,757,950,1.66735516277325
"DCTN5",27.55656,27.55656,19.080749,26.56796,21.908015,22.518908,1782,1596,1501,1.2141958291601
"DCTN6",102.68896,102.68896,23.771371,25.869067,23.602158,24.4141986666667,263,229,241,4.07996181032451
"DCTPP1",78.96899,78.96899,10.795111,13.645601,13.470247,12.6369863333333,117,115,128,5.86412481799803
"DCUN1D1",6.6487,6.6487,9.120783,11.108795,10.746499,10.325359,356,361,330,0.67536048967631
"DCUN1D2",12.53426,12.53426,12.86591,16.390825,16.481402,15.2460456666667,242,191,234,0.833080263203331
"DCUN1D3",1.9967,1.9967,2.608541,3.139738,2.640692,2.79632366666667,169,151,155,0.789368942988791
"DCUN1D4",18.09575,18.09575,15.406544,20.002439,13.756998,16.3886603333333,662,608,571,1.09817258109265
"DCUN1D5",38.67954,38.67954,34.31104,39.113413,47.175971,40.2001413333333,282,289,262,0.963092327256094
"DCX",1.04539,1.04539,30.791213,26.795322,32.794679,30.1270713333333,4247,2845,4153,0.065710968375288
"DCXR",411.64442,411.64442,65.451786,46.30327,57.430358,56.395138,190,103,173,7.18953615896873
"DDA1",21.71281,21.71281,38.479261,36.899154,32.807526,36.0619803333333,467,408,442,0.612833145874081
"DDAH1",51.37061,51.37061,13.283905,16.989388,13.467987,14.5804266666667,786,814,706,3.36130782041057
