"Hs_symbol","DRG","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"ACTL8",0.02091,0.02091,0.040507,0,0,0.0135023333333333,1.00730897840393
"ACTL9",0,0,0,0,0,0,1
"ACTN1",19.08888,19.08888,60.429453,20.280129,28.820641,36.5100743333333,0.5355595891781
"ACTN2",5.38377,5.38377,14.750099,6.175347,6.173399,9.03294833333333,0.6362805615963
"ACTN4",154.94816,154.94816,127.535578,103.462361,102.995419,111.331119333333,1.38828991401071
"ACTR10",226.8921,226.8921,157.59723,204.668492,146.120837,169.462186333333,1.33690705781729
"ACTR1A",278.2209,278.2209,121.577592,133.893846,110.388319,121.953252333333,2.27095172109003
"ACTR1B",132.78582,132.78582,35.74644,38.012808,33.295135,35.6847943333333,3.64690118702496
"ACTR2",57.96704,57.96704,90.042114,90.869445,84.111564,88.341041,0.660021859382632
"ACTR3",75.04877,75.04877,90.295305,79.77323,77.820988,82.629841,0.909349690142302
"ACTR3B",30.56729,30.56729,17.121055,10.72034,9.94134,12.594245,2.32210689155595
"ACTR3C",5.16424,5.16424,2.335739,0.036714,0.337758,0.903403666666667,3.23853531857229
"ACTR5",6.39781,6.39781,2.258189,2.089738,1.574489,1.97413866666667,2.48737897896713
"ACTR6",37.71778,37.71778,29.796825,19.749229,23.008826,24.18496,1.53733736325172
"ACTR8",13.86191,13.86191,16.878315,19.754835,16.982766,17.871972,0.787512296012309
"ACTRT1",0,0,0,0,0,0,1
"ACTRT2",0,0,0,0,0,0,1
"ACTRT3",2.62394,2.62394,1.932933,1.298673,1.10969,1.44709866666667,1.48091290693087
"ACVR1",8.99038,8.99038,10.293467,6.920874,8.64507,8.61980366666667,1.03852223456674
"ACVR1B",13.88282,13.88282,48.344712,56.21844,50.405514,51.656222,0.282641242282821
"ACVR1C",0.08363,0.08363,0.085592,0.01581,0.078937,0.060113,1.02218348421348
"ACVR2A",5.34196,5.34196,21.953394,22.142775,18.03743,20.7111996666667,0.292105461575983
"ACVR2B",1.01403,1.01403,5.621371,6.286207,4.135278,5.34761866666667,0.31728906630392
"ACVRL1",15.74362,15.74362,0.977561,0.665953,0.737498,0.793670666666667,9.33483515740162
"ACY1",23.16591,23.16591,11.585949,14.971368,6.534318,11.030545,2.00871282223706
"ACY3",3.93068,3.93068,0,0.060569,0.057567,0.0393786666666667,4.74387262133531
"ACYP1",33.84983,33.84983,51.832918,41.241443,48.301687,47.1253493333333,0.724147055195748
"ACYP2",88.38798,88.38798,18.41451,13.003516,14.903801,15.440609,5.43702365283427
"ADA",1.589,1.589,2.258658,0.858817,1.431334,1.51626966666667,1.02890402976152
"ADAD1",0.01045,0.01045,0,0,0,0,1.01045
"ADAD2",0.99312,0.99312,0.178842,0.074922,0.070358,0.108040666666667,1.79877874518444
"ADAL",6.65915,6.65915,8.23178,6.902908,8.197069,7.77725233333333,0.872613627719563
"ADAM10",13.71556,13.71556,48.401335,37.964021,33.127324,39.8308933333333,0.360402597118456
"ADAM11",52.30101,52.30101,12.135299,18.856095,12.260095,14.417163,3.45725150600016
"ADAM12",0.11499,0.11499,5.204425,0.663844,0.321587,2.06328533333333,0.363985028709917
"ADAM15",99.64686,99.64686,18.325861,18.913974,21.753602,19.664479,4.87052492346891
"ADAM17",9.50262,9.50262,9.314443,10.543808,8.210981,9.35641066666667,1.01411776126298
"ADAM18",0.01045,0.01045,0.035333,0,0,0.0117776666666667,0.998687788127365
"ADAM19",6.81596,6.81596,12.802374,10.819058,9.049793,10.8904083333333,0.657333186623111
"ADAM2",0,0,0,0,0,0,1
"ADAM20",0.14636,0.14636,0.114799,0.050835,0.079841,0.081825,1.05965382571118
"ADAM21",0.53315,0.53315,0.189499,0.210079,0.228701,0.209426333333333,1.26766712262205
"ADAM21P1",0.09409,0.09409,0.042586,0.029771,0.053179,0.0418453333333333,1.05014627891024
"ADAM22",19.30841,19.30841,7.358498,6.092743,6.007486,6.48624233333333,2.71276417403355
"ADAM23",51.57969,51.57969,27.791034,31.634925,27.866773,29.0975773333333,1.74697416398919
"ADAM28",7.84045,7.84045,0.355878,0.070795,0.656699,0.361124,6.49496298647295
"ADAM29",0.09409,0.09409,1.590352,2.275208,1.575598,1.81371933333333,0.388841199276213
"ADAM30",0,0,0,0,0,0,1
