"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"NBEAL2","Nbeal2",7.029939,2.849151,8.376033,402,90,169,6.085041,4.8326,4.8326,1.21473116620375
"NBL1","Nbl1",108.044766,93.997849,94.86591,6459,1411,2203,98.9695083333333,6.70491,6.70491,12.9747795020751
"NBN","Nbn",8.011467,6.207047,7.040085,805,149,272,7.08619966666667,23.01176,23.01176,0.336759973723986
"NBR1","Nbr1",190.37115,162.804107,198.061644,5697,1305,2204,183.745633666667,109.83405,109.83405,1.66686711950584
"NCALD","Ncald",77.441999,72.795202,71.493249,7931,1907,2942,73.91015,15.06708,15.06708,4.66233752492674
"NCAM1","Ncam1",32.211259,30.371344,39.876856,5200,1227,1837,34.153153,296.74929,296.74929,0.118062928042582
"NCAM2","Ncam2",4.646902,3.766758,4.484964,1018,199,388,4.29954133333333,3.13739,3.13739,1.28088996525185
"NCAN","Ncan",1.447217,1.575972,1.399268,452,119,173,1.47415233333333,0,0,2.47415233333333
"NCAPD2","Ncapd2",5.617718,7.101444,9.31219,421,112,171,7.343784,7.94469,7.94469,0.932819807058713
"NCAPD3","Ncapd3",4.48825,4.736351,4.323462,671,156,268,4.516021,15.00382,15.00382,0.344669022770814
"NCAPG2","Ncapg2",1.628993,2.521348,3.369038,257,77,106,2.50645966666667,3.97234,3.97234,0.705193061348714
"NCAPH","Ncaph",0.27792,1.3168,0.401001,26,5,11,0.665240333333333,0.26567,0.26567,1.31569866816258
"NCAPH2","Ncaph2",72.079991,71.930473,79.600561,3620,934,1413,74.5370083333333,5.47779,5.47779,11.6609226809349
"NCBP1","Ncbp1",20.327668,16.578935,17.831326,1903,417,713,18.2459763333333,22.51838,22.51838,0.818337671784083
"NCBP2","Ncbp2",60.656824,59.399176,60.667728,1931,425,774,60.2412426666667,55.94174,55.94174,1.07550704749568
"NCCRP1","Nccrp1",0.152784,0,0.212501,9,0,5,0.121761666666667,0.0506,0.0506,1.0677343105527
"NCDN","Ncdn",147.248167,139.02234,137.959689,21374,4794,8069,141.410065333333,3.3145,3.3145,33.0073161046085
"NCEH1","Nceh1",18.175133,18.159684,18.68703,3371,832,1322,18.3406156666667,64.24065,64.24065,0.296450382800703
"NCF1","Ncf1",0.818649,0.941834,1.404486,89,25,40,1.05498966666667,0.12651,0.12651,1.82420898764029
"NCF2","Ncf2",1.804959,3.207025,3.235474,157,48,69,2.74915266666667,6.07237,6.07237,0.53011263079656
"NCF4","Ncf4",0.861004,2.10157,0.651661,10,5,7,1.204745,1.99882,1.99882,0.735204180310922
"NCK1","Nck1",16.284885,14.716454,16.651633,757,177,316,15.884324,33.96734,33.96734,0.48285983434828
"NCK2","Nck2",3.058582,2.308366,4.400946,231,58,79,3.25596466666667,17.72374,17.72374,0.227303127829518
"NCKAP1","Nckap1",126.27467,118.86146,131.442846,17186,3973,6712,125.526325333333,160.87994,160.87994,0.781605956447311
"NCKAP1L","Nckap1l",0.457023,0.570424,0.426029,73,21,33,0.484492,3.17535,3.17535,0.355537140598992
"NCKAP5L","Nckap5l",20.238283,23.16557,20.089013,1429,293,495,21.1642886666667,4.20006,4.20006,4.26231402458177
"NCKIPSD","Nckipsd",121.84005,196.501152,116.024805,1878,437,784,144.788669,3.65607,3.65607,31.3115286067435
"NCL","Ncl",64.665327,74.40881,76.405698,8179,2468,3465,71.8266116666667,472.43063,472.43063,0.153827418531553
"NCLN","Ncln",33.071792,28.896834,35.849098,1364,313,519,32.605908,1.37893,1.37893,14.1264803924453
"NCMAP","Ncmap",42.060654,48.398258,51.573681,1441,316,686,47.3441976666667,0.39217,0.39217,34.7257861228633
"NCOA1","Ncoa1",17.882538,19.105771,25.225264,3198,721,1363,20.7378576666667,23.12562,23.12562,0.901027939040185
"NCOA2","Ncoa2",18.213416,14.622867,18.264593,3788,741,1439,17.0336253333333,22.75875,22.75875,0.759030897388681
"NCOA3","Ncoa3",10.453574,9.25547,9.379086,1657,345,573,9.69604333333333,24.17564,24.17564,0.424856858984849
"NCOA5","Ncoa5",9.763533,15.282235,11.373416,1129,265,380,12.139728,10.85437,10.85437,1.10842904346667
"NCOA6","Ncoa6",6.186208,5.238403,7.609213,1639,322,669,6.344608,17.57193,17.57193,0.395468214665896
"NCOA7","Ncoa7",106.29101,101.203042,110.335002,11199,2683,4359,105.943018,11.42365,11.42365,8.60801922140434
"NCOR1","Ncor1",73.762897,88.584751,80.805378,6276,1415,2393,81.0510086666667,54.28449,54.28449,1.48415963802265
"NCOR2","Ncor2",50.514255,46.054847,48.86291,4978,1038,1999,48.4773373333333,9.13386,9.13386,4.88237821850049
"NCR1","Ncr1",0.018683,0,0,1,0,0,0.00622766666666667,0.12651,0.12651,0.893225685228419
"NCS1","Ncs1",47.98381,49.769572,44.952148,6422,1365,2153,47.56851,0.63254,0.63254,29.7502725813763
"NCSTN","Ncstn",26.749344,25.289356,28.318442,2827,634,1145,26.785714,104.34361,104.34361,0.263762690494469
"NDC80","Ndc80",0.286045,0.286445,0.311016,31,11,17,0.294502,0.32892,0.32892,0.974100773560485
"NDE1","Nde1",6.601912,7.194119,7.762415,472,113,178,7.18614866666667,10.82907,10.82907,0.692036539361646
"NDEL1","Ndel1",78.936359,94.669011,86.245664,4541,1093,1900,86.6170113333333,37.61076,37.61076,2.2692381950869
"NDFIP1","Ndfip1",478.710118,490.467476,525.630092,24755,5904,10173,498.269228666667,91.8573,91.8573,5.37673644039474
"NDFIP2","Ndfip2",116.336895,110.168003,126.049014,8870,1965,3698,117.517970666667,46.74462,46.74462,2.482331426382
"NDN","Ndn",34.736294,27.926582,33.159221,5245,1049,1981,31.940699,19.26713,19.26713,1.62532627954723
"NDNF","Ndnf",4.715125,1.439608,3.110327,602,152,222,3.08835333333333,7.02118,7.02118,0.509694749816527
"NDOR1","Ndor1",11.217748,8.799011,13.793619,722,201,290,11.270126,0.21506,0.21506,10.0983704508419
"NDP","Ndp",6.819482,4.873119,6.544262,511,89,192,6.07895433333333,0.10121,0.10121,6.42834185426334
"NDRG1","Ndrg1",227.559143,201.828128,234.296257,11069,2757,4696,221.227842666667,79.66195,79.66195,2.75505170240326
"NDRG2","Ndrg2",205.368315,218.36846,211.52146,4917,1138,1942,211.752745,904.42939,904.42939,0.234974419153767
"NDRG3","Ndrg3",308.141939,235.700024,258.429154,5748,1355,2259,267.423705666667,57.58634,57.58634,4.58167732728596
"NDRG4","Ndrg4",1583.14587,1676.08161,1620.32927,103314,24079,40585,1626.51891666667,660.05432,660.05432,2.4620048117478
"NDST1","Ndst1",48.098516,45.296043,41.634096,4844,1042,1742,45.0095516666667,13.44778,13.44778,3.18454126977755
"NDST2","Ndst2",11.383933,7.130204,6.664078,378,90,120,8.39273833333333,15.56046,15.56046,0.567178588839521
"NDST3","Ndst3",4.700707,5.07953,7.12049,1003,227,477,5.63357566666667,0,0,6.63357566666667
"NDST4","Ndst4",24.663093,16.882981,22.118849,2744,576,1183,21.221641,0.0759,0.0759,20.6540022306906
"NDUFA1","Ndufa1",165.350946,174.770302,168.749509,1258,325,506,169.623585666667,868.45057,868.45057,0.196242997076495
"NDUFA10","Ndufa10",947.68895,994.083309,908.096284,5193,1274,2021,949.956181,316.42125,316.42125,2.99588065071258
"NDUFA11","Ndufa11",241.311355,208.072722,227.538565,2071,475,721,225.640880666667,6.11033,6.11033,31.8748750995617
"NDUFA12","Ndufa12",71.598691,83.093397,68.424459,1147,316,427,74.3721823333333,828.23375,828.23375,0.0908937707049832
"NDUFA13","Ndufa13",58.244419,53.027679,54.288807,2657,587,1008,55.1869683333333,43.74639,43.74639,1.25567600723395
"NDUFA2","Ndufa2",87.027871,66.585595,83.407163,1273,236,475,79.0068763333333,62.44424,62.44424,1.26105815647462
"NDUFA3","Ndufa3",278.112918,239.137803,290.883687,1225,264,487,269.378136,73.60222,73.60222,3.62426394281564
"NDUFA4","Ndufa4",728.564774,605.403603,693.6787,6898,1399,2570,675.882359,2011.24591,2011.24591,0.33638153052576
"NDUFA4L2","Ndufa4l2",1.204584,1.420363,2.657555,18,4,12,1.760834,3.02354,3.02354,0.686170387270911
"NDUFA5","Ndufa5",290.117201,242.65184,276.375443,1468,331,575,269.714828,723.76363,723.76363,0.373521541085057
"NDUFA6","Ndufa6",317.086954,269.5693,317.142849,1677,314,661,301.266367666667,709.97428,709.97428,0.425143885186208
"NDUFA7","Ndufa7",224.334896,188.396298,196.163214,1507,289,502,202.964802666667,44.02471,44.02471,4.53006366207948
"NDUFA8","Ndufa8",79.314112,80.998224,76.128601,2214,549,829,78.8136456666667,481.08377,481.08377,0.165559702760096
"NDUFA9","Ndufa9",68.596589,70.69885,71.871645,3286,816,1343,70.389028,356.49891,356.49891,0.199690197656826
"NDUFAB1","Ndufab1",274.763084,229.286698,284.454062,1971,449,785,262.834614666667,756.73156,756.73156,0.34819008286611
"NDUFAF1","Ndufaf1",34.024918,49.864534,43.809385,820,234,310,42.566279,121.44746,121.44746,0.355795693924562
"NDUFAF2","Ndufaf2",112.035766,166.736207,127.516543,447,114,168,135.429505333333,125.02763,125.02763,1.08253646706943
"NDUFAF3","Ndufaf3",37.655802,33.057535,36.858613,649,132,231,35.8573166666667,54.44895,54.44895,0.664707206658858
"NDUFAF4","Ndufaf4",14.38478,14.65461,11.743915,945,245,332,13.594435,164.54866,164.54866,0.0881579772376291
