"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"PMVK","Pmvk",68.243858,69.030363,78.679145,2264,570,920,71.9844553333333,54.49624,54.49624,1.31512432794246
"PNCK","Pnck",8.356807,8.237749,9.303064,420,84,176,8.63254,41.77218,41.77218,0.22520572951858
"PNISR","Pnisr",42.845498,43.550771,49.812828,3228,898,1569,45.4030323333333,102.90976,102.90976,0.446570488983261
"PNKD","Pnkd",64.446978,60.115009,67.476811,4912,1059,1869,64.0129326666667,87.1133,87.1133,0.737833365299752
"PNKP","Pnkp",42.674507,71.68373,49.904694,758,182,304,54.7543103333333,18.49645,18.49645,2.85971601667654
"PNLDC1","Pnldc1",0.521548,0.718223,0.625765,18,4,7,0.621845333333333,0.77586,0.77586,0.913273193457442
"PNLIP","Pnlip",2.040691,1.631373,1.798636,94,22,39,1.82356666666667,0,0,2.82356666666667
"PNLIPRP1","Pnliprp1",0,0,0,0,0,0,0,0,0,1
"PNLIPRP2","Pnliprp2",0.016832,0,0,1,0,0,0.00561066666666667,0,0,1.00561066666667
"PNMA1","Pnma1",1.507644,0.973486,1.578277,141,22,59,1.35313566666667,49.99627,49.99627,0.0461432898262298
"PNMA2","Pnma2",23.852645,23.674842,26.806388,3935,896,1541,24.7779583333333,18.86886,18.86886,1.29740500125993
"PNMA3","Pnma3",0.818372,0.864897,0.931641,117,30,52,0.871636666666667,6.4241,6.4241,0.252102836258492
"PNMA5","Pnma5",0,0,0,0,0,0,0,0.96206,0.96206,0.509668409732628
"PNMT","Pnmt",0,0,0,0,0,0,0,4.68618,4.68618,0.17586499196297
"PNN","Pnn",12.221448,12.883955,15.443939,1606,434,654,13.5164473333333,34.85153,34.85153,0.404904541963295
"PNO1","Pno1",17.172061,16.42867,21.306523,961,229,444,18.302418,7.44823,7.44823,2.28478841130036
"PNOC","Pnoc",0.194731,0.478164,0.09942,12,6,3,0.257438333333333,7.38616,7.38616,0.149942087121321
"PNP","Pnp",7.650077,9.562675,9.617976,358,77,150,8.943576,13.65509,13.65509,0.678506648543271
"PNPLA1","Pnpla1",0.017925,0.107397,0.071598,3,5,5,0.06564,0.43448,0.43448,0.742875467068206
"PNPLA2","Pnpla2",21.37228,14.550225,23.012738,1012,210,416,19.645081,89.68915,89.68915,0.22764664791764
"PNPLA3","Pnpla3",26.853978,29.172611,34.955996,337,102,144,30.3275283333333,0.58965,0.58965,19.7071860682121
