"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"MON2","Mon2",36.590372,37.361402,40.462128,2925,656,1158,38.1379673333333,27.67424,27.67424,1.36491733811719
"MORC1","Morc1",0.319067,0.365673,0.206495,30,8,10,0.297078333333333,0,0,1.29707833333333
"MORC2","Morc2a",8.008258,6.859092,8.585456,1235,326,448,7.817602,16.28507,16.28507,0.510128220481606
"MORC3","Morc3",57.83706,79.927425,75.799908,975,219,381,71.188131,9.23166,9.23166,7.05536843483853
"MORC4","Morc4",8.163026,6.862713,7.328857,383,91,138,7.451532,4.2113,4.2113,1.62177038358951
"MORF4L1","Morf4l1",226.203672,240.683818,228.771387,11662,2381,4278,231.886292333333,295.35094,295.35094,0.7858463088841
"MORF4L2","Morf4l2",235.978115,267.080945,226.919297,8225,2094,3050,243.326119,183.84492,183.84492,1.32178974136806
"MORN2","Morn2",11.737467,10.032869,13.336227,207,43,92,11.7021876666667,23.58741,23.58741,0.516613489044461
"MORN3","Morn3",1.331569,0.689893,1.56051,11,5,6,1.19399066666667,2.82136,2.82136,0.57413870105582
"MORN4","Morn4",28.005742,28.063396,26.487418,1986,482,731,27.518852,12.61315,12.61315,2.09494878114176
"MORN5","Morn5",1.133097,0.77629,1.091776,24,4,9,1.00038766666667,5.99539,5.99539,0.285957990428935
"MOS","Mos",0.091327,0,0,5,0,0,0.0304423333333333,0.29043,0.29043,0.798526331016276
"MOSPD1","Mospd1",13.153811,13.072674,13.37873,857,213,342,13.2017383333333,1.57664,1.57664,5.51172780572115
"MOSPD2","Mospd2",11.6706,12.001321,12.417693,1034,266,433,12.0298713333333,12.98656,12.98656,0.931599430691559
"MOSPD3","Mospd3",11.137835,10.175065,11.301681,315,50,115,10.871527,46.11682,46.11682,0.251959427652376
"MOV10","Mov10",1.309323,1.502429,2.064397,168,43,59,1.625383,27.32157,27.32157,0.0926990629403666
"MOV10L1","Mov10l1",0.131478,0.450443,2.339563,11,5,8,0.973828,1.86708,1.86708,0.688445386944208
"MOXD1","Moxd1",15.383357,14.64261,14.445678,1912,443,715,14.8238816666667,4.83366,4.83366,2.71251352781387
"MOXD2P","Moxd2",0,0,0,0,0,0,0,0,0,1
"MPC1","Mpc1",116.546144,100.130412,118.427601,2885,654,1164,111.701385666667,192.28826,192.28826,0.583074138422409
"MPC2","Mpc2",77.828681,59.275584,87.700573,1222,227,554,74.934946,66.55095,66.55095,1.12411366531485
"MPDU1","Mpdu1",33.551511,30.974512,40.445415,1029,222,434,34.9904793333333,38.58627,38.58627,0.90916571157963
"MPDZ","Mpdz",44.93657,43.218909,44.990262,4561,1002,1772,44.3819136666667,31.26318,31.26318,1.40661626245977
"MPEG1","Mpeg1",1.169149,1.5154,1.210179,212,67,86,1.29824266666667,3.13254,3.13254,0.556133193306457
"MPG","Mpg",6.830149,6.428547,6.546888,435,102,158,6.60186133333333,26.15983,26.15983,0.279893553580171
"MPHOSPH10","Mphosph10",8.201416,7.739194,9.19522,641,145,250,8.37861,30.64082,30.64082,0.296408563368459
"MPHOSPH6","Mphosph6",6.625824,9.513206,7.568622,240,83,109,7.90255066666667,36.09684,36.09684,0.239981374873619
"MPHOSPH8","Mphosph8",31.60264,35.20527,31.110047,2684,763,1129,32.639319,92.98047,92.98047,0.357939463379998
"MPHOSPH9","Mphosph9",3.278877,2.658722,8.663493,566,117,235,4.86703066666667,17.65426,17.65426,0.314514253938064
"MPI","Mpi",21.308721,23.964124,22.923563,1379,309,574,22.732136,42.00925,42.00925,0.551791440213442
"MPL","Mpl",0.024631,0,0.061236,3,0,2,0.0286223333333333,0.76758,0.76758,0.58193820553148
"MPLKIP","Mplkip",4.750584,3.872451,5.293564,254,58,99,4.63886633333333,26.05611,26.05611,0.208413786510083
"MPND","Mpnd",181.211264,150.44625,178.226375,3204,619,1209,169.961296333333,19.79102,19.79102,8.22284314734599
"MPO","Mpo",0.152291,0.083726,0.154322,9,2,6,0.130113,8.56781,8.56781,0.118116162423794
"MPP1","Mpp1",154.021028,242.958976,153.356864,2267,563,903,183.445622666667,22.07301,22.07301,7.99399916468058
"MPP2","Mpp2",5.37999,6.256061,8.497968,843,168,329,6.71133966666667,42.98428,42.98428,0.175320356879018
"MPP3","Mpp3",1.289362,1.371405,1.26824,147,35,58,1.309669,5.60123,5.60123,0.349884642710525
"MPP4","Mpp4",0.304855,0.404744,0.376562,33,8,14,0.362053666666667,2.28198,2.28198,0.415009740055292
"MPP5","Mpp5",9.015198,10.943171,14.088959,1841,464,742,11.3491093333333,13.83712,13.83712,0.832311751427051
"MPP6","Mpp6",9.296968,10.533926,12.444063,416,117,178,10.758319,1.53515,1.53515,4.63811569335148
"MPP7","Mpp7",3.510841,2.20328,3.979873,376,94,167,3.23133133333333,2.51018,2.51018,1.20544568464675
"MPPE1","Mppe1",19.507677,27.800058,21.878092,638,176,249,23.0619423333333,43.48216,43.48216,0.54093466534299
"MPPED1","Mpped1",2.279922,2.674093,1.66578,276,70,79,2.20659833333333,30.91051,30.91051,0.100487216698615
"MPPED2","Mpped2",35.452172,25.20194,36.907273,1884,473,730,32.5204616666667,37.83944,37.83944,0.863052136350747
