"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"SHROOM3","Shroom3",5.357179,4.508703,6.401991,746,154,351,5.42262433333333,1.17084,1.17084,2.95858945538747
"SHROOM4","Shroom4",0.930965,0.716463,1.263145,298,60,123,0.970191,0.66905,0.66905,1.18042658997633
"SIAE","Siae",8.096595,9.113352,8.926727,993,218,408,8.71222466666667,50.8061,50.8061,0.187472607794578
"SIAH1","Siah1a",13.177864,11.698543,13.016733,978,217,379,12.6310466666667,16.20359,16.20359,0.79233733579251
"SIAH2","Siah2",6.603599,6.555913,5.410043,530,121,191,6.18985166666667,10.96617,10.96617,0.600848196763598
"SIDT1","Sidt1",0.005576,0,0,1,0,0,0.00185866666666667,0.74223,0.74223,0.575043861411333
"SIDT2","Sidt2",194.117431,102.329148,179.567998,2747,570,1105,158.671525666667,24.06495,24.06495,6.37031095879572
"SIGIRR","Sigirr",0.581507,0.600055,0.598295,35,6,14,0.593285666666667,221.1738,221.1738,0.007171348136759
"SIGLEC1","Siglec1",0.173366,0.234364,0.176953,47,15,18,0.194894333333333,6.95186,6.95186,0.150266017426531
"SIGMAR1","Sigmar1",76.802611,67.444842,60.724211,2767,624,1074,68.323888,62.26361,62.26361,1.09579405917557
"SIK1","Sik1",1.094865,4.031306,3.209122,211,55,95,2.778431,4.66245,4.66245,0.66727847486512
"SIK2","Sik2",2.014425,2.338571,1.887553,311,86,123,2.080183,3.4707,3.4707,0.68897107835462
"SIK3","Sik3",23.222859,41.519455,26.51312,826,191,298,30.418478,4.90289,4.90289,5.32255861112099
"SIKE1","Sike1",24.152721,23.019153,23.589349,1683,348,640,23.5870743333333,17.93894,17.93894,1.29822864074406
"SIL1","Sil1",32.566051,27.222494,24.227531,771,173,249,28.0053586666667,150.4007,150.4007,0.191580082963069
"SIM1","Sim1",0.003252,0,0,1,0,0,0.001084,0,0,1.001084
"SIM2","Sim2",0,0,0,0,0,0,0,1.30674,1.30674,0.433512229379991
"SIN3A","Sin3a",10.732285,4.962532,12.351346,1120,244,402,9.348721,7.77772,7.77772,1.17897597553807
"SIN3B","Sin3b",27.649031,29.736289,26.798163,1810,368,581,28.061161,21.78599,21.78599,1.27539602185378
"SIPA1","Sipa1",15.316437,28.441252,28.19703,316,62,131,23.9849063333333,71.06582,71.06582,0.346695650355929
"SIPA1L1","Sipa1l1",5.762583,4.235844,7.574169,1573,318,631,5.857532,12.69107,12.69107,0.500876264601671
"SIPA1L2","Sipa1l2",3.79777,3.578557,4.308685,1073,244,474,3.895004,23.35408,23.35408,0.200993180608752
"SIPA1L3","Sipa1l3",3.794934,3.218621,4.093054,632,150,250,3.702203,1.40083,1.40083,1.95857390985617
"SIRPA","Sirpa",16.24456,16.9943,21.242073,1907,427,710,18.160311,13.86191,13.86191,1.28922265038612
"SIRT1","Sirt1",5.345421,5.566301,6.637234,555,131,221,5.849652,3.96204,3.96204,1.38041047633635
