"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"ABRA",10,0.16233,32,0.557555,60,1.02397,0.581285,1.22541,0.904378,0.700678,0.943488666666667,55,43,33,0.813632220820771
"ABRACL",136,1.63203,150,1.93206,207,2.61154,2.05854333333,1.304502,3.067132,2.188819,2.18681766666667,11,29,19,0.959748455433022
"ABRAXAS1",607,1.66127,747,2.19439,763,2.19541,2.01702333333,1.870927,1.13124,1.242214,1.41479366666667,62,58,36,1.24939176997869
"ABRAXAS2",669,3.35372,688,3.70194,758,3.99492,3.68352666667,2.908321,2.115077,1.946772,2.32339,158,120,108,1.40926182803403
"ABT1",253,11.6712,303,15.003,253,12.2703,12.9815,3.32542,2.791458,2.174212,2.76369666666667,199,168,128,3.71483178329107
"ABTB1",1543,33.7288,1425,33.4342,937,21.5334,29.5654666667,4.435767,2.908722,2.928956,3.42448166666667,118,103,97,6.90825931023182
"ABTB2",364,0.307165,368,0.333318,470,0.416971,0.352484666667,6.950399,6.045716,4.152189,5.71610133333333,790,633,438,0.201379431241508
"ACAA1",1192,6.10428,1253,6.88731,1152,6.20224,6.39794333333,73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,0.11229632808378
"ACAA2",1316,7.23196,1158,6.83045,1297,7.49339,7.18526666667,33.764452,29.686524,22.134757,28.5285776666667,1017,904,664,0.277198135279978
"ACACA",4300,2.33406,4641,2.70393,4008,2.28723,2.44174,7.1497,4.870629,6.747958,6.25609566666667,693,417,430,0.474323955761884
"ACACB",3042,3.50477,3493,4.31955,2522,3.0548,3.62637333333,26.02878,14.841445,7.767875,16.2127,1315,753,655,0.268776736556729
"ACAD10",802,1.97192,897,2.36727,684,1.76811,2.03576666667,20.02537,13.653281,10.050915,14.576522,659,558,399,0.194893742433003
