"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"ACBD3",1022,4.24464,1115,4.97056,1412,6.16543,5.12687666667,65.899098,64.268898,51.033552,60.400516,1039,1267,1242,0.0997854263418568
"ACBD4",398,6.0033,374,6.05507,392,6.21629,6.09155333333,3.64765,3.399864,4.113433,3.72031566666667,75,106,119,1.50234726533402
"ACBD5",1433,5.33589,1976,7.89747,1715,6.71371,6.64902333333,28.434973,21.567845,22.642447,24.2150883333333,1235,1449,1480,0.303351042527117
"ACBD6",1053,0.788498,1177,0.945995,1134,0.892737,0.875743333333,45.008644,45.056697,44.61445,44.8932636666667,636,975,991,0.0408718662276223
"ACBD7",50,0.656665,111,1.56472,52,0.717985,0.97979,1.034596,0.949647,0.691054,0.891765666666667,40,52,53,1.04653025207315
"ACCS",561,5.35173,673,6.89107,851,8.53491,6.92590333333,5.273883,5.411674,5.203006,5.29618766666667,72,100,76,1.25884165989705
"ACCSL",0,0,0,0,1,0.0153093,0.0051031,0,0,0,0,0,0,0,1.0051031
"ACD",257,13.5889,202,11.4642,154,8.5607,11.2046,12.408905,8.62736,10.509139,10.5151346666667,165,217,228,1.05987470865878
"ACE",115,0.942326,128,1.12578,299,2.5758,1.54796866667,5.405634,2.557996,4.848241,4.27062366666667,108,104,195,0.483428305227762
"ACE2",22,0.0934765,3,0.0136817,17,0.0759393,0.0610325,0.05341,0,0.099057,0.0508223333333333,1,0,1,1.00971635864864
"ACER1",15,0.095391,7,0.0477809,21,0.140402,0.0945246333333,0.145606,0.072291,0.066789,0.0948953333333333,3,2,2,0.999661428824521
"ACER2",68,0.273112,56,0.241412,58,0.244905,0.253143,0.989215,1.238033,0.764366,0.997204666666667,43,73,48,0.627448463802909
"ACER3",2305,2.4268,2576,2.91105,2484,2.74949,2.69578,5.100368,4.487993,5.453281,5.01388066666667,507,602,712,0.614541625424116
"ACHE",4545,113.738,4051,108.812,2350,61.8271,94.7923666667,150.826048,123.139185,143.64468,139.203304333333,4252,4881,6215,0.683239008682375
"ACIN1",2919,13.7634,2887,14.6109,2946,14.6037,14.326,80.771096,83.773455,54.064282,72.869611,1809,2688,1954,0.207473679535147
"ACKR1",1228,67.1667,1253,73.5609,1096,63.0238,67.9171333333,5.527193,8.511619,6.913666,6.98415933333333,150,313,243,8.63173321774474
"ACKR2",184,0.386247,161,0.362755,256,0.56497,0.437990666667,0.648149,0.227417,0.267559,0.381041666666667,15,14,12,1.04123626489691
"ACKR3",269,3.22584,286,3.68127,389,4.90432,3.93714333333,1.953183,0.627658,0.254604,0.945148333333333,33,11,7,2.53818346329886
"ACKR4",190,1.52976,183,1.58148,204,1.72679,1.61267666667,0.058436,0.043248,0,0.0338946666666667,2,2,0,2.52702402953041
"ACLY",16166,44.3873,15499,45.6773,11710,33.8027,41.2891,258.665498,200.768091,176.389823,211.941137333333,8902,9754,9291,0.19859525749504
"ACMSD",92,0.253431,116,0.342981,116,0.335944,0.310785333333,0.069346,0.050982,0.281347,0.133891666666667,2,2,7,1.1560057912643
"ACO1",1196,2.97775,1339,3.57832,1511,3.95513,3.50373333333,12.481148,12.32891,11.425298,12.078452,956,1358,1328,0.344362875157549
"ACO2",4207,12.2753,4508,14.1183,3468,10.6384,12.344,69.325062,71.569862,65.685688,68.860204,2171,3126,3037,0.191010034840436
"ACOD1",2,0.0344982,2,0.0370286,5,0.0906724,0.0540664,0,0,0,0,0,0,0,1.0540664
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,2.514575,1.663513,2.042674,2.07358733333333,51,52,55,3.24458108776585
"ACOT11",254,0.457761,264,0.510681,354,0.670729,0.546390333333,1.059936,0.383645,0.558014,0.667198333333333,60,46,67,0.927538315277227
"ACOT12",11,0.0299403,9,0.0262934,9,0.025754,0.0273292333333,0.137311,0.78691,0.64326,0.522493666666667,4,17,11,0.674767492190969
"ACOT13",1254,5.76037,1129,5.56656,1309,6.32165,5.88286,14.096614,5.754241,11.441671,10.430842,306,262,371,0.602130621698734
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,9.413227,10.383521,11.05022,10.2823226666667,97,146,165,0.892285536476709
"ACOT4",60,2.18784,50,1.95693,47,1.80177,1.98218,0.689296,0.540441,0.531756,0.587164333333333,24,26,28,1.87893587158482
"ACOT6",18,0.351586,15,0.314478,34,0.698194,0.454752666667,0.172208,0.138878,0.065032,0.125372666666667,2,2,1,1.2926852675176
"ACOT7",6308,8.46892,5418,7.80757,3619,5.10815,7.12821333333,144.140782,166.680788,158.146086,156.322552,2648,4286,4367,0.0516659133099366
"ACOT8",858,9.55638,927,11.0822,784,9.18037,9.93965,21.302306,21.395702,21.651743,21.449917,347,511,489,0.487291333861056
"ACOT9",1043,2.78521,1099,3.15001,1353,3.79848,3.24456666667,15.355328,9.120068,8.944808,11.140068,361,377,386,0.349632857630616
"ACOX1",1383,6.41366,1602,7.97419,1794,8.7467,7.71151666667,32.7541,26.088828,22.676301,27.1730763333333,735,866,739,0.309214249931338
"ACOX2",360,1.95632,355,2.07064,277,1.58254,1.86983333333,0.363302,0.170177,0,0.177826333333333,2,1,0,2.43655049315137
"ACOX3",307,0.720462,365,0.919403,387,0.95482,0.864895,12.315552,13.017171,11.277513,12.203412,264,352,310,0.141243414959709
"ACOXL",127,0.0575309,110,0.0534848,122,0.0581026,0.0563727666667,0.066887,0.263478,0.058643,0.129669333333333,2,6,3,0.935116795239226
"ACP2",881,16.0239,1004,19.6005,895,17.1141,17.5795,93.073029,93.19527,67.827959,84.6987526666667,600,764,662,0.216800121610483
"ACP4",2,0.0727155,7,0.273172,3,0.114672,0.153519833333,0.222704,0.198325,0.140824,0.187284333333333,4,5,4,0.971561572024168
"ACP5",21,0.843569,32,1.37972,35,1.47811,1.23379966667,5.678997,0.947109,4.648666,3.75825733333333,17,15,26,0.46945751567941
"ACP6",610,2.60726,652,2.99118,794,3.5679,3.05544666667,7.807588,6.333138,5.476793,6.539173,192,222,243,0.537916647710565
"ACP7",29,0.183687,28,0.190361,27,0.179797,0.184615,0.210181,0.206031,0.215597,0.210603,10,13,14,0.978533012060932
"ACR",11,0.268994,16,0.419962,20,0.514182,0.401046,0.12567,0.035491,0.308103,0.156421333333333,1,1,3,1.21153593384649
"ACRBP",56,1.04532,49,0.981743,62,1.21672,1.081261,0.628518,0.288323,1.583194,0.833345,6,4,18,1.13522604856151
"ACSBG1",4789,10.6958,4310,10.332,3127,7.34232,9.45670666667,0.55242,0.59011,0.153687,0.432072333333333,22,36,23,7.30180063065017
"ACSBG2",50,0.150998,40,0.129659,55,0.174624,0.151760333333,0.197015,0.231607,0.314471,0.247697666666667,2,4,3,0.92310850945969
"ACSF2",272,0.975972,284,1.09377,288,1.08642,1.052054,3.790468,0.103387,0.401622,1.43182566666667,28,1,5,0.843832692502492
