"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"ABCA9",5259,10.626,5044,10.9391,5832,12.3886,11.3179,1.630893,5.875754,1.09333,2.866659,74,97,41,3.18567010951832
"ABCB1",995,0.828961,1158,1.03552,996,0.872385,0.912288666667,1.409905,3.284378,1.946045,2.21344266666667,27,71,43,0.595090333026117
"ABCB10",355,1.47221,460,2.04757,446,1.94452,1.82143333333,10.325898,7.423625,9.542775,9.09743266666667,388,332,292,0.279420861368457
"ABCB11",19,0.0286572,12,0.0194269,19,0.0301282,0.0260707666667,1.639649,3.496208,2.969016,2.70162433333333,7,12,8,0.277194732438642
"ABCB4",69,0.153091,99,0.235763,83,0.193605,0.194153,0.520114,0.10443,0.985588,0.536710666666667,4,3,5,0.777083823196386
"ABCB5",16,0.0172721,27,0.0312846,21,0.0238333,0.02413,0,0.258936,0.058403,0.105779666666667,0,2,3,0.92616099831823
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,45.798715,35.435408,31.250175,37.494766,534,550,292,0.445896982462499
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,7.623563,5.152974,8.512265,7.09626733333333,182,173,131,0.247591956161938
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,22.108301,23.197393,18.535002,21.280232,526,651,446,0.462326125389089
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,13.147339,16.158433,16.129464,15.1450786666667,347,428,305,0.294512036650343
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,4.341232,5.649856,8.644544,6.21187733333333,333,452,284,0.236226794761577
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,47.610062,53.34286,79.775617,60.2428463333333,605,657,496,0.111361577854815
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,0.051357,0.030371,0,0.0272426666666667,2,1,0,1.00536767034602
"ABCC2",51,0.127363,49,0.131343,94,0.246796,0.168500666667,0.295949,0.49826,0.480955,0.425054666666667,6,12,3,0.81996901171534
"ABCC3",107,0.325222,68,0.221843,216,0.690221,0.412428666667,0.450343,0.479305,0,0.309882666666667,4,3,0,1.078286401225
