"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","FoldChange"
"ABCG8",24,0.0821356,29,0.106527,16,0.0575676,0.0820767333333,0.175022,0.165036,0.187492,0.17585,13,11,10,0.92025065555411
"ABHD1",84,2.08923,91,2.42934,76,1.98727,2.16861333333,0.980869,0.239741,0.305691,0.508767,35,9,12,2.10013430392499
"ABHD10",991,12.057,1290,16.846,1040,13.3026,14.0685333333,21.945498,27.924148,27.804594,25.8914133333333,652,596,653,0.560347392177478
"ABHD11",188,11.8397,190,12.8433,172,11.3881,12.0237,9.519305,7.909704,9.968295,9.13243466666667,144,94,107,1.28534754266365
"ABHD12",4523,8.22282,4462,8.70692,3868,7.39297,8.10757,61.002748,58.3518,58.606077,59.3202083333333,751,570,568,0.150987044833648
"ABHD12B",111,0.589088,70,0.398745,127,0.708596,0.565476333333,1.215684,4.568525,10.647778,5.477329,18,72,72,0.241685474573393
"ABHD13",357,3.93437,470,5.55962,462,5.35287,4.94895333333,3.390322,2.495253,3.321503,3.069026,307,176,213,1.46200917205493
"ABHD14A",256,4.57571,307,5.88975,216,4.05892,4.84146,15.051411,20.447943,23.789903,19.7630856666667,233,218,216,0.281338722662882
"ABHD14B",619,7.25763,689,8.6709,638,7.86436,7.93096333333,7.978791,5.158438,4.171231,5.76948666666667,200,107,84,1.3192969826363
"ABHD15",318,8.55867,325,9.38864,418,11.8275,9.92493666667,1.666242,0.980568,1.679204,1.44200466666667,104,46,69,4.47375748940829
"ABHD16A",1232,13.1221,1310,14.9763,1014,11.3545,13.1509666667,38.772235,39.606803,45.286219,41.2217523333333,679,661,613,0.335158203643008
"ABHD16B",39,4.56959,46,5.7851,51,6.28234,5.54567666667,0,0,0,0,0,0,0,6.54567666667
"ABHD17A",1446,28.9099,1530,32.833,1345,28.2709,30.0046,19.891946,16.379027,21.502911,19.2579613333333,759,552,573,1.53048964255765
"ABHD17B",532,1.91708,563,2.17759,736,2.78833,2.29433333333,8.626714,9.022235,10.593376,9.41410833333333,391,316,341,0.316333691554326
"ABHD17C",287,0.660257,270,0.666708,448,1.08355,0.803505,13.219325,17.660275,23.594158,18.1579193333333,422,387,432,0.0941388763894646
"ABHD18",391,0.915378,473,1.18857,664,1.63429,1.24607933333,5.486353,3.54464,4.951791,4.660928,236,155,188,0.396768751224181
"ABHD2",17724,26.9491,16264,26.543,12739,20.3636,24.6185666667,36.149134,28.486848,25.146828,29.9276033333333,3943,2908,2699,0.828339861662953
"ABHD3",1424,4.61714,1403,4.88271,1271,4.33258,4.61081,9.642693,6.919606,4.384585,6.98229466666667,104,59,62,0.702906900121118
"ABHD4",738,8.60724,755,9.45138,690,8.46048,8.8397,39.666519,10.931269,10.1797,20.2591626666667,306,154,175,0.46284513432075
"ABHD5",469,1.85103,419,1.77498,452,1.8755,1.83383666667,7.984091,8.165592,14.175874,10.108519,242,266,255,0.255104813402219
"ABHD6",462,1.38769,518,1.67002,434,1.3705,1.47607,8.283415,13.65003,12.504431,11.479292,185,149,202,0.198414301067721
"ABHD8",802,7.73824,756,7.82943,603,6.11679,7.22815333333,6.351783,4.187949,6.20397,5.581234,187,106,136,1.25024476159486
