"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"ABHD14B",1.988993,2.13046,2.242736,2.12072966666667,33,40,33,"Abhd14b",2.264105,1.928432,2.675018,78,66,63,2.289185,0.948785084045643
"ABHD15",0.139043,0.156659,0.265244,0.186982,6,8,8,"Abhd15",0.151803,0.17299,0.243191,13,15,13,0.189328,0.998027457522231
"ABHD16A",34.317671,41.166479,61.739668,45.7412726666667,552,678,517,"Abhd16a",14.283377,10.868275,15.117416,382,329,324,13.4230226666667,3.24074042916755
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0.017708,0,0.024841,1,0,1,0.014183,0.986015344370789
"ABHD17A",13.189788,17.685175,18.251272,16.3754116666667,437,578,391,"Abhd17a",5.672737,6.770556,6.724789,179,222,144,6.38936066666667,2.35140933708203
"ABHD17B",9.608137,10.13461,9.429544,9.724097,351,345,244,"Abhd17b",1.521296,1.357875,1.700168,97,77,81,1.52644633333333,4.24473572167705
"ABHD17C",26.356909,23.923575,30.757178,27.012554,465,485,360,"Abhd17c",4.881013,3.750363,3.185882,225,242,149,3.939086,5.67160685195601
"ABHD18",3.898036,4.946809,4.114577,4.31980733333333,195,202,135,"Abhd18",9.310011,9.508344,9.476552,916,811,624,9.43163566666667,0.50996866678658
"ABHD2",24.811763,18.501694,16.975591,20.0963493333333,1534,1881,1288,"Abhd2",1.304402,1.438202,1.694681,300,309,284,1.479095,8.50969782655902
"ABHD3",2.112366,4.383957,4.812756,3.769693,34,41,40,"Abhd3",0.888587,0.607436,0.76617,29,24,18,0.754064333333333,2.71922352524888
"ABHD4",5.832204,5.914283,14.836758,8.86108166666667,103,107,75,"Abhd4",7.115654,8.510248,7.961919,372,402,389,7.862607,1.11266150768805
"ABHD5",6.272151,9.717485,9.994526,8.66138733333333,224,264,185,"Abhd5",15.998376,19.309326,20.137932,581,531,496,18.481878,0.495916632540935
"ABHD6",12.738211,13.156293,8.173231,11.3559116666667,201,211,124,"Abhd6",1.14656,1.497619,1.057626,62,71,46,1.233935,5.53100769121155
"ABHD8",7.19407,9.390167,9.704944,8.76306033333333,145,236,124,"Abhd8",1.768592,1.567081,2.48411,113,106,108,1.93992766666667,3.32085052432696
"ABI1",19.731057,19.365981,20.50402,19.8670193333333,618,612,424,"Abi1",6.582961,5.608406,7.829215,235,207,167,6.67352733333333,2.7193516653923
"ABI2",50.424881,51.894418,63.248999,55.1894326666667,3251,3183,2502,"Abi2",3.10948,2.06312,2.241759,181,174,166,2.471453,16.1861424212474
