"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"PML",5.531779,11.588239,14.318172,232,332,167,0,"Pml",4.837268,6.835498,6.66871,58,254,166,6.11382533333333,0.140571345674498
"PMM1",24.053103,24.825157,26.786658,340,405,268,0,"Pmm1",89.926248,91.192537,93.843871,386,1743,955,91.6542186666667,0.0107928167156382
"PMM2",10.621281,9.551341,9.166609,148,162,92,0,"Pmm2",10.326232,14.03033,12.646741,59,343,171,12.3344343333333,0.0749938073863551
"PMP2",0.070709,0.047738,0.060309,3,2,2,16.5720366666667,"Pmp2",0,0.031795,0.056134,0,1,1,0.0293096666666667,17.0716716608445
"PMP22",4.569881,3.812161,3.097183,76,81,45,0,"Pmp22",35.298345,34.709531,33.933768,364,1249,742,34.6472146666667,0.028052682638767
"PMPCA",36.253725,37.87819,39.773361,484,528,374,0,"Pmpca",30.060469,34.435635,37.539685,507,1922,1212,34.0119296666667,0.0285616933862419
"PMPCB",26.55132,26.561136,26.073932,553,641,423,10.94441,"Pmpcb",181.533498,119.316839,160.445611,291,980,614,153.765316,0.0771775634794039
"PMS2",11.940088,12.031088,13.469692,682,806,549,0,"Pms2",1.669534,6.123224,1.705399,16,98,45,3.16605233333333,0.240035390818022
"PMVK",22.185453,22.281036,17.30984,240,264,133,0,"Pmvk",20.820134,30.743732,34.164318,127,619,360,28.5760613333333,0.0338111281529215
"PNCK",117.299304,172.482092,155.640104,520,716,428,0,"Pnck",22.875412,33.745675,34.813015,201,1020,569,30.478034,0.0317681847602045
"PNISR",64.476384,59.352935,63.243765,1281,1269,1157,0,"Pnisr",82.366665,80.641069,76.180785,840,3527,1833,79.7295063333333,0.0123870446559029
"PNKD",59.843729,54.805997,38.207763,290,389,240,0,"Pnkd",98.866074,95.863212,88.596929,1097,5196,2761,94.4420716666667,0.0104775596604034
"PNKP",50.186839,116.289558,75.051547,167,167,134,0,"Pnkp",21.515106,41.009892,39.715186,74,393,232,34.0800613333333,0.0285062215398635
"PNLDC1",0.218048,0.287707,0.063634,3,6,1,8.28601833333333,"Pnldc1",0.098304,1.33196,1.168294,1,17,9,0.866186,4.97593398157168
"PNLIP",0,0,0,0,0,0,0,"Pnlip",0.112824,0.083793,0.052342,1,2,1,0.0829863333333333,0.92337268645126
"PNLIPRP1",0,0.666609,0,0,3,0,0,"Pnliprp1",0,0,0,0,0,0,0,1
"PNLIPRP2",0.193891,0.056057,0,1,1,0,0,"Pnliprp2",0.105425,0,0.048961,1,0,1,0.051462,0.951056719120615
"PNMA1",83.342808,91.180676,98.239757,2604,3176,2155,0,"Pnma1",0.263173,0.524668,0.432635,4,30,14,0.406825333333333,0.710820296099303
"PNMA2",48.222217,46.867262,48.079579,2837,3118,2124,0,"Pnma2",6.057557,6.644756,6.340533,170,701,373,6.34761533333333,0.1360985781963
"PNMA3",22.696933,25.258275,28.878896,848,1065,793,22.4553496666667,"Pnma3",3.298546,4.571394,4.855718,75,397,238,4.241886,4.47460125356917
"PNMA5",0.218978,0.177436,0.102738,9,8,3,13.6805126666667,"Pnma5",0,0.03859,0.034655,0,2,1,0.024415,14.3306303272274
"PNMT",1.403754,2.367116,2.703283,11,22,15,0,"Pnmt",0.300889,0.039644,0,2,1,0,0.113511,0.898060279602088
"PNN",49.908192,38.587801,46.836136,1280,1210,1048,0,"Pnn",17.066213,19.938362,20.23756,389,1300,781,19.0807116666667,0.0497990318570217
"PNO1",8.517673,6.945312,13.954651,181,203,148,8.28601833333333,"Pno1",14.417208,15.47646,11.59929,133,436,225,13.830986,0.62612279003792
"PNOC",0.231377,0,0,1,0,0,0,"Pnoc",3.976057,3.868029,3.344487,33,132,62,3.72952433333333,0.211437753465412
"PNP",14.246577,10.631577,11.045239,228,207,142,0,"Pnp",11.150351,10.74589,10.984564,47,231,155,10.9602683333333,0.0836101642647092
