"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"STBD1",1.154917,1.353477,1.081492,1.19662866666667,49,64,32,"Stbd1",0.361782,0.518625,0.305311,8,13,15,0.395239333333333,1.57437409782503
"STC1",26.410092,17.097781,5.072567,16.19348,1349,945,162,"Stc1",0.795172,0.927058,0.745239,47,53,83,0.822489666666667,9.43406172033166
"STC2",1.250294,2.086206,0.659333,1.33194433333333,33,102,34,"Stc2",1.005284,0.388478,0.365856,22,21,35,0.586539333333333,1.46983077213339
"STEAP1",0.778145,0.573659,0.640804,0.664202666666667,8,9,5,"Steap1",0,0.300655,0.232009,0,2,4,0.177554666666667,1.41326998548404
"STEAP1B",0.333308,0.550953,0.209371,0.364544,4,7,2,"Steap1",0,0.300655,0.232009,0,2,4,0.177554666666667,1.15879460939393
"STEAP2",0.930961,1.19379,1.311017,1.145256,61,90,77,"Steap2",2.638543,2.634185,1.938853,185,186,286,2.40386033333333,0.630242075149773
"STEAP3",1.958754,3.60625,2.99501,2.853338,103,213,100,"Steap3",1.572769,1.977911,1.629686,58,76,122,1.72678866666667,1.41314141689993
"STEAP4",0.036929,0.114153,0.049656,0.0669126666666667,5,13,4,"Steap4",0.069891,0.095641,0.049104,3,4,4,0.0715453333333333,0.99567664892697
"STIL",0.983779,0.440951,1.05145,0.825393333333333,29,28,20,"Stil",0.080708,0.37488,0.133956,6,13,19,0.196514666666667,1.52559210863553
"STIM1",29.82186,31.904032,40.774777,34.1668896666667,543,626,481,"Stim1",20.307864,27.391228,22.094927,970,1071,1902,23.264673,1.44930408362258
"STIM2",13.79396,12.317068,11.839551,12.650193,442,482,352,"Stim2",35.904086,37.417673,33.071874,722,744,1236,35.4645443333333,0.374341521320532
"STIMATE",14.849018,13.216277,16.048603,14.7046326666667,509,485,352,"Stimate",9.470086,8.530999,9.937232,228,204,399,9.31277233333333,1.5228332556034
"STING1",1.165834,1.159046,0.819482,1.04812066666667,22,21,11,"Sting1",7.106145,3.740513,7.620237,32,42,72,6.15563166666667,0.286224999004281
"STIP1",145.221088,150.137175,171.631534,155.663265666667,1784,2037,1434,"Stip1",54.173321,46.634227,46.917951,1508,1269,2488,49.241833,3.11818371886763
"STK10",8.174762,13.269636,12.587162,11.3438533333333,183,233,149,"Stk10",1.493564,1.244082,1.227449,61,87,131,1.32169833333333,5.31673437332872
"STK11",15.325783,16.721293,17.327675,16.4582503333333,221,304,163,"Stk11",41.006254,38.433885,34.421896,494,546,902,37.9540116666667,0.448175928136114
"STK11IP",19.140053,21.244063,25.356203,21.9134396666667,176,225,166,"Stk11ip",14.689013,13.704156,17.298707,323,309,664,15.2306253333333,1.41174102636752
"STK16",22.485436,25.800005,27.143456,25.1429656666667,230,247,188,"Stk16",30.344119,27.259758,27.635176,277,298,552,28.4130176666667,0.888822968215672
"STK17B",0.547838,0.748506,0.675564,0.657302666666667,36,54,33,"Stk17b",3.209886,3.598896,3.05804,117,142,223,3.28894066666667,0.386413055220629
"STK19",20.466123,24.714077,28.848781,24.676327,239,287,205,"Stk19",25.940244,24.902891,30.101943,193,192,396,26.9816926666667,0.917611643651103
"STK24",84.616292,68.682692,69.663595,74.3208596666667,1762,1576,1165,"Stk24",23.181557,24.961775,26.195654,449,479,818,24.779662,2.92171633851005
"STK25",173.474145,177.604926,204.935037,185.338036,1283,1499,1136,"Stk25",128.737416,136.525045,121.025981,1955,2019,3873,128.762814,1.43598948154746
"STK26",0.89249,1.167641,1.023656,1.027929,35,50,29,"Stk26",4.295304,4.249085,4.783288,159,155,349,4.442559,0.372605790768644
"STK3",2.179063,1.215368,2.618214,2.004215,37,27,31,"Stk3",5.759728,5.449028,5.240313,159,153,294,5.483023,0.463397245389998
"STK31",1.142627,0.236318,1.027776,0.802240333333333,18,12,9,"Stk31",0,0,0.034705,0,0,2,0.0115683333333333,1.78162984540507
"STK32A",7.288035,11.545768,22.497395,13.777066,188,279,262,"Stk32a",7.253217,6.103951,2.784831,99,137,260,5.38066633333333,2.31591266930899
"STK32B",11.059618,7.82471,6.378533,8.42095366666667,445,370,194,"Stk32b",0.523688,0.767722,0.361107,25,36,33,0.550839,6.07474642220544
"STK32C",15.13424,18.861971,20.43458,18.143597,283,407,292,"Stk32c",50.158611,57.51184,53.510714,1243,1426,2590,53.727055,0.349801336834222
"STK33",9.991721,9.476613,17.151378,12.2065706666667,161,192,178,"Stk33",0.921692,0.85881,0.774695,13,14,22,0.851732333333333,7.132008459826
"STK35",5.430434,5.283473,6.739746,5.81788433333333,461,497,403,"Stk35",5.228602,5.898436,5.545837,326,351,666,5.557625,1.03968804762903
"STK36",41.777248,37.859509,42.61248,40.7497456666667,496,437,352,"Stk36",2.510263,1.745883,1.115158,51,42,80,1.79043466666667,14.9617355910143
"STK38",13.303774,11.390938,12.766414,12.487042,628,585,427,"Stk38",22.144836,16.632119,24.104993,393,285,820,20.9606493333333,0.614145865875126
"STK38L",7.93072,9.244853,6.526401,7.900658,281,322,235,"Stk38l",6.970667,7.000926,7.565971,388,365,703,7.179188,1.08820802260567
"STK39",22.26746,25.33833,29.609146,25.738312,900,1111,791,"Stk39",22.327486,21.388114,19.115517,680,717,1220,20.9437056666667,1.21849574571247
"STK4",6.65601,5.912639,7.353362,6.64067033333333,430,433,325,"Stk4",10.431177,6.498833,10.892364,498,454,954,9.27412466666667,0.743680905305996
"STK40",18.607899,21.016874,18.830848,19.485207,720,879,573,"Stk40",8.078246,8.302165,8.068148,378,288,651,8.14951966666667,2.23893797120643
"STKLD1",3.656697,3.9566,10.112258,5.90851833333333,14,17,21,"Stkld1",0.034742,0,0.018271,1,0,1,0.017671,6.78855772969195
"STMN1",1209.134095,1179.594252,1570.951265,1319.893204,10096,10698,9096,"Stmn1",301.27413,365.150346,337.361259,3433,4214,7546,334.595245,3.93597115477605
"STMN2",2434.273871,2310.112345,2727.771489,2490.719235,37623,37669,30324,"Stmn2",289.974325,327.246567,294.92364,2691,2932,5138,304.048177333333,8.16828101312417
"STMN3",173.739754,191.409907,204.899349,190.016336666667,4490,5755,3801,"Stmn3",165.636024,193.334159,175.494994,2148,2505,4444,178.155059,1.06620676933643
"STMN4",150.789006,151.503678,191.989866,164.76085,2306,2516,2080,"Stmn4",141.455508,157.376428,134.852891,1699,1741,2923,144.561609,1.13876764030549
"STMND1",0.043908,0.387222,0.111026,0.180718666666667,1,9,2,"Stmnd1",0,0.123428,0.063391,0,2,2,0.062273,1.1115020966048
"STN1",11.257377,13.001012,15.583855,13.280748,411,441,373,"Stn1",8.951237,8.587191,8.517228,99,96,201,8.68521866666667,1.47448896008405
"STOM",9.302419,8.694332,7.671676,8.55614233333333,304,282,153,"Stom",4.724994,4.608163,4.457871,118,144,237,4.59700933333333,1.70736580273703
"STOML1",22.453053,22.688194,26.281168,23.8074716666667,433,569,367,"Stoml1",21.994046,32.295454,29.001775,440,459,883,27.7637583333333,0.862455850837758
"STOML2",27.447078,29.072994,33.40605,29.975374,289,355,234,"Stoml2",38.750615,43.178126,38.689905,293,307,563,40.2062153333333,0.751716063934238
"STOML3",0,0,0,0,0,0,0,"Stoml3",0.218406,0.169922,0.068937,5,2,3,0.152421666666667,0.867737937357998
"STON1",0.639588,0.832798,1.140366,0.870917333333333,30,41,46,"Ston1",3.115991,1.268597,3.408795,37,45,96,2.59779433333333,0.520017866502097
"STON2",3.579835,3.289689,4.2054,3.69164133333333,171,182,140,"Ston2",3.279918,2.783074,2.364346,341,340,632,2.80911266666667,1.23168878001158
"STOX1",0.954183,0.624279,1.201488,0.92665,30,29,36,"Stox1",1.327664,2.138447,1.575499,39,40,77,1.68053666666667,0.718755323871712
"STOX2",6.287736,6.164485,6.862044,6.43808833333333,902,967,698,"Stox2",13.07455,13.738976,12.658298,1778,1845,3365,13.1572746666667,0.525389844335388
"STPG1",7.426246,8.240466,8.311366,7.99269266666667,192,241,137,"Stpg1",0.439867,0.447772,0.361715,13,14,22,0.416451333333333,6.34874806852995
"STPG2",0.061459,0.036238,0,0.0325656666666667,2,2,0,"Stpg2",0,0.037955,0,0,1,0,0.0126516666666667,1.01966520241412
"STPG3",0.132592,0.116783,0,0.083125,1,1,0,"Stpg3",0,0,0.054409,0,0,1,0.0181363333333333,1.06383100626013
"STPG4",0.590941,0.543946,0.258901,0.464596,2,3,2,"Stpg4",0,0,0,0,0,0,0,1.464596
"STRA6",0.722099,1.123098,1.080551,0.975249333333333,14,15,20,"Stra6",1.806858,2.220119,3.265367,66,53,145,2.43078133333333,0.575743290352518
"STRA8",0,0,0,0,0,0,0,"Stra8",0,0.071677,0,0,1,0,0.0238923333333333,0.976665189731863
"STRADA",25.424679,25.13407,27.311012,25.956587,300,337,310,"Strada",12.08131,9.591389,12.454055,223,245,551,11.3755846666667,2.17820714948579
"STRADB",56.662967,55.790427,56.69254,56.381978,545,644,386,"Stradb",25.893909,25.141543,23.15821,366,371,699,24.7312206666667,2.23005269525884
"STRAP",174.836423,160.56429,161.966966,165.789226333333,2464,2727,1787,"Strap",65.142706,61.820911,57.723737,1137,1166,1954,61.5624513333333,2.66596373349693
"STRBP",54.654506,64.255163,70.829,63.246223,798,897,682,"Strbp",34.139719,40.36285,32.295258,2744,2611,5268,35.5992756666667,1.75539602436759
"STRC",7.5845,4.377546,7.88786,6.61663533333333,122,95,89,"Strc",0.124963,0.147618,0.09653,6,7,11,0.123037,6.78217666322065
"STRIP1",33.417265,36.139317,47.28131,38.945964,1055,1107,877,"Strip1",24.425254,20.271254,17.664623,665,633,1162,20.7870436666667,1.83347335284024
"STRIP2",5.99902,5.228878,4.930808,5.38623533333333,322,258,237,"Strip2",14.605923,14.288049,14.646514,1083,1037,2042,14.5134953333333,0.41165676697059
"STRN",2.538798,2.366394,2.298856,2.40134933333333,375,385,273,"Strn",20.671532,21.58853,19.275732,1909,2034,3592,20.5119313333333,0.158114549578487
"STRN3",18.795559,22.78961,15.017039,18.8674026666667,416,447,285,"Strn3",22.394217,23.74177,21.55649,805,856,1522,22.564159,0.84311953024365
"STRN4",59.77261,53.8,79.672813,64.415141,955,1052,928,"Strn4",175.460119,200.167388,195.49802,1863,2107,3715,190.375175666667,0.341816229676198
"STT3A",60.533236,78.728245,106.813008,82.0248296666667,561,716,538,"Stt3a",40.054207,33.322186,32.192258,457,498,831,35.1895503333333,2.29416582692917
"STT3B",75.702659,77.535953,126.523436,93.254016,1676,1979,2063,"Stt3b",19.904566,18.180006,17.239924,1086,999,1876,18.4414986666667,4.84808386513962
"STUB1",132.16113,147.238316,141.522681,140.307375666667,499,606,391,"Stub1",53.057714,51.098575,49.994262,842,824,1590,51.383517,2.69755418802191
"STUM",2.139382,3.923268,18.078585,8.04707833333333,177,175,171,"Stum",34.485317,36.861626,35.155494,3123,3248,6106,35.5008123333333,0.247859643525559
"STX11",0.054287,0.051949,0.106363,0.0708663333333333,4,4,6,"Stx11",0.126473,0.07316,0.055923,7,4,6,0.0851853333333333,0.986805018866209
"STX12",72.220763,66.772535,96.258602,78.4173,1743,1843,1320,"Stx12",34.40323,35.954329,35.049546,1247,1321,2394,35.1357016666667,2.19775170640338
"STX16",22.272954,21.663529,24.042057,22.6595133333333,612,712,481,"Stx16",50.784272,61.580745,53.666626,850,781,1679,55.343881,0.419912737877132
"STX17",12.648825,8.781279,18.159226,13.1964433333333,312,378,269,"Stx17",4.210383,5.304169,4.71253,287,306,513,4.74236066666667,2.47223122290821
"STX18",30.006339,26.379799,31.713081,29.3664063333333,357,337,256,"Stx18",13.804759,16.524486,14.285457,180,183,346,14.8715673333333,1.91325819911673
"STX19",0,0,0,0,0,0,0,"Stx19",0.158025,0.064507,0.179429,6,2,13,0.133987,0.88184432449402
"STX1A",62.438962,60.781087,56.159069,59.7930393333333,956,1055,665,"Stx1a",104.619321,101.240975,95.789133,1836,1994,3660,100.549809666667,0.598652420254495
"STX1B",42.382187,52.253843,44.688017,46.441349,1487,2068,1296,"Stx1b",100.9825,96.784212,89.300762,5549,5495,10024,95.689158,0.490658414876257
"STX2",22.385146,16.400762,26.367731,21.7178796666667,511,503,496,"Stx2",10.317783,11.958564,8.700921,151,145,249,10.325756,2.00585988844071
"STX3",25.27,32.909246,21.194791,26.4580123333333,703,921,433,"Stx3",55.281472,46.72503,65.473436,346,285,695,55.826646,0.483189036589162
"STX4",20.438746,20.977342,22.30845,21.2415126666667,192,213,143,"Stx4a",41.219396,37.833077,40.323334,415,322,699,39.7919356666667,0.545242884486147
"STX5",8.966646,11.686755,11.517426,10.723609,171,250,162,"Stx5a",37.850498,30.882122,35.056775,542,471,1012,34.596465,0.329347563023463
"STX6",8.423082,9.338083,8.591118,8.78409433333333,543,627,395,"Stx6",36.051916,37.722704,33.398235,770,817,1382,35.724285,0.266420281111895
"STX7",67.980047,80.723547,98.115951,82.2731816666667,2166,2332,2119,"Stx7",56.19752,62.824466,58.148632,1129,1148,1995,59.0568726666667,1.3865720602679
"STX8",48.370274,64.522435,61.057744,57.9834843333333,148,190,115,"Stx8",18.633943,16.718495,17.067777,177,176,323,17.473405,3.19288644044416
"STXBP1",167.896357,203.412212,193.340363,188.216310666667,5713,7157,4612,"Stxbp1",156.04064,187.548925,160.091173,8061,9431,15701,167.893579333333,1.12032862003134
"STXBP2",6.21741,9.739842,6.766781,7.57467766666667,27,37,22,"Stxbp2",64.792757,93.777602,129.693551,262,270,663,96.08797,0.0883186420178181
"STXBP3",10.396681,20.117718,11.871955,14.1287846666667,188,251,139,"Stxbp3",8.007863,8.728741,9.388995,219,250,388,8.708533,1.55829770230648
"STXBP4",2.274943,1.859605,1.695411,1.94331966666667,116,110,69,"Stxbp4",3.081963,3.273579,2.943442,249,262,439,3.09966133333333,0.717942148717325
"STXBP5",7.367433,7.941477,5.488034,6.93231466666667,452,350,226,"Stxbp5",92.26136,94.983676,116.160988,1604,1651,3111,101.135341333333,0.07766473938515
"STXBP5L",0.840911,1.413405,1.037537,1.09728433333333,108,158,95,"Stxbp5l",14.720721,14.511507,14.854817,792,701,1301,14.6956816666667,0.133621742455913
"STXBP6",0.075372,0.069979,0.102727,0.0826926666666667,4,4,2,"Stxbp6",22.802113,34.168194,28.111267,798,856,1495,28.3605246666667,0.0368757942495442
"STYK1",32.369489,21.685316,21.190871,25.081892,224,247,160,"Styk1",2.121842,0.858359,1.651005,13,9,23,1.54373533333333,10.2533827549669
"STYX",6.808763,6.940543,9.283604,7.67763666666667,260,298,257,"Gm14698",0,0.42504,0.135743,0,23,14,0.186927666666667,7.31100715769537
"STYX",6.808763,6.940543,9.283604,7.67763666666667,260,298,257,"Styx",7.798145,6.463723,8.040245,282,249,546,7.43403766666667,1.02888284468574
"STYXL1",14.567652,15.868325,15.430914,15.2889636666667,96,113,74,"Styxl1",0.405411,0.205127,0.142126,8,4,4,0.250888,13.0219201612508
"STYXL2",0.02105,0.019096,0,0.013382,1,1,0,"Dusp27",0.07081,0.018096,0.102331,4,1,11,0.0637456666666667,0.952654409559679
"SUB1",166.802691,173.621917,203.848617,181.424408333333,1514,1635,1261,"Sub1",192.61985,157.446239,167.770936,2018,1991,3664,172.612341666667,1.05075714423336
"SUCLA2",53.76322,66.082326,64.89332,61.579622,862,1066,685,"Sucla2",52.746874,60.374867,55.373329,1273,1401,2511,56.1650233333333,1.09471873448024
"SUCLG1",62.378696,97.522428,113.073277,90.991467,570,718,485,"Suclg1",75.915229,66.34105,61.161499,799,748,1352,67.805926,1.33697011795176
"SUCLG2",1.043453,0.760923,1.204639,1.003005,20,17,22,"Suclg2",15.345234,17.948952,18.553638,230,242,464,17.282608,0.109557947093763
"SUCNR1",0.297246,0.245723,0.103402,0.215457,16,14,4,"Sucnr1",0,0,0,0,0,0,0,1.215457
"SUCO",8.961576,10.110191,10.095748,9.722505,643,663,529,"Suco",62.233777,84.731042,54.800793,545,571,1046,67.255204,0.157094322068102
"SUDS3",22.730677,21.073392,27.257541,23.6872033333333,888,953,739,"Suds3",344.220932,443.747587,374.158481,944,847,1731,387.375666666667,0.0635652679922446
"SUFU",3.680432,3.86238,4.61382,4.05221066666667,236,249,218,"Sufu",5.317691,5.743667,8.079328,163,165,326,6.38022866666667,0.684560180294323
"SUGCT",0.619296,0.377907,1.981045,0.992749333333333,8,8,8,"Sugct",1.980555,2.000731,1.92035,42,41,68,1.967212,0.671589806637791
"SUGP1",21.297221,26.746439,26.531224,24.8582946666667,232,317,217,"Sugp1",11.126087,11.715308,11.005039,394,414,745,11.2821446666667,2.10535662691266
"SUGP2",100.175172,85.461789,102.297047,95.9780026666667,3125,3167,2382,"Sugp2",24.445116,23.551976,29.694607,994,982,2078,25.897233,3.60550108134419
"SUGT1",26.576074,24.199291,24.51513,25.0968316666667,1006,988,788,"Sugt1",52.659385,59.08747,51.206296,1347,1404,2376,54.317717,0.471762630165425
"SULF1",7.248888,6.903915,10.132322,8.09504166666667,122,129,126,"Sulf1",7.018272,12.16331,5.197019,296,334,530,8.12620033333333,0.996585800713484
"SULF2",101.526074,88.502558,122.567131,104.198587666667,2099,1928,1518,"Sulf2",33.251798,30.710413,28.820921,1077,962,1811,30.9277106666667,3.29489917911642
"SULT1A1",3.134661,3.038638,6.520084,4.23112766666667,74,110,71,"Sult5a1",0.316991,0.245712,0.228856,10,13,16,0.263853,4.13903172810973
"SULT1A2",0.161436,0.939829,0.280047,0.460437333333333,4,19,5,"Sult5a1",0.316991,0.245712,0.228856,10,13,16,0.263853,1.15554366950376
"SULT1A3",20.322292,21.54014,26.960908,22.9411133333333,183,266,136,"Sult5a1",0.316991,0.245712,0.228856,10,13,16,0.263853,18.9429572373791
"SULT1A4",4.04582,5.02842,3.188853,4.08769766666667,41,58,25,"Sult5a1",0.316991,0.245712,0.228856,10,13,16,0.263853,4.02554542867459
"SULT1B1",0.453266,0.758541,1.08771,0.766505666666667,44,58,35,"Sult1b1",0,0,0,0,0,0,0,1.76650566666667
"SULT1C2",0.023816,0.291835,0.122583,0.146078,2,12,6,"Sult1c2",0,0,0,0,0,0,0,1.146078
"SULT1C3",0,0,0,0,0,0,0,"Sult1c1",0,0,0,0,0,0,0,1
"SULT1E1",0,0.042911,0.129845,0.0575853333333333,0,1,2,"Sult1e1",0,0,0,0,0,0,0,1.05758533333333
"SULT2A1",0.322426,0.158305,0.136669,0.2058,8,4,2,"Sult2a8",2.58508,3.577756,1.120208,4,6,3,2.42768133333333,0.351782993440464
"SULT2A1",0.322426,0.158305,0.136669,0.2058,8,4,2,"Sult2a3",0,0,0,0,0,0,0,1.2058
"SULT2A1",0.322426,0.158305,0.136669,0.2058,8,4,2,"Sult2a4",0,0,0,0,0,0,0,1.2058
"SULT2A1",0.322426,0.158305,0.136669,0.2058,8,4,2,"Sult2a6",0,0,0,0,0,0,0,1.2058
"SULT2A1",0.322426,0.158305,0.136669,0.2058,8,4,2,"Sult2a5",0,0.087065,0,0,1,0,0.0290216666666667,1.17179262503381
"SULT2A1",0.322426,0.158305,0.136669,0.2058,8,4,2,"Sult2a7",0,0,0,0,0,0,0,1.2058
"SULT2A1",0.322426,0.158305,0.136669,0.2058,8,4,2,"Sult2a2",0,0,0,0,0,0,0,1.2058
"SULT2A1",0.322426,0.158305,0.136669,0.2058,8,4,2,"Sult2a1",0,0,0,0,0,0,0,1.2058
"SULT2B1",0.301156,0.268764,0,0.189973333333333,4,5,0,"Sult2b1",6.658211,5.82231,6.050456,76,74,139,6.17699233333333,0.165803901978066
"SULT4A1",59.635556,64.41657,81.992963,68.6816963333333,1686,1986,1509,"Sult4a1",112.848176,121.981473,111.428091,3423,3727,6603,115.419246666667,0.598541034480725
"SULT6B1",0,0,0,0,0,0,0,"Sult6b1",0,0.03791,0.136111,0,1,3,0.058007,0.945173330611234
"SUMF1",3.603194,3.162529,4.09956,3.621761,65,70,51,"Sumf1",10.085623,10.198813,10.921437,224,256,448,10.4019576666667,0.405348023130414
"SUMF2",54.361532,57.450388,58.511728,56.7745493333333,785,816,484,"Sumf2",12.467318,12.122171,12.097424,102,96,201,12.228971,4.36727462274529
"SUMO2",172.803407,153.119404,192.740504,172.887771666667,1190,1160,1036,"Sumo2",112.264176,134.614514,115.418061,1092,1271,2149,120.765583666667,1.42805353064857
"SUMO3",43.510484,49.692026,49.324533,47.5090143333333,908,1127,717,"Sumo3",108.218332,121.780834,108.943917,926,1126,1856,112.981027666667,0.425588497720833
"SUN1",47.780791,48.330515,59.825146,51.9788173333333,1117,1197,1046,"Sun1",42.456771,36.291557,37.828409,1066,1175,2198,38.8589123333333,1.32915863057879
"SUN2",41.605378,41.571621,70.824825,51.3339413333333,824,805,798,"Sun2",121.149705,146.312673,119.615138,566,689,1188,129.025838666667,0.402488781229831
"SUN3",0,0.51565,0.26239,0.259346666666667,0,3,1,"Sun3",0,0,0.038334,0,0,1,0.012778,1.24345776336637
"SUN5",0,0,0,0,0,0,0,"Sun5",0,0,0,0,0,0,0,1
"SUPT16H",35.275945,35.020501,38.736195,36.3442136666667,1511,1533,1163,"Supt16",12.370038,13.014424,13.959514,727,814,1495,13.1146586666667,2.64577518653421
"SUPT20H",26.744484,36.105662,44.231763,35.6939696666667,509,551,443,"Supt20",12.636901,9.424365,12.159033,360,286,704,11.4067663333333,2.95757723493839
"SUPT3H",6.964707,5.842971,6.643224,6.483634,97,105,94,"Supt3",3.654643,4.357384,4.759702,55,75,141,4.257243,1.42349022101508
"SUPT4H1",89.041522,82.767388,86.566676,86.1251953333333,387,425,364,"Supt4a",34.970629,36.22855,28.968001,248,249,387,33.38906,2.53351488331851
"SUPT5H",201.725194,208.497149,255.185113,221.802485333333,1267,1525,1076,"Supt5",47.371192,42.027819,35.444091,1460,1341,2430,41.6143673333333,5.22834197186486
"SUPT6H",27.107959,29.560974,32.575703,29.748212,1342,1551,1244,"Supt6",21.399065,21.685516,20.234563,1925,1948,3441,21.1063813333333,1.39092018437391
"SUPT7L",22.046054,21.139879,24.47444,22.5534576666667,855,943,684,"Supt7l",4.701001,4.710309,5.07727,155,148,315,4.82952666666667,4.04037223147906
"SUPV3L1",22.378624,23.157784,21.151495,22.229301,259,293,181,"Supv3l1",21.75501,8.942004,12.452207,190,185,375,14.3830736666667,1.51005589021752
"SURF1",16.564992,17.227018,19.346826,17.7129453333333,162,192,145,"Surf1",62.500723,76.49147,62.689294,357,380,670,67.2271623333333,0.274274126218362
"SURF2",18.464551,24.932473,35.548076,26.3150333333333,92,102,77,"Surf2",18.539067,21.12188,22.077072,189,195,406,20.5793396666667,1.2657956061337
"SURF4",50.77476,51.554848,52.784319,51.7046423333333,927,1025,681,"Surf4",26.665427,26.173312,26.759656,634,676,1129,26.5327983333333,1.91424938704923
"SURF6",7.027342,10.86862,12.370753,10.088905,392,566,428,"Surf6",7.538802,8.236395,7.862847,181,176,327,7.879348,1.24884225733691
"SUSD1",11.062805,10.124204,13.063741,11.4169166666667,296,337,246,"Susd1",5.197245,4.650833,4.718474,91,114,205,4.85551733333333,2.12054989505055
"SUSD2",1.964378,6.608914,4.069411,4.21423433333333,81,313,121,"Susd2",1.98816,3.306443,2.21595,86,135,184,2.50351766666667,1.48828544035694
"SUSD3",0,0,0,0,0,0,0,"Susd3",0.760406,2.446581,2.087227,12,12,21,1.764738,0.361697925807075
"SUSD4",30.135133,32.463056,32.181712,31.5933003333333,550,576,385,"Susd4",31.512811,33.871202,33.159103,1227,1314,2453,32.8477053333333,0.962939732911092
"SUSD5",7.13804,7.688642,7.668563,7.498415,436,509,333,"Susd5",1.942268,1.880377,1.640907,104,101,174,1.821184,3.01235757752773
"SUSD6",3.763238,4.441463,4.555335,4.25334533333333,255,273,199,"Susd6",7.916025,8.012284,7.969774,539,527,1030,7.96602766666667,0.585916698970704
"SUV39H1",1.793489,2.169434,3.52336,2.49542766666667,67,64,58,"Suv39h1",6.550748,8.019318,6.820226,243,283,466,7.13009733333333,0.429936755164719
"SUV39H2",4.707776,5.235492,5.040902,4.99472333333333,86,98,61,"Suv39h2",1.171811,1.817006,1.270485,40,63,83,1.41976733333333,2.47739658716499
"SUZ12",7.93129,6.251703,7.301248,7.16141366666667,383,361,287,"Suz12",12.940095,20.674382,15.51291,540,555,995,16.3757956666667,0.469700140542245
"SV2A",86.62606,97.436223,84.095132,89.385805,5084,6271,3516,"Sv2a",135.86543,139.006401,123.820514,4464,4552,7638,132.897448333333,0.675037546458596
"SV2B",22.077143,27.784938,22.404792,24.0889576666667,1795,2610,1330,"Sv2b",97.787833,116.216915,104.217114,5847,6467,11363,106.073954,0.234314291472478
"SV2C",16.996623,22.583477,29.580887,23.0536623333333,2557,3682,3158,"Sv2c",8.32097,9.196097,9.380387,1098,1172,2185,8.965818,2.41361645710702
"SVBP",31.301693,34.145602,47.443005,37.6301,196,228,197,"Svbp",56.087827,45.669502,58.44236,42,51,92,53.3998963333333,0.710113485571654
"SVEP1",0.537871,0.458545,0.626964,0.541126666666667,88,81,74,"Svep1",0.16034,0.274017,0.426763,15,25,56,0.28704,1.1974194016244
"SVIL",43.146859,16.797998,63.618584,41.1878136666667,458,420,393,"Svil",2.336753,1.753828,2.290875,143,141,292,2.127152,13.4908100618923
"SVIP",29.869127,44.815799,26.770214,33.81838,473,424,424,"Svip",17.789485,16.881142,14.742082,631,670,1097,16.470903,1.99293533940404
"SVOP",35.3833,31.429133,34.565274,33.792569,1756,1733,1314,"Svop",41.56032,45.962357,40.468114,1731,1815,3233,42.663597,0.796832404806228
"SVOPL",0.375032,0.859301,0.87993,0.704754333333333,11,9,5,"Svopl",0,0.03237,0.041782,0,1,2,0.0247173333333333,1.66363374354944
"SWAP70",2.44004,3.446035,3.101012,2.99569566666667,138,173,116,"Swap70",2.261662,2.398538,2.905483,113,131,280,2.52189433333333,1.13453025232728
"SWI5",5.413266,9.730789,8.294809,7.81295466666667,38,65,50,"Swi5",169.198513,160.435195,152.411313,829,769,1447,160.681673666667,0.0545080618403049
"SWSAP1",2.131076,2.290055,2.246181,2.22243733333333,29,30,22,"Swsap1",4.060245,5.134306,4.193148,95,119,190,4.46256633333333,0.589912714408533
"SWT1",3.028235,2.331509,2.761563,2.70710233333333,146,123,100,"Swt1",16.157554,9.238371,9.519586,133,130,237,11.6385036666667,0.293318135683309
"SYAP1",12.139951,13.353824,9.76837,11.7540483333333,714,893,535,"Syap1",11.899292,11.921734,12.709375,287,276,537,12.1768003333333,0.967916945745124
"SYBU",53.652855,50.121371,59.816212,54.530146,1152,1318,920,"Sybu",22.855845,22.824939,23.071911,829,818,1601,22.917565,2.32173074474764
"SYCE1",0,0.167008,0,0.0556693333333333,0,2,0,"Syce1",0.110671,0.282755,0.203251,2,5,7,0.198892333333333,0.880537229225755
"SYCE1L",12.836319,29.424514,2.605297,14.9553766666667,14,8,15,"Syce1l",0.132789,0,0.213867,1,0,3,0.115552,14.302674072268
"SYCE2",0.856081,1.322134,2.827494,1.66856966666667,3,5,4,"Syce2",1.556845,2.216443,1.003255,13,18,19,1.592181,1.02946887839494
"SYCE3",0.759137,0,1.069164,0.609433666666667,1,0,1,"Syce3",0,0,0,0,0,0,0,1.60943366666667
"SYCP1",1.273734,0.769456,1.625874,1.22302133333333,3,2,3,"Sycp1",0.022237,0.023435,0,1,1,0,0.015224,2.18968556036238
"SYCP2",1.042864,2.524552,3.208587,2.25866766666667,19,37,22,"Sycp2",0.526796,0.668647,0.706186,30,36,65,0.633876333333333,1.99443960365013
