"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"ABHD4",5.832204,5.914283,14.836758,8.86108166666667,103,107,75,"Abhd4",21.836205,28.873125,24.957358,613,589,1078,25.2222293333333,0.376058097170686
"ABHD5",6.272151,9.717485,9.994526,8.66138733333333,224,264,185,"Abhd5",13.155176,16.798542,15.037815,217,236,397,14.9971776666667,0.603943241404687
"ABHD6",12.738211,13.156293,8.173231,11.3559116666667,201,211,124,"Abhd6",16.282993,17.496713,15.971516,434,469,835,16.5837406666667,0.702689598356603
"ABHD8",7.19407,9.390167,9.704944,8.76306033333333,145,236,124,"Abhd8",58.365576,67.703025,68.150222,1280,1640,3330,64.7396076666667,0.148511083042008
"ABI1",19.731057,19.365981,20.50402,19.8670193333333,618,612,424,"Abi1",76.496327,89.115229,77.664616,1275,1244,2260,81.0920573333333,0.254190478484455
"ABI2",50.424881,51.894418,63.248999,55.1894326666667,3251,3183,2502,"Abi2",68.821904,71.851773,63.329113,2703,2838,4925,68.00093,0.814328628131051
"ABI3",0,0.209091,0.075429,0.09484,0,3,1,"Abi3",4.448462,2.988214,2.315282,32,27,58,3.25065266666667,0.257569857115276
"ABI3BP",0.99652,1.116168,1.795284,1.30265733333333,15,18,16,"Abi3bp",3.447802,4.118467,6.149729,217,253,738,4.57199933333333,0.413255134392813
"ABITRAM",12.878776,15.022405,19.706706,15.8692956666667,130,158,143,"Abitram",4.436395,6.445182,6.370124,259,305,540,5.750567,2.49894500220006
"ABL1",23.387004,25.535463,27.529949,25.4841386666667,995,1264,955,"Abl1",15.867305,14.205666,13.831194,620,593,1131,14.6347216666667,1.69393093342563
"ABL2",4.876134,5.408775,4.808567,5.03115866666667,785,862,542,"Abl2",9.492708,8.919461,10.486961,1187,1052,2148,9.63304333333333,0.567209074354065
"ABLIM1",100.860799,75.151885,120.837451,98.950045,7750,6453,5627,"Ablim1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,4.99226237141496
"ABLIM2",19.980956,30.901303,25.59889,25.4937163333333,462,672,364,"Ablim2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,0.225910009593846
"ABLIM3",48.422608,52.934019,47.138285,49.498304,1626,2148,1222,"Ablim3",4.605573,5.509846,4.850015,275,323,550,4.988478,8.43257735938915
"ABO",0.839964,0.413628,1.770949,1.00818033333333,23,39,31,"Abo",0,0,0.022897,0,0,1,0.00763233333333333,1.99296932710575
"ABR",591.586845,672.731938,685.513728,649.944170333333,3340,3625,3006,"Abr",96.445357,104.64287,101.505422,5290,5229,9515,100.864549666667,6.39029154365705
"ABRA",0.028665,0.053548,0.080009,0.054074,1,2,2,"Abra",0.100114,0.078888,0.108371,4,3,8,0.095791,0.961929784055536
"ABRACL",19.223716,14.20645,19.051796,17.4939873333333,138,111,99,"Abracl",42.881988,44.811658,33.402148,62,65,139,40.3652646666667,0.447089786137313
"ABRAXAS1",4.102444,3.794132,3.584166,3.826914,77,83,56,"Abraxas1",2.345558,2.82686,3.406936,32,54,91,2.85978466666667,1.25056561877286
"ABRAXAS2",9.187908,9.791007,10.77312,9.917345,353,405,295,"Abraxas2",10.187231,12.253166,12.786353,307,322,580,11.74225,0.856783142694579
"ABT1",4.88843,4.285503,5.231131,4.801688,188,179,143,"Abt1",1.892098,1.920518,1.687743,119,118,202,1.833453,2.047568108594
"ABTB1",2.982307,4.057105,10.245762,5.76172466666667,62,115,92,"Abtb1",24.692361,19.56887,20.702411,227,242,499,21.6545473333333,0.298470967756554
"ABTB2",1.344934,1.96267,3.69669,2.33476466666667,85,140,90,"Abtb2",2.212097,2.390987,1.905456,108,133,227,2.16951333333333,1.05213776247458
"ACAA1",46.486176,54.061449,53.958237,51.501954,591,740,475,"Acaa1a",33.047095,25.191209,29.881533,519,407,971,29.373279,1.72855732830163
"ACAA1",46.486176,54.061449,53.958237,51.501954,591,740,475,"Acaa1b",0.234331,0.74511,0.407108,5,7,11,0.462183,35.9065547882857
"ACAA2",7.463552,10.616386,8.612113,8.89735033333333,146,199,117,"Acaa2",13.854658,15.004313,13.890623,169,170,337,14.2498646666667,0.649012338776165
"ACACA",87.127535,78.297049,72.405289,79.2766243333333,3380,3012,2176,"Acaca",11.431742,15.537958,14.799623,1122,1249,2211,13.9231076666667,5.37935034219749
"ACACB",3.694984,3.933355,3.564281,3.73087333333333,62,63,54,"Acacb",0.795556,0.745748,1.683203,62,49,116,1.07483566666667,2.2801195339647
"ACAD10",11.611479,11.630295,14.269463,12.5037456666667,185,171,157,"Acad12",2.971927,1.955368,1.43504,47,42,86,2.12077833333333,4.32704416152594
"ACAD10",11.611479,11.630295,14.269463,12.5037456666667,185,171,157,"Acad10",0.694572,0.890984,2.146887,24,33,75,1.24414766666667,6.01731600252687
"ACAD11",6.956361,6.78533,9.702243,7.81464466666667,123,171,123,"Acad11",7.734487,8.54042,7.545363,260,304,488,7.94009,0.985968224779243
"ACAD8",28.56967,26.216904,35.090426,29.959,521,559,449,"Acad8",11.891332,9.201428,11.699023,187,185,352,10.9305943333333,2.59492520950968
"ACAD9",16.730664,15.138342,15.036653,15.6352196666667,348,375,288,"Acad9",23.593852,25.33424,24.45329,422,420,775,24.4604606666667,0.65337465352486
"ACADL",0.288112,0.704497,0.707281,0.56663,9,17,9,"Acadl",15.043563,14.532741,17.541756,319,331,586,15.70602,0.0937763752228239
"ACADM",34.991444,30.116255,36.311604,33.8064343333333,538,526,442,"Acadm",37.483174,40.525589,45.059684,337,313,591,41.0228156666667,0.828274683196502
"ACADS",1.771714,2.673468,3.757556,2.734246,38,59,46,"Acads",3.093127,3.878782,3.943631,55,47,120,3.63851333333333,0.805052337171249
"ACADSB",5.696079,5.142362,5.947202,5.59521433333333,415,396,308,"Acadsb",104.177341,128.461972,119.388577,629,684,1245,117.34263,0.0557298273101868
"ACADVL",236.028354,256.563668,245.533457,246.041826333333,1257,1410,953,"Acadvl",18.306587,19.747246,15.996872,385,370,673,18.0169016666667,12.9906454092022
"ACAN",0.108891,0.370897,0.103268,0.194352,8,10,6,"Acan",0.614366,0.464376,0.611317,65,34,81,0.563353,0.763968214472355
"ACAP1",9.140538,8.118628,5.692809,7.65065833333333,23,41,22,"Acap1",0,0.108492,0.177938,0,2,7,0.0954766666666667,7.89670706511321
"ACAP2",19.442193,11.477702,6.945933,12.6219426666667,361,356,272,"Acap2",40.253599,39.743015,50.029419,1571,1340,3149,43.342011,0.307201733964359
"ACAP3",237.983872,241.790025,300.03488,259.936259,2282,2631,2345,"Acap3",35.732662,34.21104,38.286445,1186,1304,2426,36.0767156666667,7.03773930101882
"ACAT1",122.137156,118.34408,129.991315,123.490850333333,655,741,527,"Acat1",36.845443,39.308077,35.252442,744,836,1402,37.1353206666667,3.26445007297784
"ACAT2",150.038137,113.788996,97.188096,120.338409666667,2596,2136,1199,"Acat2",17.578099,21.025242,19.912122,358,390,757,19.5051543333333,5.9174589810045
"ACAT2",150.038137,113.788996,97.188096,120.338409666667,2596,2136,1199,"Acat3",1.550678,3.144767,2.78883,43,56,68,2.49475833333333,34.7201145525084
"ACBD3",55.57853,50.960754,31.733687,46.0909903333333,687,749,476,"Acbd3",8.711635,8.351731,8.308599,404,380,741,8.45732166666667,4.97931570830572
"ACBD4",2.513592,3.070246,3.546908,3.043582,36,57,47,"Acbd4",41.732106,45.944524,42.770953,202,247,451,43.4825276666667,0.0909027029736462
"ACBD5",22.086031,24.008406,24.78825,23.6275623333333,786,939,654,"Acbd5",26.608624,30.755417,29.504275,1046,980,1737,28.9561053333333,0.822121636283916
"ACBD6",44.648742,40.179244,47.697377,44.175121,561,617,466,"Acbd6",32.968509,32.791544,33.694855,319,349,678,33.151636,1.32278058363002
"ACBD7",1.043718,2.012931,2.647439,1.90136266666667,46,68,57,"Acbd7",0.4743,0.485264,0.373866,2,2,3,0.444476666666667,2.00859088528025
"ACCS",2.852259,6.929111,6.720408,5.50059266666667,40,71,38,"Accs",1.881498,1.749502,1.683049,33,31,62,1.77134966666667,2.34564145580571
"ACCSL",0,0.041683,0,0.0138943333333333,0,1,0,"Accsl",0,0.034594,0.15719,0,1,5,0.063928,0.952972694894141
"ACD",10.823814,17.900748,15.750557,14.8250396666667,143,186,143,"Acd",14.365661,13.762332,12.201474,225,224,391,13.4431556666667,1.09567742894229
"ACE",7.650195,4.932748,4.196313,5.59308533333333,104,116,46,"Ace",5.506368,4.122808,3.689021,187,217,398,4.439399,1.21209812579172
"ACE2",0.257103,0.077158,0.190801,0.175020666666667,1,1,1,"Ace2",0.371849,0.51982,0.412893,16,22,36,0.434854,0.818913050851631
