"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ABCG5",0.093551,0.161392,0.087861,0.114268,3,7,2,"Abcg5",0.145426,0.040795,0.09925,3,3,1,0.095157,1.01745046600624
"ABCG8",0.279919,0.336852,0.476524,0.364431666666667,19,25,16,"Abcg8",0.024937,0.008273,0,2,1,0,0.01107,1.34949278157464
"ABHD1",1.219066,0.595476,1.404846,1.07312933333333,17,18,14,"Abhd1",1.196823,0.71728,1.031029,31,27,8,0.981710666666667,1.04613118766749
"ABHD10",20.734833,22.479951,21.319982,21.5115886666667,502,570,353,"Abhd10",10.83551,11.441995,11.652591,366,588,127,11.310032,1.82871893969623
"ABHD11",5.79209,6.6316,4.983045,5.802245,56,74,48,"Abhd11",14.205171,12.188733,16.893946,276,355,101,14.4292833333333,0.440865907576178
"ABHD12",62.698382,74.955257,56.465736,64.7064583333333,591,762,413,"Abhd12",220.058829,194.911665,204.331185,3618,4930,1247,206.433893,0.316758545978469
"ABHD12B",3.562703,1.658765,4.615794,3.27908733333333,22,21,30,"Abhd12b",0.266634,0.335715,0.208905,7,20,3,0.270418,3.36825149937527
"ABHD13",2.86622,3.359063,3.388676,3.204653,195,241,166,"Abhd13",5.454363,4.367787,4.270211,591,721,144,4.69745366666667,0.737988098894003
"ABHD14A",25.012009,25.594496,21.460029,24.022178,268,287,164,"Abhd14a",13.142815,14.339487,11.925889,244,407,75,13.1360636666667,1.77009516864325
"ABHD14B",1.988993,2.13046,2.242736,2.12072966666667,33,40,33,"Abhd14b",12.490752,10.736031,18.244562,299,361,106,13.8237816666667,0.210521831529944
"ABHD15",0.139043,0.156659,0.265244,0.186982,6,8,8,"Abhd15",0.515703,0.794554,0.51023,29,56,9,0.606829,0.738710839796892
"ABHD16A",34.317671,41.166479,61.739668,45.7412726666667,552,678,517,"Abhd16a",51.520744,49.225194,58.978636,1022,1419,372,53.2415246666667,0.861724904561741
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0,0.018444,0,0,1,0,0.006148,0.993889566942438
"ABHD17A",13.189788,17.685175,18.251272,16.3754116666667,437,578,391,"Abhd17a",54.09094,54.838004,80.823187,1138,1767,543,63.2507103333333,0.270431432999306
"ABHD17B",9.608137,10.13461,9.429544,9.724097,351,345,244,"Abhd17b",15.276339,14.658277,14.065653,575,887,163,14.6667563333333,0.68451291204312
"ABHD17C",26.356909,23.923575,30.757178,27.012554,465,485,360,"Abhd17c",8.324551,5.812786,7.446699,240,377,81,7.19467866666667,3.41838345827349
"ABHD18",3.898036,4.946809,4.114577,4.31980733333333,195,202,135,"Abhd18",5.207263,4.045483,2.511846,323,360,56,3.92153066666667,1.08092536522513
"ABHD2",24.811763,18.501694,16.975591,20.0963493333333,1534,1881,1288,"Abhd2",10.865608,9.806749,11.171332,1666,2251,544,10.614563,1.81637047673109
"ABHD3",2.112366,4.383957,4.812756,3.769693,34,41,40,"Abhd3",46.049488,40.965363,48.916433,1107,1482,417,45.310428,0.102993930438302
"ABHD4",5.832204,5.914283,14.836758,8.86108166666667,103,107,75,"Abhd4",41.709837,46.489543,44.554436,1708,2683,643,44.251272,0.217918330929276
"ABHD5",6.272151,9.717485,9.994526,8.66138733333333,224,264,185,"Abhd5",23.061725,28.261032,19.459388,517,895,157,23.5940483333333,0.392834363923684
"ABHD6",12.738211,13.156293,8.173231,11.3559116666667,201,211,124,"Abhd6",17.219782,14.994396,17.500717,721,938,243,16.5716316666667,0.703173837299685
"ABHD8",7.19407,9.390167,9.704944,8.76306033333333,145,236,124,"Abhd8",50.936956,38.078002,64.276007,2090,2352,803,51.0969883333333,0.187401626191252
"ABI1",19.731057,19.365981,20.50402,19.8670193333333,618,612,424,"Abi1",61.0719,45.96582,56.390212,1232,1550,346,54.4759773333333,0.376145141309573
"ABI2",50.424881,51.894418,63.248999,55.1894326666667,3251,3183,2502,"Abi2",30.069824,20.950699,16.188413,1747,2281,476,22.4029786666667,2.40095218078793
"ABI3",0,0.209091,0.075429,0.09484,0,3,1,"Abi3",2.297924,3.572839,4.360517,45,62,12,3.41042666666667,0.248239021470334
"ABI3BP",0.99652,1.116168,1.795284,1.30265733333333,15,18,16,"Abi3bp",0.700963,0.658903,0.637616,65,89,18,0.665827333333333,1.38229052150663
"ABITRAM",12.878776,15.022405,19.706706,15.8692956666667,130,158,143,"Abitram",4.721721,3.482861,4.223285,316,411,72,4.14262233333333,3.28029059363812
"ABL1",23.387004,25.535463,27.529949,25.4841386666667,995,1264,955,"Abl1",17.252337,18.901642,11.215876,1307,2217,446,15.7899516666667,1.57738028032838
"ABL2",4.876134,5.408775,4.808567,5.03115866666667,785,862,542,"Abl2",6.505006,5.893185,4.067408,1208,1501,243,5.488533,0.92951036338517
"ABLIM1",100.860799,75.151885,120.837451,98.950045,7750,6453,5627,"Ablim1",19.932181,14.238708,13.501742,2058,2420,544,15.890877,5.91739819075114
"ABLIM2",19.980956,30.901303,25.59889,25.4937163333333,462,672,364,"Ablim2",77.501144,78.624032,83.529767,2000,2948,656,79.884981,0.327548031856907
"ABLIM3",48.422608,52.934019,47.138285,49.498304,1626,2148,1222,"Ablim3",3.978462,2.558477,2.756626,379,366,82,3.097855,12.3231066008924
"ABO",0.839964,0.413628,1.770949,1.00818033333333,23,39,31,"Abo",0,0.018597,0.087707,0,1,1,0.0354346666666667,1.93945634425993
"ABR",591.586845,672.731938,685.513728,649.944170333333,3340,3625,3006,"Abr",74.646676,57.404363,59.13765,5473,6170,1543,63.729563,10.0563659039894
"ABRA",0.028665,0.053548,0.080009,0.054074,1,2,2,"Abra",0.018005,0.01128,0,1,1,0,0.00976166666666667,1.04388395281395
"ABRACL",19.223716,14.20645,19.051796,17.4939873333333,138,111,99,"Abracl",36.891442,26.41917,26.414674,73,83,21,29.9084286666667,0.598347704206596
"ABRAXAS1",4.102444,3.794132,3.584166,3.826914,77,83,56,"Abraxas1",4.084361,3.180293,2.25232,103,114,24,3.17232466666667,1.15688839810644
"ABRAXAS2",9.187908,9.791007,10.77312,9.917345,353,405,295,"Abraxas2",11.466733,11.511173,8.682248,552,673,163,10.5533846666667,0.94494776335962
"ABT1",4.88843,4.285503,5.231131,4.801688,188,179,143,"Abt1",1.876958,1.547864,2.244052,184,227,69,1.88962466666667,2.00776525301902
"ABTB1",2.982307,4.057105,10.245762,5.76172466666667,62,115,92,"Abtb1",20.185235,16.277574,21.128845,464,615,144,19.197218,0.334784952396249
"ABTB2",1.344934,1.96267,3.69669,2.33476466666667,85,140,90,"Abtb2",4.27992,4.990935,4.435689,419,704,139,4.568848,0.598824867668621
"ACAA1",46.486176,54.061449,53.958237,51.501954,591,740,475,"Acaa1a",43.817628,41.570631,39.136331,1187,1805,406,41.5081966666667,1.23510188897686
"ACAA1",46.486176,54.061449,53.958237,51.501954,591,740,475,"Acaa1b",0.773102,0.218939,0.620438,15,11,7,0.537493,34.1477678272356
"ACAA2",7.463552,10.616386,8.612113,8.89735033333333,146,199,117,"Acaa2",20.963765,13.131852,15.757114,326,408,95,16.617577,0.56178839651635
"ACACA",87.127535,78.297049,72.405289,79.2766243333333,3380,3012,2176,"Acaca",22.195442,21.317759,10.804532,2827,4307,669,18.105911,4.20166430867041
"ACACB",3.694984,3.933355,3.564281,3.73087333333333,62,63,54,"Acacb",2.966425,2.245241,1.899891,253,405,100,2.370519,1.40360381689981
"ACAD10",11.611479,11.630295,14.269463,12.5037456666667,185,171,157,"Acad12",3.266996,2.897114,5.625146,122,192,60,3.929752,2.73923427926327
"ACAD10",11.611479,11.630295,14.269463,12.5037456666667,185,171,157,"Acad10",1.395235,2.376533,2.320622,85,127,26,2.03079666666667,4.45551026737744
"ACAD11",6.956361,6.78533,9.702243,7.81464466666667,123,171,123,"Acad11",11.338964,9.925988,11.505482,562,777,163,10.923478,0.739267910476009
"ACAD8",28.56967,26.216904,35.090426,29.959,521,559,449,"Acad8",14.2754,12.586996,10.959902,352,475,104,12.6074326666667,2.27515364274691
"ACAD9",16.730664,15.138342,15.036653,15.6352196666667,348,375,288,"Acad9",41.203767,34.89229,35.359212,975,1301,247,37.1517563333333,0.436027624031883
"ACADL",0.288112,0.704497,0.707281,0.56663,9,17,9,"Acadl",25.651733,24.871783,24.52402,840,1274,288,25.0158453333333,0.0602183008058063
