"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"CA2",0.909684,1.428605,0.817229,1.05183933333333,11,21,10,"Car2",39.290168,32.488959,34.375104,2438,495,855,35.3847436666667,0.0563928483908242
"CA3",0.147373,0.301661,0,0.149678,3,4,0,"Car3",1.660958,1.147379,5.58028,105,18,122,2.79620566666667,0.302849239727704
"CA4",0.164039,0.241647,0,0.135228666666667,1,2,0,"Car4",1.848666,2.49422,2.719231,69,11,28,2.354039,0.338466149817181
"CA5A",0,0.088491,0,0.029497,0,1,0,"Car5a",0.086101,0.090392,0.219057,4,1,4,0.13185,0.909570172726068
"CA5B",1.574676,2.853433,2.022286,2.15013166666667,72,75,49,"Car5b",2.401276,2.51049,2.688338,331,86,146,2.533368,0.891537950948406
"CA6",0.303425,0.140241,0,0.147888666666667,5,3,0,"Car6",0,0,0,0,0,0,0,1.14788866666667
"CA7",0,0,0,0,0,0,0,"Car7",1.487564,1.222961,1.82935,87,22,41,1.51329166666667,0.39788458031466
"CA8",0.279185,0.125383,0.055567,0.153378333333333,6,9,3,"Car8",4.555561,4.586866,4.206448,711,178,257,4.449625,0.211643614621801
"CA9",0.880322,0.805136,2.481494,1.388984,3,3,4,"Car9",0.761859,2.133898,0.199119,16,4,6,1.03162533333333,1.1758979181857
"CAAP1",10.445434,14.97333,12.740463,12.7197423333333,123,180,137,"Caap1",3.142214,3.09965,2.826638,234,58,84,3.022834,3.41046693284718
"CAB39",45.294997,46.924006,47.927901,46.7156346666667,1715,1852,1357,"Cab39",95.220603,78.619649,94.648188,12273,2879,4846,89.4961466666667,0.527267032069579
"CAB39L",15.063411,15.094134,17.390445,15.84933,413,481,377,"Cab39l",72.100682,87.285797,75.767141,6254,1523,2441,78.38454,0.212249513570275
"CABIN1",31.05113,26.262792,32.248711,29.854211,1073,1012,802,"Cabin1",23.936117,21.316065,25.006245,2284,499,836,23.4194756666667,1.26350833331434
"CABLES1",3.43695,3.73283,4.852357,4.007379,80,132,70,"Cables1",1.914265,1.983433,2.001507,221,51,86,1.96640166666667,1.68803134662029
"CABLES2",9.40654,8.579223,15.100469,11.028744,295,383,329,"Cables2",10.502452,10.761015,10.927107,1211,297,510,10.7301913333333,1.0254516450911
"CABP1",1.289133,2.21409,2.81394,2.105721,20,28,25,"Cabp1",129.16999,151.416863,132.640954,3570,1013,1658,137.742602333333,0.022384768252641
"CABP2",0,0,0,0,0,0,0,"Cabp2",0,0,0,0,0,0,0,1
"CABP4",0.13851,0.709416,0.382262,0.410062666666667,2,4,2,"Cabp4",0.144078,0.307293,0.095538,16,8,4,0.182303,1.19264069080994
"CABP5",0,0.040737,0,0.013579,0,1,0,"Cabp5",0.04427,0,0.263696,3,0,2,0.102655333333333,0.919216521572471
"CABP7",0.454455,0.314592,0.142816,0.303954333333333,18,14,4,"Cabp7",10.308728,9.054665,10.530666,1123,240,451,9.96468633333333,0.118923085776675
"CABS1",0,0,0,0,0,0,0,"Cabs1",0,0,0,0,0,0,0,1
"CABYR",17.732495,20.757967,18.442107,18.977523,178,195,125,"Cabyr",2.531498,2.067741,2.654874,165,30,66,2.41803766666667,5.8447345957666
"CACFD1",26.297542,23.868455,37.133228,29.0997416666667,243,282,252,"Cacfd1",24.548468,19.233137,26.208712,1700,337,631,23.3301056666667,1.23713978389764
"CACHD1",12.401908,12.608526,17.136022,14.0488186666667,892,985,875,"Cachd1",17.302255,22.846873,23.83746,1322,318,542,21.3288626666667,0.673962614725204
"CACNA1A",78.830085,56.493723,97.535457,77.619755,1678,1642,1500,"Cacna1a",25.722306,25.086476,56.724076,4308,941,1751,35.844286,2.13383847362383
"CACNA1B",27.392557,25.636533,28.893316,27.3074686666667,2594,2865,2192,"Cacna1b",81.953626,77.558349,86.945611,7661,1728,3179,82.1525286666667,0.340428236165165
"CACNA1C",10.359152,11.304699,12.26498,11.3096103333333,1036,1219,802,"Cacna1c",8.322753,8.280548,9.114418,4199,958,1699,8.572573,1.28592493714421
"CACNA1D",10.562051,8.557736,11.436271,10.1853526666667,406,365,298,"Cacna1d",3.729349,3.327817,3.174332,480,118,217,3.41049933333333,2.53607399555213
"CACNA1E",23.368068,23.200403,21.741719,22.7700633333333,2755,2739,1719,"Cacna1e",3.485999,5.973042,2.181449,1185,291,461,3.88016333333333,4.87075159369666
"CACNA1F",0.012577,0.294507,0.294134,0.200406,1,3,4,"Cacna1f",0.033205,0.063039,0.024397,6,3,2,0.0402136666666667,1.15399945075387
"CACNA1G",2.327275,3.011332,0.967445,2.10201733333333,121,232,58,"Cacna1g",0.493508,0.179795,0.606165,25,9,12,0.426489333333333,2.17458151340307
"CACNA1H",19.192522,19.991541,24.819487,21.3345166666667,1385,1529,1094,"Cacna1h",19.850681,17.728594,21.451753,2707,560,1086,19.6770093333333,1.0801618506145
"CACNA1I",2.826133,2.364204,2.287714,2.49268366666667,357,338,201,"Cacna1i",7.83524,3.014154,14.531974,813,166,310,8.460456,0.369187665654453
"CACNA1S",0,0.011062,0.017058,0.00937333333333333,0,1,1,"Cacna1s",0.150419,0.365674,0.673719,10,2,25,0.396604,0.722734098809207
"CACNA2D1",15.429994,17.695807,18.888068,17.3379563333333,1538,1881,1292,"Cacna2d1",43.289976,39.426668,46.199789,10807,2493,4545,42.9721443333333,0.417035753233261
"CACNA2D2",13.141491,13.639498,18.999227,15.260072,910,1016,872,"Cacna2d2",10.82084,10.258163,11.258798,1773,376,733,10.779267,1.3803976087816
"CACNA2D3",27.434856,24.624725,20.234767,24.098116,896,871,585,"Cacna2d3",24.901768,28.809721,28.431255,2401,601,989,27.3809146666667,0.884330765754977
"CACNA2D4",0.026763,0.234526,0.037694,0.099661,1,2,1,"Cacna2d4",0.014501,0.156903,0.400892,2,4,4,0.190765333333333,0.923490942519881
"CACNB1",46.421084,44.193187,45.378467,45.3309126666667,1088,1270,891,"Cacnb1",17.085979,16.934492,16.999676,2099,505,785,17.0067156666667,2.57297963295065
"CACNB2",4.972463,4.309017,5.316985,4.866155,156,211,144,"Cacnb2",3.505753,3.799989,2.216685,192,49,85,3.17414233333333,1.40535576689726
"CACNB3",127.072801,109.389352,133.613105,123.358419333333,1450,1454,1270,"Cacnb3",209.464576,148.738886,172.919487,11838,2668,4263,177.040983,0.698481985652333
"CACNB4",3.318061,7.571864,7.104108,5.998011,326,366,281,"Cacnb4",130.895244,76.093906,62.9855,8320,1921,3570,89.99155,0.0769083612709092
"CACNG1",0.333323,0.120922,0.281268,0.245171,5,2,3,"Cacng1",0,0,0.225121,0,0,4,0.0750403333333333,1.15825514763632
"CACNG2",7.045284,7.448202,8.497904,7.66379666666667,199,233,174,"Cacng2",3.654088,3.958684,4.041518,814,215,366,3.88476333333333,1.77363693498627
"CACNG3",9.092619,5.962301,3.51698,6.19063333333333,215,154,59,"Cacng3",0.948824,0.887786,0.851943,71,13,15,0.896184333333333,3.79215944722674
"CACNG4",46.109377,44.383139,63.501461,51.3313256666667,2111,2251,2056,"Cacng4",3.048534,3.14895,3.602817,251,53,105,3.266767,12.2648660371346
"CACNG5",0.62543,2.254313,2.383389,1.75437733333333,91,358,247,"Cacng5",5.168761,4.549831,5.539129,800,171,336,5.085907,0.452582882606214
"CACNG6",0.056325,0.146723,0,0.0676826666666667,1,3,0,"Cacng6",0,0,0.065356,0,0,2,0.0217853333333333,1.04491876310614
"CACNG7",54.9223,68.459877,70.228857,64.5370113333333,1054,1385,1086,"Cacng7",37.115806,32.45027,34.843903,2744,566,1037,34.8033263333333,1.83047269751352
"CACNG8",9.369905,8.184452,10.290275,9.281544,1062,1028,821,"Cacng8",0.959139,0.979082,0.972732,30,8,18,0.970317666666667,5.21821641958581
"CACTIN",9.63297,11.386428,10.911974,10.6437906666667,141,199,147,"Cactin",8.226994,6.24282,5.602962,577,100,181,6.69092533333333,1.51396485624443
"CACUL1",16.461347,11.114919,12.963894,13.5133866666667,738,892,584,"Cacul1",20.462769,19.513162,19.576834,4162,956,1606,19.8509216666667,0.696054922592151
"CACYBP",346.14262,337.021716,359.994174,347.719503333333,748,949,622,"Cacybp",59.396735,59.963256,59.105004,4003,882,1485,59.4883316666667,5.76507061320559
"CAD",21.093846,19.172404,33.297336,24.5211953333333,490,603,468,"Cad",11.732225,8.004788,12.283128,917,197,342,10.6733803333333,2.18627292220211
"CADM1",189.672033,188.148577,209.114607,195.645072333333,5795,5455,4351,"Cadm1",123.650433,113.701345,125.228001,16808,4060,6242,120.859926333333,1.61369761372934
"CADM2",9.637837,11.198078,11.278782,10.704899,1131,1420,977,"Cadm2",8.959478,8.832687,10.546344,1534,378,693,9.44616966666667,1.12049673454471
"CADM3",99.812723,114.01995,113.850005,109.227559333333,4115,5322,3499,"Cadm3",153.313286,137.909436,150.770134,21885,4984,8453,147.330952,0.743119071556511
"CADM4",228.479285,187.412264,184.133742,200.008430333333,1851,1681,1151,"Cadm4",48.780785,49.956216,53.575711,2866,777,1207,50.770904,3.88265250947392
"CADPS2",1.573395,0.887044,5.369744,2.610061,39,48,164,"Cadps2",14.746881,12.269349,13.444472,2064,486,772,13.4869006666667,0.249194847335876
"CAGE1",0.372885,0.021401,0.038203,0.144163,4,1,1,"Cage1",1.825457,1.713221,1.978324,203,52,69,1.83900066666667,0.403016108250298
"CALB1",3.049177,4.74372,9.197213,5.66337,43,88,108,"Calb1",15.77294,15.551519,17.538647,2434,553,893,16.287702,0.385439892473852
"CALB2",8.802388,7.657908,6.345965,7.602087,95,73,47,"Calb2",5.308248,6.24218,6.794652,284,81,142,6.11502666666667,1.20900277722079
"CALCA",0.595077,0.685665,0.327469,0.536070333333333,5,5,2,"Calca",2502.382045,2097.241518,2343.699291,36720,6815,13263,2314.44095133333,0.000663402939491416
"CALCB",0.61713,0.960107,0.923582,0.833606333333333,7,14,8,"Calcb",144.363627,124.723823,131.291046,4324,864,1497,133.459498666667,0.0136368672463889
