"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"LRRC34",1.744,0.949857,1.239476,1.311111,28,27,24,"Lrrc34",0.114681,0.08865,0.135625,3,4,6,0.112985333333333,2.07649726441439
"LRRC36",0.720324,1.056458,1.979531,1.25210433333333,9,15,18,"Lrrc36",0.384933,0.264518,0.197989,10,14,10,0.28248,1.7560541554904
"LRRC37A",1.912267,2.36614,1.652946,1.97711766666667,104,133,60,"Lrrc37a",0,0,0,0,0,0,0,2.97711766666667
"LRRC37A",1.912267,2.36614,1.652946,1.97711766666667,104,133,60,"Gm884",0.005807,0.003348,0.003324,1,1,1,0.00415966666666667,2.96478514870975
"LRRC37A2",8.935458,7.837975,10.395458,9.056297,388,384,326,"Lrrc37a",0,0,0,0,0,0,0,10.056297
"LRRC37A2",8.935458,7.837975,10.395458,9.056297,388,384,326,"Gm884",0.005807,0.003348,0.003324,1,1,1,0.00415966666666667,10.0146394381504
"LRRC37A3",24.197537,20.300886,28.164833,24.2210853333333,446,414,335,"Lrrc37a",0,0,0,0,0,0,0,25.2210853333333
"LRRC37A3",24.197537,20.300886,28.164833,24.2210853333333,446,414,335,"Gm884",0.005807,0.003348,0.003324,1,1,1,0.00415966666666667,25.1166086137032
"LRRC37B",20.314839,23.047244,29.581654,24.314579,206,240,195,"Lrrc37a",0,0,0,0,0,0,0,25.314579
"LRRC37B",20.314839,23.047244,29.581654,24.314579,206,240,195,"Gm884",0.005807,0.003348,0.003324,1,1,1,0.00415966666666667,25.2097149888846
"LRRC38",0.169892,0,0,0.0566306666666667,4,0,0,"Lrrc38",0.867585,0.911404,0.916674,26,52,54,0.898554333333333,0.556544865804034
"LRRC39",1.82631,3.466849,2.136985,2.47671466666667,34,75,34,"Lrrc39",0.043718,0.06474,0.041062,2,5,3,0.04984,3.31166145952399
"LRRC3B",4.99129,3.778266,11.968987,6.91284766666667,146,120,301,"Lrrc3b",6.437275,8.014387,8.093355,127,277,285,7.51500566666667,0.929282724689516
"LRRC3C",0,0,0,0,0,0,0,"Lrrc3c",0,0,0,0,0,0,0,1
"LRRC4",7.58323,9.416784,16.444522,11.1481786666667,293,292,254,"Lrrc4",23.380647,13.970263,13.289515,1269,1348,1290,16.8801416666667,0.679422953863621
"LRRC40",26.946457,26.777512,30.893625,28.2058646666667,954,1002,784,"Lrrc40",16.642085,11.982687,12.674957,326,570,466,13.7665763333333,1.97783589150173
"LRRC41",25.23229,23.232149,27.806578,25.4236723333333,971,994,768,"Lrrc41",18.575021,16.802212,15.336722,451,971,959,16.9046516666667,1.47579929647705
"LRRC42",10.841388,9.047224,10.522987,10.1371996666667,223,188,149,"Lrrc42",27.123669,30.547484,30.571042,193,358,344,29.414065,0.366185831018204
"LRRC43",1.851711,2.835549,1.833182,2.17348066666667,22,19,13,"Lrrc43",0.105461,0.174383,0.113541,3,9,6,0.131128333333333,2.80558852001762
"LRRC45",5.654034,7.661903,9.35134,7.555759,103,143,121,"Lrrc45",10.650941,5.1834,5.003158,288,272,251,6.945833,1.0767604856533
"LRRC46",1.80638,1.820629,1.539627,1.722212,19,30,16,"Lrrc46",0.341622,1.142785,0.719244,6,36,23,0.734550333333333,1.56940501966792
"LRRC47",32.860434,38.023574,26.032076,32.3053613333333,633,806,497,"Lrrc47",44.817466,18.182327,13.876769,658,608,526,25.6255206666667,1.25088112830895
"LRRC49",46.510644,47.997573,59.826309,51.444842,508,557,450,"Lrrc49",30.053892,29.653189,27.834284,835,1593,1582,29.180455,1.737708791998
"LRRC4B",25.955012,36.773719,45.897448,36.2087263333333,751,1109,801,"Lrrc4b",39.031651,30.904189,33.69878,1331,2067,2169,34.5448733333333,1.04680992908307
"LRRC4C",5.323849,7.004603,11.459403,7.929285,214,286,301,"Lrrc4c",36.332623,19.713421,21.529889,1598,1558,1337,25.8586443333333,0.332454791432573
"LRRC52",0,0,0,0,0,0,0,"Lrrc52",0,0,0,0,0,0,0,1
"LRRC55",8.981518,12.326027,16.762902,12.690149,651,974,867,"Lrrc55",7.83093,5.240732,5.558785,392,458,494,6.210149,1.89873316071554
"LRRC56",1.738638,1.344435,1.798213,1.62709533333333,58,52,42,"Lrrc56",2.843003,2.884961,3.190102,39,77,75,2.97268866666667,0.661289004440821
"LRRC57",12.448784,11.119566,13.308883,12.292411,371,463,380,"Lrrc57",23.689459,21.774869,21.516576,351,623,597,22.326968,0.569830206823279
"LRRC58",1.804518,1.612983,2.316229,1.91124333333333,187,179,172,"Lrrc58",15.551786,6.133331,5.300704,2011,1386,1172,8.99527366666667,0.291261993460176
"LRRC59",20.137836,22.618604,22.775795,21.8440783333333,722,906,600,"Lrrc59",27.726461,26.520172,24.523144,1122,1954,1841,26.2565923333333,0.838112044747291
"LRRC6",4.242795,2.90662,3.836154,3.66185633333333,62,42,39,"Lrrc6",2.156984,2.37071,1.914964,63,119,94,2.14755266666667,1.48110510832861
"LRRC61",5.75006,4.859091,5.295217,5.301456,120,118,75,"Lrrc61",24.569726,12.836262,17.1237,275,272,293,18.1765626666667,0.328601955915353
"LRRC63",0.191809,0.232767,0.397729,0.274101666666667,7,7,1,"Lrrc63",0,0,0,0,0,0,0,1.27410166666667
"LRRC66",0.523157,0.941901,0.448912,0.63799,23,45,14,"Lrrc66",0,0,0,0,0,0,0,1.63799
"LRRC69",0.527713,0.793282,0.352688,0.557894333333333,6,15,6,"Lrrc69",0,0,0,0,0,0,0,1.55789433333333
"LRRC7",11.686055,9.816009,16.519712,12.6739253333333,336,362,281,"Lrrc7",11.919755,4.269038,3.206368,1090,624,491,6.46505366666667,1.83172498737562
"LRRC71",0.402109,0,0.408076,0.270061666666667,5,0,3,"Lrrc71",0.079056,1.268266,1.369805,4,20,16,0.905709,0.666450998902071
"LRRC73",3.143516,3.095791,2.147303,2.79553666666667,61,72,28,"Lrrc73",16.739434,19.064292,16.341934,257,546,479,17.3818866666667,0.206482432162386
"LRRC74A",0,0,0,0,0,0,0,"Lrrc74a",0,0,0,0,0,0,0,1
"LRRC74B",0.185904,0.100675,0.116779,0.134452666666667,11,6,5,"Lrrc74b",0.251221,0.542792,0.578071,8,27,32,0.457361333333333,0.778429234205015
"LRRC75A",1.270834,1.635825,1.045411,1.31735666666667,41,61,25,"Lrrc75a",6.420354,6.167204,4.805868,152,272,230,5.79780866666667,0.340897601021035
"LRRC75B",14.149882,14.087292,21.168099,16.4684243333333,194,205,208,"Lrrc75b",5.038531,3.229236,5.073089,272,396,427,4.446952,3.20700904530338
"LRRC8A",17.990969,20.510213,23.022771,20.5079843333333,997,1108,863,"Lrrc8a",11.658817,6.818903,6.974812,746,806,832,8.48417733333333,2.26777543032023
"LRRC8B",3.586162,3.153505,4.197643,3.64577,371,349,311,"Lrrc8b",20.483118,6.457069,6.674533,2134,1180,1208,11.2049066666667,0.380647728563813
"LRRC8C",1.604803,1.401895,1.255649,1.42078233333333,149,135,84,"Lrrc8c",5.68937,1.889056,1.609632,613,356,301,3.062686,0.595857600940199
"LRRC8D",15.502317,16.265164,19.048699,16.9387266666667,650,740,585,"Lrrc8d",10.159014,5.864475,6.089318,599,581,596,7.37093566666667,2.1429774855515
"LRRC8E",0.809895,0.227545,0.887214,0.641551333333333,5,3,3,"Lrrc8e",0.017163,0.009589,0.047189,1,1,5,0.024647,1.60206523157081
"LRRC9",0.438199,1.726791,1.756899,1.30729633333333,12,27,11,"Lrrc9",0.908166,0.3265,0.399002,22,27,31,0.544556,1.49382497839724
"LRRCC1",1.189049,1.284556,1.166462,1.21335566666667,50,63,31,"Lrrcc1",4.220811,3.983932,3.427707,230,288,307,3.87748333333333,0.453790513550362
"LRRD1",0.814129,0.520259,0.387642,0.57401,25,14,9,"Lrrd1",0.023177,0,0.086872,1,0,3,0.036683,1.51831369859446
"LRRFIP1",69.724667,64.396753,58.306424,64.1426146666667,989,1069,675,"Lrrfip1",184.749667,98.798389,87.532237,500,562,486,123.693431,0.522422184907773
"LRRFIP2",62.620552,52.600491,48.87553,54.6988576666667,833,883,587,"Lrrfip2",23.596994,13.194191,12.67105,376,575,516,16.4874116666667,3.18508300304019
"LRRIQ3",0.26672,0.258935,0.483061,0.336238666666667,4,3,4,"Lrriq3",0.273805,0.276939,0.301475,8,14,12,0.284073,1.04062515656561
"LRRIQ4",0.133775,0,0.062785,0.06552,3,0,1,"Lrriq4",0,0.045035,0,0,2,0,0.0150116666666667,1.04976133279256
"LRRK1",2.396319,3.256254,2.225905,2.62615933333333,426,480,244,"Lrrk1",1.622209,1.283579,0.58371,72,79,93,1.163166,1.6763204180046
"LRRK2",0.341829,0.754136,1.017516,0.704493666666667,19,36,31,"Lrrk2",24.096044,9.874167,5.731149,900,520,383,13.2337866666667,0.119749839349379
"LRRN1",14.09422,13.362369,25.091686,17.5160916666667,936,895,1191,"Lrrn1",19.716504,13.487572,13.982826,1078,1307,1364,15.7289673333333,1.10682813216883
"LRRN2",11.617093,10.850511,11.837853,11.4351523333333,515,521,363,"Lrrn2",28.564022,18.315939,16.509232,1369,1700,1561,21.129731,0.561920627653962
"LRRN3",22.081854,16.193897,15.955506,18.0770856666667,1031,793,530,"Lrrn3",14.052283,12.643963,10.571442,817,1275,1075,12.4225626666667,1.42127000189333
"LRRN4",0.265151,0.407329,0.467349,0.379943,9,16,11,"Lrrn4",0.204973,0.182846,0.149876,11,18,15,0.179231666666667,1.1702051759691
"LRRN4CL",0.28419,0.444276,0.237702,0.322056,7,13,4,"Lrrn4cl",0.463496,0.337656,0.52664,17,22,33,0.442597333333333,0.916441455596757
"LRRTM1",13.120423,11.10842,11.407368,11.878737,339,339,206,"Lrrtm1",20.980165,20.167606,17.472635,788,1407,1232,19.5401353333333,0.627003512440343
"LRRTM2",5.915178,5.682893,8.263622,6.62056433333333,337,501,387,"Lrrtm2",14.037152,9.908332,8.325223,1131,1416,1039,10.7569023333333,0.648177905818559
"LRRTM3",7.059976,6.149724,2.485805,5.231835,281,241,98,"Lrrtm3",27.125371,20.928684,16.42033,566,831,664,21.4914616666667,0.27707558949963
"LRRTM4",5.955676,5.53489,5.253268,5.581278,209,212,110,"Lrrtm4",9.988568,9.562402,8.351006,459,714,564,9.30065866666667,0.638918171446383
"LRSAM1",18.676049,21.261881,21.523519,20.4871496666667,744,945,613,"Lrsam1",12.257689,13.764053,18.84557,370,608,647,14.9557706666667,1.34666949754772
"LRTM1",0.060881,0.135061,0,0.065314,1,2,0,"Lrtm1",0.017657,0,0.005114,2,0,1,0.00759033333333333,1.05728882538571
"LRTM2",0.05601,0.442619,0.081552,0.193393666666667,2,7,3,"Lrtm2",20.959115,16.523569,14.676785,856,1157,1090,17.3864896666667,0.0649060091568322
"LRTOMT",28.466,28.615374,25.584111,27.5551616666667,40,47,33,"Lrrc51",1.80436,3.264581,2.527894,18,54,40,2.53227833333333,8.08406330758193
"LRWD1",32.2391,29.100891,33.485712,31.6085676666667,351,380,277,"Lrwd1",11.580712,14.698715,26.008478,96,179,183,17.4293016666667,1.76938704767345
"LSAMP",43.328571,30.157253,33.818559,35.7681276666667,4078,3218,2420,"Lsamp",71.309718,47.539802,48.258371,5712,3802,4059,55.7026303333333,0.648437778821207
"LSG1",23.079415,22.569881,20.083538,21.9109446666667,506,535,350,"Lsg1",9.758352,8.772425,8.259183,183,282,290,8.92998666666667,2.30724828096446
"LSM1",18.677248,22.189457,23.304159,21.390288,177,209,145,"Lsm1",22.448337,22.797821,27.695835,150,317,371,24.3139976666667,0.884502254240286
"LSM10",26.544542,27.414363,28.908339,27.6224146666667,226,251,175,"Lsm10",12.697123,12.793393,13.852644,59,111,134,13.1143866666667,2.02788936867253
"LSM11",14.358429,15.578794,18.690454,16.2092256666667,1256,1483,1158,"Lsm11",6.069085,3.254057,2.947623,590,565,520,4.090255,3.38081798783492
"LSM12",22.541147,23.982176,18.50408,21.675801,377,466,322,"Lsm12",11.93535,9.539978,13.681099,342,488,513,11.718809,1.78285569034019
"LSM14A",34.169087,43.427952,41.355095,39.6507113333333,554,644,405,"Lsm14a",37.338521,39.323098,37.770022,839,1277,1116,38.1438803333333,1.03849467623466
"LSM14B",33.275476,37.341627,39.668912,36.762005,867,1061,693,"Lsm14b",31.779532,23.025579,21.776662,966,1274,1134,25.5272576666667,1.42351710359607
"LSM2",20.560389,14.568746,40.82063,25.3165883333333,94,103,97,"Lsm2",17.07391,14.44681,11.727638,61,116,104,14.4161193333333,1.70708255199028
"LSM3",5.951488,6.437233,5.01783,5.80218366666667,264,309,158,"Lsm3",17.828262,23.266929,25.957705,107,243,267,22.3509653333333,0.291302032681133
"LSM4",50.715957,52.761501,54.243351,52.573603,395,466,322,"Lsm4",50.127463,77.362368,74.53731,157,427,477,67.3423803333333,0.783900161783947
"LSM5",28.316423,32.137585,36.218335,32.2241143333333,212,228,217,"Lsm5",19.286642,20.980387,30.604781,20,45,67,23.6239366666667,1.3492608750212
"LSM6",13.80953,19.674038,16.641488,16.708352,62,83,53,"Lsm6",30.849124,37.11188,38.352914,343,702,754,35.4379726666667,0.485986203513445
"LSM7",54.65576,67.270462,72.893671,64.9399643333333,206,267,186,"Lsm7",20.721205,20.888251,28.55753,91,154,207,23.3889953333333,2.70367694249426
"LSM8",34.47895,39.141446,44.198264,39.2728866666667,382,385,353,"Lsm8",19.940862,12.246808,15.533423,169,211,225,15.907031,2.3820200404593
"LSMEM1",5.721235,4.355959,4.192042,4.756412,38,45,23,"Lsmem1",0.336134,0.265212,0.304562,6,8,9,0.301969333333333,4.42131151066538
"LSMEM2",0.058918,0,0.175176,0.0780313333333333,1,0,2,"Lsmem2",0.402556,0.141089,0.160569,9,5,6,0.234738,0.873085086336804
"LSP1",4.596003,0.162249,0.530216,1.76282266666667,4,3,1,"Lsp1",4.608095,6.216875,8.997311,34,85,94,6.607427,0.363174390850766
"LSR",1.762488,2.094815,2.55557,2.13762433333333,11,14,10,"Lsr",3.081324,3.398679,3.127895,85,181,167,3.20263266666667,0.74658543398749
"LSS",451.042557,281.406592,248.59947,327.016206333333,4680,3955,2520,"Lss",19.377043,8.990124,9.563284,477,521,534,12.6434836666667,24.0419686311299
"LST1",0.178177,0.121516,0.062752,0.120815,4,3,1,"Lst1",2.615214,3.934718,3.673837,7,19,18,3.407923,0.254272817379069
"LTA",0.062391,0.170791,0.087907,0.107029666666667,1,3,1,"Lta",0.166587,0.060217,0.088576,3,2,3,0.105126666666667,1.00172197455495
"LTA4H",14.504641,17.908115,13.668308,15.3603546666667,323,416,253,"Lta4h",22.368179,28.956325,27.503803,404,794,774,26.2761023333333,0.599805443854533
"LTB",0.174654,0.438346,0,0.204333333333333,1,3,0,"Ltb",0,0.370003,0.585094,0,7,13,0.318365666666667,0.913504776241897
"LTB4R2",1.036412,1.582848,2.443411,1.687557,29,58,34,"Ltb4r2",0.09677,0.010319,0.029391,5,1,2,0.0454933333333333,2.57061132224659
"LTBP1",1.122641,2.926117,5.523421,3.19072633333333,53,119,142,"Ltbp1",7.144182,1.108812,7.686593,93,73,87,5.31319566666667,0.663804284644644
"LTBP2",0.77899,1.08312,2.123648,1.328586,68,135,100,"Ltbp2",0.093427,0.117441,0.26026,7,5,7,0.157042666666667,2.01253252544994
"LTBP3",13.067991,11.615128,22.04854,15.5772196666667,108,187,130,"Ltbp3",73.054051,54.310984,68.06514,400,366,461,65.1433916666667,0.250625485765963
"LTBP4",73.599183,55.004507,69.026552,65.8767473333333,260,280,256,"Ltbp4",26.39129,8.745755,11.647188,712,445,599,15.5947443333333,4.02999564139112
"LTBR",1.803243,4.996228,1.540006,2.77982566666667,20,28,14,"Ltbr",5.667735,25.87777,35.118018,73,203,217,22.2211743333333,0.162774957562798
"LTF",0,0.295334,0.039933,0.111755666666667,0,4,1,"Ltf",0,0,0.013675,0,0,1,0.00455833333333333,1.10671090943781
"LTK",0.072381,0.161556,0.294929,0.176288666666667,3,5,3,"Ltk",4.449779,3.814484,3.301271,145,231,198,3.855178,0.242275085829328
"LTN1",4.004918,3.971098,4.864645,4.28022033333333,416,443,348,"Ltn1",8.963042,4.486273,4.05023,1054,907,812,5.83318166666667,0.772732321619821
"LTO1",12.745114,17.810378,11.988304,14.1812653333333,160,217,127,"LTO1",6.538725,14.724249,8.898424,131,245,207,10.0537993333333,1.37339794902495
"LTV1",9.26978,8.055443,9.588018,8.97108033333333,212,199,156,"Ltv1",7.163618,6.349567,6.999509,188,302,290,6.83756466666667,1.27221665879716
"LUC7L",96.773693,90.146147,108.239889,98.3865763333333,1043,1030,821,"Luc7l",24.915686,18.895578,13.910005,1322,1649,1318,19.240423,4.9103013476217
"LUC7L2",37.626115,35.391985,44.861671,39.293257,1000,953,823,"Luc7l2",40.443455,15.369847,12.810276,1785,1216,1031,22.874526,1.68770919263486
"LUC7L3",530.613905,491.883572,663.340468,561.945981666667,2262,2370,2132,"Luc7l3",70.186751,38.587015,45.330874,1399,1290,1208,51.3682133333333,10.7497649019151
"LUM",8.276953,5.734863,4.613846,6.208554,85,82,48,"Lum",1.509349,1.697607,1.358395,53,103,81,1.52178366666667,2.85851403325503
"LURAP1",0.733463,1.214323,1.285287,1.077691,16,30,20,"Lurap1",6.562641,5.012337,7.215852,364,509,547,6.26361,0.286041100774959
"LURAP1L",1.630279,1.599712,1.031154,1.42038166666667,37,43,25,"Lurap1l",3.278344,4.361423,3.747009,143,340,287,3.795592,0.504709672271258
"LUZP1",7.66626,7.150245,9.056768,7.95775766666667,713,832,602,"Luzp1",24.921768,6.377604,5.76822,1943,1216,1164,12.355864,0.670698478710675
"LUZP2",2.60032,3.233878,3.79734,3.21051266666667,158,194,124,"Luzp2",40.493263,35.295468,30.617292,2964,4429,3589,35.4686743333333,0.115455599734212
"LVRN",0.391358,0.196742,0.338211,0.308770333333333,11,11,4,"Lvrn",0,0,0,0,0,0,0,1.30877033333333
"LXN",1.613637,1.339498,2.028241,1.66045866666667,19,17,17,"Lxn",25.015762,28.756508,33.327699,328,702,760,29.033323,0.0885835598900151
"LY6D",0,0,0,0,0,0,0,"Ly6d",0,0.276354,0.408882,0,4,6,0.228412,0.814059126742493
"LY6E",47.930029,46.173031,41.109004,45.070688,476,587,304,"Ly6e",147.003787,136.422955,118.930013,1764,2952,2657,134.118918333333,0.340964008358514
"LY6G5B",8.496129,7.318311,9.438729,8.417723,158,209,166,"Ly6g5b",0.155096,0,0,2,0,0,0.0516986666666667,8.95477316696544
"LY6G5C",12.819588,11.473495,14.982979,13.0920206666667,76,74,57,"Ly6g5c",0,0,0,0,0,0,0,14.0920206666667
"LY6G6C",0.303144,1.173332,0.728315,0.734930333333333,3,12,5,"Ly6g6c",0.087317,0,0,1,0,0,0.0291056666666667,1.68586219037436
"LY6G6D",2.733303,1.279051,0,1.33745133333333,10,5,0,"Ly6g6d",1.252667,0.308491,0.900292,5,3,11,0.820483333333333,1.28397293758983
"LY6G6F",0,0,0,0,0,0,0,"Ly6g6f",0.420085,0.267864,0.566088,6,7,15,0.418012333333333,0.705212484047506
"LY6H",129.507181,126.923005,109.095598,121.841928,1123,1290,652,"Ly6h",96.034021,148.978391,147.587945,931,2815,2801,130.866785666667,0.93156079735287
"LY6K",0,0,0.225382,0.0751273333333333,0,0,1,"Ly6k",0,0.193424,0.095167,0,2,1,0.096197,0.980779306395961
"LY6L",0,0,0,0,0,0,0,"Ly6l",0,0,0,0,0,0,0,1
"LY75",0.085004,0.171767,0.262149,0.172973333333333,8,8,8,"Ly75",0.253534,0.115396,0.128868,27,20,22,0.165932666666667,1.00603865632035
"LY86",0,0,0,0,0,0,0,"Ly86",5.405923,7.712157,8.425594,77,193,212,7.18122466666667,0.122231088955957
"LY9",0.046753,0.048208,0.136213,0.077058,3,4,3,"Ly9",0.162764,0.073787,0.037224,5,4,2,0.0912583333333333,0.986987193683134
"LY96",1.923427,2.133227,0.541453,1.53270233333333,8,8,1,"Ly96",0.346362,0.387506,0.38433,2,4,4,0.372732666666667,1.84500769511325
"LYAR",2.294837,2.443994,2.15829,2.29904033333333,35,38,24,"Lyar",5.827089,5.750068,6.721698,89,165,161,6.09961833333333,0.46467854727402
"LYG1",0.371174,1.34138,0.633357,0.781970333333333,4,16,5,"Lyg1",0,0,0.146567,0,0,1,0.0488556666666667,1.69896620666269
"LYG2",0.52661,0.246104,0,0.257571333333333,4,2,0,"Lyg2",0.08072,0.03089,0.015228,3,2,1,0.0422793333333333,1.20655883035834
"LYL1",0.2294,0.04917,0,0.0928566666666667,4,1,0,"Lyl1",0.646101,0.944278,1.158148,14,37,34,0.916175666666667,0.570332191185672
"LYN",0.124343,0.937924,0.642274,0.568180333333333,10,15,6,"Lyn",2.369229,2.446634,1.865871,123,189,159,2.22724466666667,0.485919257851951
"LYNX1",34.458265,38.041992,24.914534,32.471597,1051,1331,600,"Lynx1",80.408974,62.983598,59.200023,4825,6920,6512,67.530865,0.488416379977109
"LYPD1",26.124058,20.512819,21.397875,22.6782506666667,778,706,466,"Lypd1",154.603132,152.413158,164.815129,1413,1890,1740,157.277139666667,0.149599940436966
"LYPD2",0,0,0,0,0,0,0,"Lypd2",0.497774,0.12978,0.512065,1,1,4,0.379873,0.724704374967841
"LYPD3",0.354709,0.504082,0.427521,0.428770666666667,7,11,6,"Lypd3",0,0,0.023533,0,0,1,0.00784433333333333,1.4176501463685
"LYPD4",0.039309,0,0,0.013103,1,0,0,"Lypd4",0,0,0,0,0,0,0,1.013103
"LYPD5",0.427602,0.384178,0.468466,0.426748666666667,12,12,5,"Lypd5",0,0,0.017275,0,0,1,0.00575833333333333,1.41858001010846
"LYPD6",0.171372,0.245468,0.479224,0.298688,8,14,18,"Lypd6",10.346281,12.951036,15.645949,343,687,661,12.9810886666667,0.0928889037873207
"LYPD6B",0.252111,0.462747,0.491895,0.402251,4,7,2,"Lypd6b",6.596097,7.081976,7.186114,135,370,352,6.954729,0.176278915347085
"LYPD8",0,0,0,0,0,0,0,"Lypd8",0,0.041449,0.040794,0,1,1,0.0274143333333333,0.973317158965078
"LYPLA1",126.889073,135.166814,121.963152,128.006346333333,496,541,434,"Lypla1",24.297223,29.696225,23.538053,402,786,531,25.8438336666667,4.80580933168003
"LYPLA2",75.187584,76.48635,86.404272,79.359402,778,866,693,"Lypla2",36.173786,33.235765,29.912002,590,1138,1078,33.1071843333333,2.35608431392749
"LYPLAL1",17.228942,18.459422,20.340168,18.6761773333333,119,131,104,"Lyplal1",3.158219,4.355516,3.378136,51,107,100,3.63062366666667,4.249141962231
"LYRM1",13.208229,16.420065,15.582219,15.070171,208,267,172,"Lyrm1",7.419665,8.054402,8.029656,105,172,176,7.83457433333333,1.81900908789305
"LYRM2",18.598667,19.713501,19.416045,19.2427376666667,431,550,405,"Lyrm2",17.593005,17.08524,23.010673,85,155,186,19.2296393333333,1.00064748229652
"LYRM4",10.916121,12.722261,13.960495,12.532959,176,204,138,"Lyrm4",7.094629,8.334227,9.201112,208,427,478,8.20998933333333,1.46937835758623
"LYRM7",16.085324,13.224165,24.824836,18.044775,258,348,251,"Lyrm7",14.651887,26.03293,32.864684,141,297,249,24.5165003333333,0.746370965893037
"LYRM9",9.8011,8.045069,11.363284,9.73648433333333,86,113,80,"Lyrm9",5.712183,11.105368,8.690448,564,489,441,8.50266633333333,1.12983913742946
"LYSMD1",7.113334,9.684574,6.860906,7.88627133333333,199,241,144,"Lysmd1",5.230889,6.252351,5.761181,181,388,363,5.74814033333333,1.31684744157415
"LYSMD2",13.317177,14.997555,11.614973,13.3099016666667,131,163,91,"Lysmd2",26.56287,29.691868,30.081985,379,770,777,28.7789076666667,0.480538165699228
"LYSMD3",2.851836,3.297085,3.842837,3.330586,147,185,137,"Lysmd3",2.869201,5.252933,6.062591,137,178,152,4.72824166666667,0.756006162449501
"LYSMD4",5.798002,6.93569,8.173893,6.969195,197,196,153,"Lysmd4",9.763435,13.214162,14.480246,273,445,471,12.4859476666667,0.590925843476134
"LYST",9.400787,6.460713,9.693742,8.518414,490,521,383,"Lyst",13.96736,4.401075,1.455341,1184,493,520,6.60792533333333,1.25111821987738
"LYVE1",0.024021,0.124983,0.234447,0.127817,1,3,2,"Lyve1",0.559726,0.200448,0.201115,15,15,15,0.320429666666667,0.854128794945282
"LYZ",0.365731,0.244498,0.608134,0.406121,6,5,8,"Lyz2",3.022922,5.918442,7.116267,52,179,219,5.35254366666667,0.221347711056007
"LYZ",0.365731,0.244498,0.608134,0.406121,6,5,8,"Lyz1",0,0,0.078835,0,0,2,0.0262783333333333,1.370116618786
"LYZL1",0,0,0,0,0,0,0,"Lyzl1",0,0,0,0,0,0,0,1
"LYZL2",0,0,0,0,0,0,0,"Lyzl1",0,0,0,0,0,0,0,1
"LYZL4",0,0,0,0,0,0,0,"Lyzl4",0.349881,1.276652,0.190415,4,10,4,0.605649333333333,0.622800993492145
"LYZL6",0,0,0,0,0,0,0,"Lyzl6",0,0,0,0,0,0,0,1
"LZIC",15.516227,18.722341,23.718342,19.31897,546,663,530,"Lzic",14.736112,12.682001,9.433576,92,139,144,12.2838963333333,1.52959414091583
"LZTFL1",4.588547,7.243498,6.124281,5.985442,154,169,114,"Lztfl1",22.686616,18.654923,16.599157,710,846,746,19.3135653333333,0.343880647506881
"LZTR1",57.905443,60.468305,80.268132,66.21396,935,1016,824,"Lztr1",120.324648,131.545011,113.914971,1680,3235,2979,121.92821,0.546774088714055
"LZTS1",103.546308,43.155955,72.916962,73.2064083333333,1141,995,870,"Lzts1",19.650843,11.130612,59.323808,1043,1108,885,30.0350876666667,2.39104877454672
"LZTS2",4.516164,5.73572,6.25988,5.50392133333333,172,267,159,"Lzts2",15.826475,11.385262,9.38838,402,639,586,12.200039,0.492719857368098
"LZTS3",22.884452,25.512984,33.989975,27.4624703333333,1231,1573,1283,"Lzts3",34.150393,20.883107,16.403023,2065,2389,1913,23.8121743333333,1.14711713495806
"M1AP",2.25936,0.089327,0.206271,0.851652666666667,4,2,3,"M1ap",0.073359,0.040744,0.094001,2,2,4,0.069368,1.7315392518447
"M6PR",159.380895,103.999741,167.353944,143.578193333333,585,777,444,"M6pr",33.822706,36.911398,39.038912,1240,2380,2550,36.5910053333333,3.84608477616667
"MAB21L1",20.503995,19.172487,25.197857,21.6247796666667,731,736,640,"Mab21l1",1.579971,2.228871,2.403815,54,135,144,2.07088566666667,7.36750961204786
"MAB21L2",12.290993,16.450046,27.018629,18.586556,401,588,626,"Mab21l2",0.402884,0.828705,1.664427,15,56,114,0.965338666666667,9.96599534329622
"MAB21L3",0.197783,0.541965,0.194324,0.311357333333333,4,10,6,"Mab21l3",0.018776,0.042135,0.041547,1,3,4,0.0341526666666667,1.26805004290147
"MAB21L4",0,0,0,0,0,0,0,"Mab21l4",0,0.018607,0,0,1,0,0.00620233333333333,0.993835898479
"MACC1",0.032945,0.055959,0.115241,0.0680483333333333,4,7,10,"Macc1",0.057932,0.047622,0.06317,5,7,9,0.0562413333333333,1.01117831657159
"MACF1",140.206528,116.583823,151.554998,136.115116333333,4637,4417,3309,"Macf1",56.435791,12.25446,12.576062,6505,1799,2289,27.088771,4.8814921924969
"MACIR",13.484788,16.141232,24.392207,18.0060756666667,500,632,601,"Macir",20.511327,14.905731,18.306975,647,749,762,17.908011,1.00518640837826
"MACO1",27.145472,28.021558,25.506498,26.891176,773,872,594,"Maco1",16.729015,11.818119,10.86105,799,1052,953,13.1360613333333,1.97305142799795
