"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"LRP2BP",1.160906,1.231218,1.140253,1.177459,55,51,40,"Lrp2bp",0.235555,0.109114,0.367048,4,6,9,0.237239,1.75993401436586
"LRP3",24.620674,30.386841,30.956146,28.6545536666667,794,1017,652,"Lrp3",19.718887,12.945222,12.375566,819,1130,1077,15.013225,1.8518789105047
"LRP4",0.437845,0.566579,2.177793,1.060739,12,38,93,"Lrp4",5.79244,1.738071,1.750438,703,341,378,3.09364966666667,0.503398963712006
"LRP5",2.245779,4.594111,2.241335,3.027075,67,100,75,"Lrp5",1.835686,1.029864,1.309999,145,134,182,1.39184966666667,1.6836655982699
"LRP6",3.60604,2.708675,3.772432,3.36238233333333,453,357,310,"Lrp6",9.097163,3.909249,3.599701,914,359,378,5.535371,0.667503395497108
"LRP8",28.058406,31.992016,38.166354,32.7389253333333,1633,1682,1248,"Lrp8",12.036962,2.660019,3.055133,853,438,429,5.91737133333333,4.87742000646296
"LRPAP1",33.679636,40.396478,25.753111,33.2764083333333,1024,1143,698,"Lrpap1",73.016107,95.672136,80.809708,1780,3856,3379,83.1659836666667,0.407247760200636
"LRPPRC",52.159849,57.353663,71.742561,60.418691,2397,2808,1966,"Lrpprc",21.770163,10.281698,8.196466,1024,798,813,13.416109,4.26042082506452
"LRR1",5.025538,4.579627,3.379921,4.328362,37,36,31,"Lrr1",0,0.1371,0,0,2,0,0.0457,5.09549775270154
"LRRC1",6.01542,9.134875,7.398378,7.51622433333333,174,221,115,"Lrrc1",11.812701,4.36748,6.487685,123,224,236,7.55595533333333,0.995356333868971
"LRRC10",0.051219,0,0.047421,0.03288,2,0,1,"Lrrc10",0,0,0,0,0,0,0,1.03288
"LRRC10B",0.655152,0.628984,1.090121,0.791419,15,17,17,"Lrrc10b",8.005365,6.19489,3.248878,206,317,173,5.81637766666667,0.262810995458829
"LRRC14",7.429722,20.856795,10.530594,12.939037,186,238,194,"Lrrc14",11.918837,11.851998,12.880006,283,410,385,12.216947,1.05463364572772
"LRRC14B",0.282399,0.205085,0.286209,0.257897666666667,1,7,6,"Lrrc14b",0.025074,0.014136,0,1,1,0,0.01307,1.241669052155
"LRRC15",0.069777,0.022735,0.032753,0.041755,3,2,1,"Lrrc15",0,0,0.013594,0,0,2,0.00453133333333333,1.03705575469025
"LRRC17",0.838848,2.582894,2.400003,1.94058166666667,22,63,41,"Lrrc17",0.097676,0.110606,0.054446,3,6,3,0.087576,2.70379418695031
"LRRC18",0,0.047631,0,0.015877,0,1,0,"Lrrc18",0.366161,0.299853,0.220758,11,15,11,0.295590666666667,0.784103363922556
"LRRC19",0.069085,0.021688,0.12719,0.0726543333333333,3,1,4,"Lrrc19",0,0.015326,0.033966,0,1,2,0.0164306666666667,1.05531480750286
"LRRC2",0.238017,0.737434,0.295492,0.423647666666667,15,30,14,"Lrrc2",1.202896,1.233198,1.606987,39,56,62,1.34769366666667,0.606402652475529
"LRRC20",7.223326,7.89964,10.727159,8.61670833333333,287,342,294,"Lrrc20",7.12291,6.715585,6.684107,340,580,586,6.84086733333333,1.22648527573608
"LRRC23",3.485255,2.588789,2.970279,3.01477433333333,33,36,24,"Lrrc23",2.554445,2.84124,1.746959,25,55,51,2.38088133333333,1.18749341887579
"LRRC24",6.277806,9.941645,10.039469,8.75297333333333,101,198,105,"Lrrc24",9.691049,10.928875,12.565637,229,544,550,11.0618536666667,0.80857997475844
"LRRC25",0.382647,0.153085,0,0.178577333333333,9,5,0,"Lrrc25",0.309884,0.343023,0.50717,6,13,10,0.386692333333333,0.849919845233634
"LRRC26",0.40005,0.779009,0.480531,0.553196666666667,3,8,2,"Lrrc26",0.541266,0.105825,0.138485,8,3,4,0.261858666666667,1.23088005629791
"LRRC27",12.988113,14.711237,10.251002,12.6501173333333,196,197,125,"Lrrc27",10.785654,3.736159,9.841606,68,106,124,8.12113966666667,1.4965363794634
"LRRC28",19.677558,20.470711,17.797788,19.3153523333333,354,414,265,"Lrrc28",14.758605,15.54402,17.460077,261,382,349,15.9209006666667,1.20060703230494
"LRRC3",3.808946,3.593102,5.092902,4.16498333333333,298,313,282,"Lrrc3",2.339045,1.341065,1.330067,152,158,159,1.670059,1.93440794129768
"LRRC30",0,0,0,0,0,0,0,"Lrrc30",0,0,0,0,0,0,0,1
"LRRC31",0,0,0,0,0,0,0,"Lrrc31",0.275566,0.011719,0,1,1,0,0.0957616666666667,0.912607212334799
"LRRC32",1.987373,3.837352,1.244439,2.356388,66,77,29,"Lrrc32",1.174461,0.908276,0.894934,67,38,45,0.992557,1.68446272804241
