"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"SH3PXD2B",1770,2.3873,1387,2.00794,1802,2.55521,2.31681666667,3.2133,3.2133,0.787225373619253
"SH3RF1",423,0.418215,589,0.62505,565,0.58728,0.543515,6.83142,6.83142,0.19709260900322
"SH3RF2",23,0.02767,49,0.063273,28,0.0354143,0.0421191,238.79608,238.79608,0.00434585544517659
"SH3RF3",359,0.167054,443,0.221261,987,0.482855,0.29039,6.28744,6.28744,0.177070411557419
"SH3TC1",634,1.85427,449,1.40952,1079,3.31775,2.19384666667,0.73375,0.73375,1.84216101898774
"SH3TC2",992,1.24208,1289,1.73234,929,1.2229,1.39910666667,2.87173,2.87173,0.619647203361288
"SH3YL1",718,2.57729,872,3.35966,1158,4.37003,3.43566,14.66225,14.66225,0.283207074334786
"SHANK1",115,0.348646,81,0.26358,47,0.149804,0.25401,0.13916,0.13916,1.10081990238421
"SHANK2",1320,0.293866,1533,0.366317,962,0.225158,0.295113666667,0.01265,0.01265,1.27893513718165
"SHANK3",2560,7.5951,2730,8.69353,2077,6.4784,7.58901,4.57958,4.57958,1.5393649701232
"SHARPIN",1302,23.9631,1471,29.0594,1180,22.8325,25.285,3.17535,3.17535,6.29528063515633
"SHB",169,0.192553,148,0.180995,159,0.190458,0.188002,5.81936,5.81936,0.174210189812534
"SHBG",717,6.44437,873,8.42202,695,6.56726,7.14455,0.55663,0.55663,5.23216820952956
"SHC1",2697,38.9456,1988,30.813,2686,40.7776,36.8454,27.7052,27.7052,1.31841617546647
"SHC3",215,0.217051,159,0.172291,138,0.146467,0.178603,0.20241,0.20241,0.980200597134089
"SHC4",5093,6.34719,6578,8.79917,7307,9.57381,8.24005666667,5.18682,5.18682,1.49350662645268
"SHCBP1",72,0.293962,82,0.359346,137,0.588054,0.413787333333,2.4163,2.4163,0.413835826283699
"SHCBP1L",219,0.712978,206,0.719846,355,1.21506,0.882628,0,0,1.882628
"SHD",6,0.0864562,8,0.12373,6,0.0908938,0.10036,0,0,1.10036
"SHE",434,2.32283,650,3.73406,378,2.12695,2.72794666667,12.81524,12.81524,0.269843062203045
"SHF",627,3.22526,561,3.09742,354,1.91443,2.74570333333,1.41689,1.41689,1.54980298372288
"SHH",560,7.83655,751,11.2802,621,9.13622,9.41765666667,0.0253,0.0253,10.160593647391
"SHISA2",15,0.407224,13,0.378814,28,0.799168,0.528402,0.12651,0.12651,1.35675848416792
"SHISA3",494,17.2603,692,25.9518,592,21.7461,21.6527333333,18.7611,18.7611,1.1463295734195
"SHISA4",1031,49.6594,1137,58.7819,823,41.6755,50.0389333333,24.87143,24.87143,1.97279135066365
"SHISA5",1248,5.88794,1279,6.47679,1656,8.21386,6.85953,14.16887,14.16887,0.518135497238753
"SHISA6",2943,1.5925,2156,1.25221,2320,1.31982,1.38817666667,0.61989,0.61989,1.47428323322571
"SHISA7",322,3.9828,312,4.14217,255,3.31597,3.81364666667,0.03795,0.03795,4.63764792780962
"SHISA8",2,0.0683219,2,0.0733331,1,0.0359143,0.0591897666667,0,0,1.0591897666667
"SHISA9",849,0.437754,1038,0.574461,1147,0.621762,0.544659,6.5278,6.5278,0.205193947766944
"SHKBP1",759,9.11505,606,7.81142,711,8.97687,8.63444666667,1.31568,1.31568,4.1605259218329
