"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"CRELD1",2117,31.9046,1956,31.6404,1171,18.5536,27.3662,56.26127,56.26127,0.495381957123899
"CRELD2",455,8.47963,395,7.90138,568,11.1289,9.16997,31.30467,31.30467,0.31481423583649
"CREM",836,1.69493,686,1.49283,1034,2.20396,1.79724,115.34391,115.34391,0.0240428570777791
"CRHBP",50,0.310698,34,0.226771,27,0.176388,0.237952333333,14.89513,14.89513,0.0778824918911012
"CRHR1",84,0.284675,52,0.189153,66,0.235154,0.236327333333,5.80869,5.80869,0.181580793564254
"CRHR2",43,0.155891,54,0.210129,61,0.232498,0.199506,0.70534,0.70534,0.703382316722765
"CRIM1",1507,1.34764,1874,1.79874,2587,2.43217,1.85951666667,17.77873,17.77873,0.152274230827644
"CRIP1",121,8.03443,279,19.8845,121,8.44682,12.1219166667,21.28469,21.28469,0.588831016572364
"CRIP2",2242,54.3314,2557,66.51,1537,39.1586,53.3333333333,211.3117,211.3117,0.25591304357367
"CRIP3",46,0.88426,36,0.742789,24,0.485033,0.704027333333,18.48407,18.48407,0.0874574631138669
"CRIPT",544,6.90621,603,8.21672,587,7.8346,7.65251,21.51288,21.51288,0.384335988998298
"CRISP1",0,0,0,0,1,0.00428725,0.00142908333333,0,0,1.00142908333333
"CRISP2",1,0.00822771,1,0.0088312,3,0.0259501,0.0143363366667,0,0,1.0143363366667
"CRISPLD1",169,0.589846,532,1.99298,328,1.20355,1.26212533333,2.96658,2.96658,0.570296157730337
"CRISPLD2",1255,2.17542,2649,4.92858,1948,3.54998,3.55132666667,5.49751,5.49751,0.700472437390631
"CRK",2884,11.8621,3129,13.8138,2726,11.7878,12.4879,28.85672,28.85672,0.451754244940503
"CRKL",1670,8.02805,1934,9.97908,1756,8.87475,8.96062666667,42.61086,42.61086,0.228397850138016
"CRLF1",3456,16.9968,3610,19.0564,3407,17.6158,17.8896666667,5.68421,5.68421,2.8260133458853
"CRLF2",66,0.458,48,0.357522,19,0.138616,0.318046,0,0,1.318046
"CRLF3",1035,3.26939,1062,3.60073,1253,4.16117,3.67709666667,10.91203,10.91203,0.392636407620699
"CRLS1",582,2.99387,638,3.52266,808,4.36978,3.62877,19.66655,19.66655,0.223974006304874
"CRMP1",2661,3.20596,2508,3.24326,2392,3.02979,3.15967,38.48255,38.48255,0.105354644013621
"CRNKL1",620,4.99624,675,5.83842,711,6.02364,5.61943333333,13.38072,13.38072,0.460299159800761
"CROCC",130,0.0976006,154,0.1241,151,0.119186,0.113628866667,75.5959,75.5959,0.0145390140551518
"CROT",539,1.74005,652,2.25923,642,2.17894,2.05940666667,3.44372,3.44372,0.688478722032441
"CRP",1,0.0759231,2,0.162984,1,0.0798201,0.1062424,0,0,1.1062424
