"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ECE2",1553,6.26042,1391,6.01865,973,4.12366,5.46757666667,63.97728,39.62611,20.77783,41.4604066666667,0.152320177181613
"ECEL1",8,0.174525,2,0.0468314,34,0.779801,0.333719133333,6.1128,1.43693,0.6336,2.72777666666667,0.357778711707425
"ECH1",1605,17.0762,1328,15.1655,1029,11.5099,14.5838666667,128.93194,142.33898,159.23117,143.500696666667,0.107846308192193
"ECHDC1",1424,4.53152,1589,5.42748,1975,6.60753,5.52217666667,30.72964,48.99379,31.63649,37.1199733333333,0.171096044838174
"ECHDC2",2578,14.3876,2628,15.7424,2742,16.0883,15.4061,239.69116,226.37176,173.25784,213.10692,0.0766257344694884
"ECHDC3",255,2.05244,236,2.03884,273,2.3101,2.13379333333,6.14593,5.00162,3.71423,4.95392666666667,0.526340599872465
"ECHS1",1785,28.6879,1802,31.0854,1517,25.6321,28.4684666667,99.14656,107.76976,98.62369,101.84667,0.286528155619428
"ECI1",356,4.82153,371,5.39323,303,4.31435,4.84303666667,35.89818,53.74671,56.28149,48.6421266666667,0.11770318999233
"ECI2",921,8.08166,1065,10.0307,1042,9.61274,9.2417,57.79822,57.36667,25.10382,46.7562366666667,0.214457853358211
"ECM1",393,11.9862,587,19.2161,751,24.0805,18.4276,6.67603,6.99122,12.75947,8.80890666666667,1.98060810039311
"ECM2",534,2.16438,755,3.28459,1541,6.5665,4.00515666667,2.02103,6.90832,2.14114,3.69016333333333,1.06716041872103
"ECSCR",159,1.95834,209,2.76299,141,1.82578,2.18237,88.82604,265.4452,73.67282,142.64802,0.0221539426718168
"ECSIT",702,5.27615,769,6.20364,498,3.93502,5.13827,121.8252,90.25026,129.58288,113.886113333333,0.0534291727860118
"ECT2",250,0.616936,331,0.876736,319,0.827616,0.773762666667,13.3852,10.25194,13.98298,12.54004,0.131001287046936
"ECT2L",73,0.117925,99,0.171656,100,0.169833,0.153138,0.0994,0.55267,0.93948,0.530516666666667,0.753430540884886
"EDA",414,0.170818,456,0.201948,455,0.197371,0.190045666667,2.38548,1.93433,3.27726,2.53235666666667,0.336898501189574
"EDA2R",142,0.568166,189,0.811688,148,0.622568,0.667474,0.76203,0.2487,0.56806,0.526263333333333,1.09252051306131
"EDAR",13,0.0239309,18,0.0355654,13,0.0251592,0.0282185,0,0.02763,0,0.00921,1.01883502937942
"EDARADD",284,0.3208,303,0.367366,316,0.375267,0.354477666667,0.34788,0.0829,0,0.143593333333333,1.18440500411014
"EDC3",677,1.79921,703,2.00535,692,1.93347,1.91267666667,21.3865,20.53152,22.85343,21.5904833333333,0.128933791441824
"EDC4",882,13.4595,875,14.3321,760,12.1931,13.3282333333,105.97169,76.68233,69.04096,83.8983266666667,0.168769325566998
"EDEM1",696,3.7629,705,4.09113,1132,6.43425,4.76276,7.4215,6.49382,6.2268,6.71404,0.747048239314289
