"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"PPM1J",1245,39.6609,1089,37.2359,771,25.8217,34.2395,5.83445,5.83445,5.1561574084235
"PPM1K",3167,20.3783,3927,27.122,3614,24.4482,23.9828333333,9.6827,9.6827,2.33862537872448
"PPM1L",1195,0.645731,1400,0.811992,1144,0.649902,0.702541666667,2.88619,2.88619,0.438100470297901
"PPM1M",341,12.3058,325,12.5887,480,18.211,14.3685,22.37574,22.37574,0.657455122276343
"PPM1N",1521,19.3474,1623,22.1591,905,12.1026,17.8697,1.42758,1.42758,7.77304970382027
"PPME1",2143,4.48698,1930,4.3374,1876,4.12955,4.31797666667,36.86876,36.86876,0.140431761342859
"PPOX",737,10.7671,714,11.1962,658,10.1064,10.6899,41.89631,41.89631,0.272515281617463
"PPP1CA",1099,8.34721,1101,8.97577,1276,10.189,9.17066,95.7098,95.7098,0.105166797987381
"PPP1CB",4793,16.322,5961,21.7883,6563,23.4966,20.5356333333,73.73751,73.73751,0.288150265285798
"PPP1CC",1815,13.6319,2102,16.9455,2361,18.643,16.4068,47.32732,47.32732,0.36018550169966
"PPP1R10",958,9.1957,1361,14.0223,982,9.90989,11.04263,27.65157,27.65157,0.420313092790378
"PPP1R11",1471,70.8917,1421,73.505,1127,57.1011,67.1659333333,44.34802,44.34802,1.50317331017539
"PPP1R12A",1872,2.02002,2456,2.84458,2510,2.84748,2.57069333333,18.15507,18.15507,0.186409829529728
"PPP1R12B",4627,3.31273,5207,4.00142,6381,4.80301,4.03905333333,41.92735,41.92735,0.117385613911178
"PPP1R12C",1878,12.2768,1816,12.7422,1739,11.9516,12.3235333333,119.38898,119.38898,0.110670705352766
"PPP1R13B",1142,1.74423,1174,1.92462,880,1.41305,1.69396666667,12.50683,12.50683,0.199452178391969
"PPP1R13L",76,0.497047,83,0.582643,77,0.529435,0.536375,19.39644,19.39644,0.0753256450635503
"PPP1R14A",44,1.45143,80,2.83252,61,2.11549,2.13314666667,1452.99521,1452.99521,0.00215485349959991
"PPP1R14B",263,18.6393,261,19.8543,369,27.494,21.9958666667,50.21351,50.21351,0.449019539311014
"PPP1R14C",385,0.626546,371,0.648048,210,0.359294,0.544629333333,2.88619,2.88619,0.397466241571565
"PPP1R14D",6,0.0790196,9,0.127223,11,0.152305,0.119515866667,0,0,1.119515866667
"PPP1R15A",1193,57.2886,888,45.77,1062,53.6155,52.2247,38.07909,38.07909,1.36197388424347
"PPP1R15B",926,19.174,986,21.9139,1086,23.6413,21.5764,9.71374,9.71374,2.1072379953219
"PPP1R16A",488,3.52971,468,3.63334,455,3.45994,3.54099666667,49.28248,49.28248,0.0903097195418762
"PPP1R16B",278,0.413936,216,0.34521,253,0.396048,0.385064666667,160.13702,160.13702,0.00859557081710336
"PPP1R18",1860,28.2385,1229,20.0272,1589,25.3624,24.5427,23.74124,23.74124,1.03239368762439
"PPP1R1A",305,4.01441,287,4.05456,196,2.71216,3.59371,53.96866,53.96866,0.0835696194886322
"PPP1R1B",42,0.742122,114,2.16208,109,2.02484,1.643014,124.13723,124.13723,0.0211209246041326
"PPP1R1C",2307,2.27498,2383,2.52229,1617,1.6764,2.15789,9.77581,9.77581,0.293053608035034
"PPP1R2",2263,13.6519,2066,13.3776,2178,13.8135,13.6143333333,20.14127,20.14127,0.691270360451383
"PPP1R21",1225,2.86128,1247,3.1263,1282,3.14811,3.04523,51.05143,51.05143,0.0777160204820502
"PPP1R26",332,5.90933,397,7.58457,277,5.18344,6.22578,7.5103,7.5103,0.849062900250285
"PPP1R27",1,0.112058,1,0.120278,0,0,0.0774453333333,3.94136,3.94136,0.218046313835321
"PPP1R32",123,2.18997,127,2.42704,115,2.15263,2.25654666667,7.82065,7.82065,0.36919576977547
"PPP1R35",100,14.3667,104,16.0373,138,20.8437,17.0825666667,25.5102,25.5102,0.682098462731326
"PPP1R36",108,0.478118,151,0.717512,121,0.563164,0.586264666667,4.99652,4.99652,0.264530872350463
"PPP1R37",596,1.83693,581,1.92204,420,1.36092,1.70663,28.42742,28.42742,0.0919764627683976
"PPP1R3A",4,0.003509,10,0.00941594,12,0.0110673,0.00799741333333,0.06207,0.06207,0.949087549157146
"PPP1R3B",235,2.67978,273,3.34145,494,5.92239,3.98120666667,2.23447,2.23447,1.54003798664696
"PPP1R3C",111,4.18825,195,7.89741,138,5.47428,5.85331333333,7.13789,7.13789,0.842148681455513
"PPP1R3D",409,19.6135,445,22.9051,417,21.0235,21.1807,3.0724,3.0724,5.44659169040369
"PPP1R3E",777,18.832,790,20.5515,682,17.3779,18.9204666667,58.15829,58.15829,0.336731617271223
"PPP1R3F",1030,5.6819,1149,6.80325,854,4.95282,5.81265666667,39.53771,39.53771,0.168057264869427
"PPP1R3G",12,0.427224,13,0.496773,7,0.262006,0.395334333333,1.30344,1.30344,0.605761093552686
"PPP1R42",1209,2.28322,1226,2.48514,1148,2.2793,2.34922,7.16892,7.16892,0.409995446154449
"PPP1R8",604,5.04993,723,6.48824,801,7.04075,6.19297333333,28.27225,28.27225,0.245726697924826
"PPP1R9A",1506,0.675969,2121,1.02184,1439,0.679049,0.792286,6.70341,6.70341,0.232661379830491
"PPP1R9B",1293,13.3337,1257,13.9132,990,10.7331,12.66,44.5032,44.5032,0.300198667346472
"PPP2CA",4726,26.0106,5244,30.9784,5018,29.0352,28.6747333333,81.15471,81.15471,0.361205502804404
"PPP2CB",3089,13.5392,3154,14.8381,3450,15.8976,14.7583,315.12235,315.12235,0.0498487373638719
"PPP2R1A",5655,25.0291,5466,25.967,4154,19.3293,23.4418,156.35084,156.35084,0.155333139626074
"PPP2R1B",916,4.0531,1052,4.99629,1089,5.06591,4.7051,31.68603,31.68603,0.174542457435179
"PPP2R2A",1457,3.13573,1831,4.22968,1616,3.65644,3.67395,33.9205,33.9205,0.133845448948325
"PPP2R2B",6134,2.12772,7497,2.79125,5330,1.94373,2.28756666667,259.63301,259.63301,0.0126137769988153
"PPP2R2C",3443,2.47503,3449,2.6612,2046,1.54628,2.22750333333,170.13007,170.13007,0.018859942810343
"PPP2R2D",1231,3.65571,1294,4.12466,1076,3.35942,3.71326333333,18.21714,18.21714,0.245263516492569
"PPP2R3A",609,0.584034,783,0.805978,682,0.687612,0.692541333333,3.44481,3.44481,0.380790479982946
"PPP2R3B",745,2.45461,529,1.87078,360,1.247,1.85746333333,0,0,2.85746333333
"PPP2R3C",815,3.8428,867,4.38783,933,4.62499,4.28520666667,48.81696,48.81696,0.106092516818971
"PPP2R5A",708,1.61801,877,2.15123,1054,2.53236,2.10053333333,28.55156,28.55156,0.104919447004828
"PPP2R5B",3324,34.3142,2998,33.2189,1921,20.8487,29.4606,35.68945,35.68945,0.830227763021795
"PPP2R5C",2389,2.51129,2630,2.9674,2926,3.23365,2.90411333333,354.28765,354.28765,0.0109885984872539
"PPP2R5D",1470,9.24101,1444,9.74338,1124,7.42859,8.80432666667,18.55852,18.55852,0.501281623899457
"PPP2R5E",1160,1.17811,1268,1.38225,1326,1.41582,1.32539333333,10.11718,10.11718,0.209171150717178
"PPP3CA",3716,1.99828,3563,2.05654,3047,1.72263,1.92581666667,55.02383,55.02383,0.0522245027994337
"PPP3CB",4146,12.1533,4300,13.5293,4054,12.4936,12.7254,28.05501,28.05501,0.472393573431914
"PPP3CC",1331,2.31774,1379,2.57745,1462,2.67652,2.52390333333,11.79304,11.79304,0.275454726423899
"PPP3R1",4259,9.61532,3982,9.64935,3748,8.89598,9.38688333333,37.86185,37.86185,0.267277119677267
"PPP3R2",0,0,1,0.0548604,2,0.10747,0.0541101333333,0,0,1.0541101333333
"PPP4C",569,10.576,577,11.5113,659,12.8775,11.6549333333,42.36183,42.36183,0.291845001313367
"PPP4R1",1323,3.37658,1362,3.73108,1635,4.38705,3.83157,27.37226,27.37226,0.170292038773083
"PPP4R4",767,1.0029,982,1.3782,660,0.907284,1.096128,4.53101,4.53101,0.378977438117089
