"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg__TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"ZC4H2",32.878574,36.447019,34.359016,34.5615363333333,469,509,379,41.196285,30.733953,28.767714,33.565984,684,746,715,1.02880150419943
"ZCCHC10",11.138279,9.214842,12.572293,10.975138,120,142,119,12.172638,13.141599,11.722147,12.3454613333333,198,283,255,0.897319148502522
"ZCCHC12",72.308341,60.43893,63.010952,65.252741,2003,1826,1239,61.720777,62.650414,64.758582,63.0432576666667,2086,2879,3153,1.03449985859297
"ZCCHC13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZCCHC14",6.117433,6.357546,7.122157,6.53237866666667,566,636,467,9.281097,7.815215,7.134448,8.07692,866,1211,1112,0.829838608984839
"ZCCHC17",39.312617,41.218936,38.118531,39.550028,594,747,422,43.7389,30.044389,31.458337,35.080542,850,833,956,1.12387524555479
"ZCCHC18",32.966229,34.088483,44.77373,37.2761473333333,184,176,153,18.955663,26.556874,20.91317,22.1419023333333,87,235,124,1.65397583923776
"ZCCHC2",11.870915,11.491375,11.590174,11.6508213333333,209,255,159,8.445611,7.088822,7.570743,7.70172533333333,283,368,285,1.45382907971967
"ZCCHC24",0.219446,0.324375,0.764929,0.43625,5,23,35,0.529716,0.009196,0.059532,0.199481333333333,42,1,6,1.19739253966437
"ZCCHC3",8.946992,8.555354,9.851225,9.117857,286,307,220,10.099158,8.998149,8.267164,9.12149033333333,397,487,506,0.999641027831507
"ZCCHC4",3.806302,4.912789,4.731026,4.48337233333333,101,113,100,2.422582,2.151656,1.484882,2.01970666666667,81,94,76,1.81586257826367
"ZCCHC7",8.704508,9.548547,8.980467,9.07784066666667,194,214,153,8.22222,6.512049,7.483108,7.40579233333333,224,262,325,1.19891620766109
"ZCCHC8",8.505962,7.401127,8.826928,8.24467233333333,220,220,178,7.592026,6.977263,5.385329,6.65153933333333,222,324,228,1.20821078355562
"ZCCHC9",8.652095,7.310141,6.285258,7.41583133333333,106,115,63,7.34291,8.553976,9.083067,8.326651,146,223,189,0.902342259116733
"ZCRB1",26.521819,27.760488,24.81228,26.3648623333333,242,308,200,27.200077,21.98711,25.457524,24.8815703333333,322,324,395,1.05731074200276
"ZCWPW1",1.665606,3.167281,2.744734,2.52587366666667,21,36,21,2.099761,2.911072,2.062057,2.35763,40,53,41,1.0501078637809
"ZCWPW2",0.311052,0.194435,0.158993,0.221493333333333,6,9,5,0.404013,0.263249,0.131673,0.266311666666667,11,15,5,0.964607185961329
"ZCWPW2.1",0.027589,0.082694,0.058272,0.056185,1,4,2,0.221125,0.105879,0.172705,0.166569666666667,13,8,14,0.905376704177404
"ZDBF2",2.93212,2.634482,2.600981,2.72252766666667,359,379,248,3.264365,2.970366,2.833992,3.02290766666667,530,655,555,0.925332613897924
