"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg__TPM","FoldChange"
"BMP8A",1.49566,1.657527,1.710139,107,132,86,0.189027666666667,0.328686,0.240892,0.174647,40,27,20,0,1.18902766666667
"BMP8B",0.48307,0.51432,0.361683,29,34,15,1.16058233333333,0.030196,0,0,3,0,0,11.3332043333333,0.175184183683219
"BMP8B.AS1",0.145258,0,0,2,0,0,0.308596666666667,0,0,0,0,0,0,0.0476763333333333,1.24904669985546
"BMPER",19.611318,22.530958,20.958617,519,535,409,4.41915066666667,0.879687,1.391479,0.11373,25,18,3,12.295467,0.407593856362222
"BMPR1A",6.864009,5.897908,7.226305,385,332,330,4.78904666666667,10.283255,7.565688,6.940259,802,644,558,43.7313553333333,0.129418092153195
"BMPR1B",0.34711,0.194968,0.503695,25,15,26,6.77160933333333,0.09117,0.071824,0.145376,5,7,4,17.2598746666667,0.425611318544282
"BMPR1B.DT",0,0,0.181578,0,0,1,12.475079,0,0,0,0,0,0,6.457073,1.8070198588642
"BMPR2",16.185475,17.56382,16.776418,2149,2440,1592,0.189973333333333,3.460977,2.623335,2.811955,477,450,425,0.31024,0.908210200675703
"BMS1",6.393815,7.170477,7.143547,677,821,539,6.36017333333333,3.560339,2.36794,2.158156,559,376,338,1.29535766666667,3.20654747633375
"BMS1P1",3.527495,3.183617,4.088943,201,195,161,58.7138143333333,2.007557,1.211518,0.705038,165,101,58,32.2648236666667,1.79510388907217
"BMS1P17",0,0,0,0,0,0,1.015992,0,0,0,0,0,0,0.894579,1.0640844219217
"BMS1P22",0,0.073437,0.219329,0,1,2,6.347948,0,0,0,0,0,0,10.2574556666667,0.652718359953864
"BMS1P4",1.135653,1.450607,1.937988,27,37,32,20.0871213333333,0.983176,0.682458,0.664754,38,25,24,7.775586,2.40293028104714
"BMS1P4.AGAP5",0,0,0,0,0,0,104.433023666667,0.089122,0,0,7,0,0,66.8743,1.55335706838474
"BMT2",4.239138,5.080619,7.395344,192,197,149,54.871541,16.450923,9.770488,7.086073,569,625,475,16.985083,3.10654896616268
"BMX",0,0.029077,0,0,1,0,10.178432,0,0,0,0,0,0,13.088974,0.79341703661317
"BNC1",2.089662,2.188341,8.690258,124,146,365,4.56775033333333,0.088741,0.139816,0.031368,6,13,2,6.17673166666667,0.775805839194675
"BNC2",2.068016,2.12037,4.017595,300,316,392,1.00256733333333,0.069792,0.024314,0.008286,8,5,2,0.769628,1.13163180811636
"BNC2.AS1",0.394412,0.359558,0,1,1,0,0,0,0,0,0,0,0,0.00971933333333333,0.990374222803829
"BNIP1",7.720564,7.691856,8.574034,94,108,71,1.73244966666667,5.226428,5.305831,2.836548,94,94,58,7.043475,0.339710096278868
"BNIP2",12.074417,9.74792,14.265995,247,317,233,11.5039483333333,23.13879,24.172853,15.075729,466,429,369,9.30706666666667,1.21314324799814
"BNIP3",19.205889,24.434285,20.372617,551,751,427,17.4124753333333,63.261752,37.39861,48.725259,2177,1435,1849,7.117955,2.26811744254967
"BNIP3L",32.627515,41.589276,37.896389,909,1125,864,408.164251333333,25.9557,19.605828,17.896102,406,433,320,7.890496,46.022657378546
"BNIP5",0,0.036932,0,0,2,0,0.241064666666667,0.012216,0.012774,0,1,1,0,0.131567666666667,1.09676575535474
"BNIPL",0.246956,0.097327,0.240818,7,3,6,14.8318166666667,0.418521,0.774727,0.535622,22,13,16,9.132835,1.56242716541488
"BOC",0.791391,0.606505,3.129701,16,11,41,127.039953666667,0.271551,0.360898,0.076328,5,3,4,66.671368,1.89208460610205
"BOD1",54.315712,55.8553,55.385861,404,420,324,2.64289066666667,26.355944,26.679339,17.106652,300,295,224,1.814451,1.29435213711899
"BOD1L1",63.968561,60.139005,40.207132,993,1169,850,15.1702776666667,18.683046,18.450511,7.229196,493,298,207,0.047724,15.4337188674371
"BOD1L2",0,0,0,0,0,0,18.5087223333333,0,0,0,0,0,0,6.82750566666667,2.49232937849039
"BOK",17.649939,16.293939,20.358108,391,572,434,27.321909,3.942179,5.639038,11.38198,228,187,175,48.4063293333333,0.573244549477021
"BOLA1",2.292396,2.755869,3.360507,18,24,18,0.111141666666667,8.788866,8.38499,7.942225,128,111,111,21.1179543333333,0.0502370901902124
"BOLA2",0.959059,0,0.753803,16,0,9,6.64925266666667,0.182018,0.59794,0.268027,3,10,5,6.60400666666667,1.00595028410461
"BOLA2.SMG1P6",29.195602,35.819457,35.1665,334,439,274,10.6959973333333,9.332652,12.523971,7.547459,178,219,145,0.661213,7.04063677164417
"BOLA2B",61.277192,84.330932,69.333771,61,90,44,20.6204646666667,111.133603,100.672256,99.936407,197,164,176,29.7453406666667,0.703211094684894
"BOLA3",27.881245,30.052715,22.186494,114,134,72,0,50.87585,47.42227,45.967234,330,295,262,0,1
"BOLA3.AS1",14.730095,18.570638,16.74166,463,627,373,44.0330066666667,1.850086,1.345107,1.433772,68,70,67,26.4485243333333,1.64063488877538
"BOLL",0,0.064565,0,0,1,0,18.2830143333333,0.045393,0.045971,0.085198,1,1,4,4.67945933333333,3.39522007317833
"BOP1",36.951118,33.238398,43.636796,595,667,538,26.8730236666667,10.858785,9.045525,6.355383,369,317,216,7.36177866666667,3.33338453190342
"BORA",0.878473,0.770843,1.021871,13,17,21,0.0449313333333333,1.117135,0.846906,0.685649,58,45,36,0,1.04493133333333
"BORCS5",3.916138,5.379498,8.269212,155,216,140,148.551879666667,3.901919,3.747331,3.05357,106,75,53,82.0856126666667,1.79997324286044
"BORCS6",4.487857,3.475483,3.857103,88,80,52,45.193204,3.893642,3.215314,2.796755,154,112,101,21.811324,2.02501196335644
"BORCS7",18.554755,19.892764,21.916878,319,343,250,0.345770666666667,4.39678,6.57095,4.617905,108,134,103,0.058587,1.27128962160566
"BORCS8",13.647615,14.118137,21.687811,137,189,128,18.8208486666667,15.926591,14.427364,12.866796,292,220,176,5.00929666666667,3.29836414577635
"BORCS8.MEF2B",0.094989,0.278023,0.333886,1,5,3,3.701255,0.434467,0.326623,0.040668,12,9,1,1.69711433333333,1.74306848690013
"BPESC1",0,0,0,0,0,0,43.2726753333333,0,0,0,0,0,0,0.927879333333333,22.964443141151
"BPGM",22.014449,24.017268,22.974707,440,483,338,11.7386663333333,6.394094,5.292815,5.784799,199,166,178,0.115111333333333,11.4236721953623
"BPHL",27.614968,24.660074,33.933626,305,322,262,6.88536566666667,9.941199,8.405994,5.472153,162,118,105,6.233019,1.0901900944359
"BPI",0,0,0,0,0,0,27.4624703333333,0,0,0,0,0,0,1.13275966666667,13.3453716225879
"BPIFA1",0,0,0,0,0,0,0.167963,0,0,0,0,0,0,0,1.167963
"BPIFA2",0,0,0,0,0,0,22.1803153333333,0,0,0,0,0,0,6.73884266666667,2.9953206612117
"BPIFA3",0,0,0,0,0,0,54.1475553333333,0,0,0,0,0,0,22.7042646666667,2.32648243296417
"BPIFA4P",0,0,0,0,0,0,269.821478,0,0,0,0,0,0,197.997579,1.36092850657243
"BPIFB1",0.096918,0.052422,0.059052,2,1,1,4.06761533333333,0.055817,0,0,2,0,0,22.526499,0.215400316610361
"BPIFB2",0,0,0,0,0,0,19.057369,0,0,0,0,0,0,25.4213046666667,0.759136206672812
"BPIFB3",0,0,0,0,0,0,870.08123,0,0,0,0,0,0,690.757427666667,1.25922931241693
"BPIFB4",0.282399,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"BPIFB6",0,0,0,0,0,0,23.038738,0,0,0,0,0,0,12.1050886666667,1.834305635882
"BPIFC",0.123438,0.311221,0,3,2,0,0.112294,0,0,0,0,0,0,0.0939106666666667,1.01680515045104
"BPNT1",16.028595,13.736947,15.524569,233,225,169,4.47143033333333,11.339902,10.509166,9.498584,218,243,216,1.877864,1.90121226483716
"BPTF",61.473434,59.609821,86.328532,1303,1239,1101,9.507894,23.173848,15.3847,14.620311,779,472,344,2.01096166666667,3.48987970067149
"BPY2",0,0,0,0,0,0,130.251124333333,0,0,0,0,0,0,70.5149623333333,1.83529600031904
"BRAF",8.458447,8.846051,8.623756,1018,1088,745,17.6098826666667,4.415981,3.294344,2.141146,311,245,176,1.16904766666667,8.57974813216799
"BRAP",5.807526,5.368891,6.547318,242,261,195,3.11907366666667,4.077061,3.326615,2.539776,213,187,135,2.12979933333333,1.3160823516055
"BRAT1",8.3029,8.41328,9.434691,295,320,249,95.155496,6.430568,5.387788,3.954975,369,304,247,75.2504223333333,1.26104870055212
"BRCA1",1.187686,1.261281,2.571071,15,22,25,6.18082266666667,2.509006,3.49769,2.844542,144,100,90,0.644244333333333,4.36724793334648
"BRCA2",0.53244,0.234198,0.439205,4,7,7,16.1423753333333,1.794149,1.588911,0.710236,45,36,36,4.325027,3.21920909196016
"BRCC3",14.810665,15.431903,16.64698,472,520,412,1.610565,4.362177,3.708296,2.429466,199,187,125,0.265331666666667,2.06314681657905
"BRD1",13.752978,14.912801,18.015167,422,517,386,0.686863333333333,5.428309,4.847188,3.820407,321,244,238,0,1.68686333333333
"BRD2",114.845094,114.672561,162.174891,2050,2385,2069,2.63582233333333,47.215036,40.910583,40.706823,1327,1009,1036,1.08207866666667,1.74624637941954
"BRD3",16.931183,16.032024,24.438464,692,837,635,0.521999666666667,6.528371,3.709633,4.004349,589,429,433,0.0349953333333333,1.47053770934877
"BRD3OS",16.18174,22.978696,18.413358,378,518,339,63.488953,4.243585,6.022097,3.195694,183,146,147,18.0292563333333,3.38893711190571
"BRD4",20.854387,23.09355,27.635803,778,988,677,546.164117333333,9.113246,5.332752,5.015818,842,629,546,441.782265333333,1.23574081478042
"BRD7",50.060085,40.506507,51.650523,550,589,534,29.2977266666667,36.355404,32.853724,27.996381,674,564,497,25.289889,1.15244787327427
"BRD8",67.929518,57.324851,79.558616,664,626,558,3.197451,23.567778,23.482195,14.719653,463,370,292,3.32325666666667,0.970900254977536
"BRD9",16.192057,24.349841,26.54613,395,438,377,20.012748,12.99166,8.240057,4.290699,347,254,207,0.299551666666667,16.1692286185877
"BRDT",0,0,0,0,0,0,7.09249,0,0.21012,0,0,1,0,1.906337,2.7844293349326
"BRDTP1",0,0,0,0,0,0,7.487862,0,0,0,0,0,0,2.28269233333333,2.58564042502917
"BRF1",28.4259,37.541435,37.639567,561,719,566,116.082292333333,7.918398,5.421958,7.15125,348,267,255,0.0732036666666667,109.096060673168
"BRF2",5.301599,8.879448,7.366047,151,222,152,338.435168666667,3.393487,3.77039,3.392982,163,192,175,85.2212263333333,3.93679356118646
"BRI3",31.539744,45.522842,36.050936,204,313,162,0,37.120632,40.861506,41.457779,405,410,403,9.60698466666667,0.0942775002911604
"BRI3BP",3.720109,3.828161,3.700759,336,376,237,5.90791166666667,0.659343,0.525211,0.550189,81,73,75,3.314484,1.60109799147863
"BRICD5",28.526326,28.194075,10.708535,115,109,92,110.205436333333,10.666058,4.909305,14.062151,50,29,36,48.7276303333333,2.2362906816171
"BRINP1",21.72498,26.323812,28.338009,886,1187,830,0.231776,1.00648,1.279287,0.878902,69,84,57,0.0155593333333333,1.21290402202005
"BRINP2",4.898736,3.901709,6.328339,194,194,146,227.412006,0,0,0,0,0,0,118.244297,1.91549626897461
"BRINP3",76.751558,66.470044,81.758383,636,696,632,22.2083816666667,0.09539,0.207171,0.016409,6,4,1,11.9047003333333,1.79844406047295
"BRIP1",0.883445,0.139901,0.946973,10,17,18,2.98863566666667,1.028746,0.608197,1.138198,90,57,58,4.01449533333333,0.795421154378712
"BRIX1",11.025848,11.902199,14.63709,158,188,127,17.5893753333333,4.836243,7.138728,5.014019,117,133,119,7.64112166666667,2.15126878782905
"BRK1",83.124502,87.022664,101.292007,1054,1200,910,71.1907753333333,43.90579,47.474253,40.059859,909,949,796,11.5202866666667,5.76590434830299
"BRMS1",8.621546,6.86048,7.903135,91,93,77,0.254802666666667,10.102911,10.875076,9.392819,273,283,234,0.077957,1.16405632754059
"BRMS1L",27.531329,21.376996,22.335207,276,328,253,5.427288,9.067754,16.472734,13.918393,146,140,102,35.3106103333333,0.177008536650779
"BROX",9.845568,8.500572,7.861506,296,312,281,52.449953,3.612488,2.243713,1.917577,154,124,104,31.1973123333333,1.6600749915596
"BRPF1",3.228607,3.29752,4.066458,149,169,151,2.135336,1.974816,1.197979,1.481221,174,94,115,0.516984333333333,2.06682160857297
"BRPF3",16.955715,18.455987,15.340116,774,744,547,0.315915666666667,7.642097,4.846555,4.398583,407,321,275,0,1.31591566666667
"BRS3",0.166771,0,0.039048,6,0,1,343.710336,0,0,0,0,0,0,77.0187896666667,4.41829894404625
"BRSK1",139.452071,183.064648,180.322596,1852,2286,1495,27.2240683333333,7.749462,5.381719,4.410219,196,134,124,0.953151,14.450530621203
"BRSK2",58.23934,56.995138,65.184148,922,1018,780,8.235695,1.151796,0.522699,1.341222,39,16,28,4.64600633333333,1.63579253276313
"BRWD1",29.298099,36.07617,33.119732,1219,1499,987,0.533333,3.424428,3.11187,2.43519,398,344,232,10.408646,0.134400962217602
"BRWD1.AS1",0,0.441016,0,0,3,0,0.835054,0,0,0,0,0,0,0.0131013333333333,1.8113232503231
"BRWD1.AS2",0.18878,0.250907,0,2,3,0,172.172626,0.736595,0.399853,0.282954,14,7,5,71.2403213333333,2.39717408233751
"BRWD3",2.611886,1.883322,2.882675,460,354,363,2.835451,0.918345,0.412592,0.365033,152,95,70,0.190352666666667,3.22211316646215
"BSCL2",1728.266817,2032.334658,1328.211654,3171,3629,1775,138.80444,85.46605,51.693161,68.17516,136,205,114,59.8006196666667,2.29939169644099
"BSDC1",38.117331,37.413477,47.249308,972,1059,855,3.62786866666667,15.794144,10.526482,8.177857,763,597,494,2.620214,1.27834118830176
"BSG",286.574509,335.781792,310.994281,2389,3047,1885,157.352579333333,400.774548,371.538218,347.281673,5995,5506,4995,10.662231,13.5782406756763
"BSN",10.190254,11.248164,11.795707,2234,2697,1835,1.84398633333333,0.188177,0.126355,0.0732,47,45,26,4.04269833333333,0.563981056438368
"BSN.DT",0.225194,0.419582,0.340144,4,15,8,10.601024,0.200807,0.163421,0.288396,12,9,8,0.529090333333333,7.5868794322376
"BSND",0.014793,0.020301,0.010437,2,3,1,7.39875133333333,0.013449,0.014607,0,3,3,0,9.214014,0.822277249016237
"BSPH1",0,0,0,0,0,0,8.12597366666667,0,0,0,0,0,0,6.23084333333333,1.26208980695198
"BSPRY",0.072956,0.033106,0,2,1,0,6.43285633333333,1.406119,0.821373,1.260599,69,38,57,3.30098933333333,1.72817362640906
"BST1",0.785613,0.661338,1.543936,11,12,14,65.8767473333333,0.781541,1.028312,0.709728,12,22,9,31.889229,2.03339358710213
"BST2",0.18555,0.338103,0,2,4,0,6.58752266666667,1.996208,2.098247,2.722013,9,10,14,20.962935,0.345469431415549
"BSX",0,0,0,0,0,0,9.22801466666667,0,0,0,0,0,0,9.532928,0.971051417674807
"BTAF1",4.472844,4.301458,5.248745,424,431,345,31.758433,5.872788,2.555031,2.06151,717,354,281,12.167332,2.48785653767977
"BTBD1",35.582451,40.012007,47.443338,1213,1457,997,55.9131546666667,29.639948,25.847333,21.606714,1232,1322,1063,38.7876273333333,1.43042343766465
"BTBD10",42.186325,67.770016,67.752378,1110,1203,900,62.298734,10.096114,15.858059,5.060346,270,251,207,49.045227,1.264830590138
"BTBD11",11.295176,9.373953,10.933124,434,363,336,116.133245333333,0.508643,0.160833,0.429809,14,14,10,20.5168906666667,5.44378122043408
"BTBD16",0,0,0,0,0,0,0.0601003333333333,0,0.028118,0.70043,0,1,2,0.151273666666667,0.920806550194697
"BTBD17",2.799275,1.969038,4.583008,44,38,48,35.5159133333333,0,0,0,0,0,0,20.7699516666667,1.67735390011201
"BTBD18",0.181746,0.14253,0.10976,7,6,3,52.406299,0.063156,0.049726,0.050214,4,3,3,39.9160726666667,1.30526454567349
"BTBD19",0.945835,2.160128,0.917754,12,36,12,173.606455666667,1.279034,0.580078,0.463476,20,13,15,302.745180333333,0.574845189230827
"BTBD2",72.305794,74.084392,98.864007,708,957,739,40.663781,29.200753,24.841211,18.03754,619,510,403,30.0805866666667,1.34050819075058
"BTBD3",19.148486,19.829532,21.367534,777,936,595,36.833821,4.289916,1.840841,1.593646,192,145,127,14.459633,2.44726514529808
"BTBD6",26.90604,24.087436,24.295642,587,584,334,1.66207766666667,7.541219,7.151124,6.353879,286,252,235,0.892348,1.40675904572873
"BTBD7",5.952274,10.363782,7.428095,392,392,254,64.415141,3.025431,2.678738,1.815797,283,190,168,19.4304906666667,3.20183896056535
"BTBD9",11.571877,9.717594,10.141756,807,834,581,0.456005,1.368331,0.995231,0.94444,247,185,174,0.0751453333333333,1.35424017094123
"BTBD9.AS1",0.23029,0,0,1,0,0,0.406121,0.142814,0.147131,0.149042,1,1,1,0.063785,1.32180938817524
"BTC",0.340157,0.082927,0.268159,6,3,4,0.0316036666666667,0.048394,0.140164,0.044558,2,6,2,0,1.03160366666667
"BTD",5.185095,4.511588,4.841511,238,238,156,10.41442,3.212767,3.273379,3.355312,153,120,112,8.82161866666667,1.16217299687465
"BTF3",250.557078,235.164873,233.045882,1139,1166,745,3.93669566666667,275.08568,294.976585,224.197063,1946,1903,1467,0.982433,2.49022068673527
"BTF3L4",53.202098,56.422632,55.16186,1144,1278,975,18.9240206666667,17.895101,16.738416,11.286471,331,417,248,13.7914056666667,1.34699981297698
"BTG1",8.923873,14.13849,16.345606,158,264,193,33.3173263333333,24.61867,25.708875,24.86387,583,649,591,16.8538676666667,1.92212281249312
"BTG2",2.127956,3.309094,4.532962,74,126,112,0.181481333333333,23.451713,18.939268,19.807148,1342,1038,1074,0,1.18148133333333
"BTG3",2.070122,4.554342,7.06813,22,54,37,29.7124936666667,16.017072,9.356535,15.809856,173,154,169,16.778233,1.72753353309447
"BTG3.AS1",0.467274,0.427662,0,4,4,0,8.29384633333333,0.021907,0,0,1,0,0,20.917897,0.424030021371728
"BTG4",0,0,0,0,0,0,0.213848,0,0,0,0,0,0,0.0197356666666667,1.19035553985069
"BTK",1.401361,0.506399,0.050711,4,2,1,4.80526033333333,0.910346,0.370113,0,3,3,0,0.305996666666667,4.44508051322234
"BTLA",0,0.02306,0,0,1,0,1.53879366666667,0.066059,0.048065,0.077413,3,3,4,0.413698666666667,1.79585206276868
"BTN1A1",0,0.024628,0,0,1,0,58.1898613333333,0,0,0.022537,0,0,1,21.5151913333333,2.6288855580678
"BTN2A1",32.78935,28.545401,34.698511,992,1050,794,28.9491523333333,5.054279,5.591541,4.0446,303,319,234,12.524188,2.21448802200423
"BTN2A2",2.448449,1.790018,1.235395,50,45,23,3.785212,1.325531,1.291242,0.970258,77,68,52,1.840051,1.68490354574619
"BTN2A3P",0.217343,0.429141,0.350783,7,8,8,27.4864456666667,0.607995,0.3792,0.089782,23,16,4,6.63994733333333,3.72861806813502
"BTN3A1",8.237599,9.43145,11.246939,239,331,255,222.407777666667,0.83855,0.599977,0.628967,36,40,30,304.918196,0.730286006480853
"BTN3A2",1.762681,2.138762,2.137181,30,37,24,0.0205786666666667,0.645992,0.836102,0.779096,45,31,41,0.011308,1.009167006161
"BTN3A3",0.460359,0.708807,0.637508,11,8,6,30.8629056666667,0.363525,0.21055,0.245315,18,7,15,14.4418906666667,2.06340702407944
"BTNL10",0,0,0,0,0,0,16.4915443333333,0,0,0,0,0,0,6.78089966666667,2.24801052354743
"BTNL2",0,0,0.080802,0,0,1,43.5049733333333,0,0,0,0,0,0,20.084682,2.11077280337134
"BTNL3",0,0,0,0,0,0,1.43822966666667,0,0,0,0,0,0,4.12784866666667,0.475487836159491
"BTNL8",0,0.154781,0,0,2,0,7.97266933333333,0,0,0,0,0,0,4.129524,1.74922065543184
"BTNL9",13.160065,19.03436,32.029812,304,341,355,51.6340316666667,0.271203,0.361125,0.032279,6,6,1,18.6722566666667,2.67554620491769
"BTRC",20.992178,22.670834,25.757068,1460,1499,1132,49.33448,5.748308,4.874614,4.285294,752,607,542,17.9627513333333,2.6543869671233
"BUB1",0.465224,0.381048,1.962518,4,8,27,0.489109333333333,12.550121,13.146019,8.699444,629,563,385,2.03589966666667,0.490500180122334
"BUB1B",0.513092,1.742937,4.501542,10,11,38,132.485440666667,11.805174,12.129046,11.097695,365,312,232,30.7539886666667,4.20373774356074
"BUB3",28.370813,28.999624,34.801972,712,794,545,184.742059666667,17.104576,12.361644,11.290124,390,370,298,32.2910436666667,5.57934024317311
"BUD13",5.120828,4.908625,5.505977,95,103,81,3.96839933333333,4.701226,3.227909,3.067835,144,88,80,0.104724333333333,4.49741096798507
"BUD23",34.953891,39.634505,36.232677,325,387,233,47.51584,54.070285,46.262883,44.700047,654,592,479,24.9448146666667,1.86996286631148
"BUD31",111.391797,157.838228,174.07148,367,495,337,15.5208566666667,123.449208,109.38863,95.108716,596,526,469,3.05482333333333,4.07437150981506
"BVES",0.698969,1.036461,0.35959,52,65,19,38.222488,39.112773,35.131368,29.583547,4204,3859,3200,11.8379356666667,3.05520209934063
"BVES.AS1",0.374624,1.90436,0.105263,5,6,2,7.607438,9.211373,2.623133,3.161401,81,48,37,1.864236,3.00514273265192
"BYSL",8.137321,9.913003,10.560454,162,216,132,0.248764333333333,6.086702,4.366911,4.144679,205,131,126,0,1.24876433333333
"BZW1",255.332606,274.208704,166.846334,2709,2734,2164,16.873082,89.620191,60.312683,42.652603,997,951,775,3.48901166666667,3.98151827777978
"BZW1.AS1",0.115194,0.10354,0.163093,1,1,1,3.81125833333333,0.066588,0,0,1,0,0,2.909497,1.23065917005009
"BZW2",76.357813,51.348454,82.766651,1022,904,777,0.40477,139.263792,108.759716,88.175143,2901,2834,2057,0.483503,0.946927643557175
"C10orf105",0.031703,0.01433,0,2,1,0,27.3823943333333,0,0,0,0,0,0,3.69119,6.05014811451536
"C10orf120",0,0,0,0,0,0,0.268732,0,0,0,0,0,0,0.174359333333333,1.08036097980232
"C10orf126",0.146892,0.037859,0.056836,4,1,1,118.832404333333,0.093059,0.127319,0.174538,2,4,5,0.455131,82.3516263026032
"C10orf142",0,0,0,0,0,0,58.5154073333333,0,0,0.057083,0,0,1,207.321387,0.285690337369602
"C10orf143",1.09114,0.776807,0.885328,13,13,11,0.235341,0.378474,0.592108,0.521367,9,12,9,0.0238806666666667,1.20652829984744
"C10orf25",0.398884,0.827431,0.878721,16,36,25,0,0.283784,0.509936,0.372009,18,32,23,0.006163,0.993874749916266
"C10orf53",0.255974,0.092103,0.066742,10,4,2,63.1196706666667,0.025538,0,0.048302,1,0,3,64.036367,0.985904865606449
"C10orf55",0.069367,0.03119,0,2,1,0,25.0700883333333,0.116343,0.04221,0.020742,6,2,1,2.527318,7.39090956169343
"C10orf62",0,0,0,0,0,0,51.948887,0.043737,0,0,1,0,0,32.568201,1.57735253670579
"C10orf67",0.544324,0.101538,0.077843,14,3,2,0.0217916666666667,0.427024,0.737286,0.425788,19,21,16,0.00286733333333333,1.01887022610501
"C10orf71",0.01417,0,5.159068,1,0,5,0.552994,14.712477,6.469026,6.417826,1200,729,561,2.498199,0.443941010788694
"C10orf82",4.599996,6.878979,7.710323,92,147,104,5.28675033333333,0.525912,0.437336,0.417056,14,12,11,2.98728366666667,1.57670004416541
"C10orf88",32.38303,37.883536,33.223474,319,352,281,15.0357053333333,6.148162,3.068433,3.580018,74,60,53,7.07232666666667,1.98650351943141
"C10orf90",0,0.096048,0.073678,0,3,1,68.191032,0,0,0,0,0,0,1.11399433333333,32.7299988032134
"C10orf95",0.168457,0.138614,0,2,2,0,1.15195266666667,0.076348,0,0,2,0,0,13.486963,0.148544085234888
"C10orf99",0,0,0,0,0,0,0.051939,0,0,0,0,0,0,297.535845,0.00352366061770572
"C11orf1",18.360359,18.232602,22.503071,97,109,80,63.870865,14.095266,11.369884,12.740267,101,92,89,99.4055346666667,0.646088537005085
"C11orf16",0,0,0.060868,0,0,1,28.8311106666667,0,0,0,0,0,0,1.57208566666667,11.5980237568552
"C11orf21",0.112998,0.057274,0.081978,3,1,1,2.897369,5.328953,3.784945,3.769065,271,184,196,0.189120666666667,3.27752187751061
"C11orf24",18.564349,20.971405,18.551637,233,276,183,59.0507046666667,31.235537,30.00912,25.485312,515,451,368,19.3978133333333,2.94397755707148
"C11orf42",0.309741,0.914184,0.980363,4,13,9,2.08924566666667,0,0,0,0,0,0,0.224260333333333,2.52335682416131
"C11orf44",0,0,0,0,0,0,16.2602973333333,0.013452,0,0,1,0,0,27.4799506666667,0.606050815724728
"C11orf45",0.2558,0.544823,0.272492,4,5,7,1.64851533333333,0.826013,0.819955,0.267347,18,27,20,0.0482463333333333,2.52661540433085
"C11orf49",52.996434,52.482774,55.543283,607,741,468,0.188645666666667,9.207081,9.281389,9.379026,205,206,188,0.126255,1.05539657241625
"C11orf52",0,0,0,0,0,0,4.28239233333333,0.967352,1.806809,0.642843,17,27,9,0.993757,2.64946647627235
"C11orf53",0,0,0,0,0,0,49.8916516666667,0,0,0,0,0,0,74.9871433333333,0.669740293346993
"C11orf54",15.467133,6.877935,6.003588,123,144,93,6.58448666666667,9.154056,6.507951,4.739793,246,203,139,8.589528,0.790913449198612
"C11orf58",131.143549,126.264988,134.161941,1506,1581,1258,0.443448333333333,69.433346,61.515001,56.468218,788,790,745,0.269785,1.13676593544051
"C11orf65",0.641027,0.596459,0.590816,2,4,5,74.4818256666667,0.625166,0.434094,0.514982,4,8,5,0.00523833333333333,75.0884871415237
"C11orf68",12.568485,17.481316,20.105739,228,353,259,0,12.205635,10.264496,9.082074,385,302,270,0.972432333333333,0.506988241421717
"C11orf71",6.064381,5.883782,7.978755,150,157,141,11.846381,3.942333,3.056242,2.166484,87,86,60,5.80479133333333,1.88784348714293
"C11orf72",0.290569,0.177701,0.397707,9,6,4,0.284432333333333,0.07325,0,0,4,0,0,3.19123833333333,0.306456524583228
"C11orf74",25.117611,27.914869,19.455089,125,160,91,5.78344366666667,24.693522,28.318244,25.773999,197,253,213,0.089951,6.22362259098498
"C11orf80",38.031725,34.454845,43.314988,289,337,251,1.97989866666667,4.99091,6.03471,3.805933,50,46,29,0.247503333333333,2.38868994338024
"C11orf86",0,0,0,0,0,0,6.69675766666667,0,0,0,0,0,0,6.64595666666667,1.00664416530393
"C11orf87",5.599165,8.135445,8.204918,442,692,463,79.9671143333333,0,0.008917,0.009099,0,1,1,0.711018333333333,47.321009223552
"C11orf88",0,0.023149,0,0,1,0,3.814223,0,0.002664,0,0,0,0,10.7626596666667,0.409280140412688
"C11orf91",0,0,0.255705,0,0,1,0,0.08242,0,0,1,0,0,0,1
"C11orf94",0,0.593382,0.912222,0,1,1,20.0116593333333,0.319785,0.343484,0.805883,4,4,2,87.884966,0.236391600052289
"C11orf95",19.128423,16.904823,22.029174,1015,1141,815,73.4925976666667,2.492603,2.190013,2.315537,260,205,195,20.1022866666667,3.5300723018011
"C11orf96",1.567918,1.786576,1.113472,15,21,7,2.55894333333333,0.830717,0.843607,1.09161,18,15,21,14.6249923333333,0.227772485093699
"C11orf97",0,0.153867,0,0,1,0,70.776905,0,0,0,0,0,0,0.026279,69.9389785818476
"C11orf98",28.988571,29.128041,34.957495,168,185,140,0.142827,23.271523,21.281205,21.10792,218,184,186,1109.0182,0.00102955699284931
"C12orf10",52.039049,59.596393,68.623326,348,463,296,0,20.832297,22.109403,16.99002,282,236,190,0,1
"C12orf29",8.578287,7.190255,8.248976,150,148,105,7.29622533333333,5.132663,3.45838,3.048761,74,89,59,0.838218666666667,4.5131874046178
