"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg__TPM","FoldChange"
"XKR8",2.377217,2.685411,2.197645,61,67,41,0.824914666666667,2.299178,1.786844,2.451167,84,55,57,1.246067,0.812493423689795
"XKR9",0.119645,0.259525,0.228862,5,11,7,0,0.27272,0.152143,0.231322,15,2,9,0,1
"XKRX",0,0.025013,0.038363,0,1,1,0.0342783333333333,0.038886,0.033109,0,2,1,0,0.139607,0.907574570297772
"XPA",13.963492,11.963275,19.998588,140,113,117,0,9.652661,10.679442,13.853106,156,122,132,0,1
"XPC",10.610333,13.818188,14.018971,269,336,223,1.807269,16.939064,11.598085,13.198231,642,377,367,0.871622,1.49991237546898
"XPNPEP1",129.851617,146.347295,185.923842,960,1052,855,5.39449433333333,136.34409,128.39711,148.785497,1411,991,1031,0,6.39449433333333
"XPNPEP2",0,0,0,0,0,0,0,0.177204,0,0,11,0,0,11.200327,0.0819650161835826
"XPNPEP3",6.663618,11.008868,25.432101,159,198,139,0.105733,24.478421,21.282206,13.238904,344,219,270,0.273399666666667,0.868331466502138
"XPO1",202.563326,225.076309,173.347459,1749,2223,1554,0,327.443558,195.271442,185.769644,3728,1919,2047,0,1
"XPO4",2.07805,2.41234,2.787945,283,352,271,0.0671116666666667,4.928925,2.487011,2.946266,892,352,381,1.145111,0.497462213688087
"XPO5",158.120449,126.415448,102.664299,889,954,738,14.2475263333333,153.782446,194.816792,184.664086,1322,1138,1160,18.6178043333333,0.777228994349062
"XPO6",429.964736,497.393345,427.97563,1587,1842,1281,0,294.205695,282.890607,293.644539,1742,1282,1276,0,1
"XPO7",13.833323,20.820713,20.302811,804,947,704,0,28.605436,19.41124,21.157078,1556,1017,1052,0,1
"XPOT",21.285592,19.842583,22.809061,1122,1143,774,0,31.884943,22.123498,24.396313,1838,1238,1278,0,1
"XPR1",132.348053,112.559665,111.051949,8483,7384,5041,0.012176,49.000091,106.730418,91.300355,5626,7261,5669,0.0190986666666667,0.993207069253353
"XRCC1",11.815969,12.154017,17.151376,264,306,254,0,16.629665,14.269785,15.29886,481,335,331,0,1
"XRCC2",0.718499,0.570359,0.649021,46,39,29,0.0280673333333333,2.570722,1.072039,1.351853,225,72,83,0.116114333333333,0.921112920629697
"XRCC3",2.362926,4.224561,4.880111,38,52,52,0.0711433333333333,12.962194,4.290277,8.738135,278,73,125,1.502692,0.42799646673795
"XRCC4",2.911816,3.193288,1.383661,56,64,19,0.306682,3.950013,2.603815,4.033823,100,52,70,0.380241333333333,0.946705455374471
"XRCC5",112.345256,98.235786,130.808266,2306,2317,1769,0.867929333333333,159.776646,120.69121,157.106527,4222,2589,3082,1.937167,0.635962930719749
"XRCC6",116.465759,118.910838,97.768962,1847,2045,1504,4.92263166666667,121.246728,106.121836,94.297518,2724,1929,2027,5.95970666666667,0.850988691094261
"XRN1",3.528904,2.372691,2.019433,251,254,195,0.031058,8.56665,2.750588,4.39323,571,244,214,0.0194383333333333,1.01139810647366
"XRN2",21.819785,18.581039,26.140122,980,903,834,0,21.628234,19.871864,24.298671,1339,940,1037,0,1
"XRRA1",3.447304,6.549571,6.935562,51,88,78,0.176081666666667,4.41725,5.207567,7.618141,107,83,93,0.119649333333333,1.05040179246597
"XXYLT1",11.272935,10.110324,14.553513,324,366,300,0.0721956666666667,11.981111,11.459996,11.758367,528,371,358,0.394672666666667,0.768779436417339
"XXYLT1.AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"XXYLT1.AS2",0,0,0,0,0,0,0.115407,0,0,0,0,0,0,0.186764,0.93987262842486
"XYLB",3.751524,3.452171,3.921978,57,62,49,2.188787,5.269329,4.203242,5.995715,77,70,55,3.45481633333333,0.715806614997745
"XYLT1",2.318524,2.735088,2.531538,260,263,227,0,7.688136,4.076716,4.484434,1396,582,531,0,1
"XYLT2",4.327781,5.368206,8.145493,114,189,151,0,10.831663,4.98244,8.578816,482,213,258,0,1
"YAE1",14.860103,14.892927,14.796224,107,114,83,0.0429856666666667,15.498386,17.16678,14.624274,131,111,109,0.211299666666667,0.861046770975198
"YAF2",26.746154,28.344304,47.16305,358,306,329,0,22.980727,39.325982,25.56941,313,268,261,0,1
"YAP1",0.826349,1.422232,2.068059,22,81,62,6.733545,26.243447,11.02782,14.218279,1674,458,664,7.42068433333333,0.918398635296981
"YARS1",94.019374,95.723181,93.992684,1778,1906,1252,0,57.499942,65.918653,74.496714,1471,1311,1419,0.111532333333333,0.899658939296113
"YARS2",11.482595,14.839917,11.93391,117,138,83,0,12.647929,12.929291,18.678286,192,138,162,0.141279666666667,0.876209424566985
"YBEY",6.495249,7.870991,11.0082,62,88,60,0.026958,6.871558,6.840605,7.038194,87,68,60,0.055645,0.972825144816676
"YBX1",536.634022,579.189457,599.836987,7255,8296,6057,0,431.746579,333.65619,400.239517,8012,4839,5449,0,1
"YBX2",1.339443,2.14858,7.254063,46,52,59,0,1.541873,0.810926,3.355793,51,25,32,0,1
"YBX3",13.608837,66.461591,58.70356,79,207,89,0,160.902256,80.087555,91.352799,785,280,311,0.00700466666666667,0.99304405739265
"YDJC",4.535116,5.62684,5.563685,62,92,50,1.130187,4.294379,5.641774,7.021403,85,88,94,1.130036,1.00007089082062
"YEATS2",19.922278,24.762831,33.308613,1039,1158,809,0,31.328468,26.392571,32.779089,2145,1226,1102,0,1
"YEATS4",7.844148,7.919926,10.068511,123,130,104,0,9.313928,8.101268,9.990185,175,125,140,0.0682063333333333,0.936148727820686
"YES1",3.051793,4.51547,5.041937,185,260,218,0.0366576666666667,13.289187,4.891861,7.967065,1085,308,459,0.057335,0.980443914810979
"YIF1A",40.396143,48.45755,56.404796,236,310,215,0.199521666666667,62.039124,57.779483,74.176487,459,336,358,0.312718666666667,0.913769033019515
"YIF1B",28.68636,41.188802,32.965428,247,344,203,0,35.805636,43.741275,47.606804,428,366,353,0,1
"YIPF1",28.793945,26.956917,28.476619,473,485,348,0.0355943333333333,17.419327,21.901447,28.340454,447,435,437,0.069595,0.96821164397116
"YIPF2",16.175307,21.692068,17.965297,122,182,86,0,31.366001,24.846189,32.472977,302,188,199,0,1
"YIPF3",146.216841,179.235894,226.667397,694,824,611,0.408802,231.151253,236.074976,276.617653,1409,1133,1115,0.418365666666667,0.993257262995415
"YIPF4",18.992828,19.475344,23.072438,650,786,525,0.800379333333333,35.562958,29.233732,21.144345,1116,784,720,0.915835666666667,0.939735784575817
"YIPF5",23.899488,27.755504,24.956586,624,727,475,0.0425083333333333,23.151023,24.411305,38.780087,859,633,788,0,1.04250833333333
"YIPF6",11.75535,12.733132,16.5672,897,914,727,0.408407666666667,15.059633,16.206623,14.732591,1278,1045,1023,0,1.40840766666667
"YIPF7",0.573963,0.937676,1.820442,4,4,6,0,0.505743,0.472895,0.215026,5,3,2,0,1
"YJEFN3",7.320366,7.933186,13.334122,209,258,273,0.349377333333333,6.414371,5.589188,5.706882,302,177,171,0.0260953333333333,1.31506039399848
"YJU2",7.721451,6.743404,8.948546,95,115,87,0.196774666666667,6.36551,4.938164,7.117457,141,77,111,0,1.19677466666667
"YKT6",63.560551,66.690337,74.26933,1510,1695,1234,0,56.923826,59.171641,61.416896,1940,1541,1397,0.00919333333333333,0.990890414126134
"YLPM1",29.700699,31.311359,37.12797,1536,1653,1221,0,27.13517,25.739405,28.902832,1643,1417,1365,0,1
"YME1L1",48.218111,54.909092,53.504701,1716,1953,1256,0.083333,66.055955,55.343173,58.067559,3006,1894,2075,0.266432,0.855421372801698
"YOD1",3.10709,3.008586,3.361137,264,273,205,0.0213253333333333,3.441082,2.624023,2.750955,394,231,224,0.032964,0.988732747059272
"YPEL1",5.537056,6.294646,8.739346,232,238,313,0.301683333333333,9.390194,7.015071,5.883242,482,244,274,0.180261,1.10287752737177
"YPEL2",1.252515,2.168122,2.885449,86,125,71,0.141806,7.608683,6.997704,8.21828,446,323,324,0.145418666666667,0.996845985863684
"YPEL3",25.623521,38.43764,42.486579,172,250,156,0,29.372001,38.051178,37.322079,265,208,204,0,1
"YPEL4",3.04175,5.555693,3.035257,66,144,51,0.288215666666667,3.114429,1.978999,1.819923,116,62,45,0.559888333333333,0.82583838800427
"YPEL5",53.331012,54.073085,54.746213,1112,1251,864,0,58.74701,47.136657,48.514896,1580,1010,1071,0,1
"YRDC",13.839864,12.296593,13.337782,284,280,192,0.0236593333333333,8.124237,12.675663,15.492105,237,280,300,0.0176423333333333,1.00591268641536
"YTHDC1",90.84781,128.410709,77.130976,733,880,649,57.7763126666667,97.597961,60.929467,82.251577,1026,704,722,72.0968476666667,0.80408820000961
"YTHDC2",10.589264,9.858856,15.600472,652,635,562,0.0979163333333333,11.996125,9.766974,9.659893,848,535,549,0.315468666666667,0.834619904794388
"YTHDF1",12.558194,14.829642,15.408527,516,644,450,0,14.871878,14.490837,17.056911,841,601,661,0,1
"YTHDF2",55.054855,53.450034,60.206666,894,979,761,0,55.533257,56.536963,63.980509,1225,1049,1125,0,1
"YTHDF3",22.367891,23.084374,24.253645,920,1003,840,0.011864,22.320733,26.637961,25.813054,1593,1194,1224,0.111865,0.910060124205726
"YTHDF3.AS1",0.156114,0.694343,0.221395,1,5,1,3.24680866666667,0.323135,0,0.812212,3,0,5,2.50245533333333,1.2125232908038
"YWHAB",260.158477,281.403415,252.408395,8687,9839,6733,0,150.515135,206.566173,223.305843,6904,7052,7561,0.080639,0.925378410366459
"YWHAE",651.913675,637.747338,648.31704,8430,8768,6008,1.64100866666667,505.152257,515.806472,522.959443,8520,6733,6962,2.92161433333333,0.673449360947698
